periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
02/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1030;73;65;697;-;209;341;-;-;-;-;-;185;-;-;480;12581;743;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16408
02/2025;qtd_aprovada;"110011 JARU";-;147;-;29199;-;3183;424;-;43;-;52;-;342;-;-;169;75439;-;9;-;-;4;-;-;-;-;161;-;4;-;-;1;4;-;-;-;2;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;11535;-;-;-;-;-;120792
02/2025;qtd_aprovada;"110012 JI-PARANA";1392;-;22;36056;422;3816;330;1147;271;-;145;-;91;-;-;617;80618;-;8698;-;1942;24;-;2;-;-;2270;-;3;-;-;-;-;-;-;-;-;15;-;-;-;105;20;-;-;-;-;-;-;127327;-;34;-;448;-;-;-;-;-;265815
02/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";2512;408;-;5574;-;1396;282;-;-;-;20;-;209;-;30;1130;24261;-;58;-;-;1;-;-;2;-;62;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;9763;-;-;-;-;-;45711
02/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2122;9;419;1381;-;272;159;-;-;-;-;-;7;-;13;410;13106;600;23;-;-;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1646;-;-;-;-;-;20280
02/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";298;3779;-;15426;-;683;763;-;-;-;-;-;154;-;-;185;16989;-;5;-;-;-;-;-;-;-;87;-;-;-;-;-;8;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;6582;-;-;-;-;-;44981
02/2025;qtd_aprovada;"110018 PIMENTA BUENO";415;43;-;5291;-;1015;523;-;-;-;-;-;502;-;-;216;25752;22;29;-;-;-;-;-;-;-;281;-;12;-;-;-;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;5062;-;-;-;-;-;39269
02/2025;qtd_aprovada;"110020 PORTO VELHO";11434;6606;9935;461542;7682;12888;4145;5331;656;240;400;-;14218;9534;2156;18093;439523;4847;570;2775;4688;5028;731;6399;-;-;5365;2;148;752;1;31;-;66;10;-;3;-;172;1;-;4201;50;234;40;65;-;132;-;227414;4421;158;-;18538;-;-;-;-;-;1291225
02/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;83;-;715;-;574;-;-;-;-;-;-;54;-;6;-;244;842;6;-;-;-;-;-;-;-;136;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2664
02/2025;qtd_aprovada;"110026 RIO CRESPO";-;2;521;520;-;-;-;-;-;-;-;-;-;-;-;29;2536;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3611
02/2025;qtd_aprovada;"110028 ROLIM DE MOURA";5904;150;635;24417;-;1237;267;93;127;-;-;-;224;1;-;1425;52713;356;213;-;-;40;-;52;2;-;288;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;43020;1;-;-;10775;-;-;-;-;-;141989
02/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6763;103;24;3421;-;209;-;-;-;-;-;-;2;-;-;147;6147;270;22;-;-;-;142;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;37;10;-;-;-;-;-;-;-;-;-;-;-;-;-;2098;-;-;-;-;-;19415
02/2025;qtd_aprovada;"110030 VILHENA";1560;17;3708;333;-;2871;854;94;800;-;-;-;660;-;22;1251;62623;615;14;-;333;56;-;1;-;-;259;-;6;-;-;3;-;-;-;-;-;-;12;-;-;125;10;-;-;-;-;-;-;-;454;8;-;-;-;-;-;-;-;76689
02/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";9096;98;25;2144;-;25;97;-;-;-;-;-;8;-;2;90;9343;110;7;-;-;-;492;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6516;-;-;-;-;-;28090
02/2025;qtd_aprovada;"110033 NOVA MAMORE";290;180;33;238;-;273;119;-;-;-;-;-;14;-;3;191;11001;192;4;-;-;-;-;-;-;-;152;-;3;-;-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;4600;-;-;-;-;-;17301
02/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";-;143;-;4900;-;653;15;-;-;-;-;-;-;-;-;-;5345;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11076
02/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1128;217;2388;2868;-;-;52;-;-;-;-;-;3;-;-;957;5202;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2883;-;-;-;-;-;15698
02/2025;qtd_aprovada;"110040 ALTO PARAISO";2011;3754;-;5300;-;459;97;-;-;-;-;-;24;-;-;311;12560;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1576;-;-;-;-;-;26118
02/2025;qtd_aprovada;"110045 BURITIS";15533;107;160;15891;-;680;119;-;-;-;-;-;333;-;2;2039;33242;928;3;-;-;5;1790;150;-;-;125;-;4;-;1;-;3;1;-;-;-;-;171;1;-;1;-;-;-;-;-;-;-;-;-;-;-;13195;-;-;-;-;-;84484
02/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;3681;-;260;73;-;-;-;-;-;67;-;21;-;1162;368;-;-;-;-;-;-;-;-;63;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3347;-;-;-;-;-;9050
02/2025;qtd_aprovada;"110060 CACAULANDIA";1589;3;1227;1359;-;-;47;-;-;-;-;-;-;-;3;71;2786;120;2;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7216
02/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4838;50;9;1472;-;63;-;-;-;-;-;-;2;-;-;446;4966;-;-;-;-;-;-;-;-;-;7;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;11983
02/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";132;-;20;6924;-;171;-;-;-;-;-;-;25;-;-;267;5610;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13234
02/2025;qtd_aprovada;"110090 CASTANHEIRAS";977;-;24;544;-;-;21;-;-;-;-;-;-;-;-;74;3018;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4661
02/2025;qtd_aprovada;"110092 CHUPINGUAIA";2;32;-;3047;-;141;-;-;-;-;-;-;35;-;-;184;6402;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;765;-;-;-;-;-;10663
02/2025;qtd_aprovada;"110094 CUJUBIM";62;140;14;1;-;147;64;-;-;-;-;-;14;-;-;176;11078;-;-;-;-;-;-;-;-;-;32;-;-;1;-;2;-;-;-;-;-;-;56;-;-;1;-;-;-;-;-;-;-;-;-;-;-;905;-;-;-;-;-;12693
02/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;40;-;2406;-;130;-;-;-;-;-;-;70;-;-;-;7533;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10215
02/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";880;18;-;4230;-;228;9;-;-;-;-;-;1;-;-;171;7353;1477;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;225;-;-;-;-;-;14635
02/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;27;-;874;-;249;75;-;-;-;-;-;9;-;-;54;4701;62;74;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;6269
02/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;45;-;1572;-;780;-;-;-;-;-;-;-;-;-;2;4720;-;-;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7237
02/2025;qtd_aprovada;"110140 MONTE NEGRO";973;17;-;4821;-;311;151;-;-;-;-;-;23;-;-;414;4156;301;1;-;-;-;-;-;-;-;32;-;7;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;2280;-;-;-;-;-;13505
02/2025;qtd_aprovada;"110143 NOVA UNIAO";-;148;-;2260;-;431;62;-;-;-;-;-;1496;-;-;-;5581;-;-;-;-;-;-;-;-;-;14;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10004
02/2025;qtd_aprovada;"110145 PARECIS";-;28;-;2090;-;-;-;-;-;-;-;-;-;-;-;300;6208;-;115;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8921
02/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1350;25;3;591;-;-;-;-;-;-;-;-;4;-;-;152;2264;-;-;-;-;-;62;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;4479
02/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";710;-;-;804;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;1617
02/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";655;6;406;544;-;-;82;-;-;-;-;-;-;-;-;47;3747;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1996;-;-;-;-;-;7486
02/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";8332;671;996;10373;-;76;83;-;-;-;-;-;47;-;-;656;10091;1116;-;-;-;-;242;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;80;-;-;1;-;-;-;-;-;-;-;-;-;-;-;5860;-;-;-;-;-;38647
02/2025;qtd_aprovada;"110150 SERINGUEIRAS";11990;27;16;3153;-;291;194;-;20;-;42;-;381;-;-;340;14795;120;2;-;-;-;262;-;-;-;31;-;1;3;-;-;26;1;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1288;-;-;-;-;-;33016
02/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;19;-;932;-;-;-;-;-;-;-;-;-;-;-;29;3566;-;-;-;-;-;-;-;-;-;72;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;299;-;-;-;-;-;4921
02/2025;qtd_aprovada;"110160 THEOBROMA";292;10;-;4148;-;165;30;-;-;-;-;-;-;-;-;24;3062;-;1;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7837
02/2025;qtd_aprovada;"110170 URUPA";-;46;3;4314;-;132;-;2;-;-;-;-;10;-;-;50;4071;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8700
02/2025;qtd_aprovada;"110175 VALE DO ANARI";640;9;154;1793;-;-;29;-;-;-;-;-;-;-;-;84;3120;-;1;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4758;-;-;-;-;-;10600
02/2025;qtd_aprovada;"110180 VALE DO PARAISO";236;-;-;1238;-;-;-;-;-;-;-;-;1;-;-;10;2284;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3778
02/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
02/2025;qtd_aprovada;"120001 ACRELANDIA";-;29;191;-;-;-;-;-;-;-;-;-;-;-;-;312;2487;-;-;-;-;-;-;-;-;-;108;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3130
02/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;5;-;6567;-;252;-;-;-;-;-;-;36;-;-;217;3032;-;-;-;-;-;-;-;-;-;37;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10150
02/2025;qtd_aprovada;"120010 BRASILEIA";-;10;2;14677;-;11662;113;267;-;-;-;-;16;117;-;150;12805;208;57;-;728;141;12;-;-;-;240;-;32;-;-;-;47;-;-;-;-;-;56;-;-;-;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;41347
02/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
02/2025;qtd_aprovada;"120017 CAPIXABA";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;247;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;250
02/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";26553;1025;419;57005;-;2353;1248;874;534;-;22;-;1260;639;235;776;51342;1866;140;-;772;437;-;83;1;-;211;-;4;-;-;-;-;-;-;-;-;-;17;-;-;2;13;-;-;-;-;-;-;24848;27;40;-;-;-;-;-;-;-;172746
02/2025;qtd_aprovada;"120025 EPITACIOLANDIA";6;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302
02/2025;qtd_aprovada;"120030 FEIJO";-;95;-;11812;-;518;-;-;-;-;-;-;-;-;-;-;4950;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17397
02/2025;qtd_aprovada;"120032 JORDAO";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;62;804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;882
02/2025;qtd_aprovada;"120033 MANCIO LIMA";49;358;63;5605;-;630;-;-;-;-;-;-;71;-;-;894;12540;58;-;-;-;-;-;-;-;-;236;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20519
02/2025;qtd_aprovada;"120034 MANOEL URBANO";-;53;145;4519;-;48;-;-;-;-;-;-;24;-;-;48;6034;-;-;-;-;-;-;-;-;-;37;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10909
02/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;14;2134;3089;-;-;-;-;-;-;-;-;-;-;-;744;11474;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17483
02/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";1284;32;2515;7333;-;651;-;-;-;-;-;-;53;-;-;218;8477;-;-;-;-;-;1;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20724
02/2025;qtd_aprovada;"120039 PORTO WALTER";298;13;2;3;-;61;-;-;-;-;-;-;40;-;-;142;2858;-;-;-;-;-;-;-;2;-;14;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3436
02/2025;qtd_aprovada;"120040 RIO BRANCO";39430;1631;7691;266437;3062;15510;5294;5864;1059;100;245;30;10419;16921;195;19015;412406;1903;804;945;5009;1961;6129;443;-;-;3220;-;61;381;2;31;-;28;-;-;2;-;891;2;-;381;10;260;-;-;-;128;-;173494;1236;58;-;9981;-;-;-;-;-;1012669
02/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;27;-;-;143;-;-;-;-;-;-;16;-;-;63;4939;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5241
02/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117
02/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;4;-;17881;-;562;-;-;-;-;-;-;45;-;-;345;5207;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24121
02/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;136;15;18674;-;1714;-;-;-;-;-;-;19;-;66;81;12602;-;15;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33412
02/2025;qtd_aprovada;"120060 TARAUACA";-;30;-;8714;-;708;-;-;-;-;-;-;-;-;-;-;4695;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14283
02/2025;qtd_aprovada;"120070 XAPURI";-;26;-;5262;-;383;17;-;-;-;-;-;13;-;40;262;7756;-;-;-;-;-;-;-;-;-;163;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13932
