periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
07/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";-;-;-;36272,34;-;12836,88;6289,80;-;-;-;-;-;1833,40;-;-;-;153381,07;-;576,80;-;-;-;-;-;2420,82;-;69,73;-;-;-;-;-;-;19,79;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;8479,35;222202,25
07/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;35,32;-;1864,54;1137,40;-;-;-;-;-;56,65;-;-;32,00;27267,61;2894,71;-;-;-;153,36;-;-;58,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;866,25;34366,62
07/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;88831,46;-;11217,13;14290,10;-;-;-;-;-;1060,90;-;-;-;88218,38;-;-;-;-;-;-;-;1911,32;-;-;-;-;-;38,74;-;-;-;-;-;-;-;690,37;-;-;-;-;-;-;-;-;-;-;206258,40
07/2024;valor_aprovado;"110018 PIMENTA BUENO";804,60;-;-;71777,17;-;7867,22;7235,80;-;-;-;-;-;1015,50;-;-;24,00;104743,19;946,92;15,84;-;-;40,45;-;-;6168,84;-;124,63;-;-;-;-;-;-;-;-;-;-;-;1892,95;-;-;-;-;-;-;-;-;-;30922,65;233579,76
07/2024;valor_aprovado;"110020 PORTO VELHO";618,76;-;26699,54;7069849,52;467557,84;167483,43;127314,69;611958,54;157756,25;79451,83;29266,12;-;219157,41;424042,62;-;3145,00;2522381,24;39044,51;19310,40;2364119,83;1236401,64;140530,22;1111,31;30328,30;121014,41;18,85;2575,29;61851,85;82,96;626,62;227,36;1454,60;186,66;-;384,79;-;6540,20;29,86;2344,45;14675,13;591956,60;-;-;-;26165,00;175885,11;1277362,09;141278,44;1382341,12;19544530,39
07/2024;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;-;-;4033,71;-;-;-;-;-;-;195,70;-;-;-;3160,71;4959,87;10,12;-;-;-;-;-;4380,08;-;22,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16762,71
07/2024;valor_aprovado;"110026 RIO CRESPO";-;-;-;2021,93;-;-;-;-;-;-;-;-;-;-;-;-;6378,59;-;-;-;-;-;-;-;129,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8530,12
07/2024;valor_aprovado;"110028 ROLIM DE MOURA";37,80;-;-;120041,21;-;11194,59;8176,30;9527,00;51062,50;-;-;-;2124,79;-;-;429,00;171409,98;3954,59;2025,69;-;-;118,09;-;88,55;3337,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27320,75;-;-;60556,65;471404,69
07/2024;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;12600,56;-;2242,00;37,95;-;-;-;-;-;5,15;-;-;75,00;13460,01;1855,86;-;-;-;-;-;-;583,20;-;-;-;-;-;-;-;-;-;-;-;-;119,44;-;-;-;-;-;-;-;-;-;-;7429,95;38409,12
07/2024;valor_aprovado;"110030 VILHENA";129,60;-;-;315505,10;-;20540,33;27405,40;98980,87;258268,75;-;9503,86;-;3780,18;-;-;794,00;244076,37;6536,73;2174,78;-;-;105,17;-;16,94;13264,00;-;452,10;4400,55;-;47,26;-;-;-;-;-;-;56,82;-;6057,44;-;-;-;-;-;-;-;6896,52;-;-;1018992,77
07/2024;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;4001,10;-;3331,69;2114,20;-;-;-;-;-;46,35;-;-;269,00;20821,99;42,40;423,79;-;-;-;-;-;259,20;-;-;-;-;-;-;-;-;39,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36758,70;68108,00
07/2024;valor_aprovado;"110033 NOVA MAMORE";-;-;-;23287,36;-;1008,67;2395,80;-;-;-;-;-;185,40;-;-;106,00;37152,38;2270,27;-;-;-;-;-;-;2291,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19819,80;88517,32
07/2024;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;14582,12;-;4192,13;3108,60;-;-;-;-;-;-;-;-;-;30823,11;1665,48;-;-;-;-;-;-;602,02;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55026,30
07/2024;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";183,60;-;-;6460,28;-;-;1531,20;-;-;-;-;-;581,95;-;-;-;15539,58;-;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24032,25;48361,26
07/2024;valor_aprovado;"110040 ALTO PARAISO";-;-;-;17725,05;-;3822,91;8007,45;-;-;-;-;-;133,90;-;-;63,00;46902,85;-;4,32;-;-;-;-;-;763,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21022,65;98446,05
07/2024;valor_aprovado;"110045 BURITIS";353,70;-;-;60623,31;-;6125,62;1405,25;-;-;-;-;-;3026,90;-;-;1123,00;93686,41;7764,59;-;-;-;40,45;-;196,94;3258,12;-;-;-;-;-;-;-;-;-;-;-;956,17;-;15,15;-;-;-;-;-;-;-;-;-;92535,30;271110,91
07/2024;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;17859,75;-;3147,35;5916,35;-;-;-;-;-;1189,65;-;-;-;47629,22;1670,32;-;-;-;-;-;-;2010,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78100,20;157522,92
07/2024;valor_aprovado;"110060 CACAULANDIA";-;-;-;5475,19;-;-;880,55;-;-;-;-;-;-;-;-;31,00;14720,10;755,23;8,64;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21882,55
07/2024;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;3267,58;-;-;-;-;-;-;-;-;-;-;-;63,00;365,40;-;-;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3707,82
07/2024;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;44523,23;-;655,76;2638,90;-;-;-;-;-;61,80;-;-;2,00;21987,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69869,59
07/2024;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;1917,56;-;-;2497,55;-;-;-;-;-;-;-;-;9,00;3431,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1549,35;9405,20
07/2024;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;11011,38;-;-;1302,40;-;-;-;-;-;103,00;-;-;36,00;7038,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;628,65;20120,20
07/2024;valor_aprovado;"110094 CUJUBIM";-;-;-;17716,64;-;10005,07;3337,40;-;-;-;-;-;721,21;-;-;2,00;33794,35;-;90,46;-;-;-;-;-;262,96;-;26,42;-;-;-;-;13,54;-;-;-;-;-;-;133,62;-;-;-;-;-;-;-;-;-;4976,70;71080,37
07/2024;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;6025,90;-;-;-;-;-;-;-;-;128,75;-;-;-;2283,75;1094,83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9533,23
07/2024;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;15318,60;-;628,87;645,70;-;-;-;-;-;10,30;-;-;-;20169,16;-;-;-;-;-;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;772,20;37591,15
07/2024;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;1298,08;-;406,74;-;-;-;-;-;-;113,30;-;-;-;16861,00;927,10;97,92;-;-;-;-;-;1151,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;361,35;21217,41
07/2024;valor_aprovado;"110130 MIRANTE DA SERRA";-;-;-;1250,44;-;7695,16;3313,75;-;-;-;-;-;-;-;-;-;11524,27;-;-;-;-;-;-;-;1574,98;-;90,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25448,68
07/2024;valor_aprovado;"110140 MONTE NEGRO";-;-;-;16682,88;-;3997,51;3914,35;-;-;-;-;-;216,30;-;-;511,00;25424,32;1046,05;-;-;-;-;-;-;620,22;-;26,42;-;-;-;-;-;-;-;-;-;-;59,72;467,67;-;-;-;-;-;-;-;6525,00;-;15444,00;74935,44
07/2024;valor_aprovado;"110143 NOVA UNIAO";-;-;-;5436,62;-;4610,25;1387,65;-;-;-;-;-;12446,52;-;-;-;14778,10;-;-;-;-;-;-;-;142,08;-;67,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38868,78
07/2024;valor_aprovado;"110145 PARECIS";-;-;-;290,45;-;-;-;-;-;-;-;-;772,50;-;-;-;30103,50;-;783,00;-;-;-;-;-;2430,00;-;-;-;-;-;-;-;-;-;-;-;-;4479,00;-;-;-;-;-;-;-;-;-;-;-;38858,45
07/2024;valor_aprovado;"110146 PIMENTEIRAS DO OESTE";-;-;-;1899,60;-;-;-;-;-;-;-;-;51,50;-;-;6,00;6373,59;-;-;-;-;-;-;-;129,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1485,00;9945,29
07/2024;valor_aprovado;"110147 PRIMAVERA DE RONDONIA";-;-;-;990,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;990,72
07/2024;valor_aprovado;"110148 SAO FELIPE D'OESTE";-;-;-;2722,71;-;-;1381,60;-;-;-;-;-;-;-;-;-;26087,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4885,65;35077,04
07/2024;valor_aprovado;"110149 SAO FRANCISCO DO GUAPORE";2,70;-;-;36922,41;-;4131,12;1771,00;-;-;-;-;-;309,00;-;-;509,00;39943,73;13442,13;-;-;-;24,27;-;-;1712,64;-;-;-;-;-;-;-;-;-;-;-;11,36;-;-;-;-;-;-;-;-;-;-;-;40738,50;139517,86
07/2024;valor_aprovado;"110150 SERINGUEIRAS";-;-;-;10810,00;-;2383,86;5125,45;-;-;-;-;-;221,45;-;-;86,00;39430,70;492,20;-;-;-;-;-;-;783,06;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16929,00;76288,14
07/2024;valor_aprovado;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1202,04;-;-;-;-;-;-;-;497,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1699,88
07/2024;valor_aprovado;"110160 THEOBROMA";145,80;-;-;9312,79;-;1350,33;-;-;-;-;-;-;-;-;-;-;19369,44;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30243,16
07/2024;valor_aprovado;"110170 URUPA";-;-;-;15328,07;-;334,89;3345,65;-;-;-;-;-;36,40;-;-;-;17907,95;3238,50;-;-;-;-;-;-;1120,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41312,08
07/2024;valor_aprovado;"110175 VALE DO ANARI";-;-;-;12430,07;-;-;3667,95;-;-;-;-;-;15,45;-;-;-;6812,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22926,39
07/2024;valor_aprovado;"110180 VALE DO PARAISO";-;-;-;2623,87;-;-;-;-;-;-;-;-;20,60;-;-;-;14795,36;-;-;-;-;-;-;-;648,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18088,19
07/2024;valor_aprovado;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;valor_aprovado;"120001 ACRELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12919,23;-;-;-;-;-;-;-;3680,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16599,27
