periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
09/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;11477,46;-;8320,55;4221,25;-;-;-;-;-;226,60;-;-;-;74708,34;950,80;4730,76;-;-;-;-;-;685,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1350,00;-;54410,40;161081,52
09/2024;valor_aprovado;"110002 ARIQUEMES";1055,70;-;-;160534,25;-;24597,72;32225,77;164773,59;-;-;2745,12;-;39203,27;4055,52;-;1525,00;321425,38;3090,56;-;-;525753,06;-;320,39;-;9391,74;-;-;248280,45;-;-;-;-;-;-;-;-;76,72;-;133,62;3547,43;-;-;-;-;-;-;64038,04;5630,00;7466,38;58108,05;1677977,76
09/2024;valor_aprovado;"110003 CABIXI";-;-;-;4383,74;-;1618,41;-;-;-;-;-;-;36,05;-;-;-;11415,55;-;-;-;-;-;-;-;879,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12092,85;30426,08
09/2024;valor_aprovado;"110004 CACOAL";121,50;-;4561,24;164852,67;-;18542,70;23725,77;270164,89;50793,75;-;3199,36;-;5143,59;-;-;87,00;292252,13;13298,15;4068,12;847129,90;451845,57;161,80;259,68;483,90;36068,00;-;196,15;-;41,48;62,14;4266,81;338,54;41,48;-;-;31,28;154,24;29,86;3001,63;1737,15;-;-;-;-;-;-;34658,06;11496,00;2043,78;11597,85;2256456,17
09/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;5680,60;1896,40;18172,68;-;-;-;-;355,35;-;-;3,00;63527,22;-;216,82;-;-;-;-;-;907,32;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1574,10;92339,12
09/2024;valor_aprovado;"110006 COLORADO DO OESTE";10,80;-;-;7574,42;-;14515,34;5192,55;-;-;-;-;-;190,55;-;-;1,00;78434,23;4462,86;5,63;-;-;-;-;-;518,40;-;-;-;-;-;75,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22641,30;133622,84
09/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;9553,32;-;-;-;-;-;-;-;-;118,45;-;-;100,00;13312,60;-;-;-;-;-;-;-;437,72;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7321,05;30869,56
09/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;15585,00;-;1755,90;791,45;-;-;-;-;-;-;-;-;22,00;13422,63;-;-;-;-;-;-;-;129,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31706,58
09/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;27628,78;-;10536,03;5375,15;-;-;-;-;-;41,20;-;-;-;66930,76;496,10;-;-;-;-;-;-;4838,16;-;-;-;-;-;-;-;-;-;-;-;-;-;1692,52;-;-;-;-;-;-;-;-;-;-;24250,65;141789,35
09/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;10681,51;-;15496,25;6945,95;-;-;-;-;-;-;-;-;-;10100,27;-;-;-;-;-;-;-;101,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43325,86
09/2024;valor_aprovado;"110011 JARU";-;-;-;116020,71;-;27958,64;18299,05;-;7256,25;-;8467,56;-;1048,59;-;-;42,00;273952,92;1022,33;619,41;-;-;4,69;-;-;297,86;-;184,94;-;-;24,54;123,30;-;-;-;-;-;-;-;1403,01;-;-;-;-;-;-;-;-;-;-;70205,85;526931,65
09/2024;valor_aprovado;"110012 JI-PARANA";2751,30;-;194,00;384113,45;11508,04;-;15043,60;186266,72;320350,00;-;9778,20;-;3601,28;-;-;95,00;658158,25;241,30;32243,23;-;468274,36;83,90;-;11,26;16146,22;-;147,26;-;-;-;-;22,62;-;-;-;-;-;29,86;2895,10;4215,85;-;-;-;-;-;-;107285,51;1376,20;991,14;33105,60;2258929,25
