periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
11/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;12121,93;-;4511,53;4790,50;-;-;-;-;-;278,10;-;-;-;87525,48;3025,81;4821,90;-;-;-;-;-;1920,44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55400,40;174396,09
11/2024;valor_aprovado;"110002 ARIQUEMES";577,80;-;-;182781,37;-;25319,72;32430,55;199980,34;-;-;2889,60;-;30575,48;2590,08;-;2420,00;319662,00;1951,31;13172,88;-;589791,59;-;307,89;-;10190,80;-;234,42;152959,10;-;-;-;13,54;-;-;-;-;153,44;29,86;22,27;2115,81;-;-;-;-;-;-;77080,13;6075,00;5295,16;53291,70;1711911,84
11/2024;valor_aprovado;"110003 CABIXI";-;-;-;4020,01;-;976,91;-;-;-;-;-;-;5,15;-;-;-;9410,34;-;-;-;-;-;-;-;768,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5563,80;20744,57
11/2024;valor_aprovado;"110004 CACOAL";596,70;-;3652,22;163246,99;-;11101,59;23159,28;233888,60;61812,50;-;1242,58;-;7483,23;-;-;96,00;300707,83;14021,07;3981,65;803930,08;477544,35;16,18;789,86;580,58;41219,96;-;148,46;25,00;50,60;37,60;4505,14;296,72;20,74;-;274,85;62,56;260,30;-;3535,95;1158,10;-;-;-;-;-;-;28018,37;41,60;1338,29;21864,15;2210709,68
11/2024;valor_aprovado;"110005 CEREJEIRAS";2,70;-;-;8552,96;-;9929,29;1723,70;7779,76;-;-;-;-;236,90;-;-;196,00;53519,02;-;332,64;-;-;-;-;-;768,48;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18275,40;101328,11
11/2024;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;4741,20;-;12110,03;5879,50;-;-;-;-;-;128,75;-;-;-;76881,35;3155,47;131,12;-;-;-;-;0,77;1166,40;-;-;-;-;-;-;657,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4643,10;109495,05
11/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;6479,37;-;-;-;-;-;-;-;-;206,00;-;-;71,00;14510,10;-;-;-;-;-;-;-;749,88;-;26,42;-;-;-;-;-;-;-;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;6895,35;28960,39
11/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;18623,78;-;1227,91;-;-;-;-;-;-;-;-;-;11,00;11992,16;-;-;-;-;-;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3415,50;35316,67
11/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;27185,41;-;7856,87;4162,95;-;-;-;-;-;128,75;-;-;-;95766,98;1102,03;83,86;-;-;-;-;-;2944,44;-;-;-;-;-;-;-;-;-;-;-;-;-;868,53;-;-;-;-;-;-;-;-;-;-;9070,65;149170,47
11/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;9,25;-;-;10243,20;-;-;-;-;-;283,25;-;-;-;9136,93;-;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19695,79
11/2024;valor_aprovado;"110011 JARU";-;-;-;117793,38;-;26101,60;11790,35;-;13437,50;-;3130,40;-;911,39;-;-;44,00;303324,07;750,36;721,20;-;-;49,83;-;-;504,70;-;184,94;-;-;24,54;41,10;-;-;-;-;-;-;-;1625,71;-;-;-;-;-;-;-;-;-;-;53826,30;534261,37
11/2024;valor_aprovado;"110012 JI-PARANA";116,10;-;-;97931,16;12251,03;-;429,00;72734,04;54287,50;-;-;-;1769,12;-;-;32,00;43171,03;-;23,68;-;494595,68;-;-;33,78;12,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5300,04;-;-;-;-;-;-;104361,38;-;2818,74;-;889866,74
11/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";5,40;-;23,99;15967,62;-;12539,35;6887,10;-;-;-;-;-;1707,14;-;-;2,00;123261,78;-;168,90;-;-;-;-;-;898,96;-;58,47;-;-;-;-;-;-;-;-;-;-;-;267,24;-;-;-;-;-;-;-;-;-;-;8256,60;170044,55
11/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;639,88;-;2076,70;3347,30;-;-;-;-;-;41,20;-;-;45,00;26055,48;2523,22;15,84;-;-;8,39;-;-;339,68;-;-;-;-;-;-;-;-;-;-;-;-;-;44,54;-;-;-;-;-;-;-;-;-;-;6811,20;41948,43
11/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;89440,90;-;9862,42;17332,70;-;-;-;-;-;556,20;-;-;-;83823,90;-;91,43;-;-;-;-;-;523,60;-;-;-;-;-;38,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9,90;201679,79
11/2024;valor_aprovado;"110018 PIMENTA BUENO";996,30;-;-;44860,34;-;10639,17;5572,60;-;-;-;-;-;8894,02;-;-;60,00;137658,30;469,36;590,38;-;-;8,09;-;-;7638,68;-;95,93;-;-;-;-;-;-;-;-;-;-;-;2494,24;-;-;-;-;-;-;-;-;-;-;22844,25;242821,66
11/2024;valor_aprovado;"110020 PORTO VELHO";686,90;-;17620,22;2167989,16;425507,80;198814,09;131919,08;569050,48;194037,50;44149,89;26239,57;-;257238,34;319942,72;-;2602,00;2479960,85;42155,23;8186,34;2399577,63;1198490,06;100300,39;333,01;4,13;108702,89;18,85;2016,87;248993,06;41,48;128,04;85,26;943,23;456,28;-;-;-;3440,08;-;5995,44;18435,82;75411,62;10100,46;14688,00;-;23760,00;-;259597,32;1280602,50;149119,11;941900,81;13729242,51
11/2024;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;2937,13;-;4463,07;-;-;-;-;-;-;252,35;-;-;-;2278,71;3728,13;1,48;-;-;-;-;-;2633,58;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16300,08
11/2024;valor_aprovado;"110026 RIO CRESPO";-;-;-;1800,15;-;-;-;-;-;-;-;-;-;-;-;-;5615,91;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7480,86
11/2024;valor_aprovado;"110028 ROLIM DE MOURA";270,00;-;-;83247,57;-;5246,25;10902,10;9678,12;40590,00;-;-;-;1322,96;-;-;316,00;186050,56;3447,44;643,30;-;-;255,62;-;103,95;6316,96;-;-;-;29,86;12,27;-;-;-;-;-;-;-;-;537,21;-;-;-;-;-;-;-;63728,50;3510,00;-;44541,90;460750,57
11/2024;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;11749,80;-;906,62;-;-;-;-;-;-;10,30;-;-;28,00;543,44;1567,46;-;-;-;-;-;-;486,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9147,60;24439,22
11/2024;valor_aprovado;"110030 VILHENA";351,00;-;-;167,78;-;29346,02;9400,05;21021,66;173612,50;-;4478,88;-;6243,40;-;-;299,00;196777,85;4515,96;-;-;-;145,62;-;29,26;6565,84;-;40,49;-;-;24,54;-;-;-;-;-;-;21,92;-;2828,29;-;-;-;-;-;-;-;-;6979,50;-;-;462849,56
11/2024;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;6823,72;-;3379,29;2307,80;-;-;-;-;-;118,45;-;-;197,00;30721,18;45,39;178,79;-;-;-;-;-;324,00;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31437,45;75585,91
11/2024;valor_aprovado;"110033 NOVA MAMORE";-;-;25,83;20601,32;-;4529,55;2206,05;-;-;-;-;-;267,80;-;-;123,00;40225,61;1909,60;41,63;-;-;-;-;-;3602,40;-;26,42;-;-;-;-;-;-;-;-;-;-;-;311,78;-;-;-;-;-;-;-;-;-;-;13780,80;87651,79
11/2024;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;-;-;3882,81;2648,80;-;-;-;-;-;-;-;-;-;30414,35;522,84;-;-;-;-;-;-;266,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37735,48
11/2024;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";-;-;-;7002,04;-;-;-;-;-;-;-;-;20,60;-;-;-;17128,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17255,70;41406,96
11/2024;valor_aprovado;"110040 ALTO PARAISO";-;-;-;15773,89;-;4250,09;3600,85;-;-;-;-;-;180,25;-;-;62,00;45815,17;-;-;-;-;-;-;-;1562,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3281,85;74527,06
11/2024;valor_aprovado;"110045 BURITIS";108,00;-;154,98;66606,74;-;5912,20;4913,15;-;-;-;-;-;1113,20;-;-;1019,00;69085,91;3713,50;347,71;-;-;48,54;-;107,80;4119,26;-;-;-;-;-;-;22,62;-;-;54,97;-;1117,92;29,86;234,37;-;-;-;-;-;-;-;-;-;-;80061,30;238771,03
11/2024;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;9344,31;-;2759,38;3892,35;-;-;-;-;-;3702,46;-;-;-;28160,74;420,30;-;-;-;-;-;-;1237,16;-;73,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19749,45;69339,34
11/2024;valor_aprovado;"110060 CACAULANDIA";-;-;-;6100,62;-;-;1115,95;-;-;-;-;-;15,45;-;-;49,00;15700,65;871,98;15,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23869,49
11/2024;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;4266,80;-;-;-;-;-;-;-;-;-;-;-;70,00;12332,92;-;-;-;-;-;-;-;-;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;564,30;17239,65
11/2024;valor_aprovado;"110080 CANDEIAS DO JAMARI";27,00;-;-;58661,50;-;5836,45;-;-;-;-;-;-;30,90;-;-;-;24144,43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88700,28
