periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
05/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;12314,71;-;9933,33;4628,25;-;-;-;-;-;242,05;-;-;42,00;66574,18;2489,96;5091,04;-;-;-;-;-;1032,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080,00;-;56697,30;160124,98
05/2024;valor_aprovado;"110002 ARIQUEMES";1360,80;-;18,33;145005,05;-;10125,85;30948,50;155482,26;-;-;1155,84;-;21117,95;3067,20;-;1303,00;319372,80;2648,25;83,75;-;569944,44;-;298,46;-;11852,00;-;298,52;93733,95;-;-;-;22,62;-;-;-;-;76,72;-;22,27;2726,48;-;-;-;-;-;-;11276,00;5451,14;38496,15;1425888,33
05/2024;valor_aprovado;"110003 CABIXI";-;-;-;3738,08;-;659,94;-;-;-;-;-;-;5,15;-;-;-;13816,42;-;-;-;-;-;-;-;421,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6227,10;24867,89
05/2024;valor_aprovado;"110004 CACOAL";-;-;2692,29;180483,42;-;17398,71;17573,80;256013,59;55362,50;-;2436,97;-;5581,37;-;-;6,00;280737,08;10507,19;4570,56;694930,15;516113,61;16,18;173,12;104,60;42987,98;-;228,91;-;-;12,27;3995,37;858,28;-;-;219,88;93,28;104,12;-;5427,24;3280,54;-;-;-;-;-;94414,14;10315,30;1628,16;-;2208266,61
05/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;17769,90;1188,55;-;-;-;-;-;267,80;-;-;1,00;71791,84;-;248,33;-;-;-;-;-;944,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;594,00;92805,94
05/2024;valor_aprovado;"110006 COLORADO DO OESTE";2,70;-;-;-;-;10657,51;6233,15;-;-;-;-;-;96,37;-;-;-;78682,82;3111,20;5,63;-;-;-;-;-;995,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12662,10;112446,64
05/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;3682,12;-;-;1585,10;-;-;-;-;-;278,10;-;-;93,00;16005,46;-;-;-;-;-;-;-;497,96;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8865,45;31033,61
05/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;16410,28;-;-;48,40;-;-;-;-;-;-;-;-;59,00;12273,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28791,23
05/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;20760,99;-;-;4984,65;-;-;-;-;-;56,65;-;-;-;138045,48;3157,65;-;-;-;-;-;-;1541,64;-;-;-;-;-;-;-;-;-;-;-;-;-;423,13;-;-;-;-;-;-;-;-;-;36817,35;205787,54
05/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;18,00;-;16483,50;9056,30;-;-;-;-;-;45,36;-;-;222,00;34587,66;3038,11;-;-;-;-;-;-;55,56;-;-;-;-;12,27;-;-;-;-;-;-;-;29,86;-;-;-;-;-;-;-;-;-;-;14711,40;78260,02
05/2024;valor_aprovado;"110011 JARU";-;-;-;100308,38;-;25288,42;8430,95;101,10;9675,00;-;2167,20;-;461,41;-;-;18,00;277745,00;677,32;83,86;-;-;41,74;-;-;556,42;-;184,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75561,75;501301,49
05/2024;valor_aprovado;"110012 JI-PARANA";99,90;-;97,00;221905,89;23895,24;65971,17;13018,50;166845,41;143512,50;-;11229,88;-;5174,03;-;-;669,00;723261,17;-;699229,41;-;520577,61;436,28;-;56,30;20962,40;-;201,94;-;-;-;-;-;-;-;-;-;-;-;4937,89;9690,90;-;-;-;-;-;-;20275,50;2946,96;35496,45;2690491,33
05/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";54,00;-;-;35100,84;-;17629,58;3620,65;-;-;-;-;-;1024,85;-;-;-;168256,28;-;-;-;-;-;-;-;3998,28;-;32,05;-;-;-;-;-;-;-;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;19,80;229758,60
05/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;14,10;1672,38;-;2528,68;3551,35;-;-;-;-;-;56,65;-;-;33,00;25927,87;2865,98;1,44;-;-;-;-;-;92,64;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;663,30;37460,23
05/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;69322,63;-;4023,33;13582,25;-;-;-;-;170,44;1926,10;-;-;-;114292,03;-;72,32;-;-;48,54;-;-;5330,72;-;-;-;-;-;241,57;-;-;-;-;-;-;-;1113,50;-;-;-;-;-;-;-;-;-;-;210123,43
05/2024;valor_aprovado;"110018 PIMENTA BUENO";729,00;-;-;37728,98;-;9505,19;20694,85;-;-;-;-;-;12287,06;-;-;50,00;106095,53;249,53;2,88;-;-;-;-;-;4999,32;-;22,52;5657,85;-;-;-;-;-;-;-;-;-;-;1826,14;-;-;-;-;-;-;-;-;-;20295,00;220143,85
05/2024;valor_aprovado;"110020 PORTO VELHO";1085,14;-;18096,29;1938997,51;389440,95;243788,52;146047,18;497931,17;168237,50;76432,80;28778,76;45,34;329785,22;304887,52;-;3543,00;2589779,20;32464,92;7317,51;2066670,14;1186713,46;113460,44;1404,33;49190,33;119650,72;-;2120,45;64396,81;82,96;281,98;113,68;470,14;-;-;-;31,28;6588,52;-;2203,71;21727,78;344812,40;4161,42;7776,00;-;19960,00;143210,49;1019254,85;142203,12;1498793,41;13591936,95
