periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
01/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;16827,33;-;4190,51;4231,15;-;-;-;-;-;432,60;-;-;4,00;61763,53;2024,72;4457,21;-;-;-;-;-;142,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46564,65;140637,78
01/2024;valor_aprovado;"110002 ARIQUEMES";880,20;-;103,32;171472,90;-;16740,19;23623,16;132340,16;-;-;4045,44;-;3249,83;2334,48;-;1426,00;323753,26;1325,22;1,48;-;572468,57;8,09;-;-;10758,54;-;26,42;-;-;24,54;-;-;-;-;-;-;-;-;22,27;2410,67;-;-;-;-;-;-;1365,00;4867,04;37555,65;1310802,43
01/2024;valor_aprovado;"110003 CABIXI";-;-;-;1987,46;-;828,15;-;-;-;-;-;-;30,90;-;-;-;11849,62;-;-;-;-;-;-;-;1157,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;519,75;16373,04
01/2024;valor_aprovado;"110004 CACOAL";67,50;-;3506,66;191836,89;62,88;12716,52;20053,73;227885,94;45150,00;-;102,18;685,05;7263,49;-;-;20,00;232755,41;5780,69;4492,50;690400,77;457954,83;161,80;595,10;1894,47;37733,64;207,35;259,27;25,00;-;-;4425,42;-;-;-;-;155,28;407,12;59,72;3675,03;7997,49;-;-;-;-;-;76488,04;-;1322,88;22972,95;2059115,60
01/2024;valor_aprovado;"110005 CEREJEIRAS";21,60;-;-;11403,38;-;7671,41;-;-;-;-;-;-;154,50;-;-;191,00;40264,06;-;-;-;-;-;-;-;208,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17117,10;77031,37
01/2024;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;-;-;3072,12;4524,85;-;-;-;-;-;66,95;-;-;-;60929,89;1146,02;-;-;-;-;-;-;1101,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1984,95;72826,38
01/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;172,63;-;-;777,15;-;-;-;-;-;82,40;-;-;199,00;18267,12;-;-;-;-;-;-;-;314,76;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6538,95;26378,43
01/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;17774,30;-;-;-;-;-;-;-;-;-;-;-;46,00;12807,34;1018,06;104,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31750,22
01/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;18794,42;-;751,37;4027,65;-;-;-;-;-;164,80;-;-;-;81947,96;8621,92;-;-;-;-;-;-;4361,40;-;-;-;-;-;-;-;-;-;-;-;-;-;1625,71;-;-;-;-;-;-;-;-;-;51677,10;171972,33
01/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;6839,10;-;9214,00;7670,85;-;-;-;-;-;32,76;-;-;254,00;28719,47;1561,20;-;-;-;-;-;-;1618,92;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55915,93
01/2024;valor_aprovado;"110011 JARU";-;-;-;67750,03;-;17218,48;8158,15;-;-;-;-;-;587,10;-;-;26,00;276952,68;1056,16;161,48;-;-;20,87;-;-;300,34;-;148,99;-;-;-;41,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48188,25;420609,63
01/2024;valor_aprovado;"110012 JI-PARANA";148,50;-;-;240507,97;21219,78;30159,36;9076,65;97876,29;172268,75;-;6935,04;-;5304,72;-;-;715,00;680241,92;202,46;735120,20;-;491562,14;251,70;-;11,26;32444,72;-;368,04;-;-;-;-;-;-;-;-;-;-;59,72;6324,68;10434,29;-;-;-;-;-;-;11826,56;1398,18;27333,90;2581791,83
01/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";16,20;-;-;15783,28;-;7370,69;1648,35;-;-;-;-;-;684,95;-;-;2,00;159706,97;-;239,34;-;-;-;-;-;2269,60;-;-;-;6,19;-;147,44;22,62;-;-;54,97;-;-;-;133,62;-;-;-;-;-;-;-;-;-;34021,35;222107,57
01/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;14,10;1439,20;-;2089,74;4384,60;-;-;-;-;-;77,25;-;-;34,00;26063,19;2056,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36159,04
01/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;70399,08;-;4114,53;3370,40;-;-;-;-;-;1895,20;-;-;-;107378,33;-;49,50;-;-;32,36;-;-;4653,90;-;-;-;-;-;67,16;12,97;-;-;-;-;-;-;1135,77;-;-;-;-;-;-;-;-;-;-;193109,20
