periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";165;141;3486;3284;-;533;165;-;-;-;-;-;54;-;-;30;19585;599;147;-;-;-;-;-;-;-;421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8800;37410
11/2024;qtd_aprovada;"110002 ARIQUEMES";39295;48;47763;42452;-;2877;1186;1733;-;-;60;-;2020;152;9;6669;100326;361;21;-;2413;-;2823;-;-;-;374;-;5;225;-;-;-;1;-;-;-;-;243;1;1;11;-;-;-;-;-;-;74211;539;33;-;10766;336618
11/2024;qtd_aprovada;"110003 CABIXI";170;-;-;1409;-;128;-;-;-;-;-;-;1;-;3;60;2605;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1124;5524
11/2024;qtd_aprovada;"110004 CACOAL";932;536;75;41584;-;1391;705;1945;230;-;15;-;1088;-;-;352;44058;2625;332;980;1968;2;131;632;-;-;1340;-;12;1;2;3;151;4;1;-;5;2;28;-;177;10;-;-;-;-;-;-;76468;4;40;-;4417;182246
11/2024;qtd_aprovada;"110005 CEREJEIRAS";11583;-;134;3002;-;1317;62;67;-;-;-;-;46;-;-;807;18043;-;14;-;-;-;37;-;-;-;26;-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;3692;38838
11/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2165;-;-;1454;-;1399;202;-;-;-;-;-;25;-;-;64;12561;521;4;-;-;-;-;1;-;-;37;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;938;19374
11/2024;qtd_aprovada;"110007 CORUMBIARA";5812;122;7;2136;-;2;-;-;-;-;-;-;40;-;-;403;9549;-;-;-;-;-;272;-;-;-;31;-;1;-;-;-;-;-;-;-;-;-;50;-;1;-;-;-;-;-;-;-;-;-;-;-;1393;19819
11/2024;qtd_aprovada;"110008 COSTA MARQUES";944;98;-;5819;-;158;-;-;-;-;-;-;-;-;-;90;5718;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690;13519
11/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";795;36;-;10138;-;935;151;-;-;-;-;-;25;-;-;-;29028;209;2;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;1707;43167
11/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";495;130;15;5;-;-;371;-;-;-;-;-;55;-;-;471;9900;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11444
11/2024;qtd_aprovada;"110011 JARU";-;91;-;32446;-;3213;423;-;50;-;65;-;181;-;-;114;65898;156;18;-;-;7;-;-;-;-;173;-;7;-;-;2;1;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;10874;113792
11/2024;qtd_aprovada;"110012 JI-PARANA";1263;-;35;15468;664;-;10;642;202;-;-;-;53;-;-;204;6691;-;16;-;2031;-;-;3;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;136859;-;17;-;-;164173
11/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3336;68;2;5128;-;1532;238;-;-;-;-;-;217;-;48;2347;26132;-;30;-;3;-;-;-;-;-;38;-;3;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;1668;40802
11/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2031;37;125;137;-;268;119;-;-;-;-;-;8;-;3;218;9256;518;11;-;-;1;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1376;14186
11/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";84;1561;-;17720;-;1261;581;-;-;-;-;-;108;-;-;180;23572;-;2;-;-;-;-;-;-;-;36;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;45109
11/2024;qtd_aprovada;"110018 PIMENTA BUENO";445;53;-;13720;-;1301;203;-;-;-;-;-;635;-;-;347;36519;80;21;-;-;1;-;-;-;-;290;-;13;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;4615;58355
11/2024;qtd_aprovada;"110020 PORTO VELHO";11412;6777;16384;409333;8097;15270;4267;4576;722;146;367;-;16820;10390;2714;21219;475344;7481;648;2669;4845;5563;977;5823;-;-;5000;1;119;632;2;4;3;31;22;-;-;-;296;1;376;44;350;45;85;-;172;-;250417;5047;150;-;12782;1307423
11/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;156;-;626;-;562;-;-;-;-;-;-;49;-;-;-;654;735;1;-;-;-;-;-;-;-;89;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2873
11/2024;qtd_aprovada;"110026 RIO CRESPO";1;5;641;588;-;-;-;-;-;-;-;-;-;-;-;34;3206;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4478
11/2024;qtd_aprovada;"110028 ROLIM DE MOURA";6197;1507;551;21147;-;672;388;77;150;-;-;-;277;-;-;1263;55485;640;300;-;-;23;-;135;1;-;221;-;-;-;1;1;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;49374;3;-;-;8829;147269
11/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6955;129;28;3157;-;137;-;-;-;-;-;-;2;-;-;127;5768;286;21;-;-;-;371;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;1848;18901
11/2024;qtd_aprovada;"110030 VILHENA";2000;592;2289;71;-;3653;320;186;646;-;93;-;526;-;22;1008;54572;876;3;-;-;18;-;38;-;-;278;-;5;-;-;2;-;-;-;-;-;-;55;-;127;-;-;-;-;-;-;-;-;398;-;-;-;67778
11/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";11043;54;107;2179;-;418;84;-;-;-;-;-;23;-;1;470;13203;9;7;-;-;-;345;-;-;-;11;-;2;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;6351;34346
11/2024;qtd_aprovada;"110033 NOVA MAMORE";380;126;9;6201;-;579;69;-;-;-;-;-;52;-;4;362;10472;392;1;-;-;-;-;-;-;-;132;-;4;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;2784;21581
11/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";2;109;-;-;-;536;89;-;-;-;-;-;-;-;-;-;5946;108;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6812
11/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1327;28;2067;2497;-;-;-;-;-;-;-;-;4;-;-;1201;5326;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3486;15936
11/2024;qtd_aprovada;"110040 ALTO PARAISO";1651;2833;-;4430;-;527;113;-;-;-;-;-;35;-;-;241;12103;-;-;-;-;-;-;-;-;-;58;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;663;22655
11/2024;qtd_aprovada;"110045 BURITIS";15663;101;246;14170;-;765;182;-;-;-;-;-;258;-;2;2840;36098;770;9;-;-;6;1887;140;-;-;221;-;1;-;-;-;-;1;-;-;1;-;195;1;15;-;-;-;-;-;-;-;-;-;-;-;16174;89746
11/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;3037;-;347;133;-;-;-;-;-;482;-;10;-;9914;90;-;-;-;-;-;-;-;-;45;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3356;17428
11/2024;qtd_aprovada;"110060 CACAULANDIA";2250;12;1521;1623;-;-;41;-;-;-;-;-;3;-;11;150;4299;186;11;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10112
11/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4021;-;27;1620;-;-;-;-;-;-;-;-;-;-;-;386;5275;-;-;-;-;-;-;-;-;-;8;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114;11454
11/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";331;-;-;11561;-;687;-;-;-;-;-;-;6;-;-;91;6330;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19074
11/2024;qtd_aprovada;"110090 CASTANHEIRAS";1044;-;47;615;-;-;87;-;-;-;-;-;-;-;-;88;3118;-;-;-;-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;500;5668
11/2024;qtd_aprovada;"110092 CHUPINGUAIA";1;-;-;2260;-;-;88;-;-;-;-;-;-;-;-;92;4428;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;917;7786
11/2024;qtd_aprovada;"110094 CUJUBIM";3596;133;167;7351;-;1002;197;-;-;-;-;-;55;-;-;169;14541;-;-;-;-;-;-;-;-;-;23;-;1;1;-;41;-;-;-;-;-;-;66;-;4;-;-;-;-;-;-;-;-;-;-;-;1037;28384
11/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;46;-;2779;-;107;-;-;-;-;-;-;72;-;-;-;8141;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11200
11/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";752;6;-;-;-;-;-;-;-;-;-;-;-;-;-;161;3039;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3958
11/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;867;-;210;85;-;-;-;-;-;21;-;-;11;4537;91;68;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;5981
11/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;32;-;176;-;1239;84;-;-;-;-;-;-;-;-;-;8416;-;-;-;-;-;-;-;-;-;472;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10452
11/2024;qtd_aprovada;"110140 MONTE NEGRO";1421;81;-;4805;-;394;143;-;-;-;-;-;20;-;-;477;5171;275;-;-;-;-;-;-;-;-;30;-;11;-;-;-;-;-;-;-;-;-;-;3;21;-;-;-;-;-;-;-;-;20;-;-;3007;15879
11/2024;qtd_aprovada;"110143 NOVA UNIAO";-;175;-;1584;-;472;26;-;-;-;-;-;1420;-;-;-;5677;-;-;-;-;-;-;-;-;-;15;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9384
11/2024;qtd_aprovada;"110145 PARECIS";-;8;-;116;-;-;-;-;-;-;-;-;143;-;-;442;13632;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14341
11/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1189;-;1;338;-;-;-;-;-;-;-;-;2;-;-;100;1989;-;-;-;-;-;56;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;12;3713
11/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";836;10;-;496;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1345
11/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";882;10;449;998;-;-;72;-;-;-;-;-;-;-;-;21;4933;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1301;8666
11/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";6929;144;37;2384;-;262;104;-;-;-;-;-;62;-;-;534;13144;2076;3;-;-;3;349;-;-;-;30;-;3;-;-;-;2;-;-;-;-;-;59;-;2;-;-;-;-;-;-;-;-;-;-;-;7570;33697
11/2024;qtd_aprovada;"110150 SERINGUEIRAS";10071;35;30;2386;-;217;91;-;51;-;27;-;24;-;-;368;12183;114;1;-;-;-;237;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;1611;27491
11/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1567;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1593
11/2024;qtd_aprovada;"110160 THEOBROMA";394;6;-;4830;-;130;29;-;-;-;-;-;10;-;-;35;3070;-;-;-;-;-;54;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8559
11/2024;qtd_aprovada;"110170 URUPA";-;9;-;4157;-;-;91;11;-;-;-;-;10;-;-;52;4675;610;2;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9651
11/2024;qtd_aprovada;"110175 VALE DO ANARI";622;9;230;2424;-;-;49;-;-;-;-;-;1;-;-;46;3385;-;1;-;-;-;-;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5067;11847
11/2024;qtd_aprovada;"110180 VALE DO PARAISO";326;9;-;1007;-;-;-;-;-;-;-;-;1;-;-;-;2932;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4290
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"120001 ACRELANDIA";-;122;163;-;-;-;-;-;-;-;-;-;-;-;-;439;3494;-;-;-;-;-;-;-;-;-;106;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4325
11/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5456;-;301;-;-;-;-;-;-;91;-;1;144;5045;-;-;-;-;-;-;-;-;-;43;-;6;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11090
11/2024;qtd_aprovada;"120010 BRASILEIA";-;41;5;13762;-;-;77;187;-;-;-;-;59;184;-;244;9633;214;160;-;801;214;15;-;-;-;259;-;61;-;-;-;146;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;1;-;-;26121
11/2024;qtd_aprovada;"120013 BUJARI";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77
11/2024;qtd_aprovada;"120017 CAPIXABA";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132
11/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";18031;1076;409;79443;-;3048;1183;996;494;-;27;-;969;696;183;1006;51471;1667;185;-;825;505;1;44;46;-;288;-;3;-;-;-;-;-;-;39;-;-;-;-;20;26;-;-;-;-;-;-;26951;20;79;-;-;189731
11/2024;qtd_aprovada;"120025 EPITACIOLANDIA";5;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;251
11/2024;qtd_aprovada;"120030 FEIJO";-;-;-;11920;-;517;-;-;-;-;-;-;-;-;-;-;6640;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19138
11/2024;qtd_aprovada;"120032 JORDAO";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;17;512;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;534
11/2024;qtd_aprovada;"120033 MANCIO LIMA";-;2;649;5537;-;489;-;-;-;-;-;-;29;-;-;922;13627;-;-;-;-;-;-;-;-;-;233;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21511
11/2024;qtd_aprovada;"120034 MANOEL URBANO";-;21;83;4040;-;105;-;-;-;-;-;-;17;-;-;36;7365;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11710
11/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;9;1512;5045;-;171;-;-;-;-;-;-;-;-;-;624;12132;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19557
11/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";257;64;2143;4976;-;377;-;-;-;-;-;-;57;-;-;251;8319;-;-;-;-;-;2;-;-;-;219;-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16670
11/2024;qtd_aprovada;"120039 PORTO WALTER";424;11;3;-;-;38;-;-;-;-;-;-;45;-;-;140;3292;-;-;-;-;-;1;-;1;-;8;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3966
11/2024;qtd_aprovada;"120040 RIO BRANCO";49110;1134;7456;365482;4651;17215;5267;7372;2855;100;252;-;8510;2971;189;19088;416354;3222;231;944;4981;2324;12398;878;-;-;4322;-;150;350;-;67;-;38;-;-;1;-;1472;-;324;8;157;-;-;-;69;-;170236;1014;49;-;-;1111241
11/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;102;-;-;-;-;-;-;37;-;-;66;2518;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2803
11/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;79;-;108;-;26;-;-;-;-;-;-;10;-;-;1;734;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;965
11/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;22;-;21007;-;584;-;-;-;-;-;-;58;-;-;417;6421;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28580
11/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;46;19;15356;-;1936;-;-;-;-;-;-;76;-;32;60;13580;-;3;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31201
11/2024;qtd_aprovada;"120060 TARAUACA";-;6;-;9310;-;659;-;-;-;-;-;-;-;-;-;-;6108;-;-;-;-;-;-;-;-;-;114;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16220
11/2024;qtd_aprovada;"120070 XAPURI";-;33;-;6876;-;402;-;-;-;-;-;-;25;-;16;187;9090;-;-;-;-;-;-;-;-;-;252;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;16887
11/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;1314;-;56;214;-;-;-;-;-;26;-;-;-;1790;-;-;-;-;-;-;-;-;-;40;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3443
11/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1966;-;185;167;-;-;-;-;-;14;-;-;321;8506;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11265
11/2024;qtd_aprovada;"130008 ANAMA";-;-;-;1618;-;270;76;-;-;-;-;-;-;-;-;16;361;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2403
11/2024;qtd_aprovada;"130010 ANORI";-;192;-;2806;-;100;109;-;-;-;-;-;76;-;-;-;5918;-;-;-;-;-;-;-;-;-;185;-;33;-;78;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9505
11/2024;qtd_aprovada;"130014 APUI";-;13;1;7226;-;570;138;-;-;-;-;-;41;-;-;72;3078;173;10;-;-;20;-;-;-;-;126;-;3;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;11518
11/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;3738;-;382;271;-;-;-;-;-;46;-;51;187;3005;-;-;-;-;-;-;-;-;-;257;-;2;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;37;8010
11/2024;qtd_aprovada;"130030 AUTAZES";29;8;-;3745;-;616;302;-;-;-;-;-;56;-;-;183;19378;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24320
11/2024;qtd_aprovada;"130040 BARCELOS";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;732;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;737
11/2024;qtd_aprovada;"130050 BARREIRINHA";-;-;-;2153;-;391;4;-;-;-;5;-;36;-;-;265;4244;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7203
11/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;18482;-;508;433;-;-;-;-;-;104;-;2849;137;1565;142;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24226
11/2024;qtd_aprovada;"130063 BERURI";-;-;496;2098;-;203;7;-;-;-;-;-;39;-;-;73;5747;-;3;-;-;-;-;-;-;-;129;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8796
11/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;366;-;3022;-;260;190;-;-;-;-;-;23;-;3;-;4332;337;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;8659
11/2024;qtd_aprovada;"130070 BOCA DO ACRE";-;147;-;27621;-;4781;-;-;-;-;-;-;60;-;-;-;1982;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;34682
11/2024;qtd_aprovada;"130080 BORBA";82;-;28;39;-;278;125;-;-;-;-;-;35;-;-;992;5713;319;-;-;-;-;-;-;-;-;168;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7781
