periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
02/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
02/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";211;102;4256;3847;-;819;114;-;-;-;-;-;57;-;-;102;15826;612;124;-;-;-;-;-;-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7268;33593
02/2024;qtd_aprovada;"110002 ARIQUEMES";42016;259;2176;36671;-;1332;1356;1165;-;-;63;-;498;129;8;5327;96303;378;-;-;-;-;2997;-;-;-;337;-;5;-;-;1;1;2;-;-;-;-;275;-;-;-;-;-;-;-;-;121669;390;-;-;7620;320978
02/2024;qtd_aprovada;"110003 CABIXI";38;-;-;1051;-;103;-;-;-;-;-;-;4;-;73;45;4559;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;5934
02/2024;qtd_aprovada;"110004 CACOAL";358;191;1204;48412;1;1272;361;1843;202;-;5;-;1683;-;-;129;36307;1268;152;845;1850;11;48;-;104;-;1255;-;25;1;1;1;115;3;-;-;1;1;3;-;170;22;-;-;-;-;-;97938;-;66;-;2660;198508
02/2024;qtd_aprovada;"110005 CEREJEIRAS";10637;95;111;1843;-;1162;-;-;-;-;-;-;54;-;-;868;14917;-;1;-;-;-;125;-;-;-;16;-;1;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;5876;35722
02/2024;qtd_aprovada;"110006 COLORADO DO OESTE";1824;50;-;-;-;632;186;-;-;-;-;-;22;-;-;49;10177;357;-;-;-;-;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;14530
02/2024;qtd_aprovada;"110007 CORUMBIARA";6157;181;38;73;-;-;50;-;-;-;-;-;27;-;-;566;11061;-;-;-;-;-;435;-;-;-;38;-;1;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;2071;20718
02/2024;qtd_aprovada;"110008 COSTA MARQUES";133;164;-;4463;-;-;-;-;-;-;-;-;-;-;-;196;1442;206;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6604
02/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";613;81;1538;10762;-;56;157;-;-;-;-;-;19;-;-;-;24593;847;8;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;52;-;18;-;-;-;-;-;-;-;-;-;-;5052;43842
02/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";1388;59;53;2200;-;1088;377;-;-;-;-;-;25;-;-;523;7094;305;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;13132
02/2024;qtd_aprovada;"110011 JARU";-;123;-;25469;-;2201;422;-;-;-;-;-;138;-;-;123;65370;94;6;-;-;1;-;-;-;-;163;-;13;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11964;106089
02/2024;qtd_aprovada;"110012 JI-PARANA";5658;-;379;42912;241;5335;334;572;898;-;168;-;479;-;-;1561;113595;18;24043;-;1855;18;-;-;9;-;688;-;5;-;-;-;-;-;-;-;-;6;-;8;191;11;-;-;-;-;-;305996;785;10;-;5264;511039
02/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";7520;50;6;6740;-;1144;180;-;-;-;-;-;165;-;-;2415;43558;-;110;-;-;-;-;-;-;4;88;-;1;-;-;-;1;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;7425;69414
02/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2638;23;426;424;-;236;162;-;-;-;-;-;-;-;10;131;13289;323;-;-;-;-;-;-;-;-;95;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17761
02/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;2770;-;14304;-;543;408;-;-;-;-;-;318;-;-;144;24308;-;-;-;-;1;-;-;-;-;170;-;-;-;-;-;1;1;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;43006
02/2024;qtd_aprovada;"110018 PIMENTA BUENO";311;48;-;6780;-;1008;-;-;-;-;-;-;303;-;-;157;18884;58;26;-;-;-;-;-;-;-;362;-;2;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;3086;31099
02/2024;qtd_aprovada;"110020 PORTO VELHO";7007;5411;19753;186645;7241;13705;4060;4209;-;273;415;12;12435;9963;3242;18474;452128;3767;596;2378;4308;4502;1257;-;2431;-;5271;-;186;240;6;21;9;6;6;-;3;-;329;-;179;44;301;22;45;-;147;334629;4110;112;-;15731;1125609
02/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;130;-;864;-;-;-;-;-;-;-;-;53;-;-;9;437;139;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1742
02/2024;qtd_aprovada;"110026 RIO CRESPO";3;13;758;763;-;-;-;-;-;-;-;-;-;-;-;34;3622;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5194
02/2024;qtd_aprovada;"110028 ROLIM DE MOURA";3865;70;533;18505;-;852;382;51;67;-;-;-;172;-;-;755;41157;1054;471;-;-;13;-;-;211;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10246;78410
02/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5556;170;25;3135;-;142;4;-;-;-;-;-;11;-;-;132;6410;98;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;793;16494
02/2024;qtd_aprovada;"110030 VILHENA";4108;562;2365;30656;-;2965;801;800;938;-;99;1;951;-;-;1796;64397;384;60;-;-;-;4;-;41;4;604;-;42;-;-;1;-;-;-;-;-;2;79;-;229;-;-;-;-;-;-;-;449;-;-;-;112338
02/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";1715;16;-;2040;-;3;11;-;-;-;-;-;16;-;33;533;2918;-;2;-;2;-;-;-;-;-;-;-;1;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6765;14058
02/2024;qtd_aprovada;"110033 NOVA MAMORE";-;182;3;6093;-;637;63;-;-;-;-;-;65;-;-;407;12315;60;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;2;31;-;-;-;-;-;-;-;-;-;-;24;19986
