periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
02/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";2;-;-;3332;-;-;165;-;-;-;-;-;-;-;-;-;7120;-;-;-;-;-;-;-;-;-;22;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10644
02/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1287;73;1635;2113;-;-;99;-;-;-;-;-;120;-;-;925;5083;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4443;15786
02/2024;qtd_aprovada;"110040 ALTO PARAISO";3902;2389;-;5835;-;459;-;-;-;-;-;-;70;-;-;315;10996;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1062;25049
02/2024;qtd_aprovada;"110045 BURITIS";9534;66;159;9438;-;713;82;-;-;-;-;-;373;-;-;1867;24995;450;2;-;-;1;890;-;20;-;128;-;2;-;3;-;5;-;1;-;-;-;178;1;1;-;-;-;-;-;-;-;-;-;-;12163;61072
02/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;50;-;2907;-;-;90;-;-;-;-;-;164;-;28;-;7893;340;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;661;12210
02/2024;qtd_aprovada;"110060 CACAULANDIA";2193;17;1743;1596;-;-;47;-;-;-;-;-;2;-;18;91;4418;84;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10213
02/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5539;119;17;1358;-;-;-;-;-;-;-;-;2;-;-;491;5670;-;-;-;-;-;-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;496;13702
02/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";-;10;-;8960;-;-;118;-;-;-;-;-;-;-;-;105;3693;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13001
02/2024;qtd_aprovada;"110090 CASTANHEIRAS";667;-;1;908;-;-;84;-;-;-;-;-;-;-;-;98;2832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4590
02/2024;qtd_aprovada;"110092 CHUPINGUAIA";-;18;-;2040;-;-;-;-;-;-;-;-;26;-;-;132;4833;12;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1020;8084
02/2024;qtd_aprovada;"110094 CUJUBIM";4283;-;307;9682;-;740;142;-;-;-;-;-;34;-;20;153;16333;-;1;-;-;-;-;-;-;-;52;-;-;-;-;12;1;-;-;-;-;-;31;-;5;-;-;-;-;-;-;-;-;-;-;1070;32866
02/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;51;-;1478;-;126;12;-;-;-;-;-;50;-;-;-;2833;122;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4695
02/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";960;9;-;2821;-;125;-;-;-;-;-;-;-;-;-;117;7012;1368;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;12502
02/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;14;-;939;-;108;-;-;-;-;-;-;16;-;7;37;7684;150;41;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;9047
02/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;22;-;1115;-;754;-;-;-;-;-;-;-;-;-;-;7275;-;-;-;-;-;-;-;-;-;106;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9284
02/2024;qtd_aprovada;"110140 MONTE NEGRO";1347;95;-;6425;-;396;165;-;-;-;-;-;83;-;-;706;5721;255;-;-;-;-;-;-;-;-;45;-;9;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;3937;19214
02/2024;qtd_aprovada;"110143 NOVA UNIAO";-;139;-;1368;-;554;-;-;-;-;-;-;1402;-;-;-;5495;-;-;-;-;-;-;-;-;-;17;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8991
02/2024;qtd_aprovada;"110145 PARECIS";-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;703
02/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";542;49;-;247;-;-;-;-;-;-;-;-;11;-;-;90;1778;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2719
02/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";668;-;-;17;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;693
02/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";1164;117;680;1365;-;-;-;-;-;-;-;-;-;-;-;92;6557;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;683;10662
02/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";9923;271;969;10210;-;298;28;-;-;-;-;-;45;-;-;773;14077;1886;2;-;-;-;384;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;9350;48338
02/2024;qtd_aprovada;"110150 SERINGUEIRAS";8619;-;34;2729;-;176;255;-;-;-;-;-;29;-;-;430;11518;137;-;-;-;-;186;-;-;-;29;-;1;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;1703;25910
02/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;2051;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2073
02/2024;qtd_aprovada;"110160 THEOBROMA";647;14;-;3691;-;71;-;-;-;-;-;-;32;-;-;46;2906;-;-;-;-;-;60;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7468
02/2024;qtd_aprovada;"110170 URUPA";-;146;2;4755;-;225;82;15;-;-;-;-;8;-;-;61;4884;448;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10677
02/2024;qtd_aprovada;"110175 VALE DO ANARI";-;13;215;12158;-;-;-;-;-;-;-;-;-;-;-;155;3773;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16335
02/2024;qtd_aprovada;"110180 VALE DO PARAISO";267;-;-;425;-;-;-;-;-;-;-;-;2;-;-;22;3168;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3897
02/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
02/2024;qtd_aprovada;"120001 ACRELANDIA";-;93;161;-;-;-;-;-;-;-;-;-;-;-;-;335;2440;-;-;-;-;-;-;-;-;-;147;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3178
02/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5220;-;247;-;-;-;-;-;-;77;-;-;209;4121;-;-;-;-;-;-;-;-;-;47;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9929
02/2024;qtd_aprovada;"120010 BRASILEIA";2;42;6;12082;-;8770;15;173;-;-;-;-;189;68;-;109;4559;150;97;-;647;78;5;-;-;-;181;-;6;-;-;-;5;1;-;-;-;-;33;-;-;3;-;-;-;-;-;-;-;-;-;-;27221
02/2024;qtd_aprovada;"120013 BUJARI";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
02/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;281;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;308
02/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";21070;1944;468;62462;-;2294;1221;814;-;-;23;-;947;693;345;593;48992;1896;189;-;873;501;-;-;5;-;240;-;3;-;-;-;-;-;-;-;-;-;1;-;12;32;30;-;-;-;-;19753;21;79;-;-;165501
02/2024;qtd_aprovada;"120025 EPITACIOLANDIA";7;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258
02/2024;qtd_aprovada;"120030 FEIJO";-;-;-;10223;-;439;-;-;-;-;-;-;-;-;-;-;4820;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15520
02/2024;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;14;766;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;784
02/2024;qtd_aprovada;"120033 MANCIO LIMA";37;323;869;5511;-;701;-;-;-;-;-;-;95;-;-;948;17273;240;-;-;-;-;-;-;-;-;197;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;26321
02/2024;qtd_aprovada;"120034 MANOEL URBANO";-;39;17;2470;-;97;-;-;-;-;-;-;10;-;-;65;5503;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8260
02/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;13;540;4024;-;69;-;-;-;-;-;-;-;-;-;459;5567;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10703
02/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";7;112;1836;4226;-;476;-;-;-;-;-;-;63;-;-;122;7692;80;-;-;-;-;11;-;-;-;131;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;14760
02/2024;qtd_aprovada;"120039 PORTO WALTER";155;15;-;-;-;43;-;-;-;-;-;-;38;-;-;99;2323;-;-;-;-;-;2;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2688
02/2024;qtd_aprovada;"120040 RIO BRANCO";28218;1303;10311;266450;3468;16531;2714;7366;1980;95;146;52;5576;5589;769;14347;382830;2678;195;696;4289;4193;10948;-;516;-;3648;-;108;328;-;47;2;31;-;-;1;-;1556;2;230;5;258;-;-;-;111;124306;1838;57;-;7861;911649
02/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
02/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;41;-;216;-;42;-;-;-;-;-;-;13;-;-;1;459;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;775
02/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;5;-;27288;-;406;-;-;-;-;-;-;33;-;-;190;5206;-;-;-;-;-;120;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;33350
02/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;41;144;15386;-;1711;83;-;-;-;-;-;61;-;-;126;12332;-;5;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29926
02/2024;qtd_aprovada;"120060 TARAUACA";-;19;-;5374;-;308;-;-;-;-;-;-;-;-;-;-;5468;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;11328
02/2024;qtd_aprovada;"120070 XAPURI";-;13;-;5322;-;299;-;-;-;-;-;-;11;-;-;192;6835;-;-;-;-;-;-;-;-;-;194;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;12875
02/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39
02/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
02/2024;qtd_aprovada;"130002 ALVARAES";-;-;1;1021;-;93;208;-;-;-;9;-;48;-;-;-;2031;-;-;-;-;-;-;-;-;-;76;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3494
02/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1956;-;200;1;-;-;-;-;-;40;-;-;223;9785;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12240
02/2024;qtd_aprovada;"130008 ANAMA";-;-;-;2207;-;249;240;-;-;-;-;-;2;-;-;9;497;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3242
02/2024;qtd_aprovada;"130010 ANORI";-;222;-;6124;-;235;45;-;-;-;-;-;70;-;-;30;2531;-;-;-;-;-;-;-;-;-;144;-;20;-;50;-;-;20;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9511
02/2024;qtd_aprovada;"130014 APUI";-;58;1;704;-;423;51;-;-;-;-;-;58;-;-;172;3590;296;12;-;-;8;-;-;-;-;104;-;8;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;5499
02/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;5691;-;-;214;-;-;-;-;-;74;-;3;153;8317;-;-;-;-;-;-;-;-;-;258;-;1;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;75;14832
02/2024;qtd_aprovada;"130030 AUTAZES";111;19;-;5237;-;1398;438;-;-;-;-;-;745;-;-;214;42824;6;26;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;500;51535
