periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
12/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;6529,30;-;11224,49;12905,75;-;-;-;-;-;103,00;-;-;-;6601,12;2235,27;1,48;-;-;-;-;-;92,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39693,05
12/2024;valor_aprovado;"110011 JARU";-;-;-;111793,05;-;24587,01;12562,00;-;16393,75;-;3565,56;-;751,66;-;-;56,00;249833,11;870,47;453,79;-;-;24,27;-;-;343,96;-;158,52;-;-;12,27;123,30;-;-;-;-;-;-;-;1781,60;-;-;-;-;-;-;-;-;-;-;56974,50;480284,82
12/2024;valor_aprovado;"110012 JI-PARANA";13,50;-;-;7923,53;-;-;6612,65;101136,99;67993,75;-;1653,78;-;1947,41;-;-;-;127402,89;-;23579,61;-;522263,10;50,34;-;-;6099,44;-;26,42;-;-;-;-;-;-;-;-;-;-;-;1291,66;3872,46;-;-;-;-;-;-;128611,10;1506,20;1092,90;5385,60;1008463,33
12/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";2,70;-;-;14862,43;-;11010,69;10243,75;-;-;-;-;-;813,70;-;-;-;132113,70;-;180,16;-;-;8,09;-;-;2816,84;-;64,10;-;-;-;-;-;-;-;54,97;-;-;-;66,81;-;-;-;-;-;-;-;-;-;-;5509,35;177747,29
12/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;613,88;-;1648,86;3788,95;-;-;-;-;-;41,20;-;-;21,00;27627,52;2039,02;18,72;-;-;-;-;-;69,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10385,10;46253,73
12/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;86944,73;-;7839,58;19599,80;-;-;-;-;-;968,20;-;-;-;106362,47;-;-;-;-;-;-;1,52;1847,04;-;5,63;-;-;-;-;-;-;-;-;-;-;-;155,89;-;-;-;-;-;-;-;-;-;-;-;223724,86
12/2024;valor_aprovado;"110018 PIMENTA BUENO";1131,30;-;-;43380,41;-;9431,55;4085,95;-;-;-;-;-;11192,15;-;-;112,00;120561,66;231,22;1323,12;-;-;8,09;-;-;15375,36;-;79,15;-;-;-;-;-;-;-;54,97;-;-;-;2471,97;-;-;-;-;-;-;-;-;-;-;15156,90;224595,80
12/2024;valor_aprovado;"110020 PORTO VELHO";492,08;-;22706,25;1263399,76;461409,99;186422,09;100505,24;415438,08;189737,50;44472,03;24928,34;-;164948,84;388004,41;-;2642,00;2291673,11;24336,78;5429,47;2171481,21;1270968,24;134154,72;40,12;50,05;111025,73;37,70;2087,11;209976,30;-;271,17;85,26;361,64;373,32;-;164,91;30,72;2373,94;-;5084,03;16149,04;17404,93;-;-;-;7280,00;-;317585,98;1290552,14;153890,23;1403596,90;12701571,36
12/2024;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;5487,78;-;5142,41;-;-;-;-;-;-;195,70;-;-;-;2838,78;4023,31;2,88;-;-;-;-;-;3858,78;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21555,27
12/2024;valor_aprovado;"110026 RIO CRESPO";-;-;-;6,94;-;-;-;-;-;-;-;-;-;-;-;-;5537,00;-;-;-;-;-;-;-;97,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5641,14
12/2024;valor_aprovado;"110028 ROLIM DE MOURA";16,20;-;-;80499,08;-;1429,55;5129,85;11443,11;45872,50;-;-;-;963,14;-;-;239,00;193386,90;2283,99;736,02;-;-;135,26;-;70,84;4826,26;-;26,42;-;-;-;-;-;-;-;88,94;-;-;-;485,55;-;-;-;-;-;-;-;75758,08;3510,00;-;39296,25;466196,94
12/2024;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;8995,14;-;695,53;-;-;-;-;-;-;-;-;-;37,00;4764,03;571,93;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5900,40;20996,43
12/2024;valor_aprovado;"110030 VILHENA";159,30;-;-;213183,53;-;34868,46;8862,70;6586,72;201293,75;-;-;-;4423,64;-;-;252,00;193158,04;5644,93;293,51;-;177081,58;210,34;-;10,78;5020,44;-;76,96;-;-;12,27;-;-;-;-;-;-;-;73,15;2115,65;3579,44;-;-;-;-;-;-;-;6727,00;9195,00;-;872829,19
12/2024;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;5941,67;-;5062,79;2138,40;-;-;-;-;-;113,30;-;-;188,00;45918,58;18,68;133,57;-;-;-;-;-;324,00;-;-;-;-;-;-;-;-;19,79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12147,30;72006,08
12/2024;valor_aprovado;"110033 NOVA MAMORE";-;-;-;13870,00;-;3922,84;2582,80;-;-;-;-;-;108,15;-;-;63,00;39997,92;1017,09;67,35;-;-;-;-;-;1796,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13077,90;76503,13
12/2024;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;13663,76;-;-;1364,55;-;-;-;-;-;-;-;-;-;27646,99;701,98;-;-;-;-;-;-;594,54;-;79,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44051,08
12/2024;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";-;-;-;4113,45;-;-;24,20;-;-;-;-;-;-;-;-;4,00;22093,70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14325,30;40560,65
12/2024;valor_aprovado;"110040 ALTO PARAISO";-;-;-;12152,27;-;3695,60;1570,80;-;-;-;-;-;159,65;-;-;38,00;51848,98;-;-;-;-;-;-;-;551,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9984,15;80000,61
12/2024;valor_aprovado;"110045 BURITIS";27,00;-;14,10;45676,48;-;5636,82;4412,10;-;-;-;-;-;914,35;-;-;270,00;78493,27;9211,71;431,80;-;-;32,36;-;276,43;4705,46;-;131,50;-;29,86;22,72;185,38;45,65;-;-;86,55;-;465,80;-;188,92;-;-;-;-;-;-;-;-;-;-;63265,95;214524,21
12/2024;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;2927,41;3575,55;-;-;-;-;-;164,80;-;-;-;12580,00;988,70;-;-;-;-;-;-;1018,56;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17534,70;38800,98
12/2024;valor_aprovado;"110060 CACAULANDIA";-;-;-;3875,60;-;-;902,00;-;-;-;-;-;51,50;-;-;28,00;15645,17;607,47;15,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21125,58
12/2024;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;3615,72;-;50,75;-;-;-;-;-;-;-;-;-;34,00;12952,60;-;-;-;-;-;-;-;-;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;589,05;17247,75
12/2024;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;41145,87;-;1617,83;3094,30;-;-;-;-;-;36,05;-;-;2,00;18752,44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64648,49
12/2024;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;912,38;-;-;1382,15;-;-;-;-;-;-;-;-;32,00;6139,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1584,00;10050,51
12/2024;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;9051,24;-;-;-;-;-;-;-;-;-;-;-;-;14339,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3306,60;26697,05
12/2024;valor_aprovado;"110094 CUJUBIM";-;-;-;22619,43;-;6027,78;24,20;-;-;-;-;-;386,25;-;-;2,00;32163,56;-;-;-;-;-;-;-;225,36;-;-;-;-;477,44;-;-;-;-;-;-;-;-;66,81;-;-;-;-;-;-;-;-;-;-;2301,15;64293,98
12/2024;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;6102,05;-;894,84;-;-;-;-;-;-;370,80;-;-;-;9709,14;-;-;-;-;-;-;-;201,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17278,11
12/2024;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;17185,94;-;1254,50;169,40;-;-;-;-;-;5,15;-;-;2,00;20850,69;6461,66;30,69;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32850,00;-;2047,35;80922,18
12/2024;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;5185,55;-;1754,88;1640,65;-;-;-;-;-;61,80;-;-;-;17902,05;444,50;106,56;-;-;-;-;-;1322,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;232,65;28650,86
12/2024;valor_aprovado;"110130 MIRANTE DA SERRA";-;-;-;362,08;-;2912,46;2774,75;-;-;-;-;-;-;-;-;-;7656,24;-;-;-;-;-;-;-;1248,54;-;33,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14987,85
12/2024;valor_aprovado;"110140 MONTE NEGRO";10,80;-;-;11013,80;-;2952,01;3700,40;-;-;-;-;-;173,62;-;-;188,00;27220,43;1038,93;1,44;-;-;-;-;-;763,24;-;37,68;-;-;-;-;-;-;-;-;-;-;29,86;601,29;-;-;-;-;-;-;-;-;4500,00;-;12780,90;65012,40
12/2024;valor_aprovado;"110143 NOVA UNIAO";-;-;-;7941,50;-;4477,05;-;-;-;-;-;-;15056,40;-;-;-;15978,76;-;-;-;-;-;-;-;189,44;-;95,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43738,86
12/2024;valor_aprovado;"110145 PARECIS";-;-;-;697,16;-;-;-;-;-;-;-;-;1154,65;-;-;-;24798,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26650,77
12/2024;valor_aprovado;"110146 PIMENTEIRAS DO OESTE";-;-;-;1112,69;-;-;-;-;-;-;-;-;20,60;-;-;13,00;5881,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;445,50;7473,72
12/2024;valor_aprovado;"110147 PRIMAVERA DE RONDONIA";-;-;-;858,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;858,78
12/2024;valor_aprovado;"110148 SAO FELIPE D'OESTE";-;-;-;768,81;-;-;-;-;-;-;-;-;-;-;-;-;22793,99;-;-;-;-;-;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9103,05;32712,17
12/2024;valor_aprovado;"110149 SAO FRANCISCO DO GUAPORE";-;-;-;18804,13;-;261,07;850,30;-;-;-;-;-;87,55;-;-;342,00;14022,53;6125,61;-;-;-;-;-;-;708,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30388,05;71589,48
12/2024;valor_aprovado;"110150 SERINGUEIRAS";-;-;-;5831,57;-;1774,28;3191,10;-;3225,00;-;-;-;83,71;-;-;52,00;37556,31;366,31;1,48;-;-;-;-;-;486,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7974,45;60542,57
12/2024;valor_aprovado;"110155 TEIXEIROPOLIS";-;-;-;7327,09;-;-;-;-;-;-;-;-;-;-;-;-;6116,25;-;-;-;-;-;-;-;748,32;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14202,92
12/2024;valor_aprovado;"110160 THEOBROMA";-;-;-;11290,42;-;771,43;1355,20;-;-;-;-;-;10,30;-;-;-;11306,61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24733,96
12/2024;valor_aprovado;"110170 URUPA";-;-;14,10;12648,23;-;-;1926,65;467,70;-;-;-;-;30,35;-;-;-;25495,33;3048,00;1,48;-;-;16,18;-;-;1489,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45137,48
12/2024;valor_aprovado;"110175 VALE DO ANARI";-;-;-;7170,40;-;-;2103,20;-;-;-;-;-;-;-;-;-;8626,65;-;-;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13365,00;31277,09
12/2024;valor_aprovado;"110180 VALE DO PARAISO";-;-;-;2671,12;-;-;-;-;-;-;-;-;-;-;-;-;16549,49;-;-;-;-;-;-;-;537,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19757,73
12/2024;valor_aprovado;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;valor_aprovado;"120001 ACRELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12904,30;-;-;-;-;-;-;-;2009,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14913,98
12/2024;valor_aprovado;"120005 ASSIS BRASIL";-;-;-;12933,05;-;1984,08;-;-;-;-;-;-;491,26;-;-;17,00;22414,29;-;-;-;-;-;-;-;713,28;-;28,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38581,11
12/2024;valor_aprovado;"120010 BRASILEIA";-;-;-;46071,90;-;178930,14;2379,30;44399,21;-;-;-;-;170,66;-;-;100,00;71876,59;814,94;3648,90;-;194806,14;16,18;-;-;6791,14;-;463,84;-;-;-;3073,01;-;-;-;-;-;22,72;-;-;2518,40;-;-;-;-;-;-;-;-;2354,17;-;558437,24
12/2024;valor_aprovado;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;valor_aprovado;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;282,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5625,00;-;-;5907,69
12/2024;valor_aprovado;"120020 CRUZEIRO DO SUL";376,08;-;-;279378,26;-;24826,04;36251,59;106307,39;149248,75;-;995,88;-;5306,80;4113,04;-;739,00;203458,92;7257,60;7061,11;-;209079,61;2776,00;-;13,68;3391,88;-;52,84;-;-;-;-;-;-;178,11;-;-;-;-;272,70;7239,78;-;-;-;-;-;-;9768,13;15128,03;4816,24;-;1078037,46
12/2024;valor_aprovado;"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99,66
12/2024;valor_aprovado;"120030 FEIJO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;valor_aprovado;"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2407,21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2407,21
12/2024;valor_aprovado;"120033 MANCIO LIMA";-;-;-;19720,63;-;4964,29;-;-;-;-;-;-;854,90;-;-;-;51492,08;358,82;-;-;-;-;-;-;8377,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85768,08
12/2024;valor_aprovado;"120034 MANOEL URBANO";-;-;-;9700,01;-;832,42;-;-;-;-;-;-;92,70;-;-;8,00;23393,79;-;-;-;-;-;-;-;1451,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35478,28
12/2024;valor_aprovado;"120035 MARECHAL THAUMATURGO";-;-;-;14032,78;-;1420,27;-;-;-;-;-;-;-;-;-;91,00;10120,57;-;-;-;-;-;-;-;71,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25735,66
12/2024;valor_aprovado;"120038 PLACIDO DE CASTRO";-;-;-;14183,27;-;3152,34;-;-;-;-;-;-;252,35;-;-;-;25430,40;-;-;-;-;-;-;-;2659,48;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45730,68
12/2024;valor_aprovado;"120039 PORTO WALTER";-;-;-;-;-;244,28;-;-;-;-;-;-;389,19;-;-;16,00;8065,71;-;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;238,88;-;-;-;-;-;-;-;-;-;-;-;-;8986,46
12/2024;valor_aprovado;"120040 RIO BRANCO";1963,66;-;17851,81;1348675,86;98444,23;191362,32;147465,89;840690,42;700917,50;6508,13;13426,84;9430,50;121295,36;-;-;5346,00;986191,70;15393,97;2055,99;978631,85;1285334,27;292,52;5245,91;112,39;115896,48;-;2787,07;215163,82;-;1002,98;-;14251,86;-;-;-;-;3153,22;1194,40;6681,00;1273,91;86225,21;-;-;-;20871,00;-;215918,79;73059,37;93664,26;723465,60;8351246,09
12/2024;valor_aprovado;"120042 RODRIGUES ALVES";-;-;-;-;-;918,49;-;-;-;-;-;-;103,00;-;-;-;17041,00;-;-;-;-;-;-;-;1452,64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19515,13
12/2024;valor_aprovado;"120043 SANTA ROSA DO PURUS";-;-;-;3112,27;-;787,68;-;-;-;-;-;-;61,80;-;-;-;3645,39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7607,14
12/2024;valor_aprovado;"120045 SENADOR GUIOMARD";-;-;-;56578,66;-;4168,08;-;-;-;-;-;-;206,00;-;-;10,00;26801,08;-;-;-;-;-;-;-;784,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88548,30
12/2024;valor_aprovado;"120050 SENA MADUREIRA";-;-;-;39270,30;-;15898,96;-;-;-;-;-;-;-;-;-;48,00;55439,15;-;376,17;-;-;-;-;-;1571,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112603,84
12/2024;valor_aprovado;"120060 TARAUACA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;valor_aprovado;"120070 XAPURI";-;-;-;25046,87;-;3389,01;310,75;-;-;-;-;-;108,15;-;-;-;32842,60;-;-;-;-;-;-;-;7272,48;-;-;-;-;-;-;-;-;-;-;-;-;388,18;-;-;-;-;-;-;-;-;-;-;-;-;69358,04
