periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
08/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";6584;87;-;1264;-;846;236;-;-;-;-;-;370;-;64;6550;17642;-;63;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11662;-;-;-;-;-;45369
08/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2295;36;682;2095;-;984;181;-;-;-;-;-;18;-;5;204;13781;464;9;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;1;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;2280;-;-;-;-;-;23069
08/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";66;2823;-;21308;-;1794;409;-;-;-;-;-;107;-;-;277;22996;-;1;-;-;3;-;-;-;-;124;-;1;-;-;-;1;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;8704;-;-;-;-;-;58655
08/2025;qtd_aprovada;"110018 PIMENTA BUENO";379;567;-;14776;-;1227;242;-;-;-;-;-;350;-;-;514;27459;44;25;-;-;2;-;-;-;-;245;-;9;-;-;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;4637;-;-;-;-;-;50577
08/2025;qtd_aprovada;"110020 PORTO VELHO";12771;8077;20615;584390;9682;17278;4111;5812;2775;372;316;-;22907;11287;3407;22002;490210;4318;541;2954;4698;6121;1659;498;-;-;5570;1;112;1159;5;4;7;12;-;-;-;-;550;-;763;32;836;-;-;-;56;-;165516;5199;118;-;18637;-;-;-;-;-;1435378
08/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;48;-;173;-;-;-;-;-;-;-;-;-;-;-;-;805;1075;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2101
08/2025;qtd_aprovada;"110026 RIO CRESPO";-;7;480;485;-;-;-;-;-;-;-;-;5;-;-;120;3828;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2776;-;-;-;-;-;7703
08/2025;qtd_aprovada;"110028 ROLIM DE MOURA";6922;115;727;24246;-;1674;569;131;95;-;-;-;231;-;-;1343;96414;165;166;-;-;19;-;35;3;-;224;-;-;-;-;-;-;-;-;-;-;-;-;1;42;-;-;-;-;-;-;-;26740;37;-;-;11662;-;-;-;-;-;171561
08/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5568;93;18;301;-;334;-;-;-;-;-;-;6;-;-;119;7061;411;15;-;-;-;346;3;-;-;19;-;-;-;-;-;-;-;-;-;-;-;119;12;-;-;-;-;-;-;-;-;-;-;-;-;1786;-;-;-;-;-;16211
08/2025;qtd_aprovada;"110030 VILHENA";-;-;-;-;-;-;-;25;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
08/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";9879;48;86;2385;-;784;195;-;-;-;-;-;33;-;7;334;12972;94;20;-;-;-;360;-;-;-;29;-;2;-;-;-;3;-;-;-;-;-;27;1;-;-;-;-;-;-;-;-;-;-;-;-;6368;-;-;-;-;-;33627
08/2025;qtd_aprovada;"110033 NOVA MAMORE";924;155;16;5220;-;79;67;-;-;-;-;-;42;-;1;409;10184;156;-;-;-;-;-;-;-;-;127;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5132;-;-;-;-;-;22514
08/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";6940;151;30;6922;-;805;119;-;-;-;-;-;-;-;-;439;9478;547;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3172;-;-;-;-;-;28607
08/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1206;157;1599;1916;-;-;49;-;-;-;-;-;5;-;-;1162;5172;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5783;-;-;-;-;-;17100
08/2025;qtd_aprovada;"110040 ALTO PARAISO";1442;2422;-;5026;-;603;80;-;-;-;-;-;20;-;-;281;10995;-;-;-;-;-;-;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;2340;-;-;-;-;-;23337
08/2025;qtd_aprovada;"110045 BURITIS";17690;78;164;14775;-;914;93;-;-;-;-;-;218;-;4;1496;30878;531;11;-;-;11;723;36;-;-;81;-;2;-;-;-;3;-;-;-;-;-;114;-;4;-;-;-;-;-;-;-;-;-;-;-;12090;-;-;-;-;-;79916
08/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;84;-;2503;-;542;49;-;-;-;-;-;16;-;50;665;5647;144;-;-;-;-;-;-;-;-;68;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2571;-;-;-;-;-;12347
08/2025;qtd_aprovada;"110060 CACAULANDIA";1574;8;1418;1496;-;-;30;-;-;-;-;-;7;-;-;92;2760;180;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;454;-;-;-;-;-;8025
08/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5302;24;25;2361;-;34;-;-;-;-;-;-;-;-;-;512;7323;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;15638
08/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";115;15;60;-;-;-;164;-;-;-;-;-;18;-;-;120;3068;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3564
08/2025;qtd_aprovada;"110090 CASTANHEIRAS";1789;-;31;41;-;-;73;-;-;-;-;-;-;-;-;110;3650;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;332;-;-;-;-;-;6039
08/2025;qtd_aprovada;"110092 CHUPINGUAIA";1328;41;24;-;-;188;66;-;-;-;-;-;97;-;-;54;5352;5;-;-;-;-;155;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;826;-;-;-;-;-;8188
08/2025;qtd_aprovada;"110094 CUJUBIM";44;108;88;3477;-;1081;120;-;-;-;-;-;167;-;2;270;16415;-;-;-;-;-;-;-;2;-;56;-;1;-;-;-;1;-;-;2;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;3083;-;-;-;-;-;24929
08/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";2696;-;16;-;-;101;-;-;-;-;-;-;-;-;-;48;3405;75;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6347
08/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";903;-;5;2717;-;218;-;-;-;-;-;-;2;-;-;187;8867;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;28;-;-;130;-;-;-;-;-;13066
08/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;437;-;215;66;-;-;-;-;-;18;-;-;47;6176;91;60;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;7251
08/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;7;113;1464;-;736;120;-;-;-;-;-;-;-;-;41;6155;75;-;-;-;-;-;-;-;-;27;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8740
08/2025;qtd_aprovada;"110140 MONTE NEGRO";11353;54;59;5784;-;443;135;-;-;-;-;-;22;-;-;1097;11510;159;-;-;-;-;342;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;22;-;-;4304;-;-;-;-;-;35353
08/2025;qtd_aprovada;"110143 NOVA UNIAO";-;177;-;3110;-;1200;49;-;-;-;-;-;1820;-;-;49;6688;-;-;-;-;-;-;-;-;-;16;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13122
08/2025;qtd_aprovada;"110145 PARECIS";-;8;-;6920;-;-;-;-;-;-;-;-;280;-;-;-;10832;-;230;-;-;-;-;116;-;-;241;-;122;-;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18872
08/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1730;2;-;1000;-;-;-;-;-;-;-;-;5;-;-;146;2702;-;-;-;-;-;55;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;784;-;-;-;-;-;6453
08/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";970;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;1055
08/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";767;-;686;726;-;-;43;-;-;-;-;-;-;-;-;44;5278;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;9553
08/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";9297;39;1009;8907;-;128;156;-;-;-;-;-;15;-;6;725;12590;2246;-;-;-;3;375;12;-;-;25;-;-;-;-;-;-;-;-;-;-;-;84;-;7;-;-;-;-;-;-;-;-;-;-;-;11802;-;-;-;-;-;47426
08/2025;qtd_aprovada;"110150 SERINGUEIRAS";8397;38;37;4260;-;269;234;-;8;-;38;-;192;-;-;236;11929;112;2;-;-;-;131;-;-;-;33;-;-;1;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;25949
08/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;20;-;1084;-;-;-;-;-;-;-;-;687;-;-;78;15368;-;-;-;-;-;-;-;-;-;21;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17264
08/2025;qtd_aprovada;"110160 THEOBROMA";436;32;-;3439;-;141;86;-;-;-;-;-;25;-;-;24;3057;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7321
08/2025;qtd_aprovada;"110170 URUPA";529;19;7;4618;-;397;-;-;-;-;-;-;173;-;-;199;7658;-;-;-;-;-;-;-;-;-;92;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3516;-;-;-;-;-;17230
08/2025;qtd_aprovada;"110175 VALE DO ANARI";696;-;145;2821;-;-;68;-;-;-;-;-;-;-;17;101;3655;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7598;-;-;-;-;-;15107
08/2025;qtd_aprovada;"110180 VALE DO PARAISO";272;14;-;1223;-;-;45;-;-;-;-;-;7;-;-;-;1417;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2989
08/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2025;qtd_aprovada;"120001 ACRELANDIA";-;38;206;-;-;261;-;-;-;-;-;-;-;-;-;460;3598;-;-;-;-;-;-;-;-;-;130;-;3;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;4699
08/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;14;-;8377;-;422;-;-;-;-;-;-;64;-;-;275;5949;-;-;-;-;-;-;-;-;-;52;-;6;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15162
08/2025;qtd_aprovada;"120010 BRASILEIA";3;19;3;25678;-;12015;117;-;-;-;-;-;47;112;9;287;18346;289;106;-;920;145;8;-;-;-;260;-;17;-;-;-;89;-;-;-;-;-;34;-;31;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;58538
08/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53
08/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;207
08/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";23972;1397;492;63433;-;3328;1424;1056;504;-;41;-;879;1032;198;807;55084;1664;236;-;874;749;1;21;9;-;205;-;17;-;-;-;-;-;-;-;-;-;4;-;14;36;-;-;-;-;-;-;26446;18;109;-;-;-;-;-;-;-;184050
08/2025;qtd_aprovada;"120025 EPITACIOLANDIA";20;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;365;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;409
08/2025;qtd_aprovada;"120030 FEIJO";-;124;-;11730;-;1110;-;-;-;-;-;-;-;-;-;-;6840;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19867
08/2025;qtd_aprovada;"120032 JORDAO";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;44;1148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1198
08/2025;qtd_aprovada;"120033 MANCIO LIMA";37;37;79;6705;-;821;23;-;-;-;-;-;195;-;-;859;16577;-;-;-;-;-;-;-;-;-;238;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25619
08/2025;qtd_aprovada;"120034 MANOEL URBANO";-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;145
08/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;9;2005;3596;-;201;-;-;-;-;-;-;-;-;-;731;13115;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19669
08/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";1587;43;2420;9073;-;562;-;-;-;-;-;-;110;-;8;304;10141;-;3;-;-;-;6;-;-;-;163;-;3;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24432
08/2025;qtd_aprovada;"120039 PORTO WALTER";218;17;-;1391;-;72;-;-;-;-;-;-;76;-;-;181;3395;-;-;-;-;-;-;-;3;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5366
08/2025;qtd_aprovada;"120040 RIO BRANCO";51889;1153;6517;353665;4168;18560;4709;8388;3270;99;289;2;9979;7192;794;14349;469892;3037;308;1015;5373;2931;17674;733;-;-;3742;-;179;460;1;48;-;29;-;-;13;-;1554;3;650;14;310;-;-;-;132;-;185948;1681;55;-;13895;170;432;-;-;-;1195302
