periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
08/2025;qtd_aprovada;"250760 JUAREZ TAVORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2025;qtd_aprovada;"250770 JUAZEIRINHO";69;38;13;2790;-;282;73;-;-;-;25;-;51;-;-;330;6566;318;-;-;-;-;-;-;-;-;50;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10618
08/2025;qtd_aprovada;"250780 JUNCO DO SERIDO";-;-;1596;1474;-;-;44;-;-;-;-;-;46;-;-;213;7363;172;-;-;-;-;-;-;-;-;66;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;11022
08/2025;qtd_aprovada;"250790 JURIPIRANGA";-;9;-;2335;-;-;96;-;-;-;-;-;118;-;-;407;8477;160;3;-;-;-;-;-;-;-;19;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;11702
08/2025;qtd_aprovada;"250800 JURU";-;85;-;880;-;-;155;-;-;-;-;-;139;-;-;42;5836;350;-;-;-;-;-;-;-;-;15;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;914;-;-;-;-;-;8420
08/2025;qtd_aprovada;"250810 LAGOA";41;10;-;467;21;-;-;-;-;-;-;-;-;-;25;33;80;-;-;-;-;-;87;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;913
08/2025;qtd_aprovada;"250820 LAGOA DE DENTRO";741;11;-;403;-;94;23;-;-;-;-;-;199;-;-;102;8923;-;-;-;-;-;110;80;-;-;98;-;47;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10849
08/2025;qtd_aprovada;"250830 LAGOA SECA";-;19;-;5683;110;-;71;-;-;-;-;-;210;-;-;10;10354;386;-;-;-;-;-;150;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;17097
08/2025;qtd_aprovada;"250840 LASTRO";6;-;-;875;-;-;34;-;-;-;14;-;69;-;-;315;4192;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5640
08/2025;qtd_aprovada;"250850 LIVRAMENTO";-;9;-;-;-;-;121;-;-;-;-;-;-;-;-;28;40;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;261
08/2025;qtd_aprovada;"250855 LOGRADOURO";485;20;-;739;-;-;-;-;-;-;-;-;43;-;-;130;1035;68;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;2737
08/2025;qtd_aprovada;"250860 LUCENA";-;12;314;-;-;-;-;-;-;-;-;-;18;-;-;750;9639;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10741
08/2025;qtd_aprovada;"250870 MAE D'AGUA";-;15;145;785;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;986
08/2025;qtd_aprovada;"250880 MALTA";42;17;63;760;16;50;44;-;-;-;-;-;-;-;-;-;8;56;-;-;-;-;33;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;1208
08/2025;qtd_aprovada;"250890 MAMANGUAPE";1267;29;1011;5225;-;1572;200;19;-;-;-;-;288;-;-;1392;39787;420;3;-;-;8;256;-;-;-;173;-;3;-;1;-;-;14;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;55;-;-;2178;-;-;-;-;-;53947
08/2025;qtd_aprovada;"250900 MANAIRA";-;6;8;1613;-;-;153;-;-;-;-;-;133;-;-;24;8344;429;-;-;-;-;-;-;-;-;31;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;3201;-;-;-;-;-;14033
08/2025;qtd_aprovada;"250905 MARCACAO";243;10;-;-;-;-;72;-;-;-;-;-;10;-;-;372;3533;79;41;-;-;-;3;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;4440
08/2025;qtd_aprovada;"250910 MARI";-;14;16;2449;-;-;75;-;-;-;-;-;131;-;-;733;8802;-;23;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12300
08/2025;qtd_aprovada;"250915 MARIZOPOLIS";-;9;-;885;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;933
08/2025;qtd_aprovada;"250920 MASSARANDUBA";-;32;-;-;-;-;-;-;-;-;-;-;111;-;-;237;7009;207;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7607
08/2025;qtd_aprovada;"250930 MATARACA";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;270;3810;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4098
08/2025;qtd_aprovada;"250933 MATINHAS";5;9;5;858;-;-;-;-;-;-;-;-;52;-;-;32;866;244;6;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2080
08/2025;qtd_aprovada;"250937 MATO GROSSO";-;8;-;88;-;-;-;-;-;-;-;-;12;-;-;11;160;111;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;408
08/2025;qtd_aprovada;"250939 MATUREIA";-;72;-;-;-;-;-;-;-;-;-;-;6;-;-;2;595;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;715
08/2025;qtd_aprovada;"250940 MOGEIRO";385;-;11;1957;-;83;73;-;-;-;-;-;79;-;-;560;3170;381;-;-;-;-;408;-;-;-;1;-;14;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;7257
08/2025;qtd_aprovada;"250950 MONTADAS";203;3;-;2917;-;-;62;-;-;-;-;-;2;-;-;-;2165;109;-;-;-;-;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;182;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;5861
08/2025;qtd_aprovada;"250960 MONTE HOREBE";-;9;-;-;9;-;-;-;-;-;-;-;-;-;-;-;411;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429
08/2025;qtd_aprovada;"250970 MONTEIRO";7;40;56;6770;451;1318;632;660;-;-;21;-;541;167;-;359;37095;-;105;-;-;-;268;83;-;-;132;-;-;-;-;-;1;13;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;82;-;-;17670;-;112;-;-;49;66634
08/2025;qtd_aprovada;"250980 MULUNGU";-;8;-;2435;-;-;-;-;-;-;-;-;46;-;-;7;2355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1403;-;-;-;-;-;6254
08/2025;qtd_aprovada;"250990 NATUBA";2081;34;-;660;-;-;-;-;-;-;-;-;-;-;-;109;2336;456;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;1965;-;-;-;-;-;7704
08/2025;qtd_aprovada;"251000 NAZAREZINHO";-;-;-;2044;-;-;-;-;-;-;-;-;-;-;-;298;2605;-;-;-;-;-;174;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5121
08/2025;qtd_aprovada;"251010 NOVA FLORESTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2025;qtd_aprovada;"251020 NOVA OLINDA";3;24;-;-;-;-;124;-;-;-;-;-;-;-;-;70;1153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1374
08/2025;qtd_aprovada;"251030 NOVA PALMEIRA";-;48;-;137;-;-;-;-;-;-;-;-;-;-;-;6;902;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;1184
08/2025;qtd_aprovada;"251040 OLHO D'AGUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2025;qtd_aprovada;"251050 OLIVEDOS";-;11;-;2153;31;-;-;-;-;-;-;-;-;-;-;14;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2295
08/2025;qtd_aprovada;"251060 OURO VELHO";11;136;-;1031;-;46;-;-;-;-;-;-;5;-;-;58;1721;97;-;-;-;-;111;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;20;-;-;228;-;-;-;-;-;3510
08/2025;qtd_aprovada;"251065 PARARI";-;5;-;914;-;-;-;-;-;-;-;-;-;-;-;37;1180;235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2371
08/2025;qtd_aprovada;"251070 PASSAGEM";-;50;41;-;-;-;-;-;-;-;-;-;-;-;-;8;317;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;416
08/2025;qtd_aprovada;"251080 PATOS";1240;962;324;41564;1345;3117;2397;1809;187;68;113;-;6002;1472;37;1701;75817;661;-;1148;3466;1058;101;636;-;-;220;-;-;190;-;-;2;17;-;-;-;-;57;-;4;30;-;-;-;-;-;-;-;765;69;-;7083;73;781;114;11;755;155396
08/2025;qtd_aprovada;"251090 PAULISTA";-;90;-;4540;48;478;116;-;-;-;17;-;100;-;-;79;9970;-;1;-;-;-;40;-;-;-;23;-;-;-;5;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;20;-;-;375;-;-;-;-;-;15905
08/2025;qtd_aprovada;"251100 PEDRA BRANCA";-;35;-;1716;-;-;60;-;-;-;-;-;-;-;-;11;317;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2264
08/2025;qtd_aprovada;"251110 PEDRA LAVRADA";176;3;-;2222;-;22;-;-;-;-;-;-;-;-;-;138;901;272;-;-;-;-;866;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;4681
08/2025;qtd_aprovada;"251120 PEDRAS DE FOGO";33;115;1446;14587;-;798;196;-;-;-;27;-;298;-;-;754;21240;2608;40;-;-;-;132;2433;-;-;650;-;2;-;-;-;-;-;-;-;-;-;69;-;74;-;-;-;-;-;-;-;-;-;-;-;1957;-;-;-;-;-;47459
08/2025;qtd_aprovada;"251130 PIANCO";-;25;308;6925;64;1707;11;483;-;-;24;-;669;230;-;1435;48362;891;-;-;-;251;-;31;-;-;160;-;-;-;-;-;-;9;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;451;-;-;47;27;68;62198
08/2025;qtd_aprovada;"251140 PICUI";18;46;1;5757;11;1603;356;2;-;-;45;-;352;144;6;118;9425;181;84;-;-;-;386;16;-;-;62;-;7;-;-;-;-;3;-;-;-;-;305;-;-;-;-;-;-;-;-;-;-;-;-;-;2751;-;81;-;-;-;21760
08/2025;qtd_aprovada;"251150 PILAR";22;34;10;2180;-;-;54;-;-;-;-;-;23;-;-;544;8088;190;16;-;-;-;-;214;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11375
08/2025;qtd_aprovada;"251160 PILOES";-;92;-;-;-;-;-;-;-;-;-;-;9;-;-;42;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;269
08/2025;qtd_aprovada;"251170 PILOEZINHOS";2;7;-;818;-;-;83;-;-;-;-;-;-;-;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;1037
08/2025;qtd_aprovada;"251180 PIRPIRITUBA";94;26;-;11;-;-;-;-;-;-;-;-;-;-;-;281;3856;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;189;-;-;-;-;-;-;-;-;4462
08/2025;qtd_aprovada;"251190 PITIMBU";-;36;-;-;-;-;-;-;-;-;-;-;50;-;-;522;7569;-;-;-;-;-;-;-;-;-;1073;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9252
08/2025;qtd_aprovada;"251200 POCINHOS";3;147;-;4314;37;422;82;-;-;-;-;-;254;-;-;7;17565;-;-;-;-;-;839;-;-;-;69;-;2;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;23975
08/2025;qtd_aprovada;"251203 POCO DANTAS";-;9;-;273;-;-;-;-;-;-;-;-;-;-;-;-;676;162;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;1576;-;-;-;-;-;2739
08/2025;qtd_aprovada;"251207 POCO DE JOSE DE MOURA";-;19;250;655;-;-;51;-;-;-;-;-;53;-;-;275;4909;125;-;-;-;-;-;-;-;-;17;-;3;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;6384
08/2025;qtd_aprovada;"251210 POMBAL";-;95;25;11799;233;980;485;560;-;-;290;-;589;-;-;319;27630;278;439;-;-;-;187;-;-;-;35;-;1;-;2;-;11;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;189;-;-;12648;99;68;1;-;-;56975
08/2025;qtd_aprovada;"251220 PRATA";-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;1;515;197;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;745
08/2025;qtd_aprovada;"251230 PRINCESA ISABEL";-;165;18;10561;234;3258;126;216;-;-;-;-;929;163;-;2058;70841;2700;5;-;-;-;60;870;-;-;161;-;35;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;8730;-;-;-;-;-;101162
08/2025;qtd_aprovada;"251240 PUXINANA";1642;74;628;4606;-;75;69;-;-;-;-;-;-;-;-;223;1414;598;-;-;-;-;-;161;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;9512
08/2025;qtd_aprovada;"251250 QUEIMADAS";584;99;119;18902;-;255;1121;241;-;-;22;-;150;-;-;835;10778;2390;15;-;-;-;496;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;36144
08/2025;qtd_aprovada;"251260 QUIXABA";-;41;-;-;-;-;-;-;-;-;-;-;11;-;-;8;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;96
08/2025;qtd_aprovada;"251270 REMIGIO";97;-;-;4468;174;72;261;-;-;-;-;-;210;-;-;539;13841;423;-;-;-;-;475;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20676
08/2025;qtd_aprovada;"251272 PEDRO REGIS";935;101;-;989;-;-;251;-;-;-;-;-;175;-;-;954;14090;-;8;-;-;-;-;7;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;17593
08/2025;qtd_aprovada;"251274 RIACHAO";-;-;143;1017;-;-;-;-;-;-;-;-;-;-;-;16;99;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1396
08/2025;qtd_aprovada;"251275 RIACHAO DO BACAMARTE";-;37;-;-;-;-;89;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;236
08/2025;qtd_aprovada;"251276 RIACHAO DO POCO";-;38;-;-;-;-;69;-;-;-;-;-;5;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;197
08/2025;qtd_aprovada;"251278 RIACHO DE SANTO ANTONIO";148;19;82;327;-;-;-;-;-;-;-;-;-;-;-;134;1896;30;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;2781
08/2025;qtd_aprovada;"251280 RIACHO DOS CAVALOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1193;-;-;-;-;-;1746
08/2025;qtd_aprovada;"251290 RIO TINTO";1;59;-;1546;-;21;-;-;-;-;-;-;1;-;-;556;13224;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;15450
08/2025;qtd_aprovada;"251300 SALGADINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;468
08/2025;qtd_aprovada;"251310 SALGADO DE SAO FELIX";63;40;172;2083;-;-;87;-;-;-;-;-;-;-;-;413;1374;21;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;18;-;-;354;-;-;-;-;-;4751
08/2025;qtd_aprovada;"251315 SANTA CECILIA";-;-;-;3173;-;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3270
08/2025;qtd_aprovada;"251320 SANTA CRUZ";-;11;-;1428;-;-;85;-;-;-;-;-;30;-;-;-;1426;98;-;-;-;-;32;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;3148
08/2025;qtd_aprovada;"251330 SANTA HELENA";115;-;-;530;47;-;78;-;-;-;-;-;-;-;-;579;1696;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;3071
08/2025;qtd_aprovada;"251335 SANTA INES";18;31;1440;643;-;-;-;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;2496
08/2025;qtd_aprovada;"251340 SANTA LUZIA";57;10;20;10432;-;300;322;-;-;-;49;-;299;-;-;5;4303;1200;-;-;-;-;50;-;-;-;20;-;-;12;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;17169
08/2025;qtd_aprovada;"251350 SANTANA DE MANGUEIRA";437;107;1833;909;-;6;102;-;-;-;-;-;18;-;-;246;2958;-;-;-;-;-;72;96;-;-;59;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;6896
08/2025;qtd_aprovada;"251360 SANTANA DOS GARROTES";-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;77;1765;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;1882
08/2025;qtd_aprovada;"251365 JOCA CLAUDINO";885;10131;-;191;-;-;35;-;-;-;-;-;1;-;-;-;198;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11641
08/2025;qtd_aprovada;"251370 SANTA RITA";65;29;2871;28476;168;3007;1195;891;737;-;-;87;3972;-;3;1701;90366;2299;-;-;-;-;8;1214;-;-;526;-;-;129;7;-;-;4;-;-;-;-;1;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;80;338;-;-;138180
08/2025;qtd_aprovada;"251380 SANTA TERESINHA";-;4;221;-;-;-;-;-;-;-;-;-;-;-;-;26;84;-;-;-;-;-;153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;150;-;-;-;-;-;687
08/2025;qtd_aprovada;"251385 SANTO ANDRE";-;8;95;1056;-;-;-;-;-;-;-;-;-;-;-;130;32;92;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;1532
08/2025;qtd_aprovada;"251390 SAO BENTO";108;42;1;6868;-;105;36;-;-;-;93;-;535;-;-;591;20301;1112;46;-;-;-;295;-;-;-;158;-;27;-;39;3;-;-;-;-;-;-;211;-;-;-;-;-;-;-;-;-;-;50;-;-;779;-;-;-;-;-;31400
08/2025;qtd_aprovada;"251392 SAO BENTINHO";43;11;-;2960;24;-;41;-;-;-;-;-;-;-;-;43;310;216;-;-;-;-;137;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;3917
08/2025;qtd_aprovada;"251394 SAO DOMINGOS DO CARIRI";-;34;1;2025;-;-;109;-;-;-;-;-;-;-;-;21;50;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2249
08/2025;qtd_aprovada;"251396 SAO DOMINGOS";-;-;-;670;-;-;-;-;-;-;-;-;-;-;-;-;-;209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;210;-;-;-;-;-;1136
08/2025;qtd_aprovada;"251398 SAO FRANCISCO";4;8;-;1320;-;54;103;-;-;-;4;-;-;-;-;100;195;49;-;-;-;-;554;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;2536
