periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
04/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
04/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;15651,16;-;10891,02;4545,75;-;-;-;-;-;267,80;-;-;55,00;72741,68;3582,62;4448,00;-;-;-;-;-;827,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1170,00;-;57860,55;172040,85
04/2024;valor_aprovado;"110002 ARIQUEMES";1495,80;-;36,66;169579,75;-;9444,30;31442,70;154096,88;-;-;2937,76;190,31;4578,08;3680,64;-;1788,00;411643,44;2646,74;22,21;-;505705,17;8,09;363,63;11,26;10963,52;-;107,26;-;-;22,72;56,84;-;-;-;-;-;216,46;59,72;44,54;1663,24;-;-;-;-;-;210,60;8153,00;3449,08;39060,45;1363678,85
04/2024;valor_aprovado;"110003 CABIXI";-;-;-;4717,55;-;1044,36;-;-;-;-;-;-;25,75;-;-;-;18032,82;-;-;-;-;-;-;-;708,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1588,95;26117,67
04/2024;valor_aprovado;"110004 CACOAL";148,50;-;3325,40;202486,83;-;16404,04;19821,06;250236,55;59662,50;-;2773,24;-;9619,79;-;-;180,00;324860,17;8629,40;4221,10;644921,71;495617,10;16,18;259,68;220,40;40621,18;56,55;276,52;25,00;71,34;77,57;5586,54;299,88;-;-;109,94;155,84;452,10;-;4827,02;2133,11;-;-;-;-;-;99621,62;16218,10;1221,12;7637,85;2222794,93
04/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;24758,19;673,75;-;-;-;-;-;195,70;-;-;-;74316,27;-;253,61;-;-;-;-;-;731,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100928,92
04/2024;valor_aprovado;"110006 COLORADO DO OESTE";18,90;-;-;7770,02;-;11640,36;7013,60;-;-;-;-;-;41,20;-;-;3,00;104211,18;3170,31;-;-;-;-;-;-;240,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10791,00;144900,29
04/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;5604,28;-;-;-;-;-;-;-;-;247,20;-;-;99,00;19767,89;-;-;-;-;-;-;-;291,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13379,85;39389,82
04/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;26120,17;-;-;-;-;-;-;-;-;-;-;-;216,00;15450,33;1125,47;83,56;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43007,37
04/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;30692,48;-;-;5369,65;-;-;-;-;-;87,55;-;-;-;155081,72;8310,80;50,62;-;-;-;-;-;4083,36;-;-;-;-;-;-;-;-;-;-;-;-;-;1336,20;-;-;-;-;-;-;-;-;-;57781,35;262793,73
