periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
06/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";898;28;842;928;-;-;35;-;-;-;-;-;-;-;-;73;5968;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;10777
06/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";8818;102;1073;8827;-;274;140;-;-;-;-;-;49;-;-;541;13672;2797;1;-;-;5;364;-;-;-;73;-;1;-;-;-;-;-;-;-;-;-;71;-;24;-;-;-;-;-;-;-;-;-;-;-;8260;-;-;-;-;-;45092
06/2025;qtd_aprovada;"110150 SERINGUEIRAS";9190;-;46;3896;-;286;85;-;-;-;-;-;66;-;-;279;13090;117;2;-;-;-;334;-;-;-;37;-;1;-;-;-;2;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;27492
06/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;17;-;1266;-;-;-;-;-;-;-;-;803;-;-;72;12534;-;-;-;-;-;-;-;-;-;68;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1000;-;-;-;-;-;15765
06/2025;qtd_aprovada;"110160 THEOBROMA";697;35;-;4065;-;228;75;-;-;-;-;-;8;-;-;30;3331;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8533
06/2025;qtd_aprovada;"110170 URUPA";428;-;2;3968;-;459;-;-;-;-;-;-;32;-;-;154;8092;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3801;-;-;-;-;-;17041
06/2025;qtd_aprovada;"110175 VALE DO ANARI";1112;9;186;3240;-;-;75;-;-;-;-;-;-;-;57;119;5215;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7070;-;-;-;-;-;17091
06/2025;qtd_aprovada;"110180 VALE DO PARAISO";321;107;-;785;-;-;63;-;-;-;-;-;3;-;-;1;3491;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;715;-;-;-;-;-;5500
06/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2025;qtd_aprovada;"120001 ACRELANDIA";-;49;225;-;-;324;-;-;-;-;-;-;-;-;-;501;3871;-;-;-;-;-;-;-;-;-;182;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5154
06/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;39;-;24;-;323;-;-;-;-;-;-;94;-;-;177;4973;-;-;-;-;-;-;-;-;-;29;-;10;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5671
06/2025;qtd_aprovada;"120010 BRASILEIA";1;18;1;18492;-;11992;164;-;-;-;-;-;51;88;17;102;18489;215;152;-;917;127;8;-;-;-;261;-;20;-;-;-;89;1;-;-;-;-;37;-;24;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;51271
06/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
06/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234
06/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";27145;738;383;65649;-;3164;882;1212;507;-;27;-;812;519;303;1177;62796;1432;186;-;765;352;-;90;3;-;202;-;7;-;-;-;-;-;-;39;-;-;1;-;23;10;-;-;-;-;-;-;21200;28;31;-;-;-;-;-;-;-;189683
06/2025;qtd_aprovada;"120025 EPITACIOLANDIA";13;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;408;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;472
06/2025;qtd_aprovada;"120030 FEIJO";-;64;-;15505;-;1252;-;-;-;-;-;-;-;-;-;-;6050;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22904
06/2025;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;55;663;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;722
06/2025;qtd_aprovada;"120033 MANCIO LIMA";44;46;102;5738;-;933;-;-;-;-;-;-;151;-;2;907;15892;126;5;-;-;-;-;-;-;-;279;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24243
06/2025;qtd_aprovada;"120034 MANOEL URBANO";-;32;1;1837;-;-;-;-;-;-;-;-;17;-;-;18;5272;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7217
06/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;8;1684;3877;-;259;-;-;-;-;-;-;-;-;-;768;12732;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19388
06/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";1626;84;2076;8970;-;539;-;-;-;-;-;-;44;-;11;319;10803;-;2;-;-;-;4;-;-;-;160;-;6;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24650
06/2025;qtd_aprovada;"120039 PORTO WALTER";235;26;-;2350;-;83;-;-;-;-;-;-;46;-;8;264;3521;-;-;-;-;-;2;-;3;-;11;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6553
06/2025;qtd_aprovada;"120040 RIO BRANCO";49164;1331;7607;344382;7017;18591;4600;7920;2758;88;243;-;9617;8290;661;17945;462956;4661;1053;996;5248;2530;16973;511;-;-;3750;-;132;463;-;22;2;79;-;-;1;-;1422;-;718;23;187;-;-;-;73;-;184598;1622;76;-;10145;150;283;-;-;-;1178888
06/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;35;-;-;113;-;-;-;-;-;-;5;-;-;170;4754;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5107
06/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;25;-;1463;-;31;-;-;-;-;-;-;15;-;-;-;1110;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2657
06/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;10;-;22133;-;597;-;-;-;-;-;-;50;-;-;382;6713;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29944
06/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;180;163;17820;-;2224;-;-;-;-;-;-;214;-;-;49;13009;-;11;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33773
06/2025;qtd_aprovada;"120060 TARAUACA";-;35;-;9740;-;795;-;-;-;-;-;-;-;-;-;-;5913;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16593
06/2025;qtd_aprovada;"120070 XAPURI";-;57;-;19321;-;441;17;-;-;-;-;-;18;-;-;280;8941;-;-;-;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29361
06/2025;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
