periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
06/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";65;133;3404;3087;-;1345;160;-;-;-;-;-;163;-;-;134;18791;579;112;-;-;-;-;-;-;-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10546;-;-;-;-;-;38776
06/2025;qtd_aprovada;"110002 ARIQUEMES";45607;143;1986;42407;-;3632;959;1653;-;-;14;-;1300;208;2;5298;120926;670;19;-;2224;-;904;-;-;-;426;-;10;407;-;2;-;-;-;-;1;-;114;2;1;13;-;-;-;-;-;-;42612;630;38;-;12233;-;-;-;-;-;284441
06/2025;qtd_aprovada;"110003 CABIXI";228;-;2;1243;-;178;-;-;-;-;-;-;1;-;-;66;4815;137;-;-;-;-;-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1097;-;-;-;-;-;7774
06/2025;qtd_aprovada;"110004 CACOAL";1066;191;1224;53973;-;1731;1105;2861;797;-;58;-;1563;-;-;292;66537;3153;1069;1033;1908;11;105;453;-;-;1346;-;4;3;-;1;44;-;-;-;-;1;5;-;185;19;-;-;-;-;-;-;45937;1193;63;-;4537;-;-;-;-;-;192468
06/2025;qtd_aprovada;"110005 CEREJEIRAS";13361;-;353;4422;-;3228;175;270;-;-;-;-;73;-;-;983;21386;76;8;-;-;-;41;-;-;-;37;-;1;-;-;-;3;-;-;-;-;-;6;-;11;-;-;-;-;-;-;-;-;-;-;-;6383;-;-;-;-;-;50817
06/2025;qtd_aprovada;"110006 COLORADO DO OESTE";323;401;-;2007;-;-;-;-;-;-;-;-;-;-;-;1;10850;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;13649
06/2025;qtd_aprovada;"110007 CORUMBIARA";6887;172;11;2547;-;-;96;-;-;-;-;-;11;-;-;300;9400;123;-;-;-;-;440;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;2810;-;-;-;-;-;22875
06/2025;qtd_aprovada;"110008 COSTA MARQUES";1150;100;-;7137;-;-;-;-;-;-;-;-;-;-;-;214;10989;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19593
06/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";1572;131;1399;12285;-;1619;145;-;-;-;-;-;23;-;-;-;35818;821;24;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;8071;-;-;-;-;-;61979
06/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1003;71;7;1568;-;1266;-;-;-;-;-;-;-;-;-;558;17705;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;22204
06/2025;qtd_aprovada;"110011 JARU";-;130;43;28757;-;3908;739;-;17;-;70;-;195;-;-;727;79367;304;23;-;-;1;-;-;-;-;131;-;11;-;-;-;-;-;-;-;1;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;16772;-;-;-;-;-;131235
06/2025;qtd_aprovada;"110012 JI-PARANA";1009;555;32;35395;902;19421;554;1274;571;-;58;-;1323;-;-;1104;149080;-;36287;-;1597;31;-;12;-;-;2639;-;10;-;-;-;-;-;-;-;-;14;-;3;173;9;-;-;-;-;-;-;64833;1;27;-;5112;-;-;-;-;-;322026
06/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";4010;80;7633;6813;-;1687;221;-;-;-;-;-;377;-;40;1248;36707;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6452;-;-;-;-;-;65270
06/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2784;36;641;1432;-;617;165;-;-;-;-;-;13;-;9;225;13980;108;8;-;-;6;-;-;-;-;51;-;-;-;-;2;3;-;-;1;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;3246;-;-;-;-;-;23333
06/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";532;2887;-;16555;-;1716;540;-;-;-;-;-;103;-;-;183;22356;-;8;-;-;2;-;-;-;-;109;-;-;-;-;-;1;-;-;-;1;-;-;1;31;-;-;-;-;-;-;-;-;-;-;-;7092;-;-;-;-;-;52117
06/2025;qtd_aprovada;"110018 PIMENTA BUENO";411;39;1;15083;-;1455;267;-;-;-;-;-;437;-;-;328;30550;276;51;-;-;-;-;-;-;-;204;-;5;53;-;-;8;-;-;-;1;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;4972;-;-;-;-;-;54225
06/2025;qtd_aprovada;"110020 PORTO VELHO";13350;6716;24148;842524;8195;17500;3579;6357;1017;240;343;-;20404;11992;3647;24359;493278;6262;775;2872;4997;7468;1602;7044;-;-;5319;1;72;904;3;16;7;1;-;-;2;-;406;1;777;41;353;18;35;-;55;-;144749;3797;143;-;17535;-;-;-;-;-;1682904
06/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;44;-;2683;-;581;-;-;-;-;-;-;60;-;-;-;3370;803;15;-;-;-;-;-;-;-;19;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7683
06/2025;qtd_aprovada;"110026 RIO CRESPO";1;26;681;693;-;-;-;-;-;-;-;-;-;-;-;63;3742;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2344;-;-;-;-;-;7553
06/2025;qtd_aprovada;"110028 ROLIM DE MOURA";6372;269;648;25576;-;216;528;123;103;-;-;-;235;-;-;1746;64868;310;206;-;-;13;-;100;2;-;271;-;1;-;-;-;-;-;-;2;-;-;-;-;78;-;-;-;-;-;-;-;27667;1;-;-;13696;-;-;-;-;-;143031
06/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6487;-;11;2110;-;303;-;-;-;-;-;-;5;-;-;137;7735;311;14;-;-;-;333;21;-;-;12;-;2;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;448;-;-;-;-;-;18013
06/2025;qtd_aprovada;"110030 VILHENA";1436;475;5542;72;-;5035;199;296;1;-;-;-;477;-;29;1891;66552;230;16;-;367;25;-;74;-;-;283;-;8;-;-;3;-;-;-;1;-;-;44;-;81;26;-;-;-;-;-;-;-;518;48;-;-;-;-;-;-;-;83729
06/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";9597;-;52;1151;-;973;102;-;-;-;-;-;20;-;1;416;13078;99;17;-;2;-;321;-;-;-;11;-;4;-;-;-;4;-;-;1;-;-;27;-;2;-;-;-;-;-;-;-;-;-;-;-;8516;-;-;-;-;-;34394
06/2025;qtd_aprovada;"110033 NOVA MAMORE";1085;296;28;7284;-;273;78;-;-;-;-;-;30;-;-;359;11132;136;2;-;-;-;-;-;-;-;134;-;3;-;-;1;-;1;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;4839;-;-;-;-;-;25685
06/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";5180;97;14;6807;-;981;31;-;-;-;-;-;1;-;-;348;8239;495;4;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4076;-;-;-;-;-;26275
06/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1820;-;1856;2261;-;-;137;-;-;-;-;-;2;-;-;1624;7104;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3161;-;-;-;-;-;18003
06/2025;qtd_aprovada;"110040 ALTO PARAISO";2264;3375;-;5549;-;844;125;-;-;-;-;-;35;-;-;385;10803;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3412;-;-;-;-;-;26843
06/2025;qtd_aprovada;"110045 BURITIS";17643;137;180;11939;-;992;186;-;-;-;-;-;250;-;-;2206;33032;698;14;-;-;3;714;54;-;-;144;-;4;-;1;-;2;-;-;-;-;-;91;-;1;-;-;-;-;-;-;-;-;-;-;-;14522;-;-;-;-;-;82813
06/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;80;-;1955;-;500;97;-;-;-;-;-;17;-;52;417;4054;118;-;-;-;-;-;-;-;-;82;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2909;-;-;-;-;-;10288
06/2025;qtd_aprovada;"110060 CACAULANDIA";2424;8;1604;1891;-;-;55;-;-;-;-;-;10;-;3;64;3787;60;5;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;630;-;-;-;-;-;10545
06/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4649;21;25;1565;-;113;-;-;-;-;-;-;-;-;-;428;6733;-;-;-;-;-;-;-;-;-;6;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116;-;-;-;-;-;13657
06/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";-;-;-;8823;-;695;269;-;-;-;-;-;2;-;-;137;4639;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14583
06/2025;qtd_aprovada;"110090 CASTANHEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
06/2025;qtd_aprovada;"110092 CHUPINGUAIA";1505;51;-;69;-;-;-;-;-;-;-;-;87;-;-;50;39;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1639;-;-;-;-;-;3545
06/2025;qtd_aprovada;"110094 CUJUBIM";17;-;36;3960;-;1379;3;-;-;-;-;-;18;-;1;265;13758;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;11;-;-;-;-;52;-;10;-;-;-;-;-;-;-;-;-;-;-;1590;-;-;-;-;-;21171
06/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";2137;19;6;-;-;144;-;-;-;-;-;-;-;-;-;52;3708;1;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6084
06/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";1001;4;-;3931;-;119;-;-;-;-;-;-;-;-;-;169;9923;776;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;70;-;-;-;-;-;16051
06/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;1343;-;913;85;-;-;-;-;-;13;-;-;40;6487;87;114;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;9229
06/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;17;132;1613;-;722;80;-;-;-;-;-;-;-;-;117;7972;81;-;-;-;-;-;-;-;-;81;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10824
06/2025;qtd_aprovada;"110140 MONTE NEGRO";1780;39;-;5375;-;680;125;-;-;-;-;-;21;-;-;601;6687;223;-;-;-;-;-;-;-;-;15;-;2;-;-;-;-;-;-;-;-;-;5;-;9;-;-;-;-;-;-;-;-;24;-;-;69;-;-;-;-;-;15655
06/2025;qtd_aprovada;"110143 NOVA UNIAO";-;169;-;2451;-;1130;60;-;-;-;-;-;2255;-;-;77;7723;-;-;-;-;-;-;-;-;-;16;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13897
06/2025;qtd_aprovada;"110145 PARECIS";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;300;6192;-;35;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6614
06/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1313;4;-;309;-;-;-;-;-;-;-;-;2;-;-;36;2265;-;-;-;-;-;44;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;460;-;-;-;-;-;4459
06/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";846;21;-;640;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;135;-;-;-;-;-;1646
