periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
03/2024;qtd_aprovada;"270340 JACARE DOS HOMENS";-;123;-;-;-;-;85;-;-;-;-;-;-;-;-;-;2077;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;138;2507
03/2024;qtd_aprovada;"270350 JACUIPE";938;94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;137;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1215
03/2024;qtd_aprovada;"270360 JAPARATINGA";1335;62;-;-;-;-;-;-;-;-;-;-;51;-;-;87;2736;297;-;-;-;-;-;-;345;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;1;4943
03/2024;qtd_aprovada;"270370 JARAMATAIA";-;-;-;1182;-;-;99;-;-;-;-;-;31;-;-;216;193;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;1771
03/2024;qtd_aprovada;"270375 JEQUIA DA PRAIA";-;49;-;-;-;-;247;-;-;-;-;-;149;-;-;338;3581;87;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;385;4863
03/2024;qtd_aprovada;"270380 JOAQUIM GOMES";-;16;-;522;124;-;116;-;-;-;-;-;8;-;-;585;10922;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;804;13104
03/2024;qtd_aprovada;"270390 JUNDIA";-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;371;1506;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;1927
03/2024;qtd_aprovada;"270400 JUNQUEIRO";-;44;-;10012;-;480;371;-;-;-;-;-;200;-;-;2310;19389;-;-;-;-;-;26;-;-;-;52;-;45;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;23;-;-;-;32964
03/2024;qtd_aprovada;"270410 LAGOA DA CANOA";4124;6;-;3830;-;68;-;-;-;-;-;-;116;-;-;315;18495;421;-;-;-;-;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127;-;-;-;-;-;-;-;-;-;79;-;-;-;27689
03/2024;qtd_aprovada;"270420 LIMOEIRO DE ANADIA";305;71;-;-;-;-;56;-;-;-;-;-;82;-;-;176;4381;625;-;-;-;-;156;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;4;5906
03/2024;qtd_aprovada;"270430 MACEIO";5525;1603;4861;555602;9148;21515;26933;3113;887;380;582;45;28191;9894;241;9670;497657;77653;3286;3193;14374;6398;1459;-;602;-;2856;-;75;1872;1;-;1;16;-;-;-;70;420;215;373;127;1076;9;12;-;18;958423;4339;293;-;6335;2259343
03/2024;qtd_aprovada;"270440 MAJOR ISIDORO";-;172;-;-;-;-;-;-;-;-;-;-;-;-;-;806;4637;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;532;6147
03/2024;qtd_aprovada;"270450 MARAGOGI";9214;267;2;5304;-;138;81;-;-;-;-;-;8;-;-;406;12132;22;-;-;-;-;-;-;137;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;27751
03/2024;qtd_aprovada;"270460 MARAVILHA";2720;13;-;-;-;-;74;-;-;-;-;-;23;-;-;187;2657;-;-;-;-;-;-;-;-;-;7;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;820;6504
03/2024;qtd_aprovada;"270470 MARECHAL DEODORO";128;170;2;22766;-;36;581;-;-;-;22;-;320;-;-;1011;15634;2366;7;-;-;-;-;-;-;-;3;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;43112
03/2024;qtd_aprovada;"270480 MARIBONDO";-;7;-;3882;-;-;-;-;-;-;-;-;-;-;-;-;9070;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;42;13029
03/2024;qtd_aprovada;"270490 MAR VERMELHO";1379;18;-;713;-;-;10;-;-;-;-;-;65;-;-;34;299;355;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;2893
03/2024;qtd_aprovada;"270500 MATA GRANDE";-;39;2;3354;-;-;169;-;-;-;-;-;61;-;-;418;6031;-;5;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2590;12678
03/2024;qtd_aprovada;"270510 MATRIZ DE CAMARAGIBE";5;33;-;7280;-;58;316;-;-;-;-;-;-;-;-;-;4702;6;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;38;-;-;1621;14096
03/2024;qtd_aprovada;"270520 MESSIAS";52;86;-;3818;-;40;101;-;-;-;-;-;112;-;-;928;11034;4612;1;-;-;-;315;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;21229
03/2024;qtd_aprovada;"270530 MINADOR DO NEGRAO";-;68;-;-;-;-;47;-;-;-;-;-;10;-;-;-;1009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;124;1258
03/2024;qtd_aprovada;"270540 MONTEIROPOLIS";-;91;-;793;-;-;98;-;-;-;-;-;31;-;-;-;1952;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;978;4083
03/2024;qtd_aprovada;"270550 MURICI";4094;70;-;4323;-;-;205;-;-;-;19;-;79;-;-;384;42766;-;-;-;-;-;-;-;-;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;2188;54361
03/2024;qtd_aprovada;"270560 NOVO LINO";4416;38;-;3389;34;-;-;-;-;-;-;-;73;-;-;-;716;429;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;46;9173
03/2024;qtd_aprovada;"270570 OLHO D'AGUA DAS FLORES";9187;37;-;4929;-;-;384;-;-;-;-;-;-;-;-;863;16663;164;-;-;-;-;60;-;36;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;710;33061
03/2024;qtd_aprovada;"270580 OLHO D'AGUA DO CASADO";-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;116;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2581;2724
03/2024;qtd_aprovada;"270590 OLHO D'AGUA GRANDE";1127;-;-;-;-;-;78;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1241
03/2024;qtd_aprovada;"270600 OLIVENCA";-;35;-;-;-;-;79;-;-;-;-;-;-;-;-;12;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;938;1183
03/2024;qtd_aprovada;"270610 OURO BRANCO";16;175;1;-;-;-;48;-;-;-;-;-;8;-;-;297;4511;84;-;-;-;-;-;-;-;-;39;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;952;6183
03/2024;qtd_aprovada;"270620 PALESTINA";-;11;-;-;-;-;113;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;243
03/2024;qtd_aprovada;"270630 PALMEIRA DOS INDIOS";3658;116;58;19480;693;1722;1275;256;-;-;117;-;287;-;-;4677;21286;2637;142;-;1827;-;350;-;-;-;155;-;10;119;-;-;-;-;-;-;-;-;172;-;-;-;-;-;-;-;-;-;163;-;-;178;59378
03/2024;qtd_aprovada;"270640 PAO DE ACUCAR";36;32;-;10913;-;334;474;-;-;-;-;-;160;-;-;311;18765;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;31375
03/2024;qtd_aprovada;"270642 PARICONHA";3098;101;-;-;-;-;114;-;-;-;-;-;93;-;-;40;2106;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234;5790
03/2024;qtd_aprovada;"270644 PARIPUEIRA";3404;28;-;2642;-;-;75;-;-;-;-;-;53;-;-;205;5547;69;8;-;-;-;-;-;-;-;24;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;12090
03/2024;qtd_aprovada;"270650 PASSO DE CAMARAGIBE";7233;316;-;-;-;-;80;-;-;-;17;-;48;-;-;1191;27176;-;31;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1988;38139
03/2024;qtd_aprovada;"270660 PAULO JACINTO";1358;48;-;4384;95;-;143;-;-;-;-;-;23;-;-;345;4021;75;-;-;-;-;-;-;7;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;704;11246
03/2024;qtd_aprovada;"270670 PENEDO";15;182;3;39707;311;1153;995;359;-;-;63;-;1232;-;-;2137;33317;16305;283;-;-;-;280;-;210;-;55;-;5;568;-;-;-;2;-;-;-;-;195;-;-;-;-;-;-;-;-;-;69;-;-;22315;119761
03/2024;qtd_aprovada;"270680 PIACABUCU";2;86;-;34;-;-;-;-;-;-;-;-;-;-;-;-;249;79;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;212;734
03/2024;qtd_aprovada;"270690 PILAR";6441;55;16;16797;147;1092;1280;-;-;-;43;-;647;-;-;1182;26813;1556;-;-;-;-;10;-;379;-;78;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;56566
03/2024;qtd_aprovada;"270700 PINDOBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"270710 PIRANHAS";11;51;-;9249;-;346;-;-;-;-;-;-;26;-;-;56;17439;2963;-;-;-;-;130;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;39;-;-;2970;33407
03/2024;qtd_aprovada;"270720 POCO DAS TRINCHEIRAS";-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3462;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;528;4192
03/2024;qtd_aprovada;"270730 PORTO CALVO";3160;43;10;28007;874;2750;37;915;-;-;-;-;238;-;-;984;26365;422;-;-;-;-;85;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;16;-;-;1784;65807
03/2024;qtd_aprovada;"270740 PORTO DE PEDRAS";1787;65;88;2598;61;89;-;-;-;-;-;-;3;-;-;138;3329;100;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8260
03/2024;qtd_aprovada;"270750 PORTO REAL DO COLEGIO";4352;21;-;-;-;-;72;-;-;-;-;-;33;-;-;386;11084;217;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1198;17419
03/2024;qtd_aprovada;"270760 QUEBRANGULO";3658;105;-;5190;65;-;-;-;-;-;-;-;78;-;-;495;3905;128;-;-;-;-;252;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;478;14447
