periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
03/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";162;194;3372;3056;-;886;105;-;-;-;-;-;45;-;-;189;14933;506;150;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7411;31257
03/2024;qtd_aprovada;"110002 ARIQUEMES";49290;280;6574;37121;-;2766;1590;1266;-;-;64;-;535;146;9;6358;105580;464;2;-;2176;-;2523;-;-;-;458;-;3;-;-;1;1;-;-;-;-;-;230;1;4;10;-;-;-;-;-;-;348;28;-;7840;225668
03/2024;qtd_aprovada;"110003 CABIXI";71;-;-;1746;-;149;-;-;-;-;-;-;2;-;34;35;6522;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;8824
03/2024;qtd_aprovada;"110004 CACOAL";463;166;1909;46897;-;1529;563;2059;227;-;12;-;1433;-;-;238;42413;1247;471;867;2047;7;54;-;167;-;1348;4;11;4;1;2;105;5;-;-;-;1;20;2;218;24;-;-;-;-;-;104706;-;69;-;3574;212863
03/2024;qtd_aprovada;"110005 CEREJEIRAS";2788;-;-;-;-;2030;31;-;-;-;-;-;48;-;-;70;15360;-;7;-;-;-;-;-;-;-;59;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20395
03/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2379;57;-;-;-;357;110;-;-;-;-;-;25;-;-;72;13189;529;1;-;-;-;-;-;-;-;21;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;17941
03/2024;qtd_aprovada;"110007 CORUMBIARA";4890;152;41;508;-;-;52;-;-;-;-;-;33;-;-;422;10719;-;-;-;-;-;167;-;-;-;35;-;6;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;1564;18628
03/2024;qtd_aprovada;"110008 COSTA MARQUES";1685;207;-;5849;-;-;11;-;-;-;-;-;-;-;-;225;8864;164;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17007
03/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";891;89;1713;11953;-;-;131;-;-;-;-;-;29;-;-;-;32245;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;1392;48591
03/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"110011 JARU";-;132;-;30288;-;2473;190;-;-;-;-;-;167;-;-;185;72126;263;3;-;-;8;-;-;-;-;136;-;17;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7326;113315
03/2024;qtd_aprovada;"110012 JI-PARANA";3108;-;75;44522;1124;1;375;1203;709;-;139;-;285;-;-;2672;159937;26;22542;-;1987;8;-;-;4;-;352;-;2;-;-;-;-;1;-;-;-;4;-;-;106;18;-;-;-;-;-;-;1600;23;-;5842;246665
03/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";6765;29;1;11816;-;1380;204;-;-;-;-;-;225;-;107;2171;35903;-;52;-;-;-;-;-;-;2;88;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8091;66835
03/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2985;84;554;495;-;305;42;-;-;-;-;-;20;-;36;272;13512;587;4;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;176;19129
03/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;2574;2;15694;-;251;210;-;-;-;-;-;328;-;-;1;24726;-;-;-;-;2;-;-;-;-;204;-;-;-;-;-;2;-;-;-;1;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;44047
03/2024;qtd_aprovada;"110018 PIMENTA BUENO";439;64;-;11226;-;1057;-;-;-;-;-;-;252;-;-;154;22945;67;32;-;-;-;-;-;-;-;261;-;1;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;3561;40145
03/2024;qtd_aprovada;"110020 PORTO VELHO";7338;5506;22342;511878;7834;17574;4066;4149;73;292;346;10;13042;9121;4820;22166;467266;4503;821;2398;4576;5105;1688;-;2539;-;5762;-;193;211;2;23;-;5;2;-;12;1;547;-;174;45;874;-;-;-;167;163585;4372;104;-;14382;1309914
03/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;99;-;784;-;34;-;-;-;-;-;-;14;-;-;-;713;261;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1968
03/2024;qtd_aprovada;"110026 RIO CRESPO";4;19;284;289;-;-;-;-;-;-;-;-;-;-;-;32;4548;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5182
03/2024;qtd_aprovada;"110028 ROLIM DE MOURA";5958;116;667;23448;-;871;320;99;207;-;-;-;611;-;-;683;52507;806;388;-;-;6;-;-;144;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9369;96217
03/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5252;242;67;3255;-;74;5;-;-;-;-;-;8;-;-;97;6597;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;818;16440
03/2024;qtd_aprovada;"110030 VILHENA";9023;548;5135;9477;-;4928;741;672;829;-;190;-;1006;-;-;1523;103533;738;53;-;-;-;-;-;-;-;825;-;60;-;-;1;-;-;-;-;-;4;158;-;297;-;-;-;-;-;-;-;467;-;-;-;140208
03/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";2230;131;1;2344;-;338;12;-;-;-;-;-;3;-;-;271;6476;-;1;-;-;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5975;17788
03/2024;qtd_aprovada;"110033 NOVA MAMORE";-;242;1;7638;-;538;26;-;-;-;-;-;48;-;-;408;11589;86;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;23;20733
03/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";9;76;-;4885;-;-;174;-;-;-;-;-;-;-;-;1;7290;178;-;-;-;-;-;-;-;-;37;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12653
03/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1634;105;1574;2151;-;-;97;-;-;-;-;-;120;-;-;1168;7024;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4361;18237
03/2024;qtd_aprovada;"110040 ALTO PARAISO";3993;3047;-;4592;-;339;-;-;-;-;-;-;49;-;-;191;10911;-;1;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;925;24084
03/2024;qtd_aprovada;"110045 BURITIS";12443;94;201;22195;-;934;192;-;-;-;-;-;363;-;6;1989;30977;1551;3;-;-;10;850;-;191;-;117;-;6;-;1;-;2;-;-;-;-;-;152;-;3;-;-;-;-;-;-;-;-;-;-;12810;85090
03/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;54;-;4025;-;-;142;-;-;-;-;-;148;-;65;2345;6259;162;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4117;17380
03/2024;qtd_aprovada;"110060 CACAULANDIA";2788;22;2261;2101;-;-;44;-;-;-;-;-;4;-;13;122;5063;125;3;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12552
03/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5960;254;13;1502;-;-;-;-;-;-;-;-;5;-;-;639;7208;-;-;-;-;-;-;-;-;-;14;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;15600
03/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";28;-;-;10508;-;-;209;-;-;-;-;-;13;-;-;95;1867;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12720
03/2024;qtd_aprovada;"110090 CASTANHEIRAS";1076;-;35;719;-;-;87;-;-;-;-;-;1;-;-;104;4285;-;-;-;-;-;93;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;15;6423
03/2024;qtd_aprovada;"110092 CHUPINGUAIA";2;-;-;2680;-;-;-;-;-;-;-;-;-;-;-;153;6282;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;834;9951
03/2024;qtd_aprovada;"110094 CUJUBIM";4448;92;252;7499;-;1051;142;-;-;-;-;-;126;-;8;120;17187;-;-;-;-;-;-;-;-;-;46;-;1;-;-;-;-;-;-;-;-;1;43;-;5;-;-;-;-;-;-;-;-;-;-;1160;32181
03/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;52;-;1254;-;125;14;-;-;-;-;-;54;-;-;-;3355;300;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5177
03/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";1217;4;-;3197;-;179;-;-;-;-;-;-;-;-;-;100;9113;1487;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150;15448
03/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;20;-;761;-;232;-;-;-;-;-;-;10;-;4;51;8168;147;55;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;9535
03/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;18;-;1284;-;753;189;-;-;-;-;-;-;-;-;-;7534;-;-;-;-;-;-;-;-;-;349;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10142
03/2024;qtd_aprovada;"110140 MONTE NEGRO";1389;60;-;6734;-;397;125;-;-;-;-;-;72;-;-;727;5972;258;-;-;-;-;-;-;-;-;41;-;6;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;30;-;-;3597;19435
03/2024;qtd_aprovada;"110143 NOVA UNIAO";-;142;-;1619;-;514;-;-;-;-;-;-;1422;-;-;-;5746;-;-;-;-;-;-;-;-;-;12;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9473
03/2024;qtd_aprovada;"110145 PARECIS";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;678
03/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";696;8;4;549;-;-;-;-;-;-;-;-;9;-;-;102;2337;-;-;-;-;-;20;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;300;4036
03/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";620;-;-;77;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;727
03/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";1304;23;386;681;-;-;-;-;-;-;-;-;-;-;-;59;7042;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1122;10617
03/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";9463;240;1240;12904;-;385;51;-;-;-;-;-;42;-;-;789;14391;1224;2;-;-;-;490;-;-;-;74;-;1;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;-;6850;48252
03/2024;qtd_aprovada;"110150 SERINGUEIRAS";8910;160;40;2205;-;193;191;-;-;-;-;-;20;-;-;337;14061;153;-;-;-;-;214;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;1884;28464
03/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;57;2771;-;-;-;-;-;-;-;-;-;38;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2868
03/2024;qtd_aprovada;"110160 THEOBROMA";590;31;-;4334;-;82;-;-;-;-;-;-;7;-;-;25;3326;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8431
03/2024;qtd_aprovada;"110170 URUPA";-;22;3;3684;-;324;95;-;-;-;-;-;10;-;-;74;5198;510;-;-;-;-;-;-;-;-;52;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9973
03/2024;qtd_aprovada;"110175 VALE DO ANARI";-;7;70;5187;-;-;-;-;-;-;-;-;-;-;-;291;3455;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9047
03/2024;qtd_aprovada;"110180 VALE DO PARAISO";419;-;-;182;-;-;-;-;-;-;-;-;9;-;-;-;3348;-;-;-;-;-;-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3980
03/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"120001 ACRELANDIA";-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;460;3018;-;-;-;-;-;-;-;-;-;191;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3846
03/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5653;-;305;-;-;-;-;-;-;51;-;-;282;4682;-;-;-;-;-;-;-;-;-;34;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11011
03/2024;qtd_aprovada;"120010 BRASILEIA";-;11;8;10255;-;9019;116;116;-;-;-;-;69;128;-;7;14427;150;201;-;734;158;10;-;-;-;229;-;12;-;-;-;7;-;-;-;1;-;40;-;1;3;-;-;-;-;-;-;25;-;-;-;35727
03/2024;qtd_aprovada;"120013 BUJARI";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50
03/2024;qtd_aprovada;"120017 CAPIXABA";28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;343
03/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";17848;948;481;63799;-;3092;1495;1321;-;-;8;-;818;378;293;852;47914;1739;206;-;860;260;-;-;8;-;144;-;1;-;-;-;-;-;-;-;-;-;2;-;12;12;30;-;-;-;-;18038;37;36;-;-;160632
03/2024;qtd_aprovada;"120025 EPITACIOLANDIA";2;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180
03/2024;qtd_aprovada;"120030 FEIJO";-;-;-;10638;-;365;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11141
03/2024;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
03/2024;qtd_aprovada;"120033 MANCIO LIMA";110;51;1061;5600;-;830;-;-;-;-;-;-;151;-;-;1011;15078;270;8;-;-;-;-;-;-;-;274;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;24562
03/2024;qtd_aprovada;"120034 MANOEL URBANO";-;39;34;3410;-;120;-;-;-;-;-;-;35;-;-;59;7751;-;-;-;-;-;-;-;-;-;61;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11512
03/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;13;1447;3972;-;-;-;-;-;-;-;-;-;-;-;846;10806;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17112
03/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";43;95;1625;5558;-;439;-;-;-;-;-;-;65;-;200;190;8602;150;-;-;-;-;13;-;-;-;152;-;5;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;17143
03/2024;qtd_aprovada;"120039 PORTO WALTER";80;24;-;-;-;78;-;-;-;-;-;-;15;-;-;103;1959;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2266
03/2024;qtd_aprovada;"120040 RIO BRANCO";30490;1689;11628;286292;4218;16056;3588;6681;1604;92;404;46;5838;3012;1267;13339;376005;2716;337;808;4518;2328;10657;-;413;-;3849;2;85;396;7;46;-;16;-;-;1;-;1637;2;394;9;240;-;-;-;96;124225;1669;60;-;7070;923830
03/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;146;-;-;-;-;-;-;61;-;-;115;7183;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7620
03/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
03/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;12;-;23075;-;610;-;-;-;-;-;-;10;-;-;171;6049;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30034
03/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;103;102;14230;-;1884;108;-;-;-;-;-;129;-;-;46;13406;-;4;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30069
03/2024;qtd_aprovada;"120060 TARAUACA";-;20;-;5852;-;377;-;-;-;-;-;-;-;-;-;-;5182;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;11566
03/2024;qtd_aprovada;"120070 XAPURI";-;14;-;5091;-;216;-;-;-;-;-;-;-;-;-;36;7404;-;-;-;-;-;-;-;-;-;260;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;13037
03/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
03/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;696;-;124;297;-;-;-;6;-;16;-;-;-;2353;-;-;-;-;-;-;-;-;-;50;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3546
03/2024;qtd_aprovada;"130006 AMATURA";-;-;-;2006;-;241;-;-;-;-;-;-;39;-;-;105;16567;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18961
03/2024;qtd_aprovada;"130008 ANAMA";-;-;-;2609;-;309;258;-;-;-;-;-;21;-;-;31;480;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3753
03/2024;qtd_aprovada;"130010 ANORI";-;157;-;5675;-;245;37;-;-;-;-;-;66;-;-;35;2407;-;-;-;-;-;-;-;-;-;135;-;25;-;45;-;-;25;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8877
03/2024;qtd_aprovada;"130014 APUI";-;83;6;829;-;409;47;-;-;-;-;-;62;-;-;150;3402;372;8;-;-;1;-;-;-;-;117;-;6;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;5511
03/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;6039;-;116;413;-;-;-;-;-;116;-;1;152;7494;-;-;-;-;-;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;41;14646
03/2024;qtd_aprovada;"130030 AUTAZES";31;18;-;5774;-;1684;696;-;-;-;-;-;541;-;-;291;53560;-;8;-;-;-;-;-;-;-;21;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;720;63354
03/2024;qtd_aprovada;"130040 BARCELOS";-;28;-;43;-;50;23;-;-;-;-;-;-;-;-;-;1649;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1800
03/2024;qtd_aprovada;"130050 BARREIRINHA";-;58;-;1756;-;450;11;-;-;-;-;-;41;-;-;152;3760;-;-;-;-;-;22;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;6332
03/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;-;-;967;455;-;-;-;-;-;78;-;-;378;2458;-;7;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4586
03/2024;qtd_aprovada;"130063 BERURI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;404;-;4322;-;358;120;-;-;-;-;-;-;-;1;-;4600;99;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;9937
03/2024;qtd_aprovada;"130070 BOCA DO ACRE";466;135;-;28387;-;4533;61;-;-;-;-;-;164;-;-;-;4486;-;-;-;-;-;811;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;479;-;-;-;-;-;-;-;-;-;66;-;-;-;39588
03/2024;qtd_aprovada;"130080 BORBA";54;58;25;1045;-;225;51;-;-;-;-;-;56;-;-;842;5541;328;-;-;-;-;-;-;105;-;235;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8566
03/2024;qtd_aprovada;"130083 CAAPIRANGA";-;47;-;1300;-;118;125;-;-;-;-;-;28;-;-;-;2677;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;4420
