periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
03/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";-;195;2930;2684;-;149;139;-;-;-;-;-;80;-;-;26;25597;1140;152;-;-;-;-;-;-;-;-;482;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13236;-;-;-;-;-;46810
03/2025;qtd_aprovada;"110002 ARIQUEMES";38256;208;49447;44058;-;3487;1443;1545;-;-;15;-;2932;217;5;5554;117171;413;-;-;2340;-;993;-;-;-;-;355;-;13;430;-;4;-;-;-;-;-;-;89;1;2;17;-;-;-;-;-;-;58168;642;45;-;10788;-;-;-;-;-;338638
03/2025;qtd_aprovada;"110003 CABIXI";155;-;-;2238;-;159;-;-;-;-;-;-;2;-;4;56;4164;57;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6855
03/2025;qtd_aprovada;"110004 CACOAL";428;184;1274;52891;-;2379;894;2210;200;-;19;-;850;-;-;462;41351;1818;312;1001;1925;12;77;-;43;-;-;1523;-;15;4;-;3;141;1;4;-;-;3;14;3;227;11;-;-;-;-;-;-;67837;668;36;-;12330;-;-;-;-;-;191150
03/2025;qtd_aprovada;"110005 CEREJEIRAS";14671;-;339;4187;-;1408;221;922;-;-;-;-;43;-;-;1051;28657;-;22;-;-;-;202;-;-;-;-;14;-;1;-;-;1;4;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;5198;-;-;-;-;-;56968
03/2025;qtd_aprovada;"110006 COLORADO DO OESTE";-;49;-;-;-;1035;148;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1233
03/2025;qtd_aprovada;"110007 CORUMBIARA";6054;215;6;2597;-;1;90;-;-;-;-;-;13;-;-;489;10206;211;-;-;-;-;302;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;1008;-;-;-;-;-;21277
03/2025;qtd_aprovada;"110008 COSTA MARQUES";1031;155;-;6306;-;-;44;-;-;-;-;-;-;-;-;161;6324;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14022
03/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";956;133;-;9925;-;1302;173;-;-;-;-;-;9;-;-;-;23673;656;7;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;6129;-;-;-;-;-;43062
03/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1535;69;28;1930;-;459;135;-;-;-;-;-;166;-;-;545;18801;814;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24490
03/2025;qtd_aprovada;"110011 JARU";-;105;-;31550;-;3540;363;-;39;-;43;-;259;-;-;133;119803;218;16;-;-;11;-;-;-;-;-;142;-;4;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13603;-;-;-;-;-;169831
03/2025;qtd_aprovada;"110012 JI-PARANA";1324;-;103;18871;322;321;662;1292;1096;-;125;-;825;-;-;1847;130762;-;13643;-;2058;59;-;-;5;-;-;2731;-;9;-;-;-;-;-;-;-;-;23;-;3;251;21;-;-;-;-;-;-;104494;9;23;-;11680;-;-;-;-;-;292559
03/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";3202;88;-;6536;-;1623;192;-;-;-;-;-;212;-;20;1670;28698;-;35;-;-;2;-;-;-;-;-;58;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10324;-;-;-;-;-;52663
03/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2310;76;674;1348;-;348;142;-;-;-;-;-;48;-;13;347;13031;463;15;-;-;4;-;-;-;-;-;129;-;-;-;-;-;-;1;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;2119;-;-;-;-;-;21075
03/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";432;3123;1;15951;-;792;610;-;-;-;-;-;212;-;-;245;20015;-;6;-;-;-;-;-;-;-;-;213;-;-;1;-;-;-;-;-;-;-;-;-;3;28;-;-;-;-;-;-;-;-;-;-;-;5975;-;-;-;-;-;47607
03/2025;qtd_aprovada;"110018 PIMENTA BUENO";410;-;-;15207;-;1279;351;-;-;-;-;-;580;-;-;433;32009;127;45;-;-;-;-;-;-;-;-;254;-;1;-;-;-;6;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;4299;-;-;-;-;-;55101
03/2025;qtd_aprovada;"110020 PORTO VELHO";15242;7103;33884;179095;9950;16647;4991;4808;595;127;238;-;17563;11136;3833;24422;523974;5663;686;2770;5046;5905;1128;-;6835;-;-;4901;2;121;739;4;21;-;41;15;13;-;10;339;-;1215;29;467;4;10;-;93;-;196720;4329;106;-;17203;-;-;-;-;-;1108023
03/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;102;-;-;-;493;-;-;-;-;-;-;36;-;-;-;917;1152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2700
03/2025;qtd_aprovada;"110026 RIO CRESPO";2;6;463;464;-;-;-;-;-;-;-;-;-;-;-;37;3666;-;-;-;-;-;-;-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4644
03/2025;qtd_aprovada;"110028 ROLIM DE MOURA";7061;106;532;22368;-;875;356;90;120;-;-;-;247;-;-;2086;62019;277;160;-;-;25;-;-;52;5;-;418;-;-;-;-;-;-;-;-;1;-;-;-;-;38;-;-;-;-;-;-;-;32439;1;-;-;12613;-;-;-;-;-;141889
03/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5742;125;5;3362;-;337;-;-;-;-;-;-;5;-;-;87;6115;216;20;-;-;-;93;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;54;3;-;-;-;-;-;-;-;-;-;-;-;-;1731;-;-;-;-;-;17921
03/2025;qtd_aprovada;"110030 VILHENA";1313;495;3096;33315;-;2180;245;39;409;-;2;-;278;-;15;1122;53671;686;19;-;366;51;-;-;9;-;-;151;-;6;174;-;1;-;3;-;-;2;-;-;-;60;19;-;-;-;-;-;-;-;526;44;-;-;-;-;-;-;-;98297
03/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";8517;116;1;1950;-;252;98;-;-;-;-;-;16;-;1;44;9673;107;15;-;-;-;409;-;-;-;-;10;-;5;-;-;-;3;-;-;3;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;5040;-;-;-;-;-;26284
03/2025;qtd_aprovada;"110033 NOVA MAMORE";386;132;11;6752;-;586;91;-;-;-;-;-;31;-;33;294;12620;183;1;-;-;-;-;-;-;-;-;132;-;4;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;5794;-;-;-;-;-;27053
03/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";-;189;-;7401;-;566;29;-;-;-;-;-;-;-;-;27;5545;305;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;14120
03/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1543;-;2355;2797;-;-;108;-;-;-;-;-;10;-;-;1365;7467;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4285;-;-;-;-;-;19937
03/2025;qtd_aprovada;"110040 ALTO PARAISO";2663;2590;-;5340;-;403;157;-;-;-;-;-;28;-;-;382;13457;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3493;-;-;-;-;-;28537
03/2025;qtd_aprovada;"110045 BURITIS";14234;100;220;15545;-;1032;122;-;-;-;-;-;300;-;1;2046;31762;973;7;-;-;4;1540;-;95;-;-;138;-;5;-;1;-;5;-;-;-;-;-;192;2;4;-;-;-;-;-;-;-;-;-;-;-;15872;-;-;-;-;-;84200
03/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;2786;-;479;-;-;-;-;-;-;41;-;91;-;4582;199;-;-;-;-;-;-;-;-;-;80;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3190;-;-;-;-;-;11456
03/2025;qtd_aprovada;"110060 CACAULANDIA";1642;3;1459;1557;-;-;32;-;-;-;-;-;5;-;7;73;2785;119;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;462;-;-;-;-;-;8146
03/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4357;-;22;1865;-;154;-;-;-;-;-;-;-;-;-;482;6151;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;920;-;-;-;-;-;13954
03/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";25;-;23;8002;-;595;52;-;-;-;-;-;-;-;-;102;2675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11474
03/2025;qtd_aprovada;"110090 CASTANHEIRAS";1057;-;25;238;-;-;69;-;-;-;-;-;-;-;-;123;3515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;432;-;-;-;-;-;5459
03/2025;qtd_aprovada;"110092 CHUPINGUAIA";2;-;-;3530;-;-;-;-;-;-;-;-;-;-;-;194;6562;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;10528
03/2025;qtd_aprovada;"110094 CUJUBIM";45;82;18;-;-;963;220;-;-;-;-;-;8;-;-;224;10692;-;1;-;-;-;-;-;-;1;-;36;-;-;1;-;7;1;-;-;-;-;-;56;1;4;-;-;-;-;-;-;-;-;-;-;-;580;-;-;-;-;-;12940
03/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;37;-;2396;-;103;-;-;-;-;-;-;62;-;-;-;6547;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9187
03/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";846;25;-;2027;-;144;4;-;-;-;-;-;-;-;-;141;8097;1453;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;300;-;-;-;-;-;13083
03/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;920;-;274;81;-;-;-;-;-;10;-;-;85;5569;104;96;-;-;-;-;-;-;-;-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;7338
03/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;72;226;623;-;330;82;-;-;-;-;-;-;-;-;8;7684;94;-;-;-;-;-;-;-;-;-;166;-;26;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9312
03/2025;qtd_aprovada;"110140 MONTE NEGRO";1345;21;-;4992;-;352;197;-;-;-;-;-;20;-;-;573;4989;188;1;-;-;-;-;-;-;-;-;28;-;2;-;-;-;-;-;-;-;-;-;-;2;22;-;-;-;-;-;-;-;-;28;-;-;2753;-;-;-;-;-;15513
03/2025;qtd_aprovada;"110143 NOVA UNIAO";-;178;-;2435;-;567;69;-;-;-;-;-;1578;-;-;-;6586;-;-;-;-;-;-;-;-;-;-;15;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11441
03/2025;qtd_aprovada;"110145 PARECIS";-;19;-;3300;-;-;-;-;-;-;-;-;175;-;-;85;11780;-;81;-;-;-;-;-;159;-;-;438;-;-;-;-;-;-;-;-;-;-;-;-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16125
03/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1614;5;1;216;-;-;-;-;-;-;-;-;3;-;-;92;2371;-;-;-;-;-;41;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;4673
03/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";567;28;-;1161;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;1916
03/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";772;27;634;835;-;-;89;-;-;-;-;-;-;-;-;48;4418;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1727;-;-;-;-;-;8552
03/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";8138;196;1063;10478;-;266;121;-;-;-;-;-;48;-;-;788;13619;2009;1;-;-;-;313;-;-;-;-;43;-;1;-;-;-;-;-;-;-;-;-;111;-;1;-;-;-;-;-;-;-;-;-;-;-;7810;-;-;-;-;-;45006
03/2025;qtd_aprovada;"110150 SERINGUEIRAS";10043;-;19;3245;-;236;129;-;42;-;-;-;63;-;-;308;11736;139;1;-;-;-;287;-;-;-;-;16;-;1;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;26289
03/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;19;-;1058;-;-;-;-;-;-;-;-;634;-;-;78;11577;-;-;-;-;-;-;-;-;-;-;77;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;766;-;-;-;-;-;14224
03/2025;qtd_aprovada;"110160 THEOBROMA";439;30;-;3530;-;193;38;-;-;-;-;-;11;-;-;17;3828;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8087
03/2025;qtd_aprovada;"110170 URUPA";166;22;2;4322;-;128;-;5;-;-;-;-;25;-;-;111;5065;-;-;-;-;1;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9896
03/2025;qtd_aprovada;"110175 VALE DO ANARI";656;9;98;2832;-;-;74;-;-;-;-;-;1;-;10;90;3694;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4697;-;-;-;-;-;12164
03/2025;qtd_aprovada;"110180 VALE DO PARAISO";190;26;-;-;-;-;-;-;-;-;-;-;3;-;-;-;2773;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;3099
03/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"120001 ACRELANDIA";-;82;198;-;-;344;-;-;-;-;-;-;-;-;-;887;3216;-;-;-;-;-;-;-;-;-;-;215;-;6;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4950
03/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;57;-;9821;-;286;-;-;-;-;-;-;77;-;-;379;6300;-;-;-;-;-;-;-;-;-;-;38;-;3;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16965
03/2025;qtd_aprovada;"120010 BRASILEIA";-;48;-;15869;-;11771;92;-;-;-;-;-;63;28;-;115;22404;261;77;-;883;38;15;-;-;-;-;215;-;18;-;-;-;47;3;-;-;-;-;39;-;-;8;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;51995
03/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32
03/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;221;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;221
03/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";24558;1465;391;52100;-;1629;1096;656;538;-;25;-;1021;525;289;1130;55088;1417;158;-;789;352;2;-;54;-;-;315;-;1;-;-;-;-;-;-;-;-;-;14;-;16;24;-;-;-;-;-;-;19578;30;70;-;-;-;-;-;-;-;163331
03/2025;qtd_aprovada;"120025 EPITACIOLANDIA";12;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;222;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258
03/2025;qtd_aprovada;"120030 FEIJO";-;9;-;13987;-;666;-;-;-;-;-;-;-;-;-;-;5521;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20232
03/2025;qtd_aprovada;"120032 JORDAO";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;30;717;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;762
03/2025;qtd_aprovada;"120033 MANCIO LIMA";-;95;1007;5590;-;551;99;-;-;-;-;-;52;-;-;884;13865;-;-;-;-;-;-;-;-;-;-;297;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;22597
03/2025;qtd_aprovada;"120034 MANOEL URBANO";-;35;61;3941;-;-;-;-;-;-;-;-;19;-;-;60;6232;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10411
03/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;26;1480;1344;-;-;-;-;-;-;-;-;-;-;-;789;12486;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16184
03/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";1323;36;2205;9324;-;516;-;-;-;-;-;-;44;-;-;255;10512;-;-;-;-;-;-;-;-;-;-;134;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24349
03/2025;qtd_aprovada;"120039 PORTO WALTER";283;16;-;-;-;42;-;-;-;-;-;-;39;-;-;190;3046;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3620
03/2025;qtd_aprovada;"120040 RIO BRANCO";34949;1069;8135;311869;1957;16195;4323;7799;1110;100;157;16;9078;6826;155;16387;436356;4266;535;989;5213;2031;4823;-;633;-;-;3547;-;110;345;-;39;-;31;-;-;-;-;620;-;274;10;305;-;-;-;112;-;170972;1671;50;-;8213;-;-;-;-;-;1061270
03/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;60;-;-;189;-;-;-;-;-;-;32;-;-;119;7385;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7841
03/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;66;-;2636;-;238;-;-;-;-;-;-;27;-;-;-;920;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3894
03/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;15;-;20578;-;560;-;-;-;-;-;-;53;-;-;435;6341;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28046
03/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;171;178;18268;-;1902;-;-;-;-;-;-;150;-;-;189;13478;-;20;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34465
03/2025;qtd_aprovada;"120060 TARAUACA";-;16;-;8134;-;657;-;-;-;-;-;-;-;-;-;-;5816;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14742
03/2025;qtd_aprovada;"120070 XAPURI";-;29;-;7202;-;444;18;-;-;-;-;-;19;-;84;297;11659;-;-;-;-;-;-;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20030
03/2025;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60
03/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"130002 ALVARAES";-;-;-;1306;-;188;21;-;-;-;-;-;69;-;-;-;6222;-;-;-;-;-;-;-;-;-;-;64;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;8087
03/2025;qtd_aprovada;"130006 AMATURA";14;-;-;3603;-;212;168;-;-;-;-;-;-;-;-;-;39896;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43980
03/2025;qtd_aprovada;"130008 ANAMA";-;-;-;3080;-;337;203;-;-;-;-;-;22;-;-;85;549;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;4420
03/2025;qtd_aprovada;"130010 ANORI";-;149;-;2484;-;404;29;-;-;-;-;-;97;-;-;-;4037;-;-;-;-;-;-;-;-;-;-;110;-;28;-;50;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7406
03/2025;qtd_aprovada;"130014 APUI";-;116;-;751;-;791;198;-;-;-;-;-;100;-;-;137;3602;-;6;-;-;7;-;-;-;-;-;43;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;5780
03/2025;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;3497;-;454;241;-;-;-;-;-;58;-;31;126;12675;-;1;-;-;-;-;-;-;-;-;195;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;359;-;-;-;-;-;17638
