periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
05/2024;qtd_aprovada;"210300 CAXIAS";31508;274;21253;76405;377;2769;2570;2077;282;-;195;-;1717;789;148;5728;202127;10298;35;18;3975;982;3181;301;-;712;-;50;167;88;-;176;-;-;-;-;-;2066;-;-;-;43;-;-;-;-;-;-;320;71;-;-;370702
05/2024;qtd_aprovada;"210310 CEDRAL";-;28;-;592;-;-;-;-;-;-;-;-;-;-;-;8;3109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;708;4445
05/2024;qtd_aprovada;"210312 CENTRAL DO MARANHAO";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;196;5123;-;-;-;-;-;80;-;-;86;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;5544
05/2024;qtd_aprovada;"210315 CENTRO DO GUILHERME";266;-;-;6381;-;-;-;-;-;-;-;-;-;-;-;-;17668;-;-;-;-;-;98;-;-;270;-;-;-;-;-;-;-;-;-;-;99;-;50;-;-;-;-;-;-;-;-;-;-;-;-;720;25552
05/2024;qtd_aprovada;"210317 CENTRO NOVO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"210320 CHAPADINHA";-;286;858;31162;377;3444;811;662;-;-;64;-;1261;79;-;1691;78375;3327;2;-;1649;-;11;2040;-;819;-;9;-;-;-;-;-;-;-;-;-;14;-;-;1;16;-;-;-;-;-;-;39;45;-;3248;130290
05/2024;qtd_aprovada;"210325 CIDELANDIA";-;54;-;6578;-;-;76;-;-;-;20;-;11;-;-;-;7161;82;-;-;-;-;-;-;-;68;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;139;14237
05/2024;qtd_aprovada;"210330 CODO";1338;145;203;34968;77;4237;701;-;-;-;28;-;910;564;69;2223;103389;5775;303;-;1954;449;330;-;-;951;-;35;-;-;-;-;-;-;-;-;10;58;20;-;-;13;-;-;-;-;-;-;-;9;-;9070;167829
05/2024;qtd_aprovada;"210340 COELHO NETO";1160;67;21;7856;375;744;301;18;-;-;-;-;435;31;-;2059;37345;1387;-;-;-;-;51;-;-;70;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;1608;53559
05/2024;qtd_aprovada;"210350 COLINAS";196;33;-;3832;129;459;372;306;-;-;-;-;13;65;-;299;29937;-;-;-;-;-;195;-;-;43;-;-;-;-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36076
05/2024;qtd_aprovada;"210355 CONCEICAO DO LAGO-ACU";-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;532;602
05/2024;qtd_aprovada;"210360 COROATA";7;41;-;72139;-;1604;1199;1313;-;-;101;-;842;-;-;98;60532;789;2;-;-;-;225;-;-;219;-;21;50;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;139187
05/2024;qtd_aprovada;"210370 CURURUPU";-;106;-;2976;-;543;198;22;-;-;-;-;-;-;-;1893;11318;210;7;-;-;-;96;-;-;68;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;17473
05/2024;qtd_aprovada;"210375 DAVINOPOLIS";280;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201;5657;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6138
05/2024;qtd_aprovada;"210380 DOM PEDRO";1389;-;-;10;-;-;-;-;-;-;-;-;64;-;-;293;16958;-;5;-;-;-;-;6;-;668;-;18;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19428
05/2024;qtd_aprovada;"210390 DUQUE BACELAR";-;44;61;2254;-;-;19;-;-;-;-;-;-;-;-;329;8246;-;-;-;-;-;79;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;11081
05/2024;qtd_aprovada;"210400 ESPERANTINOPOLIS";-;-;245;849;-;443;154;-;-;-;32;-;-;-;-;-;15769;48;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;872;18530
05/2024;qtd_aprovada;"210405 ESTREITO";30504;90;178;10331;-;333;430;-;-;-;-;-;174;-;-;744;37158;518;85;-;-;-;908;-;-;295;-;5;-;-;40;-;-;-;-;-;-;205;20;-;-;-;-;-;-;-;-;-;20;-;-;5674;87712
05/2024;qtd_aprovada;"210407 FEIRA NOVA DO MARANHAO";-;123;-;900;-;-;32;-;-;-;-;-;-;-;-;-;1722;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1753;4746
05/2024;qtd_aprovada;"210408 FERNANDO FALCAO";148;20;-;971;-;-;85;-;-;-;-;-;72;-;-;53;3951;-;-;-;-;-;125;-;-;449;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;3978;9895
05/2024;qtd_aprovada;"210409 FORMOSA DA SERRA NEGRA";-;21;14;4251;-;134;7;-;-;-;-;-;-;-;-;-;2928;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;6;-;-;-;7402
05/2024;qtd_aprovada;"210410 FORTALEZA DOS NOGUEIRAS";-;10;-;1657;-;-;-;-;-;-;-;-;-;-;38;47;3046;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4798
05/2024;qtd_aprovada;"210420 FORTUNA";-;19;-;-;-;-;48;-;-;-;-;-;11;-;-;-;14731;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;2799;17624
05/2024;qtd_aprovada;"210430 GODOFREDO VIANA";-;17;-;614;-;-;-;-;-;-;-;-;-;-;-;360;1047;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;176;2214
05/2024;qtd_aprovada;"210440 GONCALVES DIAS";103;5;-;686;-;26;-;-;-;-;-;-;-;-;-;85;1991;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;2973
05/2024;qtd_aprovada;"210450 GOVERNADOR ARCHER";-;12;385;1590;-;-;-;-;-;-;-;-;-;-;-;207;7711;-;25;-;-;-;-;-;-;286;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;5020;15302
05/2024;qtd_aprovada;"210455 GOVERNADOR EDISON LOBAO";-;55;-;313;-;-;120;-;-;-;-;-;-;-;-;-;4873;-;-;-;-;-;-;-;-;44;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;1155;6578
05/2024;qtd_aprovada;"210460 GOVERNADOR EUGENIO BARROS";19;68;-;1355;-;-;50;-;-;-;-;-;186;-;-;99;1290;-;5;-;-;-;-;-;-;1113;-;-;-;-;-;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;24;-;-;2673;6887
05/2024;qtd_aprovada;"210462 GOVERNADOR LUIZ ROCHA";403;48;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1684;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;771;2940
05/2024;qtd_aprovada;"210465 GOVERNADOR NEWTON BELLO";-;17;-;-;-;37;102;-;-;-;-;-;-;-;-;418;2383;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;1656;4740
05/2024;qtd_aprovada;"210467 GOVERNADOR NUNES FREIRE";-;69;-;-;-;446;129;-;-;-;-;-;-;-;-;305;17952;-;120;-;-;-;-;108;-;263;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;300;19692
05/2024;qtd_aprovada;"210470 GRACA ARANHA";-;6;-;697;-;-;-;-;-;-;-;-;-;-;-;-;928;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;2600;4251
05/2024;qtd_aprovada;"210480 GRAJAU";1283;143;19;29027;704;4027;357;-;-;-;-;-;220;-;16;1226;49907;363;1;-;-;-;88;-;-;707;-;191;-;-;-;10;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;21;-;-;107770;196091
05/2024;qtd_aprovada;"210490 GUIMARAES";-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;377;100;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;543
05/2024;qtd_aprovada;"210500 HUMBERTO DE CAMPOS";-;45;17;2538;-;218;222;-;-;-;-;-;171;-;-;246;11549;407;-;-;-;-;101;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;15700
05/2024;qtd_aprovada;"210510 ICATU";-;27;-;4956;-;-;-;-;-;-;-;-;-;-;-;97;5986;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;1170;12317
05/2024;qtd_aprovada;"210515 IGARAPE DO MEIO";-;63;-;3519;-;875;149;-;-;-;-;-;-;-;123;1017;8781;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;514;15211
05/2024;qtd_aprovada;"210520 IGARAPE GRANDE";-;-;-;2405;-;-;-;-;-;-;-;-;36;-;-;87;3350;-;-;-;-;-;-;-;-;114;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;297;6310
05/2024;qtd_aprovada;"210530 IMPERATRIZ";6589;1008;1202;129742;1652;5590;3292;2130;496;-;206;-;3268;2384;-;8862;228532;2198;1437;788;6703;2555;70;4;-;2138;-;70;754;-;11;144;50;-;-;-;-;6;1208;-;264;73;-;-;-;-;-;-;-;170;-;-;413596
05/2024;qtd_aprovada;"210535 ITAIPAVA DO GRAJAU";15;36;-;1887;-;-;180;-;-;-;24;-;-;-;-;161;8960;-;-;-;-;-;13;-;-;70;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6470;17817
05/2024;qtd_aprovada;"210540 ITAPECURU MIRIM";37;26;66;15153;-;1205;635;-;-;-;-;-;255;85;-;1461;33231;2;30;-;-;-;-;-;-;313;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4730;57242
05/2024;qtd_aprovada;"210542 ITINGA DO MARANHAO";-;20;-;5076;-;-;103;-;-;-;-;-;-;-;-;-;3915;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9114
05/2024;qtd_aprovada;"210545 JATOBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
05/2024;qtd_aprovada;"210547 JENIPAPO DOS VIEIRAS";35;17;-;2093;-;184;-;-;-;-;-;-;8;-;-;-;7897;-;-;-;-;-;127;-;-;34;-;2;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;5243;15662
05/2024;qtd_aprovada;"210550 JOAO LISBOA";348;17;-;-;-;149;-;-;-;-;-;-;269;-;-;302;12871;-;-;-;-;-;131;-;-;92;-;-;-;-;-;-;-;-;-;-;-;114;-;-;-;-;-;-;-;-;-;-;23;-;-;-;14316
05/2024;qtd_aprovada;"210560 JOSELANDIA";-;14;23;-;-;-;1;-;-;-;-;-;-;-;-;106;5157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;6060;11381
05/2024;qtd_aprovada;"210565 JUNCO DO MARANHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"210570 LAGO DA PEDRA";7202;80;-;7925;-;475;394;945;-;-;72;-;242;-;27;1083;60622;1323;15;-;-;-;121;-;-;242;-;31;109;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;115;-;-;5177;86225
05/2024;qtd_aprovada;"210580 LAGO DO JUNCO";5362;12;8;372;-;21;-;-;-;-;-;-;-;-;-;300;4036;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;1036;11167
05/2024;qtd_aprovada;"210590 LAGO VERDE";-;15;-;-;-;224;82;-;-;-;-;-;-;-;-;484;4414;-;-;-;-;-;-;-;-;146;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;1704;7101
05/2024;qtd_aprovada;"210592 LAGOA DO MATO";-;-;-;1668;-;-;-;-;-;-;-;-;-;-;-;-;6986;192;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;731;9728
05/2024;qtd_aprovada;"210594 LAGO DOS RODRIGUES";-;12;-;1040;-;93;-;-;-;-;-;-;-;-;-;161;1224;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;392;2924
05/2024;qtd_aprovada;"210596 LAGOA GRANDE DO MARANHAO";-;8;14;-;-;-;-;-;-;-;-;-;-;-;-;12;6658;483;-;-;-;-;-;-;-;158;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;404;7766
05/2024;qtd_aprovada;"210598 LAJEADO NOVO";-;16;-;-;-;-;-;-;-;-;-;-;30;-;-;11;534;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;616
05/2024;qtd_aprovada;"210600 LIMA CAMPOS";9629;40;144;3158;357;705;141;-;-;-;-;-;47;-;-;1036;17580;83;20;-;-;-;817;-;-;165;-;13;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;20;-;-;377;34413
05/2024;qtd_aprovada;"210610 LORETO";206;-;-;1847;-;-;-;-;-;-;-;-;-;-;-;195;815;-;-;-;-;-;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;3088
05/2024;qtd_aprovada;"210620 LUIS DOMINGUES";153;30;-;-;-;-;-;-;-;-;-;-;-;-;-;77;584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;1172
05/2024;qtd_aprovada;"210630 MAGALHAES DE ALMEIDA";-;-;-;-;-;-;-;-;-;-;-;-;167;-;-;136;2669;218;-;-;-;-;145;-;-;33;-;7;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3378
05/2024;qtd_aprovada;"210632 MARACACUME";58;-;-;5026;-;-;-;-;-;-;-;-;-;-;-;-;17502;-;-;-;-;-;-;-;-;456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;23067
05/2024;qtd_aprovada;"210635 MARAJA DO SENA";-;-;-;165;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;196
05/2024;qtd_aprovada;"210637 MARANHAOZINHO";270;-;-;8958;-;849;172;-;-;-;-;-;806;-;-;400;10783;520;-;-;-;-;-;-;-;225;-;50;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;732;23868
05/2024;qtd_aprovada;"210640 MATA ROMA";220;124;6;-;-;-;-;-;-;-;-;-;-;-;-;205;7170;-;-;-;-;-;1602;-;-;181;-;7;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;1;-;-;2354;11950
05/2024;qtd_aprovada;"210650 MATINHA";-;18;-;-;-;730;33;-;-;-;-;-;-;-;-;640;14153;-;79;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15724
05/2024;qtd_aprovada;"210660 MATOES";3775;20;1;1797;-;592;51;-;-;-;-;-;-;-;-;1036;24274;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31581
05/2024;qtd_aprovada;"210663 MATOES DO NORTE";1590;23;-;7958;-;201;806;-;-;-;114;-;913;-;22;580;12164;80;-;-;-;-;-;-;-;134;-;9;156;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1176;25926
05/2024;qtd_aprovada;"210667 MILAGRES DO MARANHAO";65;-;-;1461;-;-;-;-;-;-;-;-;-;-;-;-;1580;-;-;-;-;-;10;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;196;3405
05/2024;qtd_aprovada;"210670 MIRADOR";336;7;-;1008;-;617;102;-;-;-;-;-;-;-;-;-;1644;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;9776;13516
05/2024;qtd_aprovada;"210675 MIRANDA DO NORTE";1114;64;23;5491;-;502;134;-;-;-;21;-;271;-;-;1067;13072;218;11;-;-;-;-;-;-;155;-;5;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;2652;24831
05/2024;qtd_aprovada;"210680 MIRINZAL";-;30;-;3406;-;-;-;-;-;-;-;-;-;-;-;420;16997;-;-;-;-;-;40;-;-;169;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;21100
05/2024;qtd_aprovada;"210690 MONCAO";-;41;-;5905;-;-;79;-;-;-;-;-;167;-;-;-;11626;218;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209;-;-;-;18327
05/2024;qtd_aprovada;"210700 MONTES ALTOS";5;19;-;-;-;-;30;-;-;-;-;-;-;-;-;482;9595;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;5305;15549
05/2024;qtd_aprovada;"210710 MORROS";-;-;-;12327;-;-;55;-;-;-;-;-;89;-;-;411;14491;-;-;-;-;-;20;-;-;218;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;972;28599
05/2024;qtd_aprovada;"210720 NINA RODRIGUES";-;-;-;1112;-;196;73;-;-;-;-;-;-;-;-;182;12462;-;2;-;-;-;33;-;-;68;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;267;14415
05/2024;qtd_aprovada;"210725 NOVA COLINAS";790;7;-;936;-;-;19;-;-;-;-;-;-;-;-;756;2929;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;5621
05/2024;qtd_aprovada;"210730 NOVA IORQUE";-;16;-;648;-;240;-;-;-;-;-;-;51;-;-;12;1828;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;468;3289
05/2024;qtd_aprovada;"210735 NOVA OLINDA DO MARANHAO";226;34;-;2346;-;221;143;-;-;-;-;-;70;-;-;15;3070;-;28;-;-;-;-;226;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;6537
05/2024;qtd_aprovada;"210740 OLHO D'AGUA DAS CUNHAS";-;-;-;54;-;776;99;-;-;-;-;-;-;-;-;1001;6507;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;156;8615
05/2024;qtd_aprovada;"210745 OLINDA NOVA DO MARANHAO";-;73;17;1715;-;-;99;-;-;-;-;-;-;-;-;317;8064;-;-;-;-;-;120;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;593;11094
05/2024;qtd_aprovada;"210750 PACO DO LUMIAR";395;67;-;19057;-;2060;365;-;-;-;-;-;722;-;-;2871;89934;460;-;-;-;-;-;-;-;401;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116332
05/2024;qtd_aprovada;"210760 PALMEIRANDIA";180;-;-;1624;-;25;203;-;-;-;-;-;-;-;-;123;4478;175;-;-;-;-;60;-;-;351;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;1068;8307
05/2024;qtd_aprovada;"210770 PARAIBANO";-;54;-;1794;-;214;-;-;-;-;-;-;29;-;-;195;16069;408;-;-;-;-;-;-;-;24;-;16;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;30;-;-;804;19640
05/2024;qtd_aprovada;"210780 PARNARAMA";162;-;-;3490;-;648;308;-;-;-;-;-;117;-;-;680;17129;43;50;-;-;-;112;-;-;27;-;20;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;42;-;-;1384;24319
05/2024;qtd_aprovada;"210790 PASSAGEM FRANCA";1;18;-;1195;-;-;-;-;-;-;-;-;-;-;-;-;687;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;568;2519
05/2024;qtd_aprovada;"210800 PASTOS BONS";15;-;-;16733;-;3909;-;-;-;-;-;-;-;-;-;-;15759;92;-;-;-;-;155;18;-;566;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37360
05/2024;qtd_aprovada;"210805 PAULINO NEVES";-;27;-;9182;-;400;237;-;-;-;-;-;16;-;-;243;8023;-;6;-;-;-;-;-;-;698;-;-;7;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;24;-;-;5625;24518
05/2024;qtd_aprovada;"210810 PAULO RAMOS";-;-;32;754;-;213;219;421;-;-;-;-;-;-;-;188;10748;-;-;-;-;-;-;-;-;170;-;4;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;21;-;-;-;12783
05/2024;qtd_aprovada;"210820 PEDREIRAS";149;101;306;3507;256;179;-;420;-;-;-;-;461;1029;-;579;6737;189;8;-;1351;750;116;-;-;3;-;149;-;-;-;6;-;-;-;-;-;11;-;-;-;3;-;-;-;-;-;-;31;9;-;581;16931
05/2024;qtd_aprovada;"210825 PEDRO DO ROSARIO";-;43;-;13530;-;-;-;-;-;-;-;-;-;-;-;534;1409;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15516
05/2024;qtd_aprovada;"210830 PENALVA";-;122;-;2556;-;511;52;-;-;-;-;-;19;-;-;607;10836;-;-;-;-;-;98;-;-;95;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;60;14986
05/2024;qtd_aprovada;"210840 PERI MIRIM";-;36;-;13619;-;-;-;-;-;-;-;-;-;-;-;-;3000;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16655
05/2024;qtd_aprovada;"210845 PERITORO";-;88;-;16943;-;682;573;-;-;-;-;-;23;-;-;515;35053;-;383;-;-;-;-;-;-;190;-;11;-;-;-;21;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;28;-;-;861;55384
05/2024;qtd_aprovada;"210850 PINDARE-MIRIM";-;15;-;2030;-;251;102;-;-;-;-;-;61;-;-;6909;16298;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25786
