periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
01/2024;qtd_aprovada;"510310 COCALINHO";1808;22;-;3263;-;146;160;-;-;-;-;-;2;-;-;382;12128;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;18107
01/2024;qtd_aprovada;"510320 COLIDER";20326;174;112;17590;-;1305;47;608;-;-;-;-;120;616;-;1174;27032;324;4;-;-;420;1084;-;-;169;-;7;-;-;-;-;1;-;-;-;-;72;-;34;-;-;-;-;-;-;-;-;-;-;8126;79345
01/2024;qtd_aprovada;"510325 COLNIZA";114;871;-;2265;-;350;-;-;35;-;-;-;-;-;3;226;3208;-;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;7306
01/2024;qtd_aprovada;"510330 COMODORO";-;102;209;2539;-;336;15;-;-;-;-;-;6;-;-;-;7714;321;-;-;-;-;-;-;-;893;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;6832;19030
01/2024;qtd_aprovada;"510335 CONFRESA";785;148;27;5475;364;320;464;50;8;-;-;-;52;-;-;545;27492;743;10;-;-;-;-;217;-;25;-;2;-;2;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;36781
01/2024;qtd_aprovada;"510336 CONQUISTA D'OESTE";-;24;3;1647;-;282;-;-;-;-;-;-;-;-;-;301;1958;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2076;6378
01/2024;qtd_aprovada;"510337 COTRIGUACU";2;230;-;1475;-;78;112;-;-;-;-;-;19;-;-;62;1759;44;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;6575;10366
01/2024;qtd_aprovada;"510340 CUIABA";2155;1014;13626;416519;13577;9986;2107;4726;547;546;416;22;12037;21686;2229;5324;316520;7210;487;3178;8793;6227;5121;827;-;635;-;128;977;-;-;24;-;-;-;-;-;741;-;362;65;114;44;50;9;152;786863;3609;69;-;23129;1671851
01/2024;qtd_aprovada;"510343 CURVELANDIA";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93;450;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;567
01/2024;qtd_aprovada;"510345 DENISE";1585;7;-;1023;-;381;-;-;-;-;-;-;-;-;-;2220;24530;270;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;760;30788
01/2024;qtd_aprovada;"510350 DIAMANTINO";793;240;302;8356;290;1197;212;77;-;-;43;-;52;-;115;1032;16569;422;11;-;-;41;54;-;-;29;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;20;-;-;4328;34185
01/2024;qtd_aprovada;"510360 DOM AQUINO";7;84;-;1024;-;2;-;-;-;-;-;-;-;-;-;102;1364;276;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;2889
01/2024;qtd_aprovada;"510370 FELIZ NATAL";574;146;2;1890;-;158;29;34;19;3;1;-;58;-;1;485;6440;274;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2658;12780
01/2024;qtd_aprovada;"510380 FIGUEIROPOLIS D'OESTE";229;-;-;286;-;-;-;-;-;-;-;-;-;-;-;85;686;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3486;4914
01/2024;qtd_aprovada;"510385 GAUCHA DO NORTE";4611;61;27;2323;-;1;-;-;-;-;-;-;-;-;4;328;7147;249;-;-;-;-;64;10;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;14881
01/2024;qtd_aprovada;"510390 GENERAL CARNEIRO";-;-;1689;1270;-;-;-;-;-;-;-;-;30;-;-;-;1021;157;-;-;-;-;-;-;-;19;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;4275
01/2024;qtd_aprovada;"510395 GLORIA D'OESTE";-;20;-;1509;-;-;-;-;-;-;-;-;-;-;-;-;40;108;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1677
01/2024;qtd_aprovada;"510410 GUARANTA DO NORTE";15719;4454;164;9008;-;1300;811;1;-;-;-;-;548;-;198;1888;35165;1515;21;-;-;51;3144;-;-;410;-;40;1;-;-;-;-;-;-;2;-;234;-;116;-;-;-;-;-;-;-;22;-;-;9405;84217
