periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2025;qtd_aprovada;"110020 PORTO VELHO";9285;5375;6894;208105;9341;11476;3472;4457;506;204;308;-;13074;9613;2127;19351;458925;3043;477;2684;5046;5337;713;-;3796;-;-;3700;1;88;501;1;25;4;12;21;-;5;-;143;1;316;50;255;31;55;-;126;-;301265;4542;157;-;14740;-;-;-;-;-;1109648
01/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;80;-;708;-;549;-;-;-;-;-;-;34;-;-;-;308;1101;-;-;-;-;-;-;-;-;-;88;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2869
01/2025;qtd_aprovada;"110026 RIO CRESPO";2;1;497;483;-;-;-;-;-;-;-;-;3;-;-;53;3040;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4079
01/2025;qtd_aprovada;"110028 ROLIM DE MOURA";6312;50;544;19067;-;505;393;118;162;-;-;-;233;-;-;951;51477;147;88;-;-;22;-;-;33;-;-;160;-;-;-;-;-;-;1;-;1;-;-;-;-;13;-;-;-;-;-;-;-;61849;-;-;-;9699;-;-;-;-;-;151825
01/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";279;200;-;333;-;155;-;-;-;-;-;-;4;-;-;30;1643;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2646
01/2025;qtd_aprovada;"110030 VILHENA";1883;523;3247;12938;-;3789;813;83;838;-;-;-;599;-;17;1361;64961;1048;9;-;174;26;1;-;18;-;-;214;-;8;-;-;3;-;-;-;-;-;-;4;-;93;26;-;-;-;-;-;-;-;454;9;-;-;-;-;-;-;-;93139
01/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";1213;63;-;2535;-;154;54;-;-;-;-;-;24;-;4;48;7764;9;12;-;1;-;-;-;-;-;-;10;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1826;-;-;-;-;-;13720
01/2025;qtd_aprovada;"110033 NOVA MAMORE";286;142;-;-;-;87;113;-;-;-;-;-;17;-;-;218;9766;85;-;-;-;-;-;-;1;-;-;98;-;3;-;-;-;-;1;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;3674;-;-;-;-;-;14499
01/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";1;615;-;4088;-;492;35;-;-;-;-;-;-;-;-;-;5216;-;-;-;-;-;-;-;-;-;-;26;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10474
01/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1249;-;1697;2082;-;-;66;-;-;-;-;-;1;-;-;1165;5793;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;622;-;-;-;-;-;12676
01/2025;qtd_aprovada;"110040 ALTO PARAISO";2070;2896;-;4219;-;500;136;-;-;-;-;-;28;-;-;280;13337;-;1;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1940;-;-;-;-;-;25425
01/2025;qtd_aprovada;"110045 BURITIS";13451;59;138;12719;-;795;117;-;-;-;-;-;190;-;-;3259;32457;441;2;-;-;2;1265;-;74;-;-;139;-;1;-;2;-;1;1;-;-;-;-;113;-;4;-;-;-;-;-;-;-;-;-;-;-;13385;-;-;-;-;-;78615
01/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;5060;-;277;140;-;-;-;-;-;34;-;39;-;1250;267;-;-;-;-;-;-;-;-;-;186;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2462;-;-;-;-;-;9729
01/2025;qtd_aprovada;"110060 CACAULANDIA";1823;3;1677;1754;-;-;45;-;-;-;-;-;6;-;10;87;3325;98;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8830
01/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4918;15;15;1926;-;106;-;-;-;-;-;-;-;-;-;527;6769;-;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1258;-;-;-;-;-;15539
01/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";271;-;6;10552;-;649;70;-;-;-;-;-;-;-;-;42;3979;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15650
01/2025;qtd_aprovada;"110090 CASTANHEIRAS";1272;-;36;443;-;-;98;-;-;-;-;-;-;-;-;92;3901;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;598;-;-;-;-;-;6440
01/2025;qtd_aprovada;"110092 CHUPINGUAIA";4;15;-;4126;-;9;73;-;-;-;-;-;52;-;-;137;5096;133;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;9712
01/2025;qtd_aprovada;"110094 CUJUBIM";1890;152;21;-;-;-;54;-;-;-;-;-;-;-;1;357;17897;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;4;-;-;-;-;-;1;25;-;3;-;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;-;20746
01/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;35;-;2681;-;-;-;-;-;-;-;-;72;-;-;-;346;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3174
01/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";837;8;-;3716;-;199;6;-;-;-;-;-;1;-;-;125;8187;1319;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;167;-;-;-;-;-;14624
01/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;835;-;258;89;-;-;-;-;-;15;-;-;110;5502;75;67;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;7077
01/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;82;227;756;-;974;-;-;-;-;-;-;-;-;-;31;7255;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9398
01/2025;qtd_aprovada;"110140 MONTE NEGRO";1469;49;-;5176;-;395;165;-;-;-;-;-;30;-;-;840;5823;318;1;-;-;-;-;-;-;-;-;31;-;3;-;-;-;-;-;-;-;-;-;-;3;17;-;-;-;-;-;-;-;-;30;-;-;2716;-;-;-;-;-;17066
01/2025;qtd_aprovada;"110143 NOVA UNIAO";-;148;-;2264;-;547;-;-;-;-;-;-;1529;-;-;-;5673;-;-;-;-;-;-;-;-;-;-;15;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10190
01/2025;qtd_aprovada;"110145 PARECIS";-;60;-;-;-;-;-;-;-;-;-;-;56;-;-;80;15159;-;312;-;-;-;-;-;-;-;-;-;-;256;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15923
01/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1314;45;5;-;-;-;-;-;-;-;-;-;-;-;-;103;2135;-;-;-;-;-;53;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;3709
01/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";644;14;-;630;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;1388
01/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";724;22;14;28;-;-;-;-;-;-;-;-;-;-;-;50;4056;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1599;-;-;-;-;-;6494
01/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";6373;202;870;6464;-;172;68;-;-;-;-;-;30;-;-;649;11228;910;3;-;-;5;176;-;-;-;-;43;-;5;-;-;-;-;-;-;-;-;-;28;-;2;-;-;-;-;-;-;-;-;-;-;-;6847;-;-;-;-;-;34075
01/2025;qtd_aprovada;"110150 SERINGUEIRAS";11449;-;26;3739;-;228;134;-;27;-;-;-;86;-;-;365;13951;68;-;-;-;-;229;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;2111;-;-;-;-;-;32461
01/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;40;-;1375;-;-;-;-;-;-;-;-;-;-;-;22;3070;-;-;-;-;-;-;-;-;-;-;35;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4547
01/2025;qtd_aprovada;"110160 THEOBROMA";496;16;-;2040;-;146;-;-;-;-;-;-;8;-;-;28;3611;-;-;-;-;-;118;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6477
01/2025;qtd_aprovada;"110170 URUPA";-;19;7;3676;-;176;-;10;-;-;-;-;8;-;-;135;4653;-;4;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8790
01/2025;qtd_aprovada;"110175 VALE DO ANARI";773;-;251;2793;-;-;-;-;-;-;-;-;-;-;-;97;3659;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4255;-;-;-;-;-;11831
01/2025;qtd_aprovada;"110180 VALE DO PARAISO";227;8;-;1163;-;-;-;-;-;-;-;-;1;-;-;34;2747;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4187
01/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2025;qtd_aprovada;"120001 ACRELANDIA";-;42;230;-;-;-;-;-;-;-;-;-;-;-;-;302;2443;-;-;-;-;-;-;-;-;-;-;93;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3113
01/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;113;-;5124;-;224;-;-;-;-;-;-;75;-;-;191;4184;-;-;-;-;-;-;-;-;-;-;34;-;4;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9952
01/2025;qtd_aprovada;"120010 BRASILEIA";-;131;2;12783;-;11502;68;201;-;-;-;-;50;126;1;90;26642;183;80;-;818;156;8;-;-;-;-;201;-;40;-;-;-;51;1;-;-;-;-;41;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;53178
01/2025;qtd_aprovada;"120013 BUJARI";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
01/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;219
01/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";26736;3683;371;61847;-;2776;1206;943;524;-;25;-;938;311;313;1110;55756;1644;163;-;923;305;-;-;42;22;-;257;-;7;-;-;-;-;-;-;21;-;-;2;-;17;28;-;-;-;-;-;-;24108;20;85;-;-;-;-;-;-;-;184183
01/2025;qtd_aprovada;"120025 EPITACIOLANDIA";8;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;266
01/2025;qtd_aprovada;"120030 FEIJO";-;940;-;21806;-;521;-;-;-;-;-;-;-;-;-;-;12006;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35334
01/2025;qtd_aprovada;"120032 JORDAO";-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;53;1144;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1361
01/2025;qtd_aprovada;"120033 MANCIO LIMA";-;8;691;5775;-;710;-;-;-;-;-;-;65;-;-;1012;13437;-;-;-;-;-;-;-;-;-;-;270;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21999
01/2025;qtd_aprovada;"120034 MANOEL URBANO";-;211;5;5330;-;60;-;-;-;-;-;-;28;-;-;54;7863;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13583
01/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;234;659;2656;-;152;-;-;-;-;-;-;-;-;-;512;8908;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13147
01/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";369;358;1936;6636;-;496;-;-;-;-;-;-;66;-;-;426;12883;-;-;-;-;-;12;-;-;-;-;192;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23377
01/2025;qtd_aprovada;"120039 PORTO WALTER";451;170;-;-;-;58;-;-;-;-;-;-;11;-;-;138;3489;-;1;-;-;-;-;-;-;1;-;12;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4334
01/2025;qtd_aprovada;"120040 RIO BRANCO";38242;650;7786;307662;6750;13124;3259;7105;2752;85;144;30;6854;15337;142;14355;416392;1695;616;938;5316;3857;5064;-;228;-;-;2977;-;133;364;-;44;-;43;-;-;-;-;735;41;249;15;246;-;-;-;53;-;172709;1752;73;-;7108;-;-;-;-;-;1044925
01/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;3;-;-;191;-;-;-;-;-;-;56;-;-;147;9587;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10112
01/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;201;-;922;-;22;-;-;-;-;-;-;4;-;-;1;886;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2041
01/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;21;-;20100;-;434;-;-;-;-;-;-;56;-;-;280;7053;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28008
01/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;626;333;15693;-;1759;-;-;-;-;-;-;195;-;75;14;13617;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32409
01/2025;qtd_aprovada;"120060 TARAUACA";-;433;-;13977;-;1111;-;-;-;-;-;-;-;-;-;-;11844;-;-;-;-;-;1;-;-;-;-;201;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27629
