periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";-;155;4129;3623;-;-;123;-;-;-;-;-;106;-;-;54;19934;891;136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9410;-;-;-;-;-;38561
01/2025;qtd_aprovada;"110002 ARIQUEMES";39755;2367;51417;43984;-;2880;1220;-;-;-;52;-;1659;191;8;6088;111836;312;24;-;2331;-;1733;-;-;-;-;359;-;11;282;-;-;-;-;-;-;-;-;145;-;5;10;-;-;-;-;-;-;78646;-;30;-;10042;-;-;-;-;-;355387
01/2025;qtd_aprovada;"110003 CABIXI";214;-;-;1494;-;84;-;-;-;-;-;-;-;-;64;47;3026;64;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1129;-;-;-;-;-;6131
01/2025;qtd_aprovada;"110004 CACOAL";594;911;904;44806;-;1435;1003;1534;239;-;34;-;845;-;-;305;47844;1870;287;935;1940;10;36;-;4;-;-;1463;-;10;-;2;1;127;4;1;-;2;-;17;-;243;27;-;-;-;-;-;-;92900;1;82;-;1872;-;-;-;-;-;202288
01/2025;qtd_aprovada;"110005 CEREJEIRAS";11896;-;174;2548;-;1391;76;693;-;-;-;-;50;-;-;690;18075;-;12;-;-;-;126;-;-;-;-;21;-;2;-;-;-;3;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;5244;-;-;-;-;-;41013
01/2025;qtd_aprovada;"110006 COLORADO DO OESTE";1959;-;-;1010;-;676;106;-;-;-;-;-;17;-;-;61;11357;432;6;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1179;-;-;-;-;-;16815
01/2025;qtd_aprovada;"110007 CORUMBIARA";5123;194;11;1687;-;-;94;-;-;-;-;-;14;-;-;421;10040;-;-;-;-;-;151;-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;1401;-;-;-;-;-;19186
01/2025;qtd_aprovada;"110008 COSTA MARQUES";698;92;-;7018;-;-;59;-;-;-;-;-;-;-;-;75;3944;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2807;-;-;-;-;-;14696
01/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";548;69;-;6377;-;1006;162;-;-;-;-;-;8;-;-;-;27487;196;15;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;5041;-;-;-;-;-;41031
01/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";671;103;82;329;-;611;316;-;-;-;-;-;101;-;-;135;13488;452;-;-;-;-;-;-;-;-;-;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16294
01/2025;qtd_aprovada;"110011 JARU";-;86;-;29503;-;3332;606;-;42;-;39;-;183;-;-;207;75805;215;7;-;-;5;-;-;-;-;-;122;-;3;-;-;2;5;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;12208;-;-;-;-;-;122432
01/2025;qtd_aprovada;"110012 JI-PARANA";780;-;20;25531;920;-;216;1100;260;-;33;-;69;-;-;305;81815;-;669;-;2084;23;-;-;2;-;-;2717;-;5;-;-;-;-;-;-;-;-;-;-;1;177;12;-;-;-;-;-;-;157767;2;18;-;1088;-;-;-;-;-;275614
01/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";3499;69;-;6575;-;1413;142;-;-;-;-;-;196;-;30;1309;30307;-;2;-;5;-;-;6;-;1;-;46;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1584;-;-;-;-;-;45188
01/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2180;-;336;725;-;281;130;-;-;-;-;-;13;-;6;106;7990;439;8;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;230;-;-;-;-;-;12451
01/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";70;2747;-;16750;-;871;466;-;-;-;-;-;226;-;-;160;23756;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;1;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45154
01/2025;qtd_aprovada;"110018 PIMENTA BUENO";71;63;-;13083;-;983;-;-;-;-;-;-;252;-;-;-;19588;-;39;-;-;-;-;-;-;-;-;342;-;13;-;-;-;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;3902;-;-;-;-;-;38466
