periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
12/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";-;43;-;-;-;-;-;74;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;494;-;-;-;-;-;-;641
12/2025;qtd_aprovada;"110011 JARU";-;79;-;26759;-;2756;595;39;236;-;13;-;387;-;-;558;61541;472;11;-;-;6;-;-;-;-;102;-;1;-;-;1;1;-;-;-;1;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;13512;-;-;-;-;-;-;107120
12/2025;qtd_aprovada;"110012 JI-PARANA";1245;239;12;44109;879;5343;752;1631;798;-;62;-;3522;-;-;1954;98407;-;477;-;2328;11;-;1;-;-;3115;-;7;261;-;-;-;-;-;-;-;41;-;1;188;7;-;-;-;-;-;-;59083;1073;13;-;9694;-;-;-;-;-;-;235253
12/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";2739;61;-;9558;-;1265;135;-;-;-;-;-;346;-;44;4153;23650;-;229;-;-;-;-;-;1;-;216;-;2;-;8;-;84;-;-;-;-;-;-;1;113;-;-;-;-;-;-;-;-;-;-;-;7682;-;-;-;-;-;-;50287
12/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2570;-;373;994;-;301;131;-;-;-;-;-;40;-;6;138;10881;505;6;-;-;1;-;-;-;-;6;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1132;-;-;-;-;-;-;17086
12/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";215;2758;-;21882;-;1232;669;100;-;-;-;-;232;-;-;218;20832;-;-;-;-;5;-;-;-;-;171;-;2;-;-;-;1;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;6209;-;-;-;-;-;-;54566
12/2025;qtd_aprovada;"110018 PIMENTA BUENO";352;74;-;15104;-;837;617;96;-;-;-;-;312;-;-;265;29460;75;24;-;-;1;-;-;-;-;266;-;16;-;-;1;-;-;-;-;3;-;-;-;114;-;-;-;-;-;-;-;-;-;-;-;3522;-;-;-;-;-;-;51139
12/2025;qtd_aprovada;"110020 PORTO VELHO";11613;6167;30914;384067;10289;14504;3552;5715;2635;-;290;-;17437;11865;1714;23109;497148;3875;704;2970;4965;6081;856;4738;-;-;4430;4;132;965;1;5;-;21;6;-;4;1;389;-;717;35;449;5;10;-;50;-;149199;4905;115;-;17277;-;-;126;17;-;91;1224162
12/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;98;-;5375;-;72;-;-;-;-;-;-;3;-;1;-;740;219;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6510
12/2025;qtd_aprovada;"110026 RIO CRESPO";-;1;467;454;-;-;-;-;-;-;-;-;-;-;-;109;2558;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1267;-;-;-;-;-;-;4857
12/2025;qtd_aprovada;"110028 ROLIM DE MOURA";4552;138;528;25757;-;1652;525;165;120;-;-;-;104;-;-;2131;56685;360;242;-;-;6;-;6;1;-;250;-;-;-;-;-;-;1;-;1;-;-;-;-;33;-;-;-;-;-;-;-;39482;-;-;-;8193;-;-;-;14;-;-;140946
12/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6313;162;45;3318;-;324;-;-;-;-;-;-;6;-;-;168;10606;51;2;-;-;-;264;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;75;2;-;-;-;-;-;-;-;-;-;-;-;-;1561;-;-;-;-;-;-;22947
12/2025;qtd_aprovada;"110030 VILHENA";-;-;-;-;-;-;-;7;33;-;-;-;-;-;-;-;759;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;799
12/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";10406;21;94;1771;-;712;206;-;-;-;-;-;17;-;-;598;13825;207;14;-;-;-;289;-;-;-;46;-;1;-;-;1;6;-;-;2;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;5212;-;-;-;-;-;-;33445
12/2025;qtd_aprovada;"110033 NOVA MAMORE";710;131;-;3776;-;282;53;-;-;-;-;-;30;-;1;304;8915;67;-;-;-;-;-;1;-;-;150;-;3;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;3577;-;-;-;-;-;-;18003
12/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";4365;195;55;6099;-;675;90;-;-;-;-;-;20;-;1;238;10255;480;-;-;-;-;167;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;2017;-;-;-;-;-;-;24674
12/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1244;-;1963;2379;-;-;15;-;-;-;-;-;9;-;-;1027;5526;-;-;-;-;-;-;-;-;-;4;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3340;-;-;-;-;-;-;15509
12/2025;qtd_aprovada;"110040 ALTO PARAISO";1352;2745;-;3981;-;494;118;-;-;-;-;-;16;-;-;375;11785;515;39;-;-;-;-;218;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;4;-;-;4984;-;-;-;-;-;-;26778
12/2025;qtd_aprovada;"110045 BURITIS";11298;223;149;13162;-;668;125;-;-;-;-;-;245;-;2;2115;27412;2575;9;-;-;3;438;710;-;-;118;-;3;-;-;-;-;-;-;1;1;-;38;-;3;-;-;-;-;-;-;-;-;-;-;-;10490;-;-;-;-;-;-;69788
12/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";2958;15;18;1129;-;136;-;-;-;-;-;-;-;-;-;288;5161;-;1;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;242;-;-;-;-;-;-;9954
12/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";94;52;-;6066;-;-;290;-;-;-;-;-;-;-;-;45;2964;-;-;-;-;-;35;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9578
12/2025;qtd_aprovada;"110090 CASTANHEIRAS";1476;-;9;216;-;-;78;-;-;-;-;-;-;-;-;78;3177;-;-;-;-;-;221;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;208;-;-;-;-;-;-;5477
12/2025;qtd_aprovada;"110092 CHUPINGUAIA";2456;28;8;-;-;176;76;-;-;-;-;-;22;-;-;287;4158;60;-;-;-;-;141;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;-;8952
12/2025;qtd_aprovada;"110094 CUJUBIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";1913;12;6;-;-;-;-;-;-;-;-;-;-;-;-;78;2471;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4487
12/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;454;-;402;-;-;-;-;-;-;11;-;-;24;6460;90;44;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;7643
12/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;-;86;786;-;980;75;-;-;-;-;-;1;-;-;19;5984;-;-;-;-;-;-;-;-;-;40;-;1;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7977
12/2025;qtd_aprovada;"110140 MONTE NEGRO";6822;30;46;4242;-;258;136;-;-;-;37;-;8;-;-;1044;9292;253;1;-;-;-;278;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;24;-;-;4536;-;-;-;-;-;-;27032
12/2025;qtd_aprovada;"110143 NOVA UNIAO";-;183;-;1957;-;1146;44;-;-;-;-;-;2441;-;-;78;8804;-;-;-;-;-;-;-;-;-;24;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14691
12/2025;qtd_aprovada;"110145 PARECIS";-;8;-;9906;-;-;-;-;-;-;-;-;306;-;-;-;10527;-;234;-;-;-;-;125;-;-;297;-;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21550
12/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1139;-;3;235;-;-;-;-;-;-;-;-;7;-;-;153;2289;6;1;-;-;-;16;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;-;4705
12/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";472;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;524
12/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";724;-;3;5;-;-;68;-;-;-;-;-;-;-;-;17;4712;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1998;-;-;-;-;-;-;7528
12/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";3590;66;398;5074;-;474;140;-;-;-;-;-;38;-;7;512;13458;-;-;-;-;3;203;126;-;-;70;-;-;-;-;-;-;-;-;-;-;-;33;-;22;-;-;-;-;-;-;-;-;-;-;-;4297;-;-;-;-;-;-;28511
12/2025;qtd_aprovada;"110150 SERINGUEIRAS";1895;-;-;3193;-;253;188;-;18;-;28;-;317;-;-;127;7417;75;-;-;-;1;-;-;-;-;22;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;13539
12/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;12;-;1453;-;-;-;-;-;-;-;-;900;-;-;42;16020;-;-;-;-;-;-;-;-;-;21;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18452
12/2025;qtd_aprovada;"110160 THEOBROMA";14;6;-;2748;-;228;110;-;-;-;-;-;-;-;-;58;2271;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5435
12/2025;qtd_aprovada;"110170 URUPA";315;-;2;3578;-;211;71;-;-;-;-;-;224;-;-;179;7091;-;-;-;-;-;-;-;-;-;144;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3853;-;-;-;-;-;-;15710
12/2025;qtd_aprovada;"110175 VALE DO ANARI";775;7;120;2025;-;-;88;-;-;-;-;-;3;-;49;99;3967;-;-;-;-;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5383;-;-;-;-;-;-;12523
12/2025;qtd_aprovada;"110180 VALE DO PARAISO";157;25;-;440;-;-;99;-;-;-;-;-;15;-;-;11;2042;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;328;-;-;-;-;-;-;3144
12/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;qtd_aprovada;"120001 ACRELANDIA";-;133;179;-;-;419;-;-;-;-;-;-;-;-;-;456;3637;-;-;-;-;-;-;-;-;-;142;-;2;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4972
12/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;10710;-;397;-;-;-;-;-;-;97;-;-;383;6135;-;-;-;-;-;-;-;-;-;26;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17755
12/2025;qtd_aprovada;"120010 BRASILEIA";1;15;3;23171;-;12112;132;-;-;-;-;-;68;66;-;348;19281;199;111;-;1098;97;12;-;-;-;234;-;23;-;-;-;69;7;-;-;-;-;28;-;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57094
12/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49
12/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276
12/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";9520;1400;352;39911;-;3743;928;1118;539;-;17;6;645;362;287;2198;44697;1448;175;-;854;212;1;15;-;-;113;-;7;-;-;-;-;-;-;-;-;-;2;-;12;18;-;-;-;-;-;-;27938;21;51;-;-;-;-;-;-;-;-;136590
12/2025;qtd_aprovada;"120025 EPITACIOLANDIA";23;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;278
12/2025;qtd_aprovada;"120030 FEIJO";-;10;-;11152;-;973;-;-;-;-;-;-;-;-;-;-;7083;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19253
12/2025;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
12/2025;qtd_aprovada;"120033 MANCIO LIMA";44;20;638;5119;-;659;14;-;-;-;-;-;154;-;-;793;18797;105;8;-;-;-;-;-;-;-;306;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;-;-;-;-;26837
12/2025;qtd_aprovada;"120034 MANOEL URBANO";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86
12/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;17;3070;1940;-;230;-;-;-;-;-;-;-;-;-;490;13990;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19802
12/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";208;34;2623;7028;-;476;-;-;-;-;-;-;13;-;58;81;4461;-;5;-;-;-;4;-;-;-;122;-;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15118
12/2025;qtd_aprovada;"120039 PORTO WALTER";373;35;-;3;-;54;-;-;-;-;-;-;27;-;-;298;4194;-;-;-;-;-;-;-;-;-;13;-;3;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5004
12/2025;qtd_aprovada;"120040 RIO BRANCO";45706;709;6088;383545;1822;18319;4263;8470;3234;81;208;49;6907;4700;807;19442;497321;4138;739;958;5941;1749;14860;1778;-;-;4790;-;57;459;1;28;-;39;-;-;13;-;1188;-;448;14;397;-;-;-;130;-;198072;1548;58;-;8501;-;282;295;-;-;-;1248154
12/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;87;-;-;-;-;-;-;14;-;-;90;3901;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4155
12/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;-;-;1444;-;41;-;-;-;-;-;-;16;-;-;1;1684;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3192
12/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;14;-;22548;-;694;-;-;-;-;-;-;62;-;-;345;6520;-;-;-;-;-;16;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30265
12/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;48;13;20929;-;1968;29;-;-;-;-;-;239;-;89;85;15036;-;1;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38505
12/2025;qtd_aprovada;"120060 TARAUACA";-;6;-;7924;-;829;-;-;-;-;-;-;-;-;-;-;8700;-;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17575
12/2025;qtd_aprovada;"120070 XAPURI";-;34;-;10674;-;481;3;-;-;-;-;-;19;-;-;244;10127;-;-;-;-;-;-;-;-;-;214;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21802
