periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
05/2025;qtd_aprovada;"110012 JI-PARANA";1217;1082;38;25064;360;8453;445;1385;570;-;54;-;455;-;-;1039;131253;-;36245;-;2135;32;-;2;-;-;2802;-;14;-;-;-;-;1;-;-;-;16;-;3;-;179;17;-;-;-;-;-;-;43764;3;27;-;6757;-;-;-;-;-;263412
05/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";4014;199;1;7518;-;2028;137;-;-;-;-;-;255;-;40;1276;39280;-;96;-;-;2;-;-;1;-;61;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;11147;-;-;-;-;-;66061
05/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";3043;47;678;1508;-;669;195;-;-;-;-;-;4;-;13;268;15296;108;2;-;-;2;-;-;-;-;50;-;-;-;-;-;2;-;-;1;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;2312;-;-;-;-;-;24203
05/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";537;2983;-;17381;-;1962;490;-;-;-;-;-;71;-;-;268;23416;-;12;-;-;5;-;-;-;-;96;-;-;-;-;-;1;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;6462;-;-;-;-;-;53717
05/2025;qtd_aprovada;"110018 PIMENTA BUENO";369;303;-;17568;-;1417;277;-;-;-;-;-;1183;-;-;331;35685;74;42;-;-;-;-;-;-;-;273;-;7;111;-;-;5;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;4425;-;-;-;-;-;62174
05/2025;qtd_aprovada;"110020 PORTO VELHO";15130;6446;13665;410667;9786;16367;3502;5778;601;-;381;-;19954;11846;4461;24489;541697;6716;572;2834;5313;6248;1948;6372;-;-;4299;1;125;1224;10;19;4;22;4;-;3;-;558;-;-;716;57;497;-;-;-;29;-;110799;4038;158;-;21843;-;-;-;-;-;1259179
05/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;52;-;-;-;823;-;-;-;-;-;-;-;-;-;-;171;1122;3;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2180
05/2025;qtd_aprovada;"110026 RIO CRESPO";1;-;817;815;-;-;-;-;-;-;-;-;7;-;-;37;5067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6744
05/2025;qtd_aprovada;"110028 ROLIM DE MOURA";7444;-;976;35154;-;53;635;133;133;-;-;-;234;-;4;1930;74089;308;177;-;-;21;-;122;2;1;280;-;-;-;-;1;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;20989;5;-;-;12676;-;-;-;-;-;155442
05/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6427;-;11;3338;-;29;-;-;-;-;-;-;-;-;-;75;5240;211;11;-;-;-;173;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;638;-;-;-;-;-;16246
05/2025;qtd_aprovada;"110030 VILHENA";2027;361;8691;91;-;6477;912;108;8;-;1;-;1146;-;42;2586;100265;704;16;-;362;37;-;33;-;-;444;-;3;199;-;7;-;1;-;-;-;-;111;-;-;210;21;-;-;-;-;-;-;-;477;44;-;-;-;-;-;-;-;125384
05/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";10351;-;26;1634;-;995;101;-;-;-;-;-;15;-;2;506;14395;65;18;-;-;-;342;-;-;-;13;-;5;-;-;-;4;-;-;3;-;-;47;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3856;-;-;-;-;-;32380
05/2025;qtd_aprovada;"110033 NOVA MAMORE";7;115;47;33;-;626;35;-;-;-;-;-;32;-;-;297;13578;20;1;-;-;-;-;-;-;-;97;-;4;-;-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;6678;-;-;-;-;-;21578
05/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";2860;60;8;7037;-;351;29;-;-;-;-;-;-;-;-;126;8197;522;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3486;-;-;-;-;-;22707
05/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";2734;79;2386;2794;-;-;28;-;-;-;-;-;5;-;-;2315;9759;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4443;-;-;-;-;-;24607
05/2025;qtd_aprovada;"110040 ALTO PARAISO";2551;1503;-;4938;-;664;151;-;-;-;-;-;41;-;-;355;13973;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2392;-;-;-;-;-;26613
05/2025;qtd_aprovada;"110045 BURITIS";17695;128;161;17677;-;1014;174;-;-;-;-;-;225;-;-;2045;35786;1239;12;-;-;3;1539;141;-;-;178;-;1;-;-;-;2;2;1;-;-;-;182;-;-;4;-;-;-;-;-;-;-;-;-;-;-;15587;-;-;-;-;-;93796
05/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;121;-;3402;-;445;69;-;-;-;-;-;49;-;87;247;4288;159;-;-;-;-;-;-;-;-;85;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3307;-;-;-;-;-;12260
05/2025;qtd_aprovada;"110060 CACAULANDIA";2603;7;1437;1752;-;-;44;-;-;-;-;-;43;-;7;49;3714;124;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;979;-;-;-;-;-;10766
05/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5143;39;15;1701;-;118;-;-;-;-;-;-;-;-;-;427;6606;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;857;-;-;-;-;-;14909
05/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";-;-;15;7726;-;434;253;-;-;-;-;-;-;-;-;46;4988;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13463
05/2025;qtd_aprovada;"110090 CASTANHEIRAS";1468;-;37;455;-;-;65;-;-;-;-;-;-;-;-;86;4585;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;409;-;-;-;-;-;7106
05/2025;qtd_aprovada;"110092 CHUPINGUAIA";-;69;-;69;-;-;-;-;-;-;-;-;59;-;-;98;39;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;852;-;-;-;-;-;1281
05/2025;qtd_aprovada;"110094 CUJUBIM";63;77;11;5073;-;1444;5;-;-;-;-;-;31;-;6;222;14392;-;-;-;-;-;-;-;-;-;31;-;2;3;-;3;1;13;-;-;-;-;92;-;-;10;-;-;-;-;-;-;-;-;-;-;-;1459;-;-;-;-;-;22938
05/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";1532;59;10;-;-;124;-;-;-;-;-;-;-;-;-;24;4226;-;1;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5986
05/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";872;9;-;5325;-;240;-;-;-;-;-;-;-;-;-;188;8883;1494;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;207;-;-;-;-;-;17267
05/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;10;-;1588;-;-;73;-;-;-;-;-;7;-;-;17;6760;-;117;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;8689
05/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;22;100;736;-;678;93;-;-;-;-;-;4;-;-;11;9125;63;1;-;-;3;-;-;-;-;274;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11126
05/2025;qtd_aprovada;"110140 MONTE NEGRO";1435;51;-;5234;-;-;142;-;-;-;-;-;33;-;-;505;6828;307;2;-;-;-;-;-;-;-;26;-;8;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;27;-;-;4375;-;-;-;-;-;18993
05/2025;qtd_aprovada;"110143 NOVA UNIAO";-;162;-;1633;-;1095;52;-;-;-;-;-;2352;-;-;74;7618;-;-;-;-;-;-;-;-;-;15;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13014
05/2025;qtd_aprovada;"110145 PARECIS";-;10;508;8597;-;-;-;-;-;-;-;-;150;-;-;209;8690;-;111;-;-;-;-;96;-;-;636;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19007
05/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1505;2;-;491;-;-;-;-;-;-;-;-;6;-;-;41;2616;-;-;-;-;-;66;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;850;-;-;-;-;-;5603
05/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";934;27;-;231;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;1304
05/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";1113;7;812;883;-;-;73;-;-;-;-;-;-;-;-;53;7060;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;12005
05/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";10459;174;1046;9302;-;180;107;-;-;-;-;-;14;-;-;577;15541;2487;1;-;-;-;397;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;80;-;-;9;-;-;-;-;-;-;-;-;-;-;-;8732;-;-;-;-;-;49161
05/2025;qtd_aprovada;"110150 SERINGUEIRAS";9942;15;25;3755;-;275;135;-;36;-;-;-;256;-;-;352;12985;140;-;-;-;-;196;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28168
05/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;22;-;980;-;-;-;-;-;-;-;-;709;-;-;83;11888;-;-;-;-;-;-;-;-;-;60;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;617;-;-;-;-;-;14369
05/2025;qtd_aprovada;"110160 THEOBROMA";610;28;-;5274;-;259;73;-;-;-;-;-;18;-;-;38;4322;-;-;-;-;-;116;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10739
05/2025;qtd_aprovada;"110170 URUPA";654;20;-;4238;-;351;-;-;-;-;-;-;545;-;-;143;9497;-;-;-;-;-;-;-;-;-;72;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2435;-;-;-;-;-;18107
05/2025;qtd_aprovada;"110175 VALE DO ANARI";1241;9;154;2740;-;-;59;-;-;-;-;-;3;-;46;113;5478;-;1;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4815;-;-;-;-;-;14666
05/2025;qtd_aprovada;"110180 VALE DO PARAISO";465;35;-;1115;-;-;109;-;-;-;-;-;2;-;-;-;3820;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;5691
05/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;qtd_aprovada;"120001 ACRELANDIA";-;184;251;-;-;465;-;-;-;-;-;-;-;-;-;1220;4187;-;-;-;-;-;-;-;-;-;197;-;5;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6512
