periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
05/2025;qtd_aprovada;"220960 SAO FELIX DO PIAUI";-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;379;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;447
05/2025;qtd_aprovada;"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;16;-;1837;-;-;-;-;-;-;-;-;-;-;-;410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;2284
05/2025;qtd_aprovada;"220970 SAO FRANCISCO DO PIAUI";-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;67
05/2025;qtd_aprovada;"220975 SAO GONCALO DO GURGUEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;qtd_aprovada;"220980 SAO GONCALO DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;383
05/2025;qtd_aprovada;"220985 SAO JOAO DA CANABRAVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;20
05/2025;qtd_aprovada;"220987 SAO JOAO DA FRONTEIRA";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;43
05/2025;qtd_aprovada;"220990 SAO JOAO DA SERRA";-;16;184;-;-;-;-;-;-;-;-;-;60;-;-;27;396;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;738
05/2025;qtd_aprovada;"220995 SAO JOAO DA VARJOTA";-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;82
05/2025;qtd_aprovada;"220997 SAO JOAO DO ARRAIAL";-;222;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;282
05/2025;qtd_aprovada;"221000 SAO JOAO DO PIAUI";45;4626;-;1180;-;884;36;-;-;-;-;-;140;-;1;-;18709;156;6;-;-;3;239;-;-;-;18;-;36;-;-;-;1;-;-;-;-;-;224;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;26358
05/2025;qtd_aprovada;"221005 SAO JOSE DO DIVINO";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;37
05/2025;qtd_aprovada;"221010 SAO JOSE DO PEIXE";-;30;-;1342;-;-;-;-;-;-;-;-;-;-;-;134;515;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;2041
05/2025;qtd_aprovada;"221020 SAO JOSE DO PIAUI";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;70;159;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;262
05/2025;qtd_aprovada;"221030 SAO JULIAO";-;189;-;-;-;-;-;-;-;-;-;-;-;-;-;8;456;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;695
05/2025;qtd_aprovada;"221035 SAO LOURENCO DO PIAUI";-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;80
05/2025;qtd_aprovada;"221037 SAO LUIS DO PIAUI";3;806;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;856
05/2025;qtd_aprovada;"221038 SAO MIGUEL DA BAIXA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;18
05/2025;qtd_aprovada;"221039 SAO MIGUEL DO FIDALGO";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;41
05/2025;qtd_aprovada;"221040 SAO MIGUEL DO TAPUIO";-;21;-;-;-;380;-;-;-;-;-;-;-;-;-;-;3203;614;-;-;-;-;-;-;-;-;175;-;6;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;4462
05/2025;qtd_aprovada;"221050 SAO PEDRO DO PIAUI";-;12;5;3352;-;197;28;-;-;-;-;-;-;-;-;-;10834;597;-;-;-;-;54;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;15229
05/2025;qtd_aprovada;"221060 SAO RAIMUNDO NONATO";-;305;1;20486;-;3882;532;1301;-;-;-;-;353;-;-;-;5421;7405;40;-;927;-;-;-;-;-;416;-;13;-;-;-;1;-;2;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;41154
05/2025;qtd_aprovada;"221062 SEBASTIAO BARROS";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;36
05/2025;qtd_aprovada;"221063 SEBASTIAO LEAL";-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38
05/2025;qtd_aprovada;"221065 SIGEFREDO PACHECO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;25
05/2025;qtd_aprovada;"221070 SIMOES";16;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;414;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;555
05/2025;qtd_aprovada;"221080 SIMPLICIO MENDES";175;29;5608;7590;-;1619;124;-;-;-;-;-;173;-;-;349;13817;330;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;29892
05/2025;qtd_aprovada;"221090 SOCORRO DO PIAUI";-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;114;451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;673
05/2025;qtd_aprovada;"221093 SUSSUAPARA";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;42
05/2025;qtd_aprovada;"221095 TAMBORIL DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;20
05/2025;qtd_aprovada;"221097 TANQUE DO PIAUI";-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;94
05/2025;qtd_aprovada;"221100 TERESINA";2744;3897;47006;357384;8246;30031;15100;6344;2568;-;782;-;27513;24310;40;9753;595442;38920;1034;5238;13603;12569;2796;538;-;-;3269;66;299;2232;38;58;138;24;-;-;-;-;1162;70;-;243;95;560;-;-;26;243;-;826905;11141;143;-;123512;-;-;-;-;-;2176082
05/2025;qtd_aprovada;"221110 UNIAO";45;45;-;-;-;599;333;-;-;-;-;-;136;-;-;-;10959;2698;-;-;-;-;352;-;-;-;77;-;-;-;10;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15444
05/2025;qtd_aprovada;"221120 URUCUI";-;490;-;5179;-;552;40;-;-;-;-;-;43;-;-;-;22304;1460;-;-;-;-;-;-;-;-;55;-;-;-;16;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;30161
05/2025;qtd_aprovada;"221130 VALENCA DO PIAUI";-;75;-;3196;255;916;303;-;-;-;-;-;38;-;-;166;22640;724;-;-;-;-;-;-;-;-;243;-;-;-;213;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;28799
05/2025;qtd_aprovada;"221135 VARZEA BRANCA";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;38
05/2025;qtd_aprovada;"221140 VARZEA GRANDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;496;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;518
05/2025;qtd_aprovada;"221150 VERA MENDES";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
05/2025;qtd_aprovada;"221160 VILA NOVA DO PIAUI";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
05/2025;qtd_aprovada;"221170 WALL FERRAZ";-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;42
05/2025;qtd_aprovada;" MUNICIPIO IGNORADO - CE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;qtd_aprovada;"230010 ABAIARA";19;9;-;2002;-;83;-;-;-;-;-;-;16;-;-;17;3104;16;-;-;-;-;119;-;-;-;8;-;6;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;5464
05/2025;qtd_aprovada;"230015 ACARAPE";-;34;-;-;-;-;233;-;-;-;-;-;7;-;-;362;11220;337;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12194
05/2025;qtd_aprovada;"230020 ACARAU";310;226;123;10392;-;1669;557;226;-;-;93;-;362;-;-;335;38798;400;72;-;-;-;1413;-;-;-;112;-;2;11;-;-;-;-;-;-;-;-;700;-;-;-;-;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;56049
05/2025;qtd_aprovada;"230030 ACOPIARA";22;219;-;189;356;874;31;-;-;-;-;-;391;-;-;-;27616;648;-;-;-;-;75;-;-;-;298;-;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11663;-;-;-;-;-;42497
05/2025;qtd_aprovada;"230040 AIUABA";-;18;8;1202;-;188;-;-;-;-;-;-;39;-;74;-;8778;-;-;-;-;-;-;-;-;-;29;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3336;-;-;-;-;-;13673
05/2025;qtd_aprovada;"230050 ALCANTARAS";-;128;6;-;-;-;-;-;-;-;-;-;32;-;-;1680;7572;416;-;-;-;-;-;-;-;-;91;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;10008
05/2025;qtd_aprovada;"230060 ALTANEIRA";640;15;97;-;-;-;-;-;-;-;-;-;68;-;-;233;2606;452;-;-;-;-;-;-;-;-;89;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4208
05/2025;qtd_aprovada;"230070 ALTO SANTO";143;315;-;2822;-;71;96;-;-;-;-;-;15;-;-;283;3942;64;-;-;-;-;1080;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;23;-;-;395;-;-;-;-;-;9300
05/2025;qtd_aprovada;"230075 AMONTADA";-;125;-;-;-;-;178;-;-;-;-;-;121;-;-;315;14366;-;-;-;-;-;-;-;-;-;46;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15154
05/2025;qtd_aprovada;"230080 ANTONINA DO NORTE";-;24;59;764;-;-;-;-;-;-;-;-;37;-;-;-;7321;221;-;-;-;-;-;-;-;-;107;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8536
05/2025;qtd_aprovada;"230090 APUIARES";-;68;-;-;-;-;-;-;-;-;-;-;16;-;-;9;7224;286;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7607
05/2025;qtd_aprovada;"230100 AQUIRAZ";113;26;26;9926;-;1633;495;-;-;-;41;-;540;-;-;23;46652;3295;-;-;-;-;11;-;-;-;813;-;53;73;14;-;1;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63763
05/2025;qtd_aprovada;"230110 ARACATI";214;750;1447;11873;-;1800;394;145;-;-;8;-;370;-;48;1017;25516;1139;52;-;-;-;938;-;-;-;158;-;-;-;-;-;-;7;-;-;-;-;180;-;-;22;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;46107
05/2025;qtd_aprovada;"230120 ARACOIABA";6395;45;-;13912;-;1152;164;-;-;-;21;-;155;-;-;675;54302;-;244;-;-;-;-;-;-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77320
05/2025;qtd_aprovada;"230125 ARARENDA";-;26;-;828;-;-;-;-;-;-;-;-;-;-;-;1068;2516;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;4493
05/2025;qtd_aprovada;"230130 ARARIPE";-;111;-;1581;-;162;111;-;-;-;-;-;124;-;-;205;11745;-;-;-;-;-;-;-;-;-;48;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14104
05/2025;qtd_aprovada;"230140 ARATUBA";-;40;-;-;-;-;66;-;-;-;-;-;79;-;-;578;13760;389;20;-;-;-;-;-;-;-;44;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;15062
05/2025;qtd_aprovada;"230150 ARNEIROZ";952;7;28;-;-;-;-;-;-;-;-;-;-;-;-;451;1575;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3013
05/2025;qtd_aprovada;"230160 ASSARE";101;204;109;2988;-;910;127;-;-;-;16;-;192;-;-;261;7457;1028;-;-;-;-;30;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;13588
05/2025;qtd_aprovada;"230170 AURORA";-;64;-;2026;-;705;103;-;-;-;42;-;-;-;-;4;3852;1040;-;-;-;-;-;-;-;-;156;-;20;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8023
05/2025;qtd_aprovada;"230180 BAIXIO";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
05/2025;qtd_aprovada;"230185 BANABUIU";-;64;577;3693;-;567;-;-;-;-;-;-;398;-;-;808;16513;842;-;-;-;-;-;-;-;-;155;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;23734
05/2025;qtd_aprovada;"230190 BARBALHA";460;199;225;34965;323;2792;2298;2030;298;192;58;11;2193;71;10;393;54169;8168;113;2879;3902;36;441;56;-;-;537;-;4;-;11;5;21;-;-;-;-;-;303;-;-;1;23;-;-;-;1;6;-;-;28;35;-;-;-;-;-;-;-;117257
05/2025;qtd_aprovada;"230195 BARREIRA";-;52;-;2261;90;-;53;-;-;-;-;-;80;-;-;-;2235;53;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4825
05/2025;qtd_aprovada;"230200 BARRO";-;42;-;-;-;373;-;-;-;-;-;-;76;-;-;2552;15714;104;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;18901
05/2025;qtd_aprovada;"230205 BARROQUINHA";-;286;-;-;-;-;-;-;-;-;-;-;112;-;-;-;5938;526;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;24;-;-;-;-;-;7009
05/2025;qtd_aprovada;"230210 BATURITE";77;83;1200;16000;-;824;356;-;-;-;-;-;1145;-;-;1159;42610;-;5;-;2082;-;768;1;-;-;50;-;2;126;-;-;-;-;-;-;-;-;117;-;-;-;38;-;-;-;-;-;-;-;128;34;-;-;-;-;-;-;-;66805
05/2025;qtd_aprovada;"230220 BEBERIBE";167;390;-;4626;-;1831;-;-;-;-;11;-;276;-;-;964;31088;539;-;-;-;-;235;46;-;-;48;-;-;-;3;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40315
05/2025;qtd_aprovada;"230230 BELA CRUZ";21;38;1138;1776;-;511;298;-;-;-;-;-;126;-;-;167;10051;887;-;-;-;-;-;1;-;-;59;-;6;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15082
05/2025;qtd_aprovada;"230240 BOA VIAGEM";28;140;289;-;-;2551;591;561;-;-;143;-;683;-;-;797;22457;1589;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;226;-;-;-;-;-;30181
05/2025;qtd_aprovada;"230250 BREJO SANTO";1828;321;202;20660;903;1936;1057;164;25;-;204;-;2508;-;-;29;30373;4555;3;-;-;-;1341;409;-;-;370;-;81;258;13;-;-;-;-;-;-;-;211;-;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;67530
05/2025;qtd_aprovada;"230260 CAMOCIM";267;80;1140;14748;675;2041;409;-;-;-;39;-;1212;-;-;823;32535;1935;-;-;-;-;734;-;-;-;45;-;13;185;-;-;-;-;-;-;1;-;233;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;57200
05/2025;qtd_aprovada;"230270 CAMPOS SALES";101;10;236;3363;-;662;308;-;-;-;50;-;23;-;-;586;21763;236;-;-;-;-;-;-;-;-;74;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27417
05/2025;qtd_aprovada;"230280 CANINDE";97;306;304;8491;222;1210;353;-;-;-;108;-;397;-;-;692;35136;892;45;-;2611;-;1118;-;-;-;26;-;-;71;-;-;-;-;-;-;-;-;447;-;-;-;43;-;-;-;-;-;-;150;66;79;-;-;-;-;-;-;-;52864
05/2025;qtd_aprovada;"230290 CAPISTRANO";-;206;10;5520;-;187;-;-;-;-;-;-;-;-;-;93;6927;467;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13423
05/2025;qtd_aprovada;"230300 CARIDADE";-;119;50;1540;-;67;64;-;-;-;-;-;33;-;-;403;7467;169;-;-;-;-;-;-;-;-;17;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;9958
05/2025;qtd_aprovada;"230310 CARIRE";-;25;-;-;-;-;-;-;-;-;-;-;60;-;-;163;16961;359;-;-;-;-;-;-;-;-;208;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17782
05/2025;qtd_aprovada;"230320 CARIRIACU";114;45;372;5619;-;880;145;-;-;-;-;-;123;-;-;-;18656;-;-;-;-;-;247;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26370
05/2025;qtd_aprovada;"230330 CARIUS";-;81;-;1723;-;-;-;-;-;-;-;-;29;-;-;291;16228;-;-;-;-;-;-;-;-;-;91;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;557;-;-;-;-;-;19001
05/2025;qtd_aprovada;"230340 CARNAUBAL";56;194;405;2852;-;-;189;-;-;-;-;-;110;-;-;145;10477;945;-;-;-;-;93;-;-;-;157;-;9;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;15662
05/2025;qtd_aprovada;"230350 CASCAVEL";125;25;17;20665;-;1951;175;-;-;-;69;-;2754;-;-;2091;62138;245;131;-;5035;-;989;-;-;-;121;-;-;220;-;-;-;-;-;-;-;-;42;-;-;-;78;-;-;-;-;-;-;-;64;67;-;-;-;-;-;-;-;97002
05/2025;qtd_aprovada;"230360 CATARINA";85;29;25;2282;-;-;41;-;-;-;-;-;112;-;-;-;321675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;324289
05/2025;qtd_aprovada;"230365 CATUNDA";-;68;-;688;-;186;77;-;-;-;-;-;89;-;-;616;5712;311;4;-;-;-;84;-;-;-;27;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;7972
