periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
07/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1121;195;8;4072;-;87;171;-;-;-;-;-;153;-;-;495;18600;736;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;25659
07/2025;qtd_aprovada;"110011 JARU";-;117;5;32329;-;3327;808;13;23;-;111;-;220;-;-;596;68562;590;9;-;-;-;-;-;-;-;100;-;2;-;-;1;2;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;20783;-;-;-;-;-;127651
07/2025;qtd_aprovada;"110012 JI-PARANA";839;516;33;25291;1091;6332;1428;2023;717;-;61;-;5998;-;-;1786;107197;-;464;-;2904;37;-;9;-;-;3157;-;5;256;-;-;-;1;-;-;-;21;-;2;187;35;-;-;-;-;-;-;127053;-;58;-;5793;-;-;-;-;-;293294
07/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";1;77;-;13964;-;760;345;-;-;-;-;-;119;-;36;159;5716;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6354;-;-;-;-;-;27531
07/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2421;-;653;1567;-;532;194;-;-;-;-;-;8;-;9;328;12704;266;10;-;-;3;-;-;-;-;41;-;-;-;-;-;5;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;3329;-;-;-;-;-;22074
07/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";336;3170;-;20669;-;1848;663;-;-;-;-;-;72;-;-;263;21437;-;-;-;-;3;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;8236;-;-;-;-;-;56821
07/2025;qtd_aprovada;"110018 PIMENTA BUENO";461;50;-;15695;-;1592;166;-;-;-;-;-;407;-;-;612;29565;107;36;-;-;1;-;-;-;-;236;-;3;4;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;5020;-;-;-;-;-;54054
07/2025;qtd_aprovada;"110020 PORTO VELHO";12859;7726;23921;441787;9595;16809;4752;5896;2468;618;420;-;25580;11363;274;24188;553721;5766;431;2993;5147;6298;1857;6733;-;-;3309;1;66;1059;4;16;9;35;-;-;3;1;464;-;819;40;206;23;51;-;111;-;231985;4200;137;-;18701;-;-;-;-;-;1432442
07/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;58;-;167;-;864;-;-;-;-;-;-;38;-;-;-;4045;1779;15;-;-;-;-;-;-;-;67;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7124
07/2025;qtd_aprovada;"110026 RIO CRESPO";-;12;726;356;-;-;-;-;-;-;-;-;3;-;2;75;3608;-;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3684;-;-;-;-;-;8471
07/2025;qtd_aprovada;"110028 ROLIM DE MOURA";6801;104;719;25490;-;1704;684;159;111;-;-;-;203;-;2;2397;62376;374;356;-;-;14;-;165;-;-;148;-;-;-;-;-;-;-;-;2;-;-;-;-;54;-;-;-;-;-;-;-;36660;-;-;-;15767;-;-;-;-;-;154290
07/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5628;106;14;3300;-;363;-;-;-;-;-;-;7;-;-;174;8731;393;16;-;-;-;243;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;63;10;-;-;-;-;-;-;-;-;-;-;-;-;2411;-;-;-;-;-;21463
07/2025;qtd_aprovada;"110030 VILHENA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";9459;193;64;1557;-;942;186;-;-;-;-;-;25;-;1;617;14205;107;15;-;-;-;330;-;-;-;37;-;5;-;-;-;3;-;-;-;-;-;19;-;1;-;-;-;-;-;-;-;-;-;-;-;4240;-;-;-;-;-;32006
07/2025;qtd_aprovada;"110033 NOVA MAMORE";1009;167;19;6890;-;88;88;-;-;-;-;-;53;-;1;457;10939;190;1;-;-;-;-;-;-;-;146;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6282;-;-;-;-;-;26336
07/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";5574;50;22;6685;-;759;-;-;-;-;-;-;-;-;-;418;9179;552;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3188;-;-;-;-;-;26428
07/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1322;-;1945;2368;-;-;44;-;-;-;-;-;1;-;-;1199;5279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3921;-;-;-;-;-;16079
07/2025;qtd_aprovada;"110040 ALTO PARAISO";1379;2971;2;5804;-;642;107;-;-;-;-;-;30;-;-;347;9944;-;-;-;-;-;-;-;-;-;123;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;3576;-;-;-;-;-;24933
07/2025;qtd_aprovada;"110045 BURITIS";14883;80;195;16392;-;940;82;-;-;-;-;-;203;-;1;2874;31751;1235;15;-;-;6;420;363;-;-;152;-;5;-;-;-;2;1;-;-;1;-;52;-;10;-;-;-;-;-;-;-;-;-;-;-;15560;-;-;-;-;-;85223
07/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;116;-;2656;-;772;76;-;-;-;-;-;34;-;40;884;8527;147;-;-;-;-;-;-;-;-;68;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2710;-;-;-;-;-;16036
07/2025;qtd_aprovada;"110060 CACAULANDIA";1916;4;1761;2030;-;-;40;-;-;-;-;-;35;-;3;98;3006;115;1;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;380;-;-;-;-;-;9396
07/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4618;40;12;2;-;-;-;-;-;-;-;-;-;-;-;297;6830;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2202;-;-;-;-;-;14005
07/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";117;-;5;8386;-;440;259;-;-;-;-;-;-;-;-;-;2599;197;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12047
07/2025;qtd_aprovada;"110090 CASTANHEIRAS";1511;-;31;473;-;-;89;-;-;-;-;-;-;-;-;248;3709;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;684;-;-;-;-;-;6751
07/2025;qtd_aprovada;"110092 CHUPINGUAIA";115;-;-;2200;-;187;56;-;-;-;-;-;-;-;-;126;7876;122;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1179;-;-;-;-;-;11862
07/2025;qtd_aprovada;"110094 CUJUBIM";103;127;79;4044;-;1013;30;-;-;-;-;-;47;-;2;235;13427;-;-;-;-;-;-;-;-;-;50;-;-;1;-;-;-;1;-;-;-;1;44;-;8;-;-;-;-;-;-;-;-;-;-;-;1498;-;-;-;-;-;20710
07/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";1863;-;5;-;-;86;-;-;-;-;-;-;1;-;-;75;3308;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5347
07/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";848;11;2;4391;-;229;-;-;-;-;-;-;1;-;-;181;8180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;96;-;-;-;-;-;13969
07/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;1806;-;488;104;-;-;-;-;-;13;-;-;22;6076;127;134;-;-;-;-;-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;8927
07/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;20;92;1575;-;781;82;-;-;-;-;-;3;-;-;22;6045;73;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8756
07/2025;qtd_aprovada;"110140 MONTE NEGRO";1763;-;-;-;-;671;126;-;-;-;-;-;8;-;-;204;5609;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;8434
07/2025;qtd_aprovada;"110143 NOVA UNIAO";-;186;-;3980;-;960;72;-;-;-;-;-;1415;-;-;100;5810;-;-;-;-;-;-;-;-;-;12;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12547
07/2025;qtd_aprovada;"110145 PARECIS";-;8;800;6672;-;-;-;-;-;-;-;-;260;-;-;-;10029;-;210;-;-;-;-;106;-;-;221;-;112;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18531
07/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1751;2;-;767;-;-;-;-;-;-;-;-;5;-;-;100;2451;-;-;-;-;-;60;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;174;-;-;-;-;-;5330
07/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";448;19;-;539;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1015
07/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";665;8;119;126;-;-;-;-;-;-;-;-;-;-;-;32;4935;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;7886
07/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";9161;92;988;7033;-;399;252;-;-;-;-;-;23;-;-;572;15194;2921;2;-;-;1;410;1;-;-;82;-;-;-;-;-;1;-;-;-;-;-;120;-;28;-;-;-;-;-;-;-;-;-;-;-;9834;-;-;-;-;-;47114
07/2025;qtd_aprovada;"110150 SERINGUEIRAS";7763;66;37;4368;-;253;192;-;16;-;55;-;65;-;-;440;12996;70;-;-;-;-;204;-;-;-;27;-;-;2;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;26599
07/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;24;-;1030;-;-;-;-;-;-;-;-;521;-;-;67;11679;-;-;-;-;-;-;-;-;-;55;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;643;-;-;-;-;-;14024
07/2025;qtd_aprovada;"110160 THEOBROMA";764;32;-;4075;-;236;67;-;-;-;-;-;15;-;-;38;3104;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8413
07/2025;qtd_aprovada;"110170 URUPA";625;17;3;4790;-;417;-;-;-;-;-;-;712;-;-;192;8126;-;-;-;-;-;-;-;-;-;118;-;-;141;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;4720;-;-;-;-;-;19864
07/2025;qtd_aprovada;"110175 VALE DO ANARI";854;9;130;3587;-;-;89;-;-;-;-;-;-;-;11;119;4325;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7968;-;-;-;-;-;17097
07/2025;qtd_aprovada;"110180 VALE DO PARAISO";381;-;-;1020;-;-;63;-;-;-;-;-;3;-;-;1;3441;-;-;-;-;-;-;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4924
07/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2025;qtd_aprovada;"120001 ACRELANDIA";-;41;225;-;-;43;-;-;-;-;-;-;-;-;-;470;3627;-;-;-;-;-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;4531
07/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;11;-;7985;-;399;-;-;-;-;-;-;106;-;-;210;5576;-;-;-;-;-;-;-;-;-;40;-;9;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14338
07/2025;qtd_aprovada;"120010 BRASILEIA";-;20;1;22723;-;12009;189;-;-;-;-;-;50;50;9;102;19409;284;123;-;928;80;8;-;-;-;248;-;14;-;-;-;85;-;-;-;1;-;33;-;12;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;56380
07/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
07/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290
07/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";28694;2066;218;74226;-;3281;1491;1277;531;-;40;-;870;34;345;928;68749;1417;192;-;902;-;1;45;5;-;201;-;5;-;-;-;-;-;-;-;-;-;2;-;18;26;-;-;-;-;-;-;24293;27;78;-;-;-;-;-;-;-;209962
07/2025;qtd_aprovada;"120025 EPITACIOLANDIA";10;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;294;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;355
07/2025;qtd_aprovada;"120030 FEIJO";-;69;-;17145;-;1087;-;-;-;-;-;-;-;-;-;-;6246;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24581
07/2025;qtd_aprovada;"120032 JORDAO";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;44;861;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;910
07/2025;qtd_aprovada;"120033 MANCIO LIMA";12;24;833;6519;-;870;-;-;-;-;-;-;197;-;-;860;16002;146;-;-;-;-;-;-;-;-;252;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;25843
07/2025;qtd_aprovada;"120034 MANOEL URBANO";-;52;6;4976;-;-;-;-;-;-;-;-;7;-;-;80;6376;-;-;-;-;-;-;-;-;-;46;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11545
07/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;8;2016;4056;-;177;-;-;-;-;-;-;-;-;-;502;12352;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19138
07/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";3817;20;2941;10064;-;645;-;-;-;-;-;-;44;-;8;244;10614;-;6;-;-;-;3;-;-;-;173;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28583
07/2025;qtd_aprovada;"120039 PORTO WALTER";259;11;-;1569;-;125;-;-;-;-;-;-;37;-;10;147;2639;-;-;-;-;-;-;-;3;-;8;-;3;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4814
07/2025;qtd_aprovada;"120040 RIO BRANCO";58395;1333;7911;359958;5835;20895;5000;8450;3187;97;225;21;11420;7759;1000;18157;481727;3556;557;1023;5464;1819;19105;694;-;-;4159;-;163;346;1;57;-;77;-;-;-;-;1585;-;793;14;369;-;-;-;179;-;184485;2041;61;-;13467;247;526;-;-;-;1232158
07/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
07/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
07/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;7;-;23930;-;304;-;-;-;-;-;-;55;-;-;484;6664;-;-;-;-;-;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31536
07/2025;qtd_aprovada;"120050 SENA MADUREIRA";-;192;78;24191;-;2394;41;-;-;-;-;-;260;-;30;84;13603;-;20;-;-;-;-;-;-;-;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41011
07/2025;qtd_aprovada;"120060 TARAUACA";15;32;-;10225;-;894;-;-;-;-;-;-;-;-;-;-;6836;-;-;-;-;-;-;-;-;-;112;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18147
07/2025;qtd_aprovada;"120070 XAPURI";-;15;-;23310;-;573;15;-;-;-;-;-;23;-;-;295;10042;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34491
07/2025;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56
