periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
12/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";381;189;9;1901;-;1021;435;-;-;-;-;-;20;-;-;131;4403;429;1;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8924
12/2024;qtd_aprovada;"110011 JARU";-;40;-;30824;-;3061;460;-;61;-;66;-;152;-;-;158;76578;181;11;-;-;3;-;-;-;-;-;39;-;6;-;-;1;3;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;11510;123234
12/2024;qtd_aprovada;"110012 JI-PARANA";824;-;-;1242;-;-;218;846;253;-;33;-;102;-;-;164;36930;-;677;-;2131;6;-;-;-;-;-;207;-;1;-;-;-;-;-;-;-;-;-;-;-;58;11;-;-;-;-;-;-;130713;3;19;-;1088;175526
12/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3483;27;10;4830;-;1344;325;-;-;-;-;-;158;-;94;1724;29703;-;35;-;5;1;-;1;-;1;-;116;-;4;-;-;-;-;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1113;42978
12/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2321;34;106;205;-;215;131;-;-;-;-;-;8;-;-;150;10129;410;13;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2098;15916
12/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";149;2890;-;15848;-;985;669;-;-;-;-;-;188;-;-;223;28628;-;-;-;-;-;-;-;1;-;-;67;-;2;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;49657
12/2024;qtd_aprovada;"110018 PIMENTA BUENO";419;913;-;12874;-;1169;141;-;-;-;-;-;637;-;-;388;31588;38;39;-;-;1;-;-;-;-;-;530;-;8;-;-;-;-;-;-;-;1;-;-;-;111;-;-;-;-;-;-;-;-;-;-;-;3062;51919
12/2024;qtd_aprovada;"110020 PORTO VELHO";11055;8768;14077;204982;8754;13546;3089;3340;706;168;336;-;12928;11976;2778;22092;446834;4290;306;2586;5134;7790;831;-;5546;-;-;4878;2;142;497;-;15;3;10;18;-;3;1;255;-;329;46;298;-;-;-;56;-;243498;4605;131;-;23008;1069707
12/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;102;-;1194;-;647;-;-;-;-;-;-;38;-;-;1;686;809;2;-;-;-;-;-;-;-;-;131;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3615
12/2024;qtd_aprovada;"110026 RIO CRESPO";2;3;2;2;-;-;-;-;-;-;-;-;-;-;-;48;3174;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3234
12/2024;qtd_aprovada;"110028 ROLIM DE MOURA";7024;154;420;20575;-;173;183;93;170;-;-;-;223;-;-;1238;56354;429;217;-;-;15;-;-;92;-;-;185;-;1;-;-;-;-;-;-;-;2;-;-;-;25;-;-;-;-;-;-;-;55699;3;-;-;7763;151038
12/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";5491;-;6;2402;-;108;-;-;-;-;-;-;-;-;-;112;4990;107;9;-;-;-;68;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;1192;14499
12/2024;qtd_aprovada;"110030 VILHENA";1847;433;3537;49119;-;4272;306;57;749;-;-;-;560;-;8;1418;63713;1103;7;-;710;26;-;-;14;-;-;253;-;6;-;-;1;-;-;-;-;-;-;38;1;95;26;-;-;-;-;-;-;-;396;86;-;-;128781
12/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";8907;23;34;1804;-;605;77;-;-;-;-;-;22;-;19;530;13057;4;5;-;-;-;122;-;-;-;-;10;-;-;-;-;-;-;-;-;1;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;2454;27697
12/2024;qtd_aprovada;"110033 NOVA MAMORE";349;105;46;3934;-;506;84;-;-;-;-;-;21;-;4;258;10914;207;2;-;-;-;-;-;-;-;-;76;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2642;19150
12/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";1;48;-;3804;-;-;49;-;-;-;-;-;-;-;-;-;5311;146;-;-;-;-;-;-;-;-;-;37;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9399
12/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1195;-;1229;1473;-;-;1;-;-;-;-;-;-;-;-;1101;6900;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2894;14793
12/2024;qtd_aprovada;"110040 ALTO PARAISO";3659;40;-;3193;-;464;49;-;-;-;-;-;31;-;-;243;15157;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2017;24877
12/2024;qtd_aprovada;"110045 BURITIS";11811;69;114;9813;-;744;163;-;-;-;-;-;213;-;-;1411;30702;1761;14;-;-;4;1240;-;359;-;-;200;-;3;-;1;1;5;2;-;-;3;-;151;-;12;-;-;-;-;-;-;-;-;-;-;-;12781;71577
12/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;366;129;-;-;-;-;-;32;-;-;-;1259;202;-;-;-;-;-;-;-;-;-;36;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3104;5131
12/2024;qtd_aprovada;"110060 CACAULANDIA";2020;12;959;1170;-;-;35;-;-;-;-;-;10;-;4;56;3739;129;11;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8155
12/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5091;45;17;1300;-;6;-;-;-;-;-;-;1;-;-;350;5701;-;-;-;-;-;-;-;-;-;-;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;119;12637
12/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";164;-;4;9473;-;200;104;-;-;-;-;-;7;-;-;222;6375;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16628
12/2024;qtd_aprovada;"110090 CASTANHEIRAS";1098;-;22;381;-;-;52;-;-;-;-;-;-;-;-;142;3641;-;-;-;-;-;169;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;320;5833
12/2024;qtd_aprovada;"110092 CHUPINGUAIA";1;15;-;2371;-;-;-;-;-;-;-;-;-;-;-;61;3710;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;668;6826
12/2024;qtd_aprovada;"110094 CUJUBIM";3109;58;82;6829;-;773;1;-;-;-;-;-;75;-;4;183;16764;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;16;-;-;-;-;-;-;45;-;3;-;-;-;-;-;-;-;-;-;-;-;168;28130
12/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;42;-;2484;-;130;-;-;-;-;-;-;72;-;-;-;11138;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13898
12/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";686;5;-;3193;-;153;7;-;-;-;-;-;1;-;-;121;6989;1234;1;-;-;-;145;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;146;-;-;293;12976
12/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;1337;-;224;57;-;-;-;-;-;12;-;-;166;5913;70;74;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;7953
12/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;21;-;116;-;384;80;-;-;-;-;-;-;-;-;-;7497;-;-;-;-;-;-;-;-;-;-;292;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8396
12/2024;qtd_aprovada;"110140 MONTE NEGRO";1470;27;-;3995;-;368;137;-;-;-;-;-;33;-;-;482;5551;207;1;-;-;-;-;-;-;-;-;35;-;3;-;-;-;-;-;-;-;-;-;-;1;27;-;-;-;-;-;-;-;-;20;-;-;2582;14939
12/2024;qtd_aprovada;"110143 NOVA UNIAO";-;154;-;2516;-;467;-;-;-;-;-;-;1524;-;-;-;5734;-;-;-;-;-;-;-;-;-;-;16;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10428
12/2024;qtd_aprovada;"110145 PARECIS";-;8;-;116;-;-;-;-;-;-;-;-;143;-;-;255;19061;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19583
12/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1073;-;-;370;-;-;-;-;-;-;-;-;4;-;-;99;2322;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;90;4054
12/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";592;12;-;327;-;-;-;-;-;-;-;-;-;-;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;939
12/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";1025;11;191;279;-;-;-;-;-;-;-;-;-;-;-;41;5906;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1839;9294
12/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";5822;29;738;4863;-;36;34;-;-;-;-;-;17;-;-;938;8270;1107;-;-;-;-;201;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;6139;28278
12/2024;qtd_aprovada;"110150 SERINGUEIRAS";10644;-;34;2035;-;228;108;-;12;-;-;-;17;-;-;319;10748;77;1;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1611;25857
12/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;12;-;1800;-;-;-;-;-;-;-;-;-;-;-;33;3297;-;-;-;-;-;-;-;-;-;-;29;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5173
12/2024;qtd_aprovada;"110160 THEOBROMA";428;6;-;3666;-;102;56;-;-;-;-;-;2;-;-;20;2650;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6930
12/2024;qtd_aprovada;"110170 URUPA";-;-;1;4047;-;-;62;4;-;-;-;-;10;-;-;77;5426;480;1;-;-;2;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10163
12/2024;qtd_aprovada;"110175 VALE DO ANARI";548;-;165;1977;-;-;71;-;-;-;-;-;-;-;-;76;3243;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2700;8791
12/2024;qtd_aprovada;"110180 VALE DO PARAISO";310;4;-;976;-;-;-;-;-;-;-;-;-;-;-;1;3127;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4438
12/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;qtd_aprovada;"120001 ACRELANDIA";-;82;176;-;-;-;-;-;-;-;-;-;-;-;-;445;3470;-;-;-;-;-;-;-;-;-;-;69;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4243
12/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;6;-;4736;-;241;-;-;-;-;-;-;79;-;2;176;4955;-;-;-;-;-;-;-;-;-;-;36;-;5;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10237
12/2024;qtd_aprovada;"120010 BRASILEIA";-;27;-;12809;-;21754;79;384;-;-;-;-;31;-;-;100;17915;154;97;-;803;2;15;-;-;-;-;263;-;21;-;-;-;86;-;-;-;-;-;55;-;-;4;-;-;-;-;-;-;-;-;1;-;-;54600
12/2024;qtd_aprovada;"120013 BUJARI";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
12/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;112
12/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";11336;921;310;64168;-;2795;1163;959;555;-;18;-;774;315;245;1048;55782;1512;206;-;858;184;-;-;22;10;-;280;-;2;-;-;-;-;-;-;9;-;-;2;-;18;24;-;-;-;-;-;-;25046;27;55;-;-;168644
12/2024;qtd_aprovada;"120025 EPITACIOLANDIA";3;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258
12/2024;qtd_aprovada;"120030 FEIJO";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;141;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;150
12/2024;qtd_aprovada;"120032 JORDAO";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;30;475;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;512
12/2024;qtd_aprovada;"120033 MANCIO LIMA";183;43;758;5845;-;631;-;-;-;-;-;-;166;-;-;783;17294;70;-;-;-;-;-;-;-;-;-;276;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26065
12/2024;qtd_aprovada;"120034 MANOEL URBANO";-;9;38;3575;-;113;-;-;-;-;-;-;18;-;-;46;7436;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11281
12/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;9;1077;4167;-;185;-;-;-;-;-;-;-;-;-;627;8836;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14915
12/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";277;39;1632;4594;-;416;-;-;-;-;-;-;49;-;-;322;6035;-;-;-;-;-;-;-;-;-;-;128;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13494
12/2024;qtd_aprovada;"120039 PORTO WALTER";338;10;1;-;-;32;-;-;-;-;-;-;45;-;-;207;3235;-;-;-;-;-;-;-;-;5;-;12;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;3893
12/2024;qtd_aprovada;"120040 RIO BRANCO";33496;822;6895;303826;4242;16459;4797;7108;2606;30;210;24;7977;-;162;16681;418208;2783;478;941;5181;31;7806;-;349;-;-;3846;-;96;453;-;38;-;54;-;-;-;-;812;40;300;11;212;-;-;-;107;-;174567;671;65;-;8731;1031115
12/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;50;-;-;120;-;-;-;-;-;-;20;-;-;76;3524;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3843
12/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;40;-;1078;-;105;-;-;-;-;-;-;12;-;-;-;792;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2037
12/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;4;-;19514;-;573;-;-;-;-;-;-;40;-;-;285;6082;-;-;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26584
12/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;7;89;14705;-;1933;-;-;-;-;-;-;-;-;49;48;13789;-;9;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30688
12/2024;qtd_aprovada;"120060 TARAUACA";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;235
12/2024;qtd_aprovada;"120070 XAPURI";-;20;-;6932;-;419;10;-;-;-;-;-;21;-;24;214;9739;-;-;-;-;-;-;-;-;-;-;253;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;17645
12/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76
12/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;841;-;73;187;-;-;-;-;-;48;-;-;-;1947;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3096
12/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1877;-;106;42;-;-;-;-;-;15;-;-;439;8466;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11017
12/2024;qtd_aprovada;"130008 ANAMA";-;-;-;962;-;182;-;-;-;-;-;-;-;-;-;13;296;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1515
12/2024;qtd_aprovada;"130010 ANORI";-;197;-;2982;-;336;125;-;-;-;-;-;62;-;-;-;6057;-;-;-;-;-;-;-;-;-;-;188;-;38;-;45;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10036
