periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
08/2024;qtd_aprovada;"261500 TAQUARITINGA DO NORTE";-;-;-;-;-;356;127;-;-;-;-;-;-;-;-;6;4350;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;788;5653
08/2024;qtd_aprovada;"261510 TEREZINHA";686;255;143;1962;-;-;58;-;-;-;-;-;11;-;-;550;4532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;66;8282
08/2024;qtd_aprovada;"261520 TERRA NOVA";1381;12;-;-;-;-;155;-;-;-;-;-;19;-;-;-;998;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311;2876
08/2024;qtd_aprovada;"261530 TIMBAUBA";8715;78;40;9184;364;723;233;-;-;-;6;-;679;-;-;772;25706;343;-;-;-;-;-;221;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;682;47796
08/2024;qtd_aprovada;"261540 TORITAMA";-;14372;-;-;185;498;121;-;-;-;-;-;1;-;-;1308;12558;1474;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30574
08/2024;qtd_aprovada;"261550 TRACUNHAEM";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;958;6009;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;486;7474
08/2024;qtd_aprovada;"261560 TRINDADE";-;6397;-;-;-;-;247;-;-;-;17;-;261;-;-;420;6393;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9340;23118
08/2024;qtd_aprovada;"261570 TRIUNFO";-;859;-;4079;-;674;-;-;-;-;-;-;165;-;-;21;10255;-;-;-;-;-;12;-;-;6;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;30;-;-;8;16130
08/2024;qtd_aprovada;"261580 TUPANATINGA";-;-;-;6623;-;449;319;-;-;-;-;-;109;-;-;834;7911;486;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91;-;-;-;16827
08/2024;qtd_aprovada;"261590 TUPARETAMA";-;40;-;3510;-;88;67;-;-;-;-;-;33;-;-;20;6508;77;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;2663;13123
08/2024;qtd_aprovada;"261600 VENTUROSA";2576;22;531;10047;-;1658;234;-;-;-;-;-;733;-;4;3482;21345;932;-;-;-;-;1892;-;-;395;-;-;-;-;-;-;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;86;-;-;1676;45797
08/2024;qtd_aprovada;"261610 VERDEJANTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;1883;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;698;2843
08/2024;qtd_aprovada;"261618 VERTENTE DO LERIO";1344;42;-;1078;-;-;49;-;-;-;-;-;-;-;-;839;2129;324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;118;5947
08/2024;qtd_aprovada;"261620 VERTENTES";17;109;-;11279;-;217;185;-;-;-;-;-;749;-;-;956;10473;1790;-;-;-;-;67;-;-;209;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;985;27061
08/2024;qtd_aprovada;"261630 VICENCIA";25;-;-;1707;-;445;-;-;-;-;-;-;-;-;-;-;3799;1034;-;-;-;-;56;-;-;26;-;9;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;45;-;-;157;7316
08/2024;qtd_aprovada;"261640 VITORIA DE SANTO ANTAO";1717;107;691;78699;-;7512;1980;187;362;-;197;-;2762;-;6;1272;46193;6403;-;-;4996;-;3142;-;-;9;-;9;-;-;-;-;-;-;-;-;-;953;-;-;27;-;-;-;-;-;-;-;62;25;-;1090;158401
08/2024;qtd_aprovada;"261650 XEXEU";-;151;-;2609;-;-;40;-;-;-;-;-;-;-;-;-;7337;509;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;38;10789
08/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"270010 AGUA BRANCA";-;50;1964;10014;-;-;203;-;-;-;45;-;190;-;-;503;10403;240;-;-;-;-;-;-;-;35;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;23691
08/2024;qtd_aprovada;"270020 ANADIA";2803;39;-;1988;-;-;-;-;-;-;-;-;175;-;-;-;2872;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58;-;-;-;7994
08/2024;qtd_aprovada;"270030 ARAPIRACA";79963;-;1095;104986;5434;8962;3611;2778;1102;175;687;-;11384;4590;-;8527;186332;27773;2594;1679;7383;3941;119;482;-;1101;-;158;671;-;186;22;-;-;-;-;-;4;28;3;81;-;-;-;-;-;-;-;555;142;-;-;466548
08/2024;qtd_aprovada;"270040 ATALAIA";-;-;-;10085;-;230;835;-;-;-;-;-;36;-;-;485;1617;193;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;13610
08/2024;qtd_aprovada;"270050 BARRA DE SANTO ANTONIO";4618;30;-;2374;-;-;124;-;-;-;-;-;-;-;-;1128;8024;295;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;16607
08/2024;qtd_aprovada;"270060 BARRA DE SAO MIGUEL";12;15;-;-;-;-;-;-;-;-;-;-;-;-;-;352;13647;526;-;-;-;-;146;326;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;20;-;-;-;15060
08/2024;qtd_aprovada;"270070 BATALHA";-;40;-;6377;50;-;50;-;-;-;-;-;150;-;-;193;3493;29;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;1030;11458
08/2024;qtd_aprovada;"270080 BELEM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"270090 BELO MONTE";2298;72;-;995;-;-;-;-;-;-;-;-;-;-;-;-;217;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;3629
08/2024;qtd_aprovada;"270100 BOCA DA MATA";4;72;-;-;-;13;-;-;-;-;-;-;120;-;-;578;7758;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;30;-;-;1922;10790
08/2024;qtd_aprovada;"270110 BRANQUINHA";-;10;-;2836;-;-;163;-;-;-;-;-;65;-;-;444;3356;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;96;6990
08/2024;qtd_aprovada;"270120 CACIMBINHAS";1864;22;-;-;-;-;-;-;-;-;-;-;-;-;-;270;8544;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;600;11310
08/2024;qtd_aprovada;"270130 CAJUEIRO";7256;-;-;3567;-;347;123;-;-;-;-;-;67;-;-;2287;13938;333;-;-;-;-;24;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;940;28948
08/2024;qtd_aprovada;"270135 CAMPESTRE";-;8;-;-;41;-;44;-;-;-;-;-;-;-;-;893;1407;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88;2561
08/2024;qtd_aprovada;"270140 CAMPO ALEGRE";10333;191;-;19486;-;1086;891;-;-;-;60;-;299;-;2;1412;30861;1397;-;-;-;-;-;75;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;118;-;-;138;66354
08/2024;qtd_aprovada;"270150 CAMPO GRANDE";22;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;20;-;-;-;280
08/2024;qtd_aprovada;"270160 CANAPI";-;-;-;-;-;-;160;-;-;-;-;-;66;-;-;-;2551;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;1152;3976
08/2024;qtd_aprovada;"270170 CAPELA";4248;109;-;11385;108;-;460;-;-;-;52;-;259;-;-;402;8593;228;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;447;26371
08/2024;qtd_aprovada;"270180 CARNEIROS";1692;33;373;872;-;-;78;-;-;-;-;-;42;-;-;134;126;252;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;778;4439
08/2024;qtd_aprovada;"270190 CHA PRETA";2084;30;-;1384;-;-;102;-;-;-;19;-;41;-;-;254;918;751;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;5626
08/2024;qtd_aprovada;"270200 COITE DO NOIA";3828;7;-;159;-;-;-;-;-;-;-;-;-;-;-;925;6225;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;11205
08/2024;qtd_aprovada;"270210 COLONIA LEOPOLDINA";21;62;-;3205;79;-;141;-;-;-;-;-;37;-;-;80;7206;367;-;-;-;-;-;-;-;23;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;1220;12493
08/2024;qtd_aprovada;"270220 COQUEIRO SECO";86;44;-;-;-;-;96;-;-;-;9;-;56;-;-;518;2898;485;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4192
08/2024;qtd_aprovada;"270230 CORURIPE";12779;168;-;28282;-;1943;413;-;-;-;-;-;736;-;-;376;34861;-;2018;-;-;-;-;-;-;74;-;-;107;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;777;82679
08/2024;qtd_aprovada;"270235 CRAIBAS";5753;340;387;4703;-;-;205;-;-;-;-;-;60;-;-;1530;9595;922;-;-;-;-;26;-;-;17;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;20;-;-;78;23679
08/2024;qtd_aprovada;"270240 DELMIRO GOUVEIA";281;116;-;44321;-;2311;704;1284;-;-;78;-;983;-;-;1080;31042;2785;-;-;-;3;-;655;-;86;-;97;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2612;88439
08/2024;qtd_aprovada;"270250 DOIS RIACHOS";2586;52;-;-;-;-;92;-;-;-;12;-;31;-;-;61;3356;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;380;6618
08/2024;qtd_aprovada;"270255 ESTRELA DE ALAGOAS";-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;36;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;208
08/2024;qtd_aprovada;"270260 FEIRA GRANDE";-;21;-;-;-;-;794;-;-;-;86;-;22;-;-;545;11567;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;13095
08/2024;qtd_aprovada;"270270 FELIZ DESERTO";-;7;-;1100;-;-;-;-;-;-;-;-;44;-;-;-;182;224;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;354;1911
08/2024;qtd_aprovada;"270280 FLEXEIRAS";-;94;-;505;109;-;130;-;-;-;-;-;-;-;-;586;8895;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;400;10954
08/2024;qtd_aprovada;"270290 GIRAU DO PONCIANO";379;-;-;2997;-;-;214;-;-;-;19;-;100;-;-;11;11214;414;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15353
08/2024;qtd_aprovada;"270300 IBATEGUARA";3380;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1084;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;1612;6197
08/2024;qtd_aprovada;"270310 IGACI";34;61;-;7471;-;-;521;-;-;-;-;-;-;-;-;579;4869;-;-;-;-;-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;13590
08/2024;qtd_aprovada;"270320 IGREJA NOVA";2;54;-;6872;225;-;87;-;-;-;-;-;269;-;-;1762;8861;-;-;-;-;-;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;33;-;-;-;18483
08/2024;qtd_aprovada;"270330 INHAPI";52;20;-;10000;-;-;142;-;-;-;-;-;120;-;-;324;3510;-;-;-;-;-;-;-;1;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;2124;16343
08/2024;qtd_aprovada;"270340 JACARE DOS HOMENS";-;103;-;-;-;-;74;-;-;-;-;-;-;-;-;-;2431;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;198;2890
08/2024;qtd_aprovada;"270350 JACUIPE";837;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1103
08/2024;qtd_aprovada;"270360 JAPARATINGA";2727;58;-;-;-;-;50;-;-;-;-;-;76;-;-;105;1308;126;-;-;-;-;-;118;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;252;4854
08/2024;qtd_aprovada;"270370 JARAMATAIA";-;67;-;1304;-;-;179;-;-;-;-;-;34;-;-;873;3737;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;6273
08/2024;qtd_aprovada;"270375 JEQUIA DA PRAIA";-;97;-;-;-;-;88;-;-;-;-;-;-;-;-;245;3836;187;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;513;4990
08/2024;qtd_aprovada;"270380 JOAQUIM GOMES";2;6;1;2055;67;-;162;-;-;-;-;-;99;-;-;935;13831;340;-;-;-;-;957;-;-;19;-;63;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;712;19292
08/2024;qtd_aprovada;"270390 JUNDIA";-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;395;2026;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;2472
08/2024;qtd_aprovada;"270400 JUNQUEIRO";-;37;-;9138;-;423;308;-;-;-;-;-;165;-;-;3;16924;-;-;-;-;-;35;-;-;14;-;42;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;36;-;-;-;27131
08/2024;qtd_aprovada;"270410 LAGOA DA CANOA";5234;16;-;2589;-;-;-;-;-;-;-;-;24;-;-;269;10214;441;-;-;-;-;54;-;-;-;-;1;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;131;-;-;-;19008
08/2024;qtd_aprovada;"270420 LIMOEIRO DE ANADIA";418;284;-;-;-;-;90;-;-;-;-;-;108;-;-;292;9294;713;-;-;-;-;-;-;-;28;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;2;11306
08/2024;qtd_aprovada;"270430 MACEIO";6483;1822;7121;615126;8989;28927;37933;3165;930;397;630;78;33800;10650;80;7971;541103;92360;2761;3804;15491;6183;2622;794;-;2052;-;94;2021;4;2;-;33;-;-;-;-;694;93;245;144;944;3;5;-;18;-;1058380;4684;290;-;4466;2503392
08/2024;qtd_aprovada;"270440 MAJOR ISIDORO";-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;423;7096;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;496;8138
08/2024;qtd_aprovada;"270450 MARAGOGI";8172;-;-;10698;-;144;145;-;-;-;-;-;124;-;-;454;9885;34;-;-;-;-;-;184;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;2334;32203
08/2024;qtd_aprovada;"270460 MARAVILHA";2901;12;-;-;-;-;84;-;-;-;-;-;33;-;-;222;4814;-;-;-;-;-;-;-;-;8;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;966;9144
08/2024;qtd_aprovada;"270470 MARECHAL DEODORO";217;165;4;22621;-;136;560;-;-;-;31;-;308;-;-;1685;26280;2059;10;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;54130
08/2024;qtd_aprovada;"270480 MARIBONDO";-;4;-;3842;-;-;-;-;-;-;-;-;-;-;-;70;12084;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;16040
08/2024;qtd_aprovada;"270490 MAR VERMELHO";1120;4;-;869;-;-;-;-;-;-;-;-;33;-;-;18;281;719;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3064
08/2024;qtd_aprovada;"270500 MATA GRANDE";-;16;-;2621;-;-;158;-;-;-;-;-;67;-;-;421;5485;-;12;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;3148;11981
08/2024;qtd_aprovada;"270510 MATRIZ DE CAMARAGIBE";-;45;-;5927;-;91;310;-;-;-;-;-;97;-;-;-;5121;11;-;-;-;-;167;-;-;1;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;35;-;-;1531;13378
08/2024;qtd_aprovada;"270520 MESSIAS";67;7;-;3635;-;49;86;-;-;-;-;-;143;-;-;729;11354;4651;-;-;-;-;288;-;-;2;-;-;-;-;-;-;-;-;-;-;-;236;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21247
08/2024;qtd_aprovada;"270530 MINADOR DO NEGRAO";-;68;-;-;-;-;58;-;-;-;-;-;20;-;-;-;661;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130;937
08/2024;qtd_aprovada;"270540 MONTEIROPOLIS";-;70;-;1866;-;-;24;-;-;-;-;-;-;-;-;-;1709;355;-;-;-;-;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;221;4461
08/2024;qtd_aprovada;"270550 MURICI";4000;96;43;4209;-;-;202;-;-;-;50;-;82;-;-;564;41995;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;2331;53782
08/2024;qtd_aprovada;"270560 NOVO LINO";4784;32;-;3112;20;-;-;-;-;-;-;-;-;-;-;-;925;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;60;9164
08/2024;qtd_aprovada;"270570 OLHO D'AGUA DAS FLORES";9153;31;-;6801;-;-;953;-;-;-;-;-;-;-;-;820;13421;291;-;-;-;-;108;76;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;796;32533
08/2024;qtd_aprovada;"270580 OLHO D'AGUA DO CASADO";-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;772;845
08/2024;qtd_aprovada;"270590 OLHO D'AGUA GRANDE";2041;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2060
08/2024;qtd_aprovada;"270600 OLIVENCA";-;21;-;-;-;-;67;-;-;-;-;-;-;-;-;4;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;760;924
08/2024;qtd_aprovada;"270610 OURO BRANCO";46;186;1;-;-;-;42;-;-;-;-;-;42;-;-;309;4333;167;-;-;-;-;-;-;-;32;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;540;5715
08/2024;qtd_aprovada;"270620 PALESTINA";-;16;-;-;-;-;36;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;185
08/2024;qtd_aprovada;"270630 PALMEIRA DOS INDIOS";3676;81;13;15393;652;1919;1316;266;-;-;118;-;336;-;-;4894;22886;2776;123;-;1823;-;282;-;-;139;-;-;144;-;-;-;-;-;-;-;-;193;-;-;10;-;-;-;-;-;-;-;124;12;-;254;57430
08/2024;qtd_aprovada;"270640 PAO DE ACUCAR";-;26;-;10113;-;350;425;-;-;-;-;-;160;-;-;191;12415;-;-;-;-;-;-;-;-;537;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;440;24711
08/2024;qtd_aprovada;"270642 PARICONHA";5543;54;-;-;-;-;92;-;-;-;-;-;14;-;-;68;1459;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;76;7422
08/2024;qtd_aprovada;"270644 PARIPUEIRA";5188;13;-;3525;-;-;47;-;-;-;-;-;50;-;-;233;9443;224;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;18785
08/2024;qtd_aprovada;"270650 PASSO DE CAMARAGIBE";4793;103;-;-;-;-;97;-;-;-;25;-;96;-;-;59;1944;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;986;8103
08/2024;qtd_aprovada;"270660 PAULO JACINTO";2211;30;-;4575;44;-;138;-;-;-;-;-;32;-;-;302;5568;75;-;-;-;-;-;1;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;898;13922
08/2024;qtd_aprovada;"270670 PENEDO";57;153;5;41965;630;1277;1873;533;-;-;73;-;1332;-;-;1562;13641;19784;311;-;-;-;318;-;-;-;-;5;348;-;-;-;-;-;-;-;-;176;-;-;-;-;-;-;-;-;-;-;84;-;-;12417;96544
08/2024;qtd_aprovada;"270680 PIACABUCU";-;102;-;27;-;-;-;-;-;-;-;-;-;-;-;460;67;431;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;347;1507
08/2024;qtd_aprovada;"270690 PILAR";7355;60;17;21085;161;902;1518;-;-;-;21;-;151;-;-;1435;29093;5097;-;-;-;-;33;630;-;101;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;102;-;-;-;67799
