periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
06/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";-;136;-;1691;-;6;227;-;-;-;-;-;20;-;-;571;9035;712;-;-;-;-;-;-;-;-;14;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3920;16333
06/2024;qtd_aprovada;"110011 JARU";-;139;-;26857;-;2846;477;-;27;-;11;-;129;-;-;104;71893;108;6;-;-;3;-;-;-;-;192;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14438;117237
06/2024;qtd_aprovada;"110012 JI-PARANA";1941;-;37;42795;1309;3;461;1324;672;-;119;-;647;-;-;565;103715;-;21398;-;1934;21;-;-;2;-;971;-;8;-;-;-;-;1;-;-;-;-;-;2;250;16;-;-;-;-;-;56261;1415;26;-;5488;241381
06/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";4079;70;10;10152;-;1722;272;-;-;-;-;-;204;-;12;1629;30838;-;39;-;-;-;-;-;-;-;116;-;2;-;1;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;806;49961
06/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";1999;3734;116;119;-;349;106;-;-;-;-;-;18;-;-;181;8819;613;12;-;-;21;-;-;-;-;163;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;332;16582
06/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;1228;-;16111;-;1635;467;-;-;-;-;-;27;-;-;198;25316;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;45082
06/2024;qtd_aprovada;"110018 PIMENTA BUENO";484;43;-;15175;-;678;275;-;-;-;-;-;1206;-;-;237;23627;105;31;-;-;-;-;-;-;-;169;-;8;30;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;4121;46251
06/2024;qtd_aprovada;"110020 PORTO VELHO";15096;6983;17523;189284;12085;16353;5372;4881;619;266;461;4;13605;11838;3524;24172;464049;6105;895;2593;4539;6489;1996;-;3744;-;4403;2;210;166;2;56;1;56;6;-;9;1;574;2;152;31;1076;53;105;-;134;213057;5035;133;-;15633;1053373
06/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;215;-;-;-;591;-;-;-;-;-;-;38;-;-;-;180;574;6;-;-;-;-;-;-;-;144;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1754
06/2024;qtd_aprovada;"110026 RIO CRESPO";-;3;610;615;-;-;-;-;-;-;-;-;-;-;-;28;3315;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4573
06/2024;qtd_aprovada;"110028 ROLIM DE MOURA";4834;122;629;22354;-;1029;148;112;191;-;-;-;568;-;-;1437;49075;590;321;-;-;8;-;-;70;3;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25572;-;-;-;11116;118349
06/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6474;98;17;3150;-;283;8;-;-;-;-;-;22;-;-;111;9111;521;2;-;-;-;190;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;45;4;-;-;-;-;-;-;-;-;-;-;-;2030;22108
06/2024;qtd_aprovada;"110030 VILHENA";1250;646;3243;1345;-;4647;568;840;858;-;92;-;491;-;29;1400;55455;717;43;-;1287;11;-;-;-;1;646;-;6;1;-;-;-;-;-;-;-;-;82;-;202;12;-;-;-;-;-;-;367;36;-;-;74275
06/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";25;99;-;1754;-;453;58;-;-;-;-;-;17;-;3;414;1903;-;1;-;-;-;-;-;-;-;3;-;2;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7136;11872
06/2024;qtd_aprovada;"110033 NOVA MAMORE";430;163;35;7196;-;652;35;-;-;-;-;-;37;-;9;409;11990;418;1;-;-;-;-;-;-;-;132;-;2;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;3819;25331
06/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";1;88;-;3877;-;631;195;-;-;-;-;-;-;-;-;-;4967;406;-;-;-;-;-;-;-;-;25;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10195
06/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1233;-;1769;2250;-;-;130;-;-;-;-;-;3;-;-;1012;4844;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3667;14908
06/2024;qtd_aprovada;"110040 ALTO PARAISO";2001;2256;-;4276;-;510;105;-;-;-;-;-;24;-;-;220;11634;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4006;25067
06/2024;qtd_aprovada;"110045 BURITIS";16870;25;150;11477;-;882;181;-;-;-;-;-;573;-;-;1910;35680;1682;3;-;-;-;1622;-;257;-;200;-;6;-;-;1;-;-;1;-;-;-;250;-;1;-;-;-;-;-;-;-;-;-;-;16423;88194
06/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2024;qtd_aprovada;"110060 CACAULANDIA";1902;18;1676;2001;-;-;56;-;-;-;-;-;1;-;9;93;4284;141;3;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10188
06/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5871;56;19;1230;-;-;-;-;-;-;-;-;1;-;-;234;3675;-;-;-;-;-;-;-;-;-;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11093
06/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";45;-;-;9896;-;-;112;-;-;-;-;-;20;-;-;165;4702;-;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15038
06/2024;qtd_aprovada;"110090 CASTANHEIRAS";1196;35;34;197;-;-;67;-;-;-;-;-;1;-;-;90;3156;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;193;5040
06/2024;qtd_aprovada;"110092 CHUPINGUAIA";1;-;-;3659;-;-;46;-;-;-;-;-;-;-;-;84;3970;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;165;7925
06/2024;qtd_aprovada;"110094 CUJUBIM";2797;110;109;5353;-;1162;102;-;-;-;-;-;114;-;1;163;15183;-;2;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;38;-;5;-;-;-;-;-;-;-;-;-;-;1006;26189
06/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;36;-;2605;-;128;12;-;-;-;-;-;65;-;-;-;6218;225;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9312
06/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";763;-;-;3043;-;121;8;-;-;-;-;-;-;-;-;153;7003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;126;11217
06/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;23;-;267;-;139;-;-;-;-;-;-;8;-;-;25;5086;134;105;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;5869
06/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;57;-;705;-;394;87;-;-;-;-;-;-;-;-;-;7007;-;-;-;-;-;-;-;-;-;132;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8385
06/2024;qtd_aprovada;"110140 MONTE NEGRO";1137;49;-;5334;-;449;193;-;-;-;-;-;19;-;-;450;4708;252;-;-;-;-;-;-;-;-;42;-;3;-;-;2;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;53;-;-;3033;15749
06/2024;qtd_aprovada;"110143 NOVA UNIAO";-;145;-;2695;-;410;72;-;-;-;-;-;1782;-;-;-;5676;-;-;-;-;-;-;-;-;-;8;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10797
06/2024;qtd_aprovada;"110145 PARECIS";-;24;-;-;-;-;-;-;-;-;-;-;150;-;-;-;6018;-;210;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;6652
06/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1317;7;2;456;-;-;-;-;-;-;-;-;9;-;-;75;1990;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;300;4180
06/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";768;-;-;267;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1035
06/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";714;27;641;870;-;-;90;-;-;-;-;-;-;-;-;39;5324;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1088;8797
06/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";9802;81;1042;9877;-;401;40;-;-;-;-;-;39;-;-;673;15134;3709;1;-;-;1;494;-;1;-;59;-;2;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;11310;52738
06/2024;qtd_aprovada;"110150 SERINGUEIRAS";9993;-;45;3543;-;272;199;-;-;-;-;-;30;-;-;508;12346;153;-;-;-;-;196;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;3030;30364
06/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;106;-;2284;-;-;-;-;-;-;-;-;-;-;-;10;5411;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7819
06/2024;qtd_aprovada;"110160 THEOBROMA";500;19;-;4000;-;57;-;-;-;-;-;-;-;-;-;13;3887;-;-;-;-;-;84;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;8577
06/2024;qtd_aprovada;"110170 URUPA";-;9;2;4168;-;60;112;9;-;-;-;-;6;-;-;57;4996;519;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9995
06/2024;qtd_aprovada;"110175 VALE DO ANARI";640;9;181;2194;-;-;103;-;-;-;-;-;1;-;-;41;3392;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6571
06/2024;qtd_aprovada;"110180 VALE DO PARAISO";400;9;-;1468;-;-;-;-;-;-;-;-;4;-;-;-;3769;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5663
06/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2024;qtd_aprovada;"120001 ACRELANDIA";-;-;255;-;-;-;-;-;-;-;-;-;-;-;-;340;2996;-;-;-;-;-;-;-;-;-;92;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3685
06/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5353;-;138;-;-;-;-;-;-;58;-;-;271;5005;-;-;-;-;-;-;-;-;-;62;-;4;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10894
06/2024;qtd_aprovada;"120010 BRASILEIA";-;30;5;11860;-;9625;72;116;-;-;-;-;91;118;-;911;22073;212;114;-;627;127;10;-;-;-;218;-;28;-;-;-;75;-;-;-;1;-;41;-;-;3;-;-;-;-;-;-;15;-;-;-;46372
06/2024;qtd_aprovada;"120013 BUJARI";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
06/2024;qtd_aprovada;"120017 CAPIXABA";19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;279;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;313
06/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";23001;1505;407;70411;-;3345;1324;1002;531;-;20;-;985;568;202;1045;49487;1178;222;-;827;398;-;-;16;-;200;-;4;-;-;-;-;-;-;-;-;-;-;-;15;20;-;-;-;-;-;19992;27;61;-;-;176793
06/2024;qtd_aprovada;"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42
06/2024;qtd_aprovada;"120030 FEIJO";-;-;-;10753;-;765;-;-;-;-;-;-;-;-;-;-;4581;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16201
06/2024;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;13;588;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;605
06/2024;qtd_aprovada;"120033 MANCIO LIMA";16;56;844;6469;-;851;-;-;-;-;-;-;198;-;-;954;15433;210;52;-;-;-;-;-;-;-;258;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;25404
06/2024;qtd_aprovada;"120034 MANOEL URBANO";-;28;40;3273;-;12;-;-;-;-;-;-;10;-;-;49;10699;-;-;-;-;-;-;-;-;-;44;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14158
06/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;37;1760;3778;-;186;-;-;-;-;-;-;-;-;-;627;12116;-;-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18605
06/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";1159;92;1740;5933;-;557;-;-;-;-;-;-;58;-;-;187;9082;150;-;-;-;-;-;-;-;-;102;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19065
06/2024;qtd_aprovada;"120039 PORTO WALTER";318;18;-;-;-;92;-;-;-;-;-;-;87;-;-;104;3224;-;-;-;-;-;2;-;-;4;9;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3861
06/2024;qtd_aprovada;"120040 RIO BRANCO";47920;972;11739;292597;4987;18266;3360;7339;1404;90;298;18;12227;-;274;19254;375219;4039;1024;903;4553;134;14677;-;818;-;3857;-;164;470;1;64;-;95;-;-;2;-;2087;-;342;9;228;-;-;-;103;121229;1451;69;-;10606;962889
06/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;110;-;-;141;-;-;-;-;-;-;32;-;-;50;3907;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4316
06/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
06/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;9;-;41289;-;526;-;-;-;-;-;-;24;-;-;275;5890;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48066
06/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;146;85;15059;-;2634;-;-;-;-;-;-;172;-;-;132;13324;-;22;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31681
06/2024;qtd_aprovada;"120060 TARAUACA";-;62;-;6895;-;764;-;-;-;-;-;-;-;-;-;-;5876;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;13731
06/2024;qtd_aprovada;"120070 XAPURI";-;35;-;5667;-;463;-;-;-;-;-;-;4;-;-;321;8522;-;-;-;-;-;-;-;-;-;242;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;15261
06/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
06/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;1666;-;167;238;-;-;-;7;-;-;-;-;-;2190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4289
06/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1507;-;279;91;-;-;-;-;-;24;-;-;-;3681;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5658
06/2024;qtd_aprovada;"130008 ANAMA";-;-;-;2476;-;319;133;-;-;-;-;-;-;-;-;26;471;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3476
06/2024;qtd_aprovada;"130010 ANORI";-;147;-;6406;-;364;-;-;-;-;-;-;78;-;-;28;2865;-;-;-;-;-;-;-;-;-;116;-;35;-;48;-;-;40;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10185
06/2024;qtd_aprovada;"130014 APUI";-;15;3;704;-;448;143;-;-;-;-;-;74;-;-;117;3189;183;5;-;-;11;-;-;2;-;138;-;4;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;5054
06/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;6152;-;563;306;-;-;-;-;-;72;-;1;123;6470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;13699
06/2024;qtd_aprovada;"130030 AUTAZES";30;13;-;7723;-;1381;590;-;-;-;-;-;451;-;-;170;23068;-;-;-;-;-;-;-;-;-;24;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33452
