periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;qtd_aprovada;"211176 SENADOR LA ROCQUE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211178 SERRANO DO MARANHAO";1149;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2855;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;600;-;-;-;-;-;-;4648
01/2026;qtd_aprovada;"211180 SITIO NOVO";-;81;-;2347;-;319;111;-;-;-;-;-;21;-;22;559;8898;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;188;-;-;-;-;-;-;12627
01/2026;qtd_aprovada;"211190 SUCUPIRA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211195 SUCUPIRA DO RIACHAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211200 TASSO FRAGOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211210 TIMBIRAS";10;26;-;13029;62;670;632;20;-;-;66;-;27;-;-;633;23007;-;52;-;-;-;-;-;-;-;589;-;11;-;-;4;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;32;-;-;2556;-;-;-;-;-;-;41473
01/2026;qtd_aprovada;"211220 TIMON";1650;144;3430;70260;913;5419;1890;619;-;-;21;-;1216;330;31;3480;103261;423;4;-;1626;-;974;-;-;-;450;-;22;-;-;-;-;1;-;-;-;-;542;2;-;-;5;-;-;-;-;-;-;-;694;6;-;3700;-;-;-;-;-;-;201113
01/2026;qtd_aprovada;"211223 TRIZIDELA DO VALE";625;-;-;2012;-;494;65;589;-;-;17;-;99;-;-;361;10341;350;-;-;-;-;9;75;-;-;182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;134;-;-;-;-;-;-;15370
01/2026;qtd_aprovada;"211227 TUFILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211230 TUNTUM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211240 TURIACU";-;-;-;-;-;256;-;-;-;-;-;-;-;-;-;-;8990;-;-;-;-;-;-;-;-;-;373;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24852;-;-;-;-;-;-;34471
01/2026;qtd_aprovada;"211245 TURILANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211250 TUTOIA";-;-;-;267;-;977;449;-;-;-;-;-;219;-;-;1233;15711;216;23;-;-;-;-;2;-;-;128;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;-;-;1009;-;-;-;-;-;-;20287
01/2026;qtd_aprovada;"211260 URBANO SANTOS";1;54;-;2;-;-;35;-;-;-;-;-;58;-;-;697;19538;-;-;-;-;-;-;-;-;-;609;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;19;-;-;204;-;-;-;-;-;-;21223
01/2026;qtd_aprovada;"211270 VARGEM GRANDE";1;50;75;1037;-;451;29;-;-;-;-;-;339;-;-;462;22788;292;7;-;-;-;-;-;-;-;68;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4053;-;-;-;-;-;-;29662
01/2026;qtd_aprovada;"211280 VIANA";-;25;-;10619;-;1506;278;299;-;-;-;-;-;38;-;3445;44391;-;103;-;-;-;-;-;-;-;68;-;24;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2034;-;-;-;-;-;-;62832
01/2026;qtd_aprovada;"211285 VILA NOVA DOS MARTIRIOS";-;54;-;7837;-;-;-;-;-;-;-;-;-;-;-;46;6192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;392;-;-;-;-;-;-;14521
01/2026;qtd_aprovada;"211290 VITORIA DO MEARIM";-;215;50;189;102;157;46;-;-;-;-;-;-;-;-;377;17791;-;-;-;-;-;-;-;-;-;168;-;18;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;1251;-;-;-;-;-;-;20394
01/2026;qtd_aprovada;"211300 VITORINO FREIRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"211400 ZE DOCA";290;71;3;6870;-;1634;851;-;-;-;47;-;548;13;-;1199;75922;432;340;-;-;-;12;26;-;-;1251;-;81;-;71;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;37;-;-;4182;-;-;-;-;-;-;93883
01/2026;qtd_aprovada;" MUNICIPIO IGNORADO - PI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220005 ACAUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220010 AGRICOLANDIA";-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;144
01/2026;qtd_aprovada;"220020 AGUA BRANCA";91;40;-;5579;397;431;97;-;-;-;-;-;66;-;-;541;11765;898;-;-;-;-;253;-;-;-;165;-;39;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;2;25;-;-;20524
01/2026;qtd_aprovada;"220025 ALAGOINHA DO PIAUI";-;122;-;606;-;-;-;-;-;-;-;-;-;-;-;-;301;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;1062
01/2026;qtd_aprovada;"220027 ALEGRETE DO PIAUI";-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;94
01/2026;qtd_aprovada;"220030 ALTO LONGA";-;66;78;1331;-;-;80;-;-;-;-;-;80;-;-;69;1298;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;3181
01/2026;qtd_aprovada;"220040 ALTOS";-;198;23;6821;-;1370;148;-;-;-;-;-;180;-;-;-;16819;940;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;34;168;-;-;26813
01/2026;qtd_aprovada;"220045 ALVORADA DO GURGUEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220050 AMARANTE";-;765;-;1249;-;-;-;-;-;-;-;-;5;-;-;-;4825;361;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;7257
01/2026;qtd_aprovada;"220060 ANGICAL DO PIAUI";-;25;-;547;-;-;-;-;-;-;-;-;-;-;-;210;1454;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;2255
01/2026;qtd_aprovada;"220070 ANISIO DE ABREU";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54
01/2026;qtd_aprovada;"220080 ANTONIO ALMEIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220090 AROAZES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;169
01/2026;qtd_aprovada;"220095 AROEIRAS DO ITAIM";-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;49
01/2026;qtd_aprovada;"220100 ARRAIAL";-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;2184;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2237
01/2026;qtd_aprovada;"220105 ASSUNCAO DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220110 AVELINO LOPES";-;32;-;339;-;-;-;-;-;-;-;-;-;-;-;-;448;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;840
01/2026;qtd_aprovada;"220115 BAIXA GRANDE DO RIBEIRO";-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
01/2026;qtd_aprovada;"220117 BARRA D'ALCANTARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220120 BARRAS";-;178;-;16963;195;666;375;-;-;-;9;-;8;-;-;-;9470;1531;7;-;-;-;200;-;-;-;366;-;20;-;-;-;2;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;30082
01/2026;qtd_aprovada;"220130 BARREIRAS DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220140 BARRO DURO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220150 BATALHA";-;55;29;4604;-;348;84;-;-;-;-;-;66;-;-;319;8908;748;-;-;-;-;-;-;-;-;24;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;25;103;-;-;15351
01/2026;qtd_aprovada;"220155 BELA VISTA DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220157 BELEM DO PIAUI";-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;65
01/2026;qtd_aprovada;"220160 BENEDITINOS";-;32;25;2323;-;-;82;-;-;-;-;-;230;-;-;-;1306;1231;-;-;-;-;-;-;-;-;308;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;5609
01/2026;qtd_aprovada;"220170 BERTOLINIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220173 BETANIA DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;40
01/2026;qtd_aprovada;"220177 BOA HORA";-;369;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;399
01/2026;qtd_aprovada;"220180 BOCAINA";40;20;16;-;-;-;-;-;-;-;-;-;-;-;-;-;294;749;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1234
01/2026;qtd_aprovada;"220190 BOM JESUS";-;-;126;15490;-;1240;-;-;-;-;-;-;4;-;2;194;29794;3028;1;-;1063;-;-;-;-;-;168;-;10;-;-;-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;51146
01/2026;qtd_aprovada;"220191 BOM PRINCIPIO DO PIAUI";153;10;-;-;-;-;-;-;-;-;-;-;-;-;-;8;207;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;393
01/2026;qtd_aprovada;"220192 BONFIM DO PIAUI";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;208
01/2026;qtd_aprovada;"220194 BOQUEIRAO DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220196 BRASILEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220198 BREJO DO PIAUI";-;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;141
01/2026;qtd_aprovada;"220200 BURITI DOS LOPES";3316;-;-;1324;-;-;-;-;-;-;-;-;158;-;-;401;10790;1662;-;-;-;-;62;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17910
01/2026;qtd_aprovada;"220202 BURITI DOS MONTES";-;48;-;2912;-;25;-;-;-;-;-;-;74;-;-;206;2404;-;-;-;-;-;-;-;-;-;33;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;25;24;-;-;5783
01/2026;qtd_aprovada;"220205 CABECEIRAS DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220207 CAJAZEIRAS DO PIAUI";-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;115
01/2026;qtd_aprovada;"220208 CAJUEIRO DA PRAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220209 CALDEIRAO GRANDE DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220210 CAMPINAS DO PIAUI";10;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;2;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;130
01/2026;qtd_aprovada;"220211 CAMPO ALEGRE DO FIDALGO";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;61
01/2026;qtd_aprovada;"220213 CAMPO GRANDE DO PIAUI";-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96
01/2026;qtd_aprovada;"220217 CAMPO LARGO DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220220 CAMPO MAIOR";558;148;8;19514;-;1174;588;969;-;-;37;-;596;-;-;667;21039;6144;1;-;2818;-;283;1176;-;-;213;-;16;-;-;-;1;-;-;-;1;-;207;-;-;-;38;-;-;-;-;-;-;-;94;57;-;-;-;-;11;-;-;-;56358
01/2026;qtd_aprovada;"220225 CANAVIEIRA";-;-;196;-;-;-;-;-;-;-;-;-;-;-;-;130;472;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;798
01/2026;qtd_aprovada;"220230 CANTO DO BURITI";-;357;-;-;-;314;91;-;-;-;-;-;82;-;-;547;18232;180;-;-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19933
01/2026;qtd_aprovada;"220240 CAPITAO DE CAMPOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220245 CAPITAO GERVASIO OLIVEIRA";-;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;126
01/2026;qtd_aprovada;"220250 CARACOL";-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;2375;5238;-;-;-;-;-;-;-;-;-;181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;7876
01/2026;qtd_aprovada;"220253 CARAUBAS DO PIAUI";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;64
01/2026;qtd_aprovada;"220255 CARIDADE DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220260 CASTELO DO PIAUI";-;35;12;3189;-;294;79;-;-;-;-;-;121;-;-;-;2858;620;-;-;-;-;-;-;-;-;88;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;7356
01/2026;qtd_aprovada;"220265 CAXINGO";-;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;222
01/2026;qtd_aprovada;"220270 COCAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220271 COCAL DE TELHA";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;229;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;270
01/2026;qtd_aprovada;"220272 COCAL DOS ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"220273 COIVARAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;22
01/2026;qtd_aprovada;"220275 COLONIA DO GURGUEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
