periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
10/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1335;76;1;726;-;1283;-;-;-;-;-;-;-;-;-;614;19897;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;193;-;-;-;-;-;-;24134
10/2025;qtd_aprovada;"110011 JARU";-;49;-;29211;-;4676;605;31;128;-;60;-;337;-;-;516;55321;884;5;-;-;4;-;-;-;-;-;97;-;5;-;-;1;1;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;15969;-;-;-;-;-;-;107947
10/2025;qtd_aprovada;"110012 JI-PARANA";1870;232;122;38293;574;4984;1343;1271;567;-;-;-;5897;394;-;2284;134833;-;662;-;2370;23;-;-;2;-;-;3245;-;8;749;-;-;-;-;-;-;-;23;-;4;-;217;15;-;-;-;-;-;-;-;1301;19;-;10949;-;-;-;-;-;-;212251
10/2025;qtd_aprovada;"110013 MACHADINHO D'OESTE";2180;81;-;4597;-;1122;225;-;-;-;-;-;141;-;38;2308;19242;-;12;-;-;-;-;-;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17071;-;-;-;-;-;-;47022
10/2025;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2871;-;614;1830;-;292;160;-;-;-;-;-;17;-;7;228;12065;495;12;-;-;2;-;-;-;-;-;70;-;-;-;-;-;1;-;-;1;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;2909;-;-;-;-;-;-;21587
10/2025;qtd_aprovada;"110015 OURO PRETO DO OESTE";196;2365;2;22310;-;1270;618;274;-;-;-;-;168;-;-;231;23523;-;-;-;-;2;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;6783;-;-;-;-;-;-;57872
10/2025;qtd_aprovada;"110018 PIMENTA BUENO";544;109;-;17154;-;1309;195;-;-;-;-;-;726;-;-;284;32102;188;31;-;-;1;-;-;-;-;-;286;-;7;-;-;1;-;-;-;-;1;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;6717;-;-;-;1;-;-;59773
10/2025;qtd_aprovada;"110020 PORTO VELHO";37473;8421;18448;474763;10391;17816;3821;6592;2414;402;360;-;22051;14395;236;23396;492404;6677;883;3035;4911;7766;703;-;10667;-;-;4609;1;135;1103;6;9;-;55;-;-;2;1;30271;1;-;815;45;745;13;25;-;90;-;-;5516;151;-;16995;-;-;131;47;-;78;1228869
10/2025;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;70;-;5463;-;1240;-;-;-;-;-;-;-;-;-;58;330;119;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7280
10/2025;qtd_aprovada;"110026 RIO CRESPO";-;5;588;586;-;-;-;-;-;-;-;-;-;-;-;134;4212;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3506;-;-;-;-;-;-;9038
10/2025;qtd_aprovada;"110028 ROLIM DE MOURA";8414;282;1357;28702;-;1652;1206;170;92;-;-;-;350;-;2;3231;76711;163;236;-;-;15;-;-;62;-;-;423;-;-;-;-;-;-;-;-;-;-;-;-;1;-;29;-;-;-;-;-;-;-;120;-;-;-;12391;-;-;-;-;-;-;135609
10/2025;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";6935;89;118;6255;-;362;-;-;-;-;-;-;7;-;-;238;11844;386;13;-;-;-;180;-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;99;12;-;-;-;-;-;-;-;-;-;-;-;-;-;1808;-;-;-;-;-;-;28368
10/2025;qtd_aprovada;"110030 VILHENA";-;-;-;-;-;-;-;21;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143
10/2025;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";9490;-;126;2815;-;568;131;-;-;-;-;-;29;-;1;408;12512;110;11;-;-;-;272;-;-;-;-;33;-;3;-;-;-;3;-;-;-;-;-;17;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3408;-;-;-;-;-;-;29939
10/2025;qtd_aprovada;"110033 NOVA MAMORE";-;157;-;78;-;-;-;-;-;-;-;-;-;-;-;2;8425;89;-;-;-;-;-;-;2;-;-;59;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;7708;-;-;-;-;-;-;16523
10/2025;qtd_aprovada;"110034 ALVORADA D'OESTE";7558;206;65;7135;-;549;-;-;-;-;-;-;20;-;-;441;10629;511;-;-;-;-;2;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2345;-;-;-;-;-;-;29469
10/2025;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1532;-;2735;3227;-;-;-;-;-;-;-;-;12;-;-;1286;6199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3179;-;-;-;-;-;-;18170
10/2025;qtd_aprovada;"110040 ALTO PARAISO";1646;2572;-;6613;-;653;143;-;-;-;-;-;12;-;-;395;12419;210;123;-;-;-;-;-;311;-;6;116;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;5012;-;-;-;-;-;-;30272
10/2025;qtd_aprovada;"110045 BURITIS";18258;87;437;16543;-;901;171;-;-;-;-;-;163;-;3;3557;37611;1471;18;-;-;8;1651;-;438;-;-;167;-;1;-;1;-;1;1;-;-;-;-;170;-;-;7;-;-;-;-;-;-;-;-;-;-;-;13368;-;-;-;-;-;-;95033
10/2025;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;58;-;1751;-;442;-;-;-;-;-;-;35;-;32;728;5636;131;-;-;-;-;-;-;-;-;-;52;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3034;-;-;-;-;-;-;11906
10/2025;qtd_aprovada;"110060 CACAULANDIA";2284;9;1445;1541;-;-;-;-;-;-;-;-;23;-;5;99;4102;85;7;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;914;-;-;-;-;-;-;10529
10/2025;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5408;-;35;1583;-;-;-;-;-;-;-;-;-;-;-;444;6344;-;-;-;-;-;-;-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2074;-;-;-;-;-;-;15895
10/2025;qtd_aprovada;"110080 CANDEIAS DO JAMARI";194;-;-;9277;-;-;-;-;-;-;-;-;-;-;-;4;1539;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11019
10/2025;qtd_aprovada;"110090 CASTANHEIRAS";1656;-;29;62;-;-;100;-;-;-;-;-;-;-;-;112;3913;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292;-;-;-;-;-;-;6166
10/2025;qtd_aprovada;"110092 CHUPINGUAIA";4709;39;32;-;-;421;113;-;-;-;-;-;90;-;-;591;7714;136;-;-;-;-;711;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1580;-;-;-;-;-;-;16263
10/2025;qtd_aprovada;"110094 CUJUBIM";12;161;71;4017;-;1097;188;-;-;-;-;-;120;-;1;266;14601;-;-;-;-;-;-;-;-;-;-;61;-;3;2;-;-;-;-;-;-;-;-;-;1;-;15;-;-;-;-;-;-;-;-;-;-;-;3192;-;-;-;-;-;-;23808
10/2025;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";2578;29;30;-;-;93;-;-;-;-;-;-;-;-;-;116;3112;208;-;-;-;-;-;-;-;-;-;16;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6183
10/2025;qtd_aprovada;"110110 ITAPUA DO OESTE";991;42;-;4894;-;188;-;-;-;-;-;-;-;-;-;256;8683;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;15072
10/2025;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;1828;-;310;19;-;-;-;-;-;19;-;4;57;6219;139;68;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;8780
10/2025;qtd_aprovada;"110130 MIRANTE DA SERRA";-;-;112;1232;-;658;58;-;-;-;-;-;1;-;-;14;7541;-;-;-;-;-;-;-;-;-;-;50;-;4;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9674
10/2025;qtd_aprovada;"110140 MONTE NEGRO";8687;83;158;5374;-;409;43;-;-;-;-;-;7;-;-;1479;11897;362;1;-;-;-;386;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;77;1;-;-;-;-;-;-;-;-;-;-;22;-;-;4584;-;-;-;-;-;-;33582
10/2025;qtd_aprovada;"110143 NOVA UNIAO";-;180;-;2399;-;946;59;-;-;-;-;-;2121;-;-;76;8648;-;-;-;-;-;-;-;-;-;-;40;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14487
10/2025;qtd_aprovada;"110145 PARECIS";-;8;-;9740;-;-;-;-;-;-;-;-;350;-;-;-;10495;-;240;-;-;-;-;-;121;-;-;261;-;-;-;-;-;-;-;-;-;-;-;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21346
10/2025;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1486;-;7;667;-;-;-;-;-;-;-;-;2;-;-;148;2702;26;-;-;-;-;31;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;780;-;-;-;-;-;-;5894
10/2025;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";829;12;-;-;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;947
10/2025;qtd_aprovada;"110148 SAO FELIPE D'OESTE";862;19;6;6;-;-;36;-;-;-;-;-;-;-;-;77;5353;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1676;-;-;-;-;-;-;8039
10/2025;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";8861;114;636;10180;-;476;83;-;-;-;-;-;45;-;5;1044;19663;2251;-;-;-;-;182;-;220;-;-;83;-;1;-;-;-;-;-;-;-;-;-;60;-;-;31;-;-;-;-;-;-;-;-;-;-;-;11027;-;-;-;-;-;-;54962
10/2025;qtd_aprovada;"110150 SERINGUEIRAS";7775;-;-;4410;-;172;156;-;17;-;38;-;68;-;-;239;12096;170;2;-;-;-;83;-;-;-;-;23;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25250
10/2025;qtd_aprovada;"110155 TEIXEIROPOLIS";-;17;-;1415;-;-;-;-;-;-;-;-;-;-;-;42;15647;-;-;-;-;-;-;-;-;-;-;16;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17146
10/2025;qtd_aprovada;"110160 THEOBROMA";716;11;-;3679;-;237;76;-;-;-;-;-;20;-;-;31;2976;-;-;-;-;-;6;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7754
10/2025;qtd_aprovada;"110170 URUPA";478;-;3;4778;-;335;-;-;-;-;-;-;363;-;-;250;8292;-;-;-;-;1;-;-;-;-;-;151;-;-;110;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4227;-;-;-;-;-;-;18990
10/2025;qtd_aprovada;"110175 VALE DO ANARI";986;11;123;3410;-;-;83;-;-;-;-;-;-;-;32;102;4629;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7400;-;-;-;-;-;-;16781
10/2025;qtd_aprovada;"110180 VALE DO PARAISO";296;13;-;1061;-;-;93;-;-;-;-;-;19;-;-;4;1628;-;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1526;-;-;-;-;-;-;4657
10/2025;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"120001 ACRELANDIA";-;49;236;-;-;384;-;-;-;-;-;-;-;-;-;495;3920;-;-;-;-;-;-;-;-;-;-;175;-;5;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5270
10/2025;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;9687;-;321;-;-;-;-;-;-;32;-;-;261;6504;-;-;-;-;-;-;-;-;-;-;43;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16851
10/2025;qtd_aprovada;"120010 BRASILEIA";3;17;1;27714;-;12055;191;-;-;-;-;-;17;62;3;436;22146;253;139;-;1062;82;8;-;-;-;-;262;-;21;-;-;-;95;-;-;-;-;-;12;2;-;32;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64615
10/2025;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51
10/2025;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204
10/2025;qtd_aprovada;"120020 CRUZEIRO DO SUL";23928;434;395;65188;-;2966;662;1198;586;-;31;-;1349;514;254;655;38774;1974;256;-;872;348;2;-;59;-;-;117;-;11;-;-;-;-;-;-;-;-;-;2;-;-;28;18;-;-;-;-;-;-;30104;31;57;-;-;-;-;-;-;-;-;170813
10/2025;qtd_aprovada;"120025 EPITACIOLANDIA";46;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;291;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;382
10/2025;qtd_aprovada;"120030 FEIJO";-;14;-;17399;-;1373;-;-;-;-;-;-;-;-;-;-;6546;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25387
10/2025;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;52;1244;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1300
10/2025;qtd_aprovada;"120033 MANCIO LIMA";-;33;992;7278;-;820;60;-;-;-;-;-;257;-;-;963;15803;182;4;-;-;-;-;-;-;-;-;266;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26678
10/2025;qtd_aprovada;"120034 MANOEL URBANO";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73
10/2025;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;12;1969;2473;-;139;-;-;-;-;-;-;-;-;-;817;11408;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16856
10/2025;qtd_aprovada;"120038 PLACIDO DE CASTRO";1665;52;3359;8533;-;452;-;-;-;-;-;-;53;-;60;216;11351;-;6;-;-;-;6;-;-;-;-;141;-;3;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25909
10/2025;qtd_aprovada;"120039 PORTO WALTER";409;22;-;3036;-;84;-;-;-;-;-;-;81;-;8;260;4514;-;-;-;-;-;-;-;-;4;-;4;-;4;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8428
10/2025;qtd_aprovada;"120040 RIO BRANCO";61908;1173;6615;415226;3605;20399;4744;9592;3598;98;268;-;9595;9117;887;20087;501480;3942;236;967;5626;2769;19036;-;1833;-;2;4503;-;107;424;1;34;-;34;-;-;31;-;1812;2;-;692;20;273;-;-;-;144;-;198915;1672;80;-;11117;-;206;599;-;-;-;1323469
10/2025;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;254;-;-;-;-;-;-;10;-;-;157;8305;-;-;-;-;-;-;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8854
10/2025;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;20;-;1291;-;33;-;-;-;-;-;-;14;-;-;-;892;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2251
10/2025;qtd_aprovada;"120045 SENADOR GUIOMARD";-;5;-;24985;-;683;-;-;-;-;-;-;62;-;-;611;7532;-;-;-;-;-;15;-;-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33990
