periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
10/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";132;164;5085;4689;-;1494;222;-;-;-;-;-;95;-;-;103;18202;171;154;-;-;-;-;-;-;-;-;258;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11010;-;-;-;-;-;-;41779
10/2025;qtd_aprovada;"110002 ARIQUEMES";37784;81;52788;40776;-;3638;1254;1917;166;-;24;-;1676;181;7;6109;121045;970;35;-;2398;-;938;-;-;-;-;484;-;8;215;-;-;-;-;-;-;-;-;59;1;-;9;12;-;-;-;-;-;-;-;729;36;-;14249;-;-;145;5;-;-;287739
10/2025;qtd_aprovada;"110003 CABIXI";234;-;1;2727;-;209;45;-;-;-;-;-;2;-;1;57;4788;30;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8097
10/2025;qtd_aprovada;"110004 CACOAL";620;231;454;95948;-;2329;1599;2628;621;-;65;-;6082;-;-;174;41181;3086;1051;1083;2075;8;231;-;525;-;-;1467;-;17;604;-;7;61;4;-;-;-;1;12;-;-;239;28;-;-;-;-;-;-;-;449;52;-;7724;-;-;-;-;-;-;170656
10/2025;qtd_aprovada;"110005 CEREJEIRAS";15515;-;317;5058;-;1295;91;194;-;-;8;-;81;-;-;1126;23914;462;7;-;-;-;226;-;-;-;-;44;-;11;-;-;-;2;-;-;-;-;-;25;-;-;25;-;-;-;-;-;-;-;-;-;-;-;8558;-;-;-;-;-;-;56959
10/2025;qtd_aprovada;"110006 COLORADO DO OESTE";-;36;-;6758;-;1108;214;-;-;-;-;-;238;-;-;160;18774;-;395;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2402;-;-;-;-;-;-;30185
10/2025;qtd_aprovada;"110007 CORUMBIARA";6693;119;51;1467;-;246;145;-;-;-;-;-;31;-;-;230;8262;221;-;-;-;-;945;-;-;-;-;41;-;6;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2597;-;-;-;-;-;-;21119
10/2025;qtd_aprovada;"110008 COSTA MARQUES";1367;84;-;7854;-;327;68;-;-;-;-;-;-;-;-;196;12575;88;1;-;-;-;-;-;-;1;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22574
10/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";1070;49;1427;11442;-;1364;167;-;-;-;-;-;66;-;-;-;28685;747;26;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;7259;-;-;-;-;-;-;52425
