periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
04/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";-;52;-;167;-;386;29;-;-;-;-;-;24;-;-;401;2891;333;1;-;-;-;-;-;-;10;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4956;9253
04/2024;qtd_aprovada;"110011 JARU";-;167;-;29358;-;3228;256;21;14;-;114;-;128;-;-;48;83521;310;6;-;-;1;-;-;-;139;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15460;132776
04/2024;qtd_aprovada;"110012 JI-PARANA";9132;-;29;44821;1175;3;378;1661;1494;-;124;-;381;-;-;2533;158924;471;16455;-;2016;43;-;10;-;1086;-;26;-;-;-;-;1;-;-;-;7;-;3;306;21;-;-;-;-;-;-;1077;31;-;6372;248580
04/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";6622;72;2;11188;-;2083;219;-;-;-;-;-;181;-;60;1948;35342;-;38;-;-;-;-;-;-;121;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10822;68699
04/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2993;25;341;419;-;347;128;-;-;-;-;-;7;-;33;176;14581;531;17;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;19674
04/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;2622;-;16434;-;697;600;-;-;-;-;-;377;-;-;310;30437;-;3;-;-;1;-;-;-;148;-;-;-;-;-;5;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;51684
04/2024;qtd_aprovada;"110018 PIMENTA BUENO";350;-;-;12397;-;1082;-;-;-;-;-;-;223;-;-;191;24900;42;10;-;-;-;-;-;-;265;-;4;-;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;541;40100
04/2024;qtd_aprovada;"110020 PORTO VELHO";10333;7966;25779;222833;8981;22285;4596;3165;339;264;416;7;11108;12981;5815;29108;549306;4645;501;2518;4559;7164;1319;3292;-;4403;-;168;182;3;22;-;55;7;1;2;-;346;2;176;28;1101;23;40;-;166;144155;4459;99;-;21234;1115952
04/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;137;-;723;-;566;-;-;-;-;-;-;-;-;-;5;600;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2082
04/2024;qtd_aprovada;"110026 RIO CRESPO";1;11;692;699;-;-;-;-;-;-;-;-;-;-;-;38;5164;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6606
04/2024;qtd_aprovada;"110028 ROLIM DE MOURA";5045;148;882;26415;-;1398;613;103;174;-;-;-;600;-;-;1734;67998;810;406;-;-;15;-;131;-;90;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10149;116712
04/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";7767;104;46;3359;-;143;4;-;-;-;-;-;12;-;-;249;9521;519;-;-;-;-;192;-;-;35;-;-;-;-;-;-;-;-;-;-;-;38;1;-;-;-;-;-;-;-;-;-;-;-;1101;23091
04/2024;qtd_aprovada;"110030 VILHENA";2437;605;6416;38285;-;6614;2378;901;1016;-;57;-;5337;-;-;2210;138415;908;34;-;-;32;-;-;-;718;-;68;743;-;3;-;-;-;-;-;1;62;-;411;15;-;-;-;-;-;-;522;7;-;-;208195
04/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";17;147;1;2634;-;503;56;-;-;-;-;-;6;-;-;319;1952;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7828;13464
04/2024;qtd_aprovada;"110033 NOVA MAMORE";364;426;54;6877;-;938;50;-;-;-;-;-;50;-;-;697;14886;106;-;-;-;-;-;-;-;89;-;3;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;2816;27363
04/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";21;61;-;4744;-;447;226;-;-;-;-;-;-;-;-;2;7598;550;-;-;-;-;-;-;-;30;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13682
04/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1959;-;2116;2657;-;-;191;-;-;-;-;-;70;-;-;1512;7591;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4368;20466
04/2024;qtd_aprovada;"110040 ALTO PARAISO";5465;2326;-;6298;-;602;-;-;-;-;-;-;44;-;-;329;16061;-;8;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;740;31895
04/2024;qtd_aprovada;"110045 BURITIS";16432;43;307;17876;-;98;152;-;-;-;-;-;277;-;4;2459;39101;1839;-;-;-;10;2104;318;-;143;-;5;-;-;-;-;-;-;-;-;-;283;-;3;-;-;-;-;-;-;-;-;-;-;17310;98764
04/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;1833;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1857;3746
04/2024;qtd_aprovada;"110060 CACAULANDIA";3188;18;1828;2194;-;-;39;-;-;-;-;-;-;-;9;138;5364;176;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12959
04/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";6352;108;128;1008;-;-;-;-;-;-;-;-;1;-;-;389;5374;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13366
04/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";108;-;1;-;-;-;258;-;-;-;-;-;18;-;-;236;6204;-;-;-;-;-;-;-;-;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6994
04/2024;qtd_aprovada;"110090 CASTANHEIRAS";1389;-;49;935;-;-;79;-;-;-;-;-;2;-;-;125;4680;-;-;-;-;-;138;-;-;-;-;2;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;26;7442
04/2024;qtd_aprovada;"110092 CHUPINGUAIA";5;66;-;3672;-;-;-;-;-;-;-;-;25;-;-;129;8583;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;981;13463
04/2024;qtd_aprovada;"110094 CUJUBIM";4490;64;173;7058;-;1084;102;-;-;-;-;-;147;-;5;162;16899;-;4;-;-;-;-;-;-;38;-;-;-;-;-;-;1;-;-;-;1;44;-;7;-;-;-;-;-;-;-;-;-;-;1204;31483
04/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;21;-;2889;-;124;12;-;-;-;-;-;54;-;-;-;4191;365;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7679
04/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";1147;7;-;3;-;-;-;-;-;-;-;-;-;-;-;158;3584;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4899
04/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;31;-;360;-;260;-;-;-;-;-;-;9;-;6;47;6119;124;86;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;7145
04/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;12;-;1586;-;747;80;-;-;-;-;-;-;-;-;-;8890;-;-;-;-;-;-;-;-;577;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11918
04/2024;qtd_aprovada;"110140 MONTE NEGRO";1841;72;-;6671;-;508;162;-;-;-;-;-;63;-;-;680;7053;283;-;-;-;-;-;-;-;34;-;6;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;30;-;-;3162;20590
04/2024;qtd_aprovada;"110143 NOVA UNIAO";-;136;-;1741;-;457;-;-;-;-;-;-;1356;-;-;-;5873;-;-;-;-;-;-;-;-;12;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9587
04/2024;qtd_aprovada;"110145 PARECIS";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3923;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;252;4267
04/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1697;19;-;608;-;-;-;-;-;-;-;-;7;-;-;69;2821;-;-;-;-;-;35;-;-;9;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;68;5341
04/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";862;-;-;123;-;-;-;-;-;-;-;-;-;-;8;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1050
04/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";950;10;736;1101;-;-;-;-;-;-;-;-;-;-;-;43;6122;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;834;9800
04/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";11343;234;1462;14872;-;346;66;-;-;-;-;-;50;-;-;939;17349;2087;3;-;-;-;424;2;-;56;-;1;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;4000;53338
04/2024;qtd_aprovada;"110150 SERINGUEIRAS";10707;-;49;3711;-;274;229;-;-;-;-;-;61;-;-;426;15111;153;-;-;-;-;250;-;-;26;-;1;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;2350;33418
04/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;3554;-;-;-;-;-;-;-;-;-;-;-;80;3217;-;-;-;-;-;-;-;-;39;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6891
04/2024;qtd_aprovada;"110160 THEOBROMA";873;46;-;4339;-;110;-;-;-;-;-;-;11;-;-;25;4292;-;-;-;-;-;78;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9780
04/2024;qtd_aprovada;"110170 URUPA";-;-;-;4805;-;225;110;9;-;-;-;-;11;-;-;45;6676;560;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12500
04/2024;qtd_aprovada;"110175 VALE DO ANARI";-;17;70;5185;-;-;-;-;-;-;-;-;-;-;-;287;3181;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8785
04/2024;qtd_aprovada;"110180 VALE DO PARAISO";532;-;-;1304;-;-;-;-;-;-;-;-;7;-;-;-;3866;-;-;-;-;-;-;-;-;23;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;5736
04/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
04/2024;qtd_aprovada;"120001 ACRELANDIA";-;28;206;-;-;-;-;-;-;-;-;-;-;-;-;465;3023;-;-;-;-;-;-;-;-;164;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3890
04/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;6147;-;252;-;-;-;-;-;-;46;-;-;238;5529;-;-;-;-;-;-;-;-;51;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12269
04/2024;qtd_aprovada;"120010 BRASILEIA";-;44;6;13238;-;9049;140;95;-;-;-;-;114;112;-;106;21484;212;99;-;755;69;15;-;-;210;-;67;-;-;1;49;-;-;-;-;-;48;-;-;3;-;-;-;-;-;-;2;-;-;-;45918
04/2024;qtd_aprovada;"120013 BUJARI";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
04/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;351
04/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";28416;1544;584;62277;-;3510;1533;978;-;-;28;-;510;647;404;950;55225;1702;187;-;852;409;-;3;-;122;-;3;-;-;-;-;-;-;-;-;-;2;-;3;22;2;-;-;-;-;19013;40;66;-;-;179032
04/2024;qtd_aprovada;"120025 EPITACIOLANDIA";16;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;190;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;242
04/2024;qtd_aprovada;"120030 FEIJO";-;-;-;11074;-;-;-;-;-;-;-;-;-;-;-;-;590;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11683
04/2024;qtd_aprovada;"120032 JORDAO";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
04/2024;qtd_aprovada;"120033 MANCIO LIMA";1;40;1126;5873;-;857;-;-;-;-;-;-;103;-;-;1213;16631;170;62;-;-;-;-;-;-;181;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;26332
04/2024;qtd_aprovada;"120034 MANOEL URBANO";-;24;21;3523;-;185;-;-;-;-;-;-;8;-;-;49;10713;-;-;-;-;-;-;-;-;46;-;1;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14574
04/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;12;2;4461;-;93;-;-;-;-;-;-;-;-;-;928;8529;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14070
04/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";1219;65;2680;6618;-;489;-;-;-;-;-;-;7;-;-;73;10497;141;-;-;-;-;6;-;-;173;-;9;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;21983
04/2024;qtd_aprovada;"120039 PORTO WALTER";154;16;-;-;-;108;-;-;-;-;-;-;45;-;-;108;2260;-;-;-;-;-;2;-;1;6;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;2707
04/2024;qtd_aprovada;"120040 RIO BRANCO";43511;1277;4371;320971;5410;18541;3409;7284;1751;72;230;25;5815;3401;892;19529;311553;3523;662;787;4666;2606;12773;407;-;2538;-;39;401;3;34;-;30;-;-;-;-;1715;1;313;16;281;-;-;-;101;145367;1220;75;-;8883;934483
04/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;155;-;-;-;-;-;-;47;-;-;110;9763;-;-;-;-;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10201
04/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;169;-;450;-;118;-;-;-;-;-;-;18;-;-;10;1135;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1909
04/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;12;-;21572;-;771;-;-;-;-;-;-;52;-;-;183;7141;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29796
04/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;107;106;15390;-;2558;101;-;-;-;-;-;94;-;-;119;16191;-;3;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34738
04/2024;qtd_aprovada;"120060 TARAUACA";-;20;-;6221;-;832;-;-;-;-;-;-;-;-;-;-;6659;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13817
04/2024;qtd_aprovada;"120070 XAPURI";-;21;-;5269;-;466;-;-;-;-;-;-;-;-;48;367;8733;-;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;15092
04/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44
04/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
04/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;1034;-;104;263;-;-;-;-;-;-;-;-;-;2419;-;-;-;-;-;-;-;-;12;-;1;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3838
04/2024;qtd_aprovada;"130006 AMATURA";-;-;-;2140;-;270;2;-;-;-;-;-;16;-;-;116;9626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12170
04/2024;qtd_aprovada;"130008 ANAMA";-;-;-;3001;-;271;151;-;-;-;-;-;33;-;-;49;599;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4136
04/2024;qtd_aprovada;"130010 ANORI";-;141;-;5862;-;266;22;-;-;-;-;-;70;-;-;23;2498;-;-;-;-;-;-;-;-;130;-;28;-;40;-;-;28;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9130
04/2024;qtd_aprovada;"130014 APUI";-;63;3;6823;-;491;133;-;-;-;-;-;82;-;-;121;3342;441;13;-;-;8;-;-;-;83;-;6;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;11647
04/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;4372;-;256;245;-;-;-;-;-;82;-;-;248;7713;-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;-;13159
04/2024;qtd_aprovada;"130030 AUTAZES";25;35;-;7045;-;1341;445;-;-;-;-;-;424;-;-;299;29293;-;-;-;-;-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38929
04/2024;qtd_aprovada;"130040 BARCELOS";-;37;-;227;-;64;29;-;-;-;-;-;-;-;-;-;1853;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2212
04/2024;qtd_aprovada;"130050 BARREIRINHA";-;-;-;2262;-;444;5;-;-;-;-;-;54;-;-;277;2641;-;-;-;-;-;31;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;5820
