periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
06/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;10324,51;-;7308,62;4566,10;-;-;-;-;-;267,80;-;-;32,00;75972,94;1181,45;5710,14;-;-;-;-;-;993,82;-;-;-;328,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540,00;-;66775,50;174001,34
06/2024;valor_aprovado;"110002 ARIQUEMES";1404,00;-;-;154273,98;-;11784,62;27726,67;180214,40;-;-;-;-;9097,12;3322,80;-;1447,00;282948,47;1214,65;-;-;557541,84;32,36;308,24;-;11706,38;-;96,26;94096,20;-;-;-;-;-;-;-;-;95,90;59,72;66,81;1915,81;-;-;-;-;-;38114,61;8670,00;4293,48;48777,30;1439208,62
06/2024;valor_aprovado;"110003 CABIXI";-;-;-;3757,92;-;968,39;-;-;-;-;-;-;66,95;-;-;-;12229,92;-;-;-;-;-;-;-;391,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6647,85;24062,43
06/2024;valor_aprovado;"110004 CACOAL";16,20;-;18,33;181045,91;-;12172,75;9110,20;178957,40;-;-;-;-;2406,47;-;-;33,00;258423,54;9545,37;3301,80;719948,76;472710,89;202,25;151,48;130,24;34211,48;-;285,77;-;-;38,39;1070,72;518,40;-;-;109,94;-;87,68;-;2532,57;11298,98;-;-;-;-;-;109315,26;-;2623,52;56276,55;2066543,85
06/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;18881,82;290,40;-;-;-;-;-;185,40;-;-;2,00;63705,02;-;235,29;-;-;-;-;-;1055,52;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2079,00;86445,71
06/2024;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;-;-;12442,61;7695,05;-;-;-;-;-;75,77;-;-;-;111980,33;3199,93;218,09;-;-;-;-;-;1522,80;-;-;-;-;-;454,72;-;-;-;-;-;-;-;44,54;-;-;-;-;-;-;-;-;-;24477,75;162111,59
06/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;5753,28;-;-;2286,35;-;-;-;-;-;123,60;-;-;78,00;14226,04;-;-;-;-;-;-;-;616,24;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9182,25;32292,18
06/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;16404,73;-;-;-;-;-;-;-;-;-;-;-;14,00;2004,66;-;-;-;-;-;-;-;-;-;-;-;29,86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18453,25
06/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;26113,88;-;-;5791,50;-;-;-;-;-;46,35;-;-;-;109032,16;1751,67;-;-;-;-;-;-;2111,16;-;-;-;-;-;-;-;-;-;-;-;-;-;690,37;-;-;-;-;-;-;-;-;-;48198,15;193735,24
06/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;6413,63;-;39,00;6730,90;-;-;-;-;-;25,20;-;-;223,00;60714,83;3677,84;-;-;-;-;-;-;69,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19404,00;97297,88
06/2024;valor_aprovado;"110011 JARU";-;-;-;96545,41;-;22118,78;14155,90;-;7256,25;-;529,76;-;633,21;-;-;34,00;266839,27;527,88;229,62;-;-;14,07;-;-;639,90;-;137,73;-;-;12,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71468,10;481142,15
