periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
07/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;11132,47;-;10686,23;6035,70;-;-;-;-;-;489,25;-;-;38,00;87668,61;2054,20;5001,56;-;-;-;-;-;826,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;73522,35;-;-;-;-;-;197455,13
07/2025;valor_aprovado;"110002 ARIQUEMES";1144,80;-;-;140933,11;-;33496,25;26701,45;210590,50;-;-;1541,12;-;13793,54;3425,04;-;2055,00;359325,61;4025,24;17563,84;-;591676,52;-;67,08;-;14329,20;-;79,26;18898,03;-;24,54;-;-;-;19,79;-;-;423,98;-;44,54;3663,24;-;-;-;-;-;-;75098,05;10737,50;8716,48;70671,15;-;-;-;-;-;1609044,86
07/2025;valor_aprovado;"110003 CABIXI";-;-;-;7464,65;-;2315,94;7728,60;-;-;-;-;-;-;-;-;-;11849,55;60,71;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9226,80;-;-;-;-;-;38711,05
07/2025;valor_aprovado;"110004 CACOAL";75,60;-;5109,79;234575,02;-;19373,99;44951,08;281193,16;217956,25;-;1859,04;-;100938,83;-;-;33,00;362634,40;13551,36;3544,53;885859,83;505226,48;32,36;632,80;103,56;41520,58;-;5,63;196946,79;-;73,62;1433,00;22,62;-;-;-;62,56;-;29,86;3773,64;2200,39;-;-;-;-;-;-;72689,87;10596,60;1933,44;28487,25;-;-;-;-;-;3037426,93
07/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;13359,06;-;25162,79;5837,15;6209,79;-;-;-;-;334,75;-;-;252,00;60719,56;956,21;356,29;-;-;-;-;-;844,44;-;-;-;-;-;28,42;-;-;-;-;-;-;-;423,13;-;-;-;-;-;-;-;-;-;-;11707,20;-;-;-;-;-;126190,79
07/2025;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;8205,96;-;4196,06;8576,15;-;-;-;-;-;762,20;-;-;-;27783,86;-;219,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1343,70;-;-;-;-;-;-;-;-;-;-;-;42376,95;-;-;-;-;-;93464,40
07/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;7692,74;-;-;4265,80;-;-;-;-;-;92,70;-;-;69,00;19270,38;524,52;-;-;-;-;-;-;314,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20052,45;-;-;-;-;-;52282,47
07/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;29253,07;-;-;584,10;-;-;-;-;-;-;-;-;13,00;20825,92;-;-;-;-;-;-;-;120,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50796,45
07/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;31072,41;-;14102,30;3875,85;-;-;-;-;-;164,80;-;-;-;96199,37;619,40;628,95;-;-;-;-;-;1134,12;-;-;-;-;-;-;-;-;-;-;-;-;-;155,89;-;-;-;-;-;-;-;-;-;-;44870,25;-;-;-;-;-;192823,34
07/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;13971,22;-;669,84;5678,20;-;-;-;-;-;603,03;-;-;-;40893,16;3793,28;-;-;-;-;-;-;217,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44,55;-;-;-;-;-;65870,96
07/2025;valor_aprovado;"110011 JARU";-;-;-;120227,65;-;26924,51;23499,85;1419,88;6181,25;-;6055,26;-;1213,42;-;-;58,00;259168,72;2820,82;134,13;-;-;-;-;-;140,82;-;32,05;-;-;12,27;82,20;-;-;-;-;-;-;-;1180,31;-;-;-;-;-;-;-;-;-;-;102875,85;-;-;-;-;-;552026,99
07/2025;valor_aprovado;"110012 JI-PARANA";205,20;-;36,66;141803,58;17743,02;52671,52;31745,45;233980,48;192693,75;-;3647,26;-;93632,48;-;-;86,00;674654,90;-;13764,87;-;710318,12;310,43;-;101,34;100012,02;-;122,68;106477,50;-;-;-;22,62;-;-;-;-;-;59,72;4164,49;15288,39;-;-;-;-;-;-;127770,70;-;2415,78;28675,35;-;-;-;-;-;2552404,31
07/2025;valor_aprovado;"110013 MACHADINHO D'OESTE";2,70;-;-;32992,30;-;6277,31;10937,12;-;-;-;-;-;612,85;-;-;-;51620,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31452,30;-;-;-;-;-;133895,30
07/2025;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;5223,21;-;4216,32;5451,05;-;-;-;-;-;41,20;-;-;18,00;29315,36;1304,38;304,04;-;-;24,27;-;-;1078,24;-;-;-;-;-;154,52;-;-;19,79;-;-;-;-;66,81;-;-;-;-;-;-;-;-;-;-;16478,55;-;-;-;-;-;63695,74
07/2025;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;119346,81;-;15193,11;20364,85;-;-;-;-;-;370,80;-;-;-;83839,14;-;-;-;-;24,27;-;-;2130,02;-;-;-;-;-;-;-;-;-;-;-;-;-;690,37;-;-;-;-;-;-;-;-;-;-;41637,60;-;-;-;-;-;283596,97
07/2025;valor_aprovado;"110018 PIMENTA BUENO";1007,10;-;-;50407,09;-;13283,88;5309,70;-;-;-;-;-;5651,97;-;-;360,00;121740,45;563,53;866,83;-;-;8,09;-;-;6161,60;-;28,26;838,20;-;-;-;-;-;-;-;-;-;-;2204,73;-;-;-;-;-;-;-;-;-;-;24849,00;-;-;-;-;-;233280,43
07/2025;valor_aprovado;"110020 PORTO VELHO";642,60;-;17995,97;2476187,98;412794,04;217300,27;144571,59;718590,02;663275,00;205065,64;31649,83;-;333958,99;337168,15;-;2810,00;2675354,73;31852,98;86553,76;2722046,73;1280825,62;109493,88;966,30;1165,00;79115,97;18,85;1447,66;454799,86;82,96;435,35;255,78;1099,12;-;-;164,91;31,28;5559,28;-;16793,77;20261,95;198091,46;6579,27;8640,00;-;15045,00;-;276669,41;1195662,69;218908,06;1518227,94;-;-;-;-;-;16488159,65
07/2025;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;1470,31;-;6988,31;-;-;-;-;-;-;195,70;-;-;-;10529,37;8911,05;21,60;-;-;-;-;-;1106,62;-;292,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29514,99
07/2025;valor_aprovado;"110026 RIO CRESPO";-;-;-;1297,96;-;-;-;-;-;-;-;-;15,45;-;-;-;6292,90;-;-;-;-;-;-;-;97,20;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18235,80;-;-;-;-;-;25944,94
07/2025;valor_aprovado;"110028 ROLIM DE MOURA";945,00;-;-;109469,09;-;14282,20;19785,70;18206,10;30478,75;-;-;-;841,90;-;-;134,00;181528,04;1785,22;1556,34;-;-;167,93;-;127,05;3985,90;-;-;-;-;-;-;-;-;39,58;-;-;-;-;1060,18;-;-;-;-;-;-;-;24913,81;-;-;79423,20;-;-;-;-;-;488729,99
07/2025;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;12560,20;-;2337,57;-;-;-;-;-;-;36,05;-;-;62,00;15122,39;2134,35;-;-;-;-;4,96;0,77;97,20;-;-;-;-;-;-;-;-;-;-;-;-;298,60;-;-;-;-;-;-;-;-;-;-;-;11934,45;-;-;-;-;-;44588,54
07/2025;valor_aprovado;"110030 VILHENA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2025;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;4947,69;-;7984,66;5738,70;-;-;-;-;-;128,75;-;-;240,00;32171,55;533,29;483,77;-;-;-;-;-;1178,86;-;132,10;-;-;-;117,34;-;-;-;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;20988,00;-;-;-;-;-;74666,98
07/2025;valor_aprovado;"110033 NOVA MAMORE";-;-;-;22810,53;-;739,46;2638,35;-;-;-;-;-;272,95;-;-;208,00;48799,79;888,98;1,44;-;-;-;-;-;3911,30;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31095,90;-;-;-;-;-;111419,54
07/2025;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;23308,38;-;6494,02;-;-;-;-;-;-;-;-;-;114,00;25119,21;2665,20;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15780,60;-;-;-;-;-;73504,57
07/2025;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";162,00;-;-;7196,63;-;-;1257,30;-;-;-;-;-;5,15;-;-;2,00;20086,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19408,95;-;-;-;-;-;48118,66
