periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
11/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;12257,60;-;11979,48;5526,95;-;-;-;-;-;695,25;-;-;16,00;72731,48;938,67;4267,04;-;-;-;-;-;1034,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71854,20;-;-;-;-;-;-;181300,97
11/2025;valor_aprovado;"110002 ARIQUEMES";631,80;-;23,99;110762,38;-;34615,57;28195,50;97190,96;53750,00;-;818,72;201,01;13766,99;2828,64;-;1948,00;357657,77;4142,25;20715,28;-;528939,96;-;189,53;-;14274,04;-;232,37;154893,74;-;24,54;70,40;-;-;-;-;-;57,54;-;66,81;2715,81;-;-;-;-;-;-;64489,79;8732,50;6816,18;56811,15;-;-;27430,00;-;-;-;1592993,22
11/2025;valor_aprovado;"110003 CABIXI";-;-;-;5396,90;-;1326,02;242,00;-;-;-;-;-;-;-;-;-;8572,26;18,68;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15588,26
11/2025;valor_aprovado;"110004 CACOAL";429,30;-;4223,54;163008,63;-;21129,08;21762,98;269495,48;97556,25;-;984,58;-;19584,85;-;-;73,00;417235,22;9312,68;3140,70;889731,75;477515,58;80,90;632,80;231,85;43548,58;-;557,52;365238,19;41,48;24,54;1327,64;59,19;-;-;-;187,68;-;29,86;3948,32;2316,20;-;-;-;-;-;-;-;5065,70;2035,20;21492,90;-;-;-;-;-;-;2842002,17
11/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;13269,95;-;18417,43;6539,50;63517,54;-;-;6800,88;-;458,35;-;-;379,00;66972,53;2378,25;219,31;-;-;-;-;-;993,36;-;22,52;-;-;-;113,68;-;-;-;-;-;-;-;244,97;-;-;-;-;-;-;-;-;-;-;51666,15;-;-;-;-;-;-;231993,42
11/2025;valor_aprovado;"110006 COLORADO DO OESTE";59,40;-;-;20291,47;-;8085,41;10197,00;-;-;-;-;-;1220,55;-;-;160,00;131150,98;-;4082,26;-;-;-;-;77,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;687,45;-;-;-;-;-;-;176011,52
11/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;5889,36;-;1480,34;2473,35;-;-;-;-;-;149,35;-;-;31,00;20412,45;1213,80;-;-;-;-;-;-;578,88;-;158,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8598,15;-;-;-;-;-;-;40985,20
11/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;18609,92;-;2022,94;1709,95;-;-;-;-;-;-;-;-;15,00;19465,34;541,72;41,93;-;-;-;-;-;114,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42521,14
11/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;27336,59;-;8907,80;-;-;-;-;-;-;283,25;-;-;-;100023,46;2912,36;587,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16607,25;-;-;-;-;-;-;156657,73
11/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;19409,38;-;16865,02;13234,10;13684,55;-;-;-;-;389,28;-;-;4,00;77027,09;3203,81;28,15;-;-;-;-;-;23,16;-;-;-;-;-;41,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28950,75;-;-;-;-;-;-;172860,39
11/2025;valor_aprovado;"110011 JARU";-;-;-;104947,07;-;18783,70;10677,15;7844,42;40850,00;-;5238,26;-;2199,77;-;-;69,00;283920,17;2563,06;406,52;-;-;37,05;-;-;326,48;-;65,83;-;-;36,81;123,30;-;-;-;-;-;-;-;1313,93;-;-;-;-;-;-;-;-;-;-;77041,80;-;-;-;-;-;-;556444,32
11/2025;valor_aprovado;"110012 JI-PARANA";216,00;-;-;189977,42;6700,41;40347,19;22764,56;225750,23;249668,75;-;3280,90;-;38536,34;6049,20;-;271,00;697482,12;-;42105,72;-;533958,80;201,88;-;-;94525,64;-;224,68;340595,92;-;-;-;22,62;-;-;-;-;-;59,72;4053,14;5618,44;-;-;-;-;-;-;21782,43;18818,00;407,04;-;-;-;-;-;-;-;2543418,15
11/2025;valor_aprovado;"110013 MACHADINHO D'OESTE";10,80;-;-;47241,54;-;17282,22;4102,45;-;-;-;-;-;4212,70;-;-;-;167027,20;-;22,21;-;-;-;-;-;314,76;-;-;-;-;-;-;-;-;-;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;64350,00;-;-;-;-;-;-;304586,15
