periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
11/2025;qtd_aprovada;"260430 CEDRO";-;-;-;665;-;-;104;-;-;-;-;-;-;-;-;434;3113;584;-;-;-;-;-;-;-;-;-;30;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;162;-;-;-;-;-;-;5131
11/2025;qtd_aprovada;"260440 CHA DE ALEGRIA";-;-;-;1349;-;-;48;-;-;-;-;-;33;-;-;1208;8890;734;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;87;-;-;-;-;-;-;12379
11/2025;qtd_aprovada;"260450 CHA GRANDE";1577;53;-;1601;96;627;91;-;-;-;-;-;357;-;-;645;9306;567;27;-;-;-;491;-;-;-;-;110;-;1;-;2;-;-;1;-;-;-;-;88;-;-;6;-;-;-;-;-;-;-;-;50;-;-;1136;-;-;24;4;-;-;16860
11/2025;qtd_aprovada;"260460 CONDADO";866;-;-;-;-;7;-;-;-;-;-;-;97;-;-;725;15903;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;550;-;-;-;-;-;-;18191
11/2025;qtd_aprovada;"260470 CORRENTES";40;-;-;-;-;-;171;-;-;-;20;-;49;-;-;-;9168;119;-;-;-;-;44;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9725
11/2025;qtd_aprovada;"260480 CORTES";-;40;1;1538;-;106;90;-;-;-;-;-;3;-;7;320;5792;-;1;-;-;-;-;-;-;-;-;31;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;104;-;-;-;-;-;-;8055
11/2025;qtd_aprovada;"260490 CUMARU";210;-;-;-;-;100;48;-;-;-;-;-;-;-;-;890;8198;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87;-;-;150;-;-;-;-;-;-;9832
11/2025;qtd_aprovada;"260500 CUPIRA";7144;30;675;3438;-;655;198;-;-;-;-;-;122;-;29;693;16735;3719;-;-;-;-;366;-;315;-;-;23;-;-;-;13;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;22;-;-;-;34274
11/2025;qtd_aprovada;"260510 CUSTODIA";7755;77;-;3055;-;607;125;-;-;-;-;-;147;-;1;91;12394;3226;55;-;-;-;88;-;-;-;-;107;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;6761;-;-;-;-;-;-;34548
11/2025;qtd_aprovada;"260515 DORMENTES";3245;-;17;7177;-;554;229;-;-;-;33;-;328;-;-;556;15815;-;5;-;-;-;-;-;307;-;-;132;-;3;-;-;-;19;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;5870;-;33;24;65;-;44;34483
11/2025;qtd_aprovada;"260520 ESCADA";9210;114;200;8948;40;975;947;-;-;-;24;-;3988;-;-;3948;23204;2480;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;510;-;-;1;-;-;-;54652
11/2025;qtd_aprovada;"260530 EXU";38;-;15;3412;-;784;-;-;-;-;-;-;147;-;-;367;7066;258;18;-;-;-;169;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;97;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;110;-;-;-;12600
11/2025;qtd_aprovada;"260540 FEIRA NOVA";33;21;-;7456;-;6;116;-;-;-;-;-;12;-;-;-;949;131;-;-;-;-;167;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;52;-;-;977;-;-;12;7;-;-;9987
11/2025;qtd_aprovada;"260545 FERNANDO DE NORONHA";38;-;631;2231;-;512;136;-;-;-;-;-;34;-;-;110;5488;-;-;-;-;-;324;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;517;-;-;-;-;-;-;10077
11/2025;qtd_aprovada;"260550 FERREIROS";-;-;7;-;-;-;-;-;-;-;-;-;39;-;-;108;6450;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;202;-;-;-;-;-;-;6928
11/2025;qtd_aprovada;"260560 FLORES";-;-;-;513;-;-;149;-;-;-;-;-;102;-;-;820;8336;-;-;-;-;-;-;-;-;-;-;175;-;-;-;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;19;-;-;5825;-;-;-;-;-;-;15989
11/2025;qtd_aprovada;"260570 FLORESTA";-;137;30;2672;107;1072;77;-;-;-;-;-;333;-;-;939;6597;173;30;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16868;-;-;162;-;-;-;29237
11/2025;qtd_aprovada;"260580 FREI MIGUELINHO";34;91;-;-;71;-;46;-;-;-;-;-;-;-;-;1459;7977;439;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10146
11/2025;qtd_aprovada;"260590 GAMELEIRA";4934;-;-;2410;-;-;-;-;-;-;-;-;101;-;-;1145;7282;755;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104;-;-;-;-;-;-;16761
11/2025;qtd_aprovada;"260600 GARANHUNS";1951;362;303;94802;3977;7295;5408;1159;123;-;601;-;58043;-;-;1836;64056;11491;2514;444;4133;59;1289;-;-;-;-;1276;-;2;2843;97;55;12;-;-;1;-;-;164;-;-;61;20;-;-;-;9;-;-;-;44;41;-;-;-;4;24;-;-;-;264499
11/2025;qtd_aprovada;"260610 GLORIA DO GOITA";649;26;193;45054;-;-;-;-;-;-;-;-;850;-;-;1817;22866;1506;-;-;-;-;-;-;-;-;-;253;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;73258
11/2025;qtd_aprovada;"260620 GOIANA";102;1093;1344;66037;483;3413;1106;174;209;-;176;-;547;-;128;2323;43228;960;200;-;-;-;-;-;-;-;-;266;-;-;-;-;1;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1018;-;-;-;-;-;18;122830
11/2025;qtd_aprovada;"260630 GRANITO";1;26;-;985;-;138;98;-;-;-;-;-;-;-;-;59;4002;-;-;-;-;-;-;-;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;-;-;1164;-;-;-;-;-;-;6506
11/2025;qtd_aprovada;"260640 GRAVATA";3904;55;313;10333;-;1976;451;151;-;-;-;-;1246;-;-;2762;41762;-;399;-;-;-;388;-;-;-;-;6;-;12;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;80;-;-;1654;-;-;-;-;-;-;65519
11/2025;qtd_aprovada;"260650 IATI";3274;11;-;822;-;51;259;-;-;-;22;-;110;-;-;985;7890;921;-;-;-;-;-;-;-;-;-;149;-;-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;24;-;-;-;14561
11/2025;qtd_aprovada;"260660 IBIMIRIM";1540;86;-;112;-;189;-;-;-;-;-;-;-;-;-;642;1953;328;-;-;-;-;1040;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;6054
11/2025;qtd_aprovada;"260670 IBIRAJUBA";1770;109;-;-;-;-;-;-;-;-;-;-;-;-;-;7;4333;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;-;-;-;-;-;-;6257
11/2025;qtd_aprovada;"260680 IGARASSU";3111;59;3855;54403;221;8687;346;-;-;-;-;-;938;-;-;4260;79685;2636;523;-;-;-;104;-;-;-;-;546;-;9;-;-;-;27;2;-;-;-;1;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;159518
11/2025;qtd_aprovada;"260690 IGUARACY";-;36;-;646;-;96;-;-;-;-;10;-;60;-;-;132;4166;66;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;2267;-;-;-;-;-;-;7522
11/2025;qtd_aprovada;"260700 INAJA";-;-;-;-;-;116;95;-;-;-;-;-;111;-;-;-;2342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;269;-;-;36;-;-;-;2969
11/2025;qtd_aprovada;"260710 INGAZEIRA";78;122;15;1067;-;-;59;-;-;-;-;-;122;-;-;258;5306;240;5;-;-;-;-;-;-;-;-;419;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;2766;-;-;-;-;-;-;10480
11/2025;qtd_aprovada;"260720 IPOJUCA";297;317;3560;-;797;2444;1711;-;-;-;11;-;2008;-;-;6510;146696;1952;53;-;-;-;910;-;-;-;-;243;-;261;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;167925
11/2025;qtd_aprovada;"260730 IPUBI";-;-;-;-;135;-;-;-;-;-;-;-;-;-;-;-;1014;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;1233
11/2025;qtd_aprovada;"260740 ITACURUBA";-;-;320;2032;-;-;15;-;-;-;-;-;-;-;-;-;2646;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;273;-;-;-;-;-;-;5292
11/2025;qtd_aprovada;"260750 ITAIBA";3105;135;14;319;-;1;146;-;-;-;-;-;-;-;-;821;7507;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12048
11/2025;qtd_aprovada;"260760 ILHA DE ITAMARACA";375;55;10;14290;-;-;74;-;-;-;-;-;110;-;-;1281;11260;534;1;-;-;-;26;-;-;-;-;44;-;6;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;28123
11/2025;qtd_aprovada;"260765 ITAMBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;qtd_aprovada;"260770 ITAPETIM";35;-;-;886;-;522;77;-;-;-;-;-;311;-;-;260;6155;431;8;-;-;-;25;-;-;-;-;91;-;-;-;-;-;-;1;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;61;-;-;2959;-;-;-;-;-;39;11902
11/2025;qtd_aprovada;"260775 ITAPISSUMA";814;100;-;15382;-;382;217;-;-;-;-;-;134;-;-;934;8084;1004;-;-;-;-;424;-;-;-;-;28;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;11;-;-;-;-;-;-;-;-;27561
11/2025;qtd_aprovada;"260780 ITAQUITINGA";-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;328;11606;-;1;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12019
11/2025;qtd_aprovada;"260790 JABOATAO DOS GUARARAPES";131458;908;7905;150824;1017;13052;8705;475;84;-;473;-;23410;-;-;8433;236774;3556;3797;-;5292;-;3521;-;435;-;-;717;-;165;1338;6;-;56;14;-;-;-;-;1042;-;-;3;43;-;-;-;-;-;-;-;180;67;-;-;-;-;565;2;-;4022;608339
11/2025;qtd_aprovada;"260795 JAQUEIRA";8;-;-;3;-;231;66;-;-;-;-;-;280;-;-;232;5985;-;12;-;-;-;-;-;-;-;-;98;-;-;-;-;-;-;-;-;-;-;-;-;150;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;7079
11/2025;qtd_aprovada;"260800 JATAUBA";40;407;535;2589;-;387;301;-;-;-;39;-;77;-;3;51;10258;523;-;-;-;-;-;-;-;-;-;968;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;370;-;-;-;-;-;-;16569
11/2025;qtd_aprovada;"260805 JATOBA";373;-;3;4;-;446;87;-;-;-;-;-;87;-;-;544;1253;87;-;-;-;-;22;-;1;-;-;52;-;2;-;-;-;-;-;-;-;-;-;12;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1013;-;-;-;-;-;-;3987
11/2025;qtd_aprovada;"260810 JOAO ALFREDO";507;-;3;5462;-;356;100;-;-;-;-;-;163;-;-;149;9693;1402;-;-;-;-;180;-;780;-;-;60;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;16;-;-;828;-;-;-;-;-;-;19708
11/2025;qtd_aprovada;"260820 JOAQUIM NABUCO";-;-;-;10106;-;-;-;-;-;-;-;-;685;-;-;1318;4987;391;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17487
11/2025;qtd_aprovada;"260825 JUCATI";-;24;-;2609;-;161;123;-;-;-;-;-;49;-;-;1306;6075;181;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;19;10;-;-;10668
11/2025;qtd_aprovada;"260830 JUPI";71;13;-;2317;-;547;91;-;-;-;-;-;102;-;-;-;7156;-;-;-;-;-;97;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10497
11/2025;qtd_aprovada;"260840 JUREMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;qtd_aprovada;"260845 LAGOA DO CARRO";205;99;-;5999;-;-;-;-;-;-;-;-;-;-;-;615;11386;-;4;-;-;-;-;-;287;-;-;116;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;118;-;-;-;-;-;-;18889
11/2025;qtd_aprovada;"260850 LAGOA DE ITAENGA";93;-;15;1741;-;-;-;-;-;-;-;-;14;-;-;1532;15999;528;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;19953
11/2025;qtd_aprovada;"260860 LAGOA DO OURO";118;-;1;2603;-;406;115;-;-;-;23;-;54;-;-;289;7468;578;-;-;-;-;315;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;12082
11/2025;qtd_aprovada;"260870 LAGOA DOS GATOS";2540;8;-;363;-;-;41;-;-;-;-;-;-;-;-;226;2611;464;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6269
11/2025;qtd_aprovada;"260875 LAGOA GRANDE";-;-;533;3372;-;6142;388;-;-;-;16;-;93;-;70;679;21104;-;43;-;-;-;-;-;-;-;-;174;-;4;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4147;-;-;-;-;-;-;36854
11/2025;qtd_aprovada;"260880 LAJEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;qtd_aprovada;"260890 LIMOEIRO";1161;92;675;24358;1571;3740;1521;75;-;-;265;-;5567;-;-;448;50675;3581;695;-;-;-;819;-;471;-;-;339;-;132;56;-;-;-;-;-;-;-;-;291;56;-;-;-;-;-;-;-;-;-;-;145;-;-;483;-;-;-;-;-;33;97249
11/2025;qtd_aprovada;"260900 MACAPARANA";1025;-;42;3590;-;536;53;-;-;-;-;-;222;-;-;309;8710;376;1;-;-;-;8;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;288;-;4;38;-;-;-;15249
11/2025;qtd_aprovada;"260910 MACHADOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;qtd_aprovada;"260915 MANARI";1760;81;21;1339;-;313;161;-;-;-;39;-;32;-;35;948;8469;-;-;-;-;-;80;-;-;-;-;102;-;4;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;20;-;-;296;-;-;-;-;-;-;13714
11/2025;qtd_aprovada;"260920 MARAIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6121;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6160
11/2025;qtd_aprovada;"260930 MIRANDIBA";-;-;-;1975;-;-;72;-;-;-;-;-;-;-;-;-;797;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;3521;-;-;-;-;-;-;6398
11/2025;qtd_aprovada;"260940 MORENO";34;38;9;30035;-;866;721;-;-;-;35;-;123;-;-;1031;22318;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55225
11/2025;qtd_aprovada;"260950 NAZARE DA MATA";5323;-;21;6466;-;908;210;-;-;-;-;-;378;-;-;1001;17161;565;-;-;-;-;-;-;-;-;-;23;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;346;-;-;18;-;-;21;32493
11/2025;qtd_aprovada;"260960 OLINDA";3855;320;1561;93705;1171;5302;886;-;-;-;-;-;12517;-;-;3486;136607;919;1852;-;1886;-;1425;-;316;-;-;259;-;100;248;-;-;6;-;-;-;-;-;485;-;-;-;23;-;-;-;-;-;-;-;-;15;-;-;-;-;120;-;-;-;267064
11/2025;qtd_aprovada;"260970 OROBO";-;3;-;-;-;646;268;-;-;-;-;-;79;-;-;396;8135;408;-;-;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;10006
11/2025;qtd_aprovada;"260980 OROCO";-;-;-;2109;422;-;120;-;-;-;-;-;-;-;-;-;272;-;13;-;-;-;-;-;199;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;1607;-;-;-;-;-;-;4822
11/2025;qtd_aprovada;"260990 OURICURI";41;187;7483;19836;337;952;332;806;78;-;16;-;444;-;-;288;15008;434;128;-;-;5;236;-;1;-;-;130;-;10;-;-;2;1;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13736;-;19;-;43;-;-;60630
11/2025;qtd_aprovada;"261000 PALMARES";272;163;60;68237;-;3865;808;365;255;-;21;-;1237;-;-;391;52817;2878;33;-;3673;272;988;-;2;-;-;33;-;3;-;-;1;476;-;-;-;-;-;119;-;-;-;26;-;-;-;-;-;-;-;50;39;-;-;-;-;-;-;-;-;137084
11/2025;qtd_aprovada;"261010 PALMEIRINA";-;18;62;2242;-;-;95;-;-;-;-;-;-;-;-;120;1744;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;4491
11/2025;qtd_aprovada;"261020 PANELAS";6314;193;29;380;-;99;244;-;-;-;-;-;28;-;-;430;13944;742;-;-;-;-;78;-;-;-;-;55;-;5;-;-;-;-;3;-;-;-;-;49;4;-;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;22655
11/2025;qtd_aprovada;"261030 PARANATAMA";53;26;539;3113;-;53;229;-;-;-;-;-;57;-;-;143;4925;289;-;-;-;-;136;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;18;13;-;-;9681
11/2025;qtd_aprovada;"261040 PARNAMIRIM";56;200;-;5522;138;-;-;-;-;-;-;-;69;-;-;537;9147;-;-;-;-;-;380;-;-;-;-;129;-;-;-;-;-;-;-;-;-;-;-;219;8;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;16424
11/2025;qtd_aprovada;"261050 PASSIRA";-;42;-;383;-;-;-;-;-;-;-;-;-;-;-;32;7489;178;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;169;-;-;-;-;-;-;8376
11/2025;qtd_aprovada;"261060 PAUDALHO";4049;42;5321;50944;-;1836;950;-;-;-;57;-;2264;-;-;7455;30832;2412;8;-;-;-;600;-;-;-;-;17;-;8;308;-;-;-;20;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;182;-;-;20;107419
11/2025;qtd_aprovada;"261070 PAULISTA";36592;1143;55;77057;137;4882;1530;844;-;-;106;-;6817;2;-;4261;72821;431;68;-;3086;3;902;-;2;-;-;785;-;17;126;-;6;40;1;-;-;1;-;50;-;-;61;19;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;211869
11/2025;qtd_aprovada;"261080 PEDRA";6255;24;5;1089;-;275;73;-;-;-;-;-;112;-;-;825;6897;710;-;-;-;-;45;-;-;-;-;145;-;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;16466
11/2025;qtd_aprovada;"261090 PESQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2025;qtd_aprovada;"261100 PETROLANDIA";375;242;346;12588;-;1007;159;13;-;-;17;-;1642;-;-;4332;25161;446;4;-;-;-;617;-;319;-;-;52;-;-;-;-;-;-;-;-;-;-;-;133;-;-;-;-;-;-;-;-;-;-;-;44;-;-;24149;-;-;35;86;-;440;72207
11/2025;qtd_aprovada;"261110 PETROLINA";650;9;3766;102756;1029;6631;2553;3195;364;93;333;-;4979;-;118;2745;108089;2529;352;2148;1621;-;1515;-;131;-;-;746;-;9;218;-;49;132;8;-;-;-;-;517;14;-;-;14;-;-;-;-;-;-;-;153;25;-;403;-;-;5;121;-;-;248020
11/2025;qtd_aprovada;"261120 POCAO";-;43;466;2613;-;-;238;-;-;-;-;-;5;-;-;3065;14239;180;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;519;-;-;-;-;-;-;21428
11/2025;qtd_aprovada;"261130 POMBOS";36;-;-;1434;-;-;56;-;-;-;-;-;60;-;52;88;2416;341;-;-;-;-;114;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257;-;-;53;-;-;-;4994
11/2025;qtd_aprovada;"261140 PRIMAVERA";-;-;-;4013;-;424;66;-;-;-;-;-;1587;-;-;244;7119;437;-;-;-;-;43;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13941
