periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
09/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";65;297;3267;3058;-;1021;150;-;-;-;-;-;44;-;-;28;16467;200;146;-;-;-;-;-;-;-;471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;8532;33846
09/2024;qtd_aprovada;"110002 ARIQUEMES";40235;68;45742;40467;-;2615;1215;1432;-;-;57;-;2418;238;6;5507;100728;592;1;-;2173;-;2101;-;-;-;361;-;1;341;-;-;-;-;-;-;-;-;145;-;6;19;-;-;-;-;-;-;68213;490;20;-;11739;326930
09/2024;qtd_aprovada;"110003 CABIXI";304;-;1;1550;-;208;-;-;-;-;-;-;7;-;-;62;3339;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2443;7942
09/2024;qtd_aprovada;"110004 CACOAL";554;264;886;40561;-;2176;700;2287;189;-;52;-;920;-;-;322;44734;2413;336;976;1861;20;50;-;608;-;1159;-;11;-;2;5;140;5;2;-;-;1;17;1;161;15;-;-;-;-;-;-;67058;946;55;-;2343;171830
09/2024;qtd_aprovada;"110005 CEREJEIRAS";2195;-;-;-;-;703;67;165;-;-;-;-;69;-;-;37;12496;-;8;-;-;-;-;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;16089
09/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2224;-;-;2601;-;1655;178;-;-;-;-;-;37;-;-;72;12917;738;1;-;-;-;-;-;-;-;16;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4574;25015
09/2024;qtd_aprovada;"110007 CORUMBIARA";6682;117;3;3174;-;-;-;-;-;-;-;-;23;-;-;398;8425;-;-;-;-;-;464;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;1479;20862
09/2024;qtd_aprovada;"110008 COSTA MARQUES";-;181;-;4822;-;222;31;-;-;-;-;-;-;-;-;109;4005;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9376
09/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";575;64;-;10296;-;1264;192;-;-;-;-;-;8;-;-;-;19166;94;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;2481;34387
09/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";184;82;5;3098;-;1362;266;-;-;-;-;-;-;-;-;271;6961;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12235
09/2024;qtd_aprovada;"110011 JARU";-;43;-;31890;-;3501;609;-;27;-;141;-;211;-;-;123;63679;211;15;-;-;1;-;-;-;-;138;-;7;-;-;2;3;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;14183;114847
09/2024;qtd_aprovada;"110012 JI-PARANA";2498;-;42;71374;653;-;496;1606;1192;-;195;-;258;-;-;767;133771;38;1040;-;1932;10;13;-;1;-;553;-;7;-;-;-;-;1;-;-;-;7;-;1;130;10;-;-;-;-;-;-;154446;2;16;-;6688;377747
09/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3748;20;-;2189;-;1692;229;-;-;-;-;-;192;-;24;2200;29948;-;68;-;3;-;-;-;-;2;117;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1659;42092
09/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2535;35;60;63;-;330;360;-;-;-;-;-;14;-;-;256;11361;620;5;-;-;2;-;-;-;-;85;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;15753
09/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";186;1345;-;16478;-;1304;508;-;-;-;-;-;182;-;-;169;31612;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51791
09/2024;qtd_aprovada;"110018 PIMENTA BUENO";490;-;-;12869;-;1127;281;-;-;-;-;-;283;-;-;336;31006;174;60;-;-;-;-;-;-;-;274;-;14;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;5824;52847
09/2024;qtd_aprovada;"110020 PORTO VELHO";11976;8287;17251;663112;7361;13806;4487;4581;845;245;368;10;16361;11142;1688;22981;484512;7629;865;2666;4725;6495;1987;-;6065;-;4703;2;162;431;5;28;-;41;6;-;5;-;501;-;140;42;757;81;110;-;76;-;321073;5371;167;-;15862;1649008
09/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;236;-;531;-;498;-;-;-;-;-;-;30;-;-;-;579;977;2;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2970
09/2024;qtd_aprovada;"110026 RIO CRESPO";-;5;643;642;-;-;-;-;-;-;-;-;2;-;-;62;3997;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5352
09/2024;qtd_aprovada;"110028 ROLIM DE MOURA";6608;-;536;22402;-;869;491;69;186;-;-;-;119;-;-;1273;58104;582;310;-;-;12;-;-;46;-;240;-;-;-;-;-;-;-;-;2;1;-;-;-;33;-;-;-;-;-;-;-;43967;327;-;-;10089;146266
09/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";7199;108;22;3449;-;285;-;-;-;-;-;-;3;-;-;229;7598;301;15;-;-;-;158;-;-;-;19;-;2;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;2537;21955
09/2024;qtd_aprovada;"110030 VILHENA";2315;490;2324;1428;-;2614;2681;1009;779;-;229;-;2664;-;24;1185;73997;1057;4;-;350;18;-;-;4;-;492;-;5;439;-;1;-;-;-;-;-;-;55;1;186;7;-;-;-;-;-;-;-;480;21;-;-;94859
09/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";12024;53;44;1073;-;551;79;-;-;-;-;-;30;-;-;666;13475;9;13;-;-;-;502;-;-;-;10;-;-;-;-;-;-;-;-;2;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;7443;36017
09/2024;qtd_aprovada;"110033 NOVA MAMORE";498;-;7;6934;-;565;70;-;-;-;-;-;50;-;7;357;12713;258;3;-;-;-;-;-;-;-;103;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3077;24646
09/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";4;96;-;2654;-;576;117;-;-;-;-;-;-;-;-;-;6982;392;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10852
09/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1494;39;2070;2496;-;-;48;-;-;-;-;-;39;-;-;1389;5738;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3389;16703
09/2024;qtd_aprovada;"110040 ALTO PARAISO";1843;2635;-;5635;-;456;160;-;-;-;-;-;61;-;-;277;14097;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2319;27535
09/2024;qtd_aprovada;"110045 BURITIS";18223;89;76;13293;-;990;11;-;-;-;-;-;506;-;-;2048;36646;1873;16;-;-;2;2507;-;209;-;161;-;2;-;-;-;3;4;-;-;1;-;258;-;3;-;-;-;-;-;-;-;-;-;-;-;15692;92613
09/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;39;405;2437;-;304;139;-;-;-;-;-;180;-;16;1008;7085;244;-;-;-;-;-;-;-;-;89;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3302;15249
09/2024;qtd_aprovada;"110060 CACAULANDIA";2440;15;1788;2317;-;-;52;-;-;-;-;-;-;-;6;98;3635;200;2;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10567
09/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";4820;23;54;-;-;-;-;-;-;-;-;-;-;-;-;259;4477;-;-;-;-;-;-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9641
09/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";134;-;-;10830;-;-;110;-;-;-;-;-;-;-;-;265;5447;-;-;-;-;-;-;-;-;-;168;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16954
09/2024;qtd_aprovada;"110090 CASTANHEIRAS";1327;36;4;484;-;-;67;-;-;-;-;-;-;-;-;99;3277;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;239;5723
09/2024;qtd_aprovada;"110092 CHUPINGUAIA";-;23;-;3136;-;-;41;-;-;-;-;-;25;-;-;109;3069;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115;6518
09/2024;qtd_aprovada;"110094 CUJUBIM";3886;69;109;8756;-;1240;64;-;-;-;-;-;81;-;4;144;15849;-;1;-;-;-;-;-;-;-;28;-;-;1;-;-;-;-;-;-;-;-;75;-;6;-;-;-;-;-;-;-;-;-;-;-;1160;31473
09/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;40;-;2564;-;-;-;-;-;-;-;-;45;-;-;-;6006;-;-;-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8692
09/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";645;8;-;3296;-;181;24;-;-;-;-;-;-;-;-;154;7560;1378;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110;13356
09/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;-;-;311;-;40;107;-;-;-;-;-;21;-;2;23;5575;120;74;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;6365
09/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;19;-;179;-;852;88;-;-;-;-;-;-;-;-;-;8164;-;-;-;-;-;-;-;-;-;470;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9801
09/2024;qtd_aprovada;"110140 MONTE NEGRO";1447;61;-;6139;-;535;134;-;-;-;-;-;28;-;-;465;5439;57;2;-;-;-;-;-;-;-;42;-;5;-;-;-;-;-;-;-;-;-;-;4;35;-;-;-;-;-;-;-;-;-;-;-;3332;17725
09/2024;qtd_aprovada;"110143 NOVA UNIAO";-;153;-;2408;-;462;49;-;-;-;-;-;1452;-;-;-;5713;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10237
09/2024;qtd_aprovada;"110145 PARECIS";-;13;-;116;-;-;-;-;-;-;-;-;143;-;-;85;21434;-;10;-;-;-;-;-;-;-;186;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;22067
09/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1515;74;-;445;-;-;-;-;-;-;-;-;2;-;-;137;2289;-;-;-;-;-;58;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;164;4720
09/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";1028;9;-;332;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1370
09/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";654;7;376;847;-;-;77;-;-;-;-;-;-;-;-;22;5029;-;-;-;-;-;-;-;-;-;2;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1464;8488
09/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";7627;69;1154;9273;-;577;74;-;-;-;-;-;77;-;-;752;16612;1766;17;-;-;-;304;-;-;-;118;-;-;-;-;3;-;-;-;-;-;-;93;-;18;-;-;-;-;-;-;-;-;-;-;-;10170;48704
09/2024;qtd_aprovada;"110150 SERINGUEIRAS";8776;-;39;2307;-;252;11;-;43;-;-;-;167;-;-;372;12509;195;-;-;-;-;287;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;1611;26630
09/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;29;2104;-;-;-;-;-;-;-;-;-;20;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2165
09/2024;qtd_aprovada;"110160 THEOBROMA";387;33;-;3568;-;47;84;-;-;-;-;-;3;-;-;43;3012;-;-;-;-;-;31;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7210
09/2024;qtd_aprovada;"110170 URUPA";-;11;2;4459;-;-;108;9;-;-;-;-;45;-;-;55;5035;440;-;-;-;-;-;-;-;-;85;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10287
09/2024;qtd_aprovada;"110175 VALE DO ANARI";653;4;179;1473;-;-;41;-;-;-;-;-;-;-;-;-;3400;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5763
09/2024;qtd_aprovada;"110180 VALE DO PARAISO";468;7;-;1347;-;-;-;-;-;-;-;-;-;-;-;-;3454;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5297
09/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;qtd_aprovada;"120001 ACRELANDIA";-;74;198;-;-;-;-;-;-;-;-;-;-;-;-;335;4207;-;-;-;-;-;-;-;-;-;93;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4910
09/2024;qtd_aprovada;"120005 ASSIS BRASIL";1;-;-;4942;-;294;-;-;-;-;-;-;111;-;39;202;4925;-;-;-;-;-;-;-;-;-;47;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10565
09/2024;qtd_aprovada;"120010 BRASILEIA";-;8;1;14402;-;9912;108;109;-;-;-;-;52;68;-;125;17383;51;127;-;718;84;14;-;-;-;216;-;58;-;-;2;88;-;-;-;2;-;53;-;1;2;-;-;-;-;-;-;-;17;1;-;-;43602
09/2024;qtd_aprovada;"120013 BUJARI";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;97
09/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;165
09/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";19583;839;345;68834;-;2419;1337;917;-;-;20;-;1038;462;59;998;46951;1843;314;-;799;323;-;-;50;-;282;-;5;-;-;1;-;-;-;-;-;-;-;-;29;27;-;-;-;-;-;-;26142;15;52;-;-;173684
09/2024;qtd_aprovada;"120025 EPITACIOLANDIA";14;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;239;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;272
09/2024;qtd_aprovada;"120030 FEIJO";-;-;-;12245;-;706;-;-;-;-;-;-;-;-;-;-;7046;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20041
09/2024;qtd_aprovada;"120032 JORDAO";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
09/2024;qtd_aprovada;"120033 MANCIO LIMA";140;18;819;6530;-;428;-;-;-;-;-;-;107;-;-;977;14986;-;-;-;-;-;-;-;-;-;278;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24322
09/2024;qtd_aprovada;"120034 MANOEL URBANO";-;13;-;3659;-;163;-;-;-;-;-;-;17;-;-;25;6557;-;-;-;-;-;-;-;-;-;110;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10546
09/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;8;2;4546;-;159;-;-;-;-;-;-;-;-;-;653;9141;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14566
09/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";996;33;2238;5237;-;525;-;-;-;-;-;-;22;-;-;298;9460;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18829
09/2024;qtd_aprovada;"120039 PORTO WALTER";356;8;11;-;-;75;-;-;-;-;-;-;63;-;-;193;3515;-;-;-;-;-;-;-;-;5;12;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4240
09/2024;qtd_aprovada;"120040 RIO BRANCO";43304;1490;7257;310701;5180;17212;4295;7151;2649;100;304;27;9202;3284;578;19322;393848;3251;330;964;4467;2659;15147;-;977;-;3651;-;121;479;4;80;2;48;-;-;2;-;2004;-;447;17;236;-;-;-;95;-;168078;631;82;-;9547;1039223
09/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
09/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;63;-;3001;-;54;-;-;-;-;-;-;22;-;-;1;1455;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4603
09/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;19;-;26024;-;692;-;-;-;-;-;-;52;-;-;391;6445;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33686
09/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;41;7;14889;-;2576;46;-;-;-;-;-;36;-;15;84;14515;-;8;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32298
09/2024;qtd_aprovada;"120060 TARAUACA";-;20;-;9945;-;627;-;-;-;-;-;-;-;-;-;-;5998;-;-;-;-;-;-;-;-;-;106;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16714
09/2024;qtd_aprovada;"120070 XAPURI";-;12;-;8311;-;552;-;-;-;-;-;-;21;-;-;227;10304;-;-;-;-;-;-;-;-;-;281;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;19714
09/2024;qtd_aprovada;"120080 PORTO ACRE";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67
09/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;qtd_aprovada;"130002 ALVARAES";-;-;13;2093;-;84;231;-;-;-;-;-;-;-;-;-;2164;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4601
09/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1497;-;190;77;-;-;-;-;-;22;-;-;271;8541;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10599
09/2024;qtd_aprovada;"130008 ANAMA";-;-;-;1811;-;284;146;-;-;-;-;-;-;-;-;52;669;-;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3004
09/2024;qtd_aprovada;"130010 ANORI";-;200;-;7938;-;636;38;-;-;-;-;-;88;-;-;180;3375;-;-;-;-;-;-;-;-;-;188;-;60;-;58;-;-;75;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12906
09/2024;qtd_aprovada;"130014 APUI";-;18;-;7720;-;569;143;-;-;-;-;-;75;-;-;111;3161;195;6;-;-;11;-;-;-;-;119;-;5;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;12176
09/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;5758;-;298;158;-;-;-;-;-;65;-;-;118;3305;-;-;-;-;-;-;-;-;-;68;-;1;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;19;9823
09/2024;qtd_aprovada;"130030 AUTAZES";18;10;-;5832;-;785;378;-;-;-;-;-;425;-;-;207;15421;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23092
09/2024;qtd_aprovada;"130040 BARCELOS";-;42;-;43;-;-;29;-;-;-;-;-;-;-;-;-;1664;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1778
09/2024;qtd_aprovada;"130050 BARREIRINHA";-;93;-;2094;-;351;18;-;-;-;-;-;40;-;-;687;4726;-;-;-;-;-;45;-;-;-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;8178
09/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;18482;-;508;437;-;-;-;-;-;104;-;2849;137;1565;40;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24128
09/2024;qtd_aprovada;"130063 BERURI";-;-;371;2405;-;479;5;-;-;-;-;-;20;-;-;155;5720;-;2;-;-;-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9367
09/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;354;-;2785;-;298;135;-;-;-;-;-;-;-;1;2;4112;271;-;-;-;-;-;-;-;-;93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;8071
09/2024;qtd_aprovada;"130070 BOCA DO ACRE";412;190;-;27645;-;4862;101;-;-;-;-;-;143;-;-;-;6050;-;-;-;-;-;487;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;561;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40451
09/2024;qtd_aprovada;"130080 BORBA";201;46;15;63;-;400;57;-;-;-;-;-;97;-;-;566;5758;292;-;-;-;-;-;-;100;-;254;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7853
