periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
12/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;4516,26;-;19,68;4266,35;-;-;-;-;-;30,90;-;-;21,00;48540,11;168,12;3428,94;-;-;-;-;-;1053,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;810,00;-;45262,80;-;-;-;-;-;-;108118,04
12/2025;valor_aprovado;"110002 ARIQUEMES";210,60;-;7,04;107635,26;-;38497,75;29900,96;35281,92;81625,00;-;1605,62;-;55240,71;3799,92;-;1526,00;392249,99;3092,33;1,44;-;569862,03;17,04;73,15;-;12195,08;-;11,26;165603,35;-;-;-;-;-;-;-;-;-;-;267,24;3042,29;-;-;-;-;-;-;97600,86;12732,50;6109,24;51524,55;-;-;5520,00;100,00;-;-;1675333,13
12/2025;valor_aprovado;"110003 CABIXI";-;-;-;3918,76;-;668,99;217,80;-;-;-;-;-;5,15;-;-;-;8000,13;-;-;-;-;-;-;-;259,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13070,03
12/2025;valor_aprovado;"110004 CACOAL";421,20;-;2946,36;199296,67;-;11908,41;27256,48;294537,91;127387,50;-;2862,08;-;27427,26;-;-;108,00;396988,16;9052,55;3463,55;815218,64;530330,19;56,63;1476,76;77,19;43445,98;37,70;176,10;221366,70;41,48;12,27;1616,02;135,72;41,48;-;-;31,28;84,94;149,30;3903,78;1389,72;-;-;-;-;-;-;-;-;1526,40;-;-;-;-;-;-;-;2724774,41
12/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;11091,86;-;16195,33;5913,60;32667,15;-;-;6685,64;-;391,40;-;-;242,00;67341,69;1853,16;197,86;-;-;-;-;-;1148,90;-;-;-;-;-;-;-;-;-;-;-;-;-;311,78;-;-;-;-;-;-;-;-;-;-;35029,80;-;-;-;-;-;-;179070,17
12/2025;valor_aprovado;"110006 COLORADO DO OESTE";5,40;-;-;7821,09;-;15931,07;884,40;-;-;-;-;-;61,80;-;-;-;45959,93;438,95;45,12;-;-;-;-;-;148,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3692,70;-;-;-;-;-;-;74988,66
12/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;7341,44;-;1697,37;3430,35;-;-;-;-;-;159,65;-;-;49,00;21526,96;1399,66;-;-;-;-;-;-;426,00;-;158,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10484,10;-;-;-;-;-;-;46673,05
12/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;18122,81;-;2067,00;1213,30;-;-;-;-;-;-;-;-;24,00;20850,82;186,80;41,63;-;-;-;-;-;44,24;-;-;-;-;12,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42562,87
12/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;23216,60;-;10418,31;10443,40;-;-;-;-;-;314,15;-;-;-;82948,65;450,34;1132,11;-;-;-;-;-;8079,84;-;-;-;-;-;-;-;-;-;-;-;-;-;1581,17;-;-;-;-;-;-;-;-;-;-;48965,55;-;-;-;-;-;-;187550,12
12/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;7948,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2507,40;-;-;-;-;-;-;10456,03
12/2025;valor_aprovado;"110011 JARU";-;-;-;103775,33;-;22391,85;17740,25;4425,37;63425,00;-;884,08;-;2087,89;-;-;63,00;266764,95;2252,96;257,58;-;-;45,14;-;-;323,36;-;26,42;-;-;12,27;41,10;-;-;-;33,97;-;-;-;1113,50;-;-;-;-;-;-;-;-;-;-;66884,40;-;-;-;-;-;-;552548,42
