periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
12/2025;valor_aprovado;"110012 JI-PARANA";135,00;-;-;223078,21;14747,86;44340,58;20190,58;191898,42;214462,50;-;6597,92;-;51046,55;-;-;263,00;559902,31;-;15108,60;-;566758,84;92,29;-;11,26;98665,78;-;166,10;146319,61;-;-;-;-;-;-;-;-;-;29,86;4186,76;2381,64;-;-;-;-;-;-;54196,61;18533,10;889,38;47985,30;-;-;-;-;-;-;2281988,06
12/2025;valor_aprovado;"110013 MACHADINHO D'OESTE";108,00;-;-;31529,02;-;10045,00;3487,00;-;-;-;-;-;1781,90;-;-;-;108282,36;-;3198,01;-;-;-;-;-;1176,24;-;52,84;-;49,52;-;2387,28;-;-;-;-;-;-;-;2516,51;-;-;-;-;-;-;-;-;-;-;39261,75;-;-;-;-;-;-;203875,43
12/2025;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;2698,93;-;2362,91;3692,70;-;-;-;-;-;206,00;-;-;10,00;28144,63;2576,75;250,68;-;-;8,09;-;-;143,52;-;-;-;-;12,27;38,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5603,40;-;-;-;-;-;-;45748,62
12/2025;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;117588,24;-;10016,28;19586,05;11259,10;-;-;-;-;1194,80;-;-;-;87997,36;-;-;-;-;40,45;-;-;3107,78;-;11,26;-;-;-;41,10;-;-;-;-;-;-;-;890,80;-;-;-;-;-;-;-;-;-;-;31486,65;-;-;-;-;-;-;283219,87
12/2025;valor_aprovado;"110018 PIMENTA BUENO";621,00;-;-;48246,47;-;6927,97;17200,15;11973,27;-;-;-;-;3422,12;-;-;32,00;122729,12;425,85;802,30;-;-;8,09;-;-;7109,54;-;181,04;-;-;12,27;-;-;-;-;164,91;-;-;-;2538,78;-;-;-;-;-;-;-;-;-;-;17433,90;-;-;-;-;-;-;239828,78
12/2025;valor_aprovado;"110020 PORTO VELHO";1057,92;-;21033,75;2136304,95;534296,22;164184,50;115023,45;701093,05;708711,25;-;24168,94;-;239855,95;341106,17;-;3919,00;2530387,23;21641,05;10980,10;2693470,11;1230431,76;108783,20;3707,35;1523,07;90798,89;75,40;2635,00;421710,11;20,74;181,37;-;636,31;124,44;-;219,88;31,28;6601,20;-;14693,11;10776,54;273686,18;1387,14;1728,00;-;6810,00;-;220779,62;879551,59;179586,74;1226403,75;-;-;21770,00;1700,00;-;14560,00;14968146,31
12/2025;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;23743,11;-;578,89;-;-;-;-;-;-;15,45;-;-;-;3773,79;1152,09;49,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29312,83
12/2025;valor_aprovado;"110026 RIO CRESPO";-;-;-;1462,54;-;-;-;-;-;-;-;-;-;-;-;-;6373,46;-;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6271,65;-;-;-;-;-;-;14130,81
12/2025;valor_aprovado;"110028 ROLIM DE MOURA";1193,40;-;-;93294,36;-;13130,02;15143,70;18731,91;32250,00;-;-;-;447,13;-;-;242,00;155836,75;1847,52;1209,07;-;-;48,54;-;25,60;7756,04;-;-;-;-;-;-;22,62;-;19,79;-;-;-;-;649,47;-;-;-;-;-;-;-;43840,86;-;-;41928,45;-;-;-;1400,00;-;-;429017,23
12/2025;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;13214,77;-;2518,86;-;-;-;-;-;-;30,90;-;-;37,00;34588,00;288,57;-;-;-;-;2,48;-;1536,72;-;-;-;-;-;-;-;-;-;-;-;-;59,72;-;-;-;-;-;-;-;-;-;-;-;7726,95;-;-;-;-;-;-;60003,97
12/2025;valor_aprovado;"110030 VILHENA";-;-;-;-;-;-;-;862,21;8868,75;-;-;-;-;-;-;-;5643,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15374,76
12/2025;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;7420,55;-;5708,97;6360,20;-;-;-;-;-;87,55;-;-;135,00;28169,28;986,85;530,77;-;-;-;-;-;1490,40;-;26,42;-;-;12,27;193,12;-;-;39,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25799,40;-;-;-;-;-;-;76960,36
12/2025;valor_aprovado;"110033 NOVA MAMORE";-;-;-;12506,04;-;2255,96;1695,10;-;-;-;-;-;154,50;-;-;72,00;45029,25;312,89;-;-;-;-;-;3,67;3978,14;-;26,42;-;-;-;-;12,97;-;-;-;-;-;29,86;22,27;-;-;-;-;-;-;-;-;-;-;17706,15;-;-;-;-;-;-;83805,22
12/2025;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;22271,34;-;5583,67;2604,25;-;-;-;-;-;103,00;-;-;57,00;45572,56;2255,04;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9984,15;-;-;-;-;-;-;88495,81
12/2025;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";324,00;-;-;6946,61;-;-;363,00;-;-;-;-;-;46,35;-;-;4,00;22300,36;-;-;-;-;-;-;-;129,60;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16533,00;-;-;-;-;-;-;46699,76
12/2025;valor_aprovado;"110040 ALTO PARAISO";-;-;-;14555,62;-;4069,39;3515,60;-;-;-;-;-;78,51;-;-;97,00;45018,82;2951,05;-;-;-;-;-;167,86;3596,64;-;-;-;-;-;-;-;-;-;-;-;-;1104,82;-;-;-;-;-;-;-;-;-;1536,10;-;24670,80;-;-;-;-;-;-;101362,21
12/2025;valor_aprovado;"110045 BURITIS";5,40;-;-;63067,97;-;5083,58;3604,15;-;-;-;-;-;973,89;-;-;550,00;76394,53;13552,37;338,32;-;-;24,27;2,56;330,33;2883,26;-;25,33;-;-;-;-;-;-;19,79;54,97;-;306,88;-;45,45;-;-;-;-;-;-;-;-;-;-;51925,50;-;-;-;-;-;-;219188,55
12/2025;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"110060 CACAULANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;3155,13;-;1086,09;-;-;-;-;-;-;-;-;-;11,00;13766,38;-;41,63;-;-;-;-;-;120,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1197,90;-;-;-;-;-;-;19378,49
12/2025;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;25862,91;-;-;8274,20;-;-;-;-;-;-;-;-;-;13713,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47850,92
12/2025;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;525,90;-;-;2162,60;-;-;-;-;-;-;-;-;5,00;6364,02;-;-;-;-;-;-;-;-;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1029,60;-;-;-;-;-;-;10098,38
12/2025;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;-;-;1367,09;2210,45;-;-;-;-;-;113,30;-;-;24,00;14333,71;290,28;-;-;-;-;-;-;467,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7425,00;-;-;-;-;-;-;26231,35
12/2025;valor_aprovado;"110094 CUJUBIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7044,02;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7108,82
12/2025;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;1958,82;-;3243,21;-;-;-;-;-;-;56,65;-;-;-;19321,14;571,50;63,36;-;-;-;-;-;1144,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;529,65;-;-;-;-;-;-;26888,57
12/2025;valor_aprovado;"110130 MIRANTE DA SERRA";-;-;-;2215,99;-;8239,10;2310,00;-;-;-;-;-;5,15;-;-;-;21695,63;-;-;-;-;-;-;-;829,24;-;5,63;-;-;-;-;-;-;-;-;-;-;149,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35450,04
12/2025;valor_aprovado;"110140 MONTE NEGRO";-;-;-;11551,73;-;2155,39;3689,95;-;-;-;2555,92;-;41,20;-;-;327,00;17987,92;1290,71;-;-;-;-;-;-;81,94;-;-;-;-;-;-;-;-;-;-;-;43,84;29,86;-;-;-;-;-;-;-;-;-;5400,00;-;22453,20;-;-;-;-;-;-;67608,66
12/2025;valor_aprovado;"110143 NOVA UNIAO";-;-;-;6067,40;-;11266,16;1394,80;-;-;-;-;-;23665,75;-;-;78,00;21653,34;-;-;-;-;-;-;-;284,16;-;78,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64488,43
12/2025;valor_aprovado;"110145 PARECIS";-;-;-;40141,55;-;-;-;-;-;-;-;-;2269,62;-;-;-;32792,96;-;6200,28;-;-;-;-;190,00;3607,00;-;-;-;-;-;-;-;-;-;-;-;-;4389,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89590,83
12/2025;valor_aprovado;"110146 PIMENTEIRAS DO OESTE";-;-;-;686,99;-;-;-;-;-;-;-;-;36,05;-;-;38,00;5199,15;29,70;1,44;-;-;-;-;-;55,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4207,50;-;-;-;-;-;-;10254,39
12/2025;valor_aprovado;"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;217,80;-;-;-;-;-;-;217,80
12/2025;valor_aprovado;"110148 SAO FELIPE D'OESTE";-;-;-;11,58;-;-;1975,60;-;-;-;-;-;-;-;-;-;25780,66;-;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9890,10;-;-;-;-;-;-;37690,34
12/2025;valor_aprovado;"110149 SAO FRANCISCO DO GUAPORE";-;-;-;18272,43;-;3457,89;4295,50;-;-;-;-;-;195,70;-;-;166,00;57316,64;-;-;-;-;24,27;-;-;2027,76;-;-;-;-;-;-;-;-;-;-;-;-;-;489,94;-;-;-;-;-;-;-;-;-;-;21270,15;-;-;-;-;-;-;107516,28
12/2025;valor_aprovado;"110150 SERINGUEIRAS";-;-;-;9186,42;-;1955,85;5293,75;-;4837,50;-;1348,48;-;2598,98;-;-;4,00;40805,61;365,37;-;-;-;8,09;-;-;486,36;-;-;419,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14,85;-;-;-;-;-;-;67324,36
12/2025;valor_aprovado;"110155 TEIXEIROPOLIS";-;-;-;6772,49;-;-;-;-;-;-;-;-;9063,00;-;-;-;60906,57;-;-;-;-;-;-;-;252,36;-;22,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77016,94
12/2025;valor_aprovado;"110160 THEOBROMA";-;-;-;8121,69;-;1723,48;3308,25;-;-;-;-;-;-;-;-;-;15074,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28227,58
12/2025;valor_aprovado;"110170 URUPA";-;-;25,83;11124,01;-;1676,61;2075,70;-;-;-;-;-;2510,97;-;-;-;20092,12;-;-;-;-;-;-;-;4453,08;-;-;17001,03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19320,75;-;-;-;-;-;-;78280,10
12/2025;valor_aprovado;"110175 VALE DO ANARI";-;-;-;7500,18;-;-;2789,60;-;-;-;-;-;15,45;-;-;-;11904,30;-;-;-;-;-;-;-;69,48;-;11,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26645,85;-;-;-;-;-;-;48936,12
12/2025;valor_aprovado;"110180 VALE DO PARAISO";-;-;-;1079,66;-;-;3055,80;-;-;-;-;-;77,25;-;-;-;8698,68;-;-;-;-;-;-;-;782,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1623,60;-;-;-;-;-;-;15317,39
12/2025;valor_aprovado;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"120001 ACRELANDIA";-;-;-;-;-;3519,79;-;-;-;-;-;-;-;-;-;-;13052,82;-;-;-;-;-;-;-;4123,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20696,33
12/2025;valor_aprovado;"120005 ASSIS BRASIL";-;-;-;28494,10;-;3387,99;-;-;-;-;-;-;525,24;-;-;23,00;19663,59;-;-;-;-;-;-;-;462,16;-;39,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52595,49
12/2025;valor_aprovado;"120010 BRASILEIA";-;-;-;75115,17;-;99398,42;4005,65;-;-;-;-;-;361,21;829,95;-;199,00;80418,31;1132,61;4210,11;-;267305,38;1358,36;-;-;6238,06;-;568,78;-;-;-;2391,97;3072,09;-;-;-;-;21,92;-;272,70;115,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;547015,50
12/2025;valor_aprovado;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1120,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1120,78
12/2025;valor_aprovado;"120020 CRUZEIRO DO SUL";10,80;-;-;174937,11;-;30094,18;31649,16;128524,89;144856,25;-;1076,72;1076,76;5945,71;4804,08;-;1656,00;189190,36;6926,80;6396,20;-;207042,68;3200,00;-;-;2398,68;-;123,19;-;-;-;-;-;-;-;-;-;-;-;181,80;2452,96;-;-;-;-;-;-;22263,10;6521,39;8079,62;-;-;-;-;-;-;-;979408,44
12/2025;valor_aprovado;"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81,60
12/2025;valor_aprovado;"120030 FEIJO";-;-;-;31678,85;-;8170,90;-;-;-;-;-;-;-;-;-;-;31429,79;-;-;-;-;-;-;-;488,96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71768,50
12/2025;valor_aprovado;"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"120033 MANCIO LIMA";-;-;-;15294,47;-;5289,57;435,05;-;-;-;-;-;793,10;-;-;-;55186,24;539,07;335,44;-;-;-;-;-;9211,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34875,00;-;-;-;-;-;-;-;-;121959,62
12/2025;valor_aprovado;"120034 MANOEL URBANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12/2025;valor_aprovado;"120035 MARECHAL THAUMATURGO";-;-;-;6311,25;-;1733,67;-;-;-;-;-;-;-;-;-;65,00;14403,55;-;-;-;-;-;-;-;118,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22631,87
12/2025;valor_aprovado;"120038 PLACIDO DE CASTRO";-;-;-;20887,64;-;4141,32;-;-;-;-;-;-;66,95;-;-;-;22976,59;-;7,20;-;-;-;-;-;3152,52;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51258,64
12/2025;valor_aprovado;"120039 PORTO WALTER";-;-;-;-;-;445,43;-;-;-;-;-;-;271,89;-;-;13,00;8666,07;-;-;-;-;-;-;-;162,00;-;84,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9642,39
