periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
05/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;13906,69;-;13231,80;6352,50;-;-;-;-;-;566,50;-;-;8,00;76661,12;3131,83;4667,52;-;-;-;-;-;386,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59053,50;-;-;-;-;-;177965,72
05/2025;valor_aprovado;"110002 ARIQUEMES";1217,70;-;-;191544,41;-;37303,31;49644,23;223274,31;-;-;-;-;104091,73;3305,76;-;1613,00;483034,99;2594,66;16309,28;-;585539,14;-;135,16;8,26;12694,72;-;122,57;87755,23;-;-;-;-;-;-;-;-;57,54;-;66,81;2547,43;-;-;-;-;-;-;75898,92;8347,50;6055,02;54063,90;-;-;-;-;-;1947225,58
05/2025;valor_aprovado;"110003 CABIXI";-;-;-;5711,15;-;1397,57;145,20;-;-;-;-;-;10,30;-;-;-;12892,41;298,88;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4841,10;-;-;-;-;-;25319,77
05/2025;valor_aprovado;"110004 CACOAL";121,50;-;5334,91;223912,53;-;22129,75;36702,12;298867,33;97556,25;-;3280,90;-;6009,77;-;-;92,00;396322,67;21309,15;4481,89;824849,09;488132,32;97,08;1173,80;624,56;43302,98;150,80;148,11;25,00;41,48;38,39;2665,26;155,84;20,74;-;-;125,12;21,92;-;5548,44;1737,15;-;-;-;-;-;-;28035,62;4344,10;1628,16;39218,85;-;-;-;-;-;2558205,58
05/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;11316,55;-;-;5679,85;94391,30;-;-;-;-;-;-;-;204,00;14464,37;-;-;-;-;-;-;-;504,60;-;26,42;-;-;-;56,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28645,50;-;-;-;-;-;155289,43
05/2025;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;3346,81;-;-;4748,70;-;-;-;-;-;-;-;-;-;16146,32;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14854,95;-;-;-;-;-;39161,58
05/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;6659,87;-;-;2692,80;-;-;-;-;-;56,65;-;-;88,00;21254,39;827,10;-;-;-;-;-;-;236,16;-;26,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7024,05;-;-;-;-;-;38865,44
05/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;16979,32;-;-;24,20;-;-;-;-;-;5,15;-;-;21,00;24638,28;-;1,44;-;-;-;-;-;1772,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43442,15
05/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;39903,17;-;10951,60;4328,50;-;-;-;-;-;144,20;-;-;-;129257,70;4025,58;1006,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21710,25;-;-;-;-;-;211327,32
05/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;4817,63;-;6261,45;8459,55;-;-;-;-;-;221,45;-;-;-;63124,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82884,48
05/2025;valor_aprovado;"110011 JARU";-;-;-;111940,87;-;33063,15;23094,50;-;9406,25;-;4434,16;-;1456,17;-;-;65,00;312531,36;1408,26;277,19;-;-;32,36;-;-;384,44;-;169,78;-;-;-;123,30;-;-;-;-;-;-;-;1447,55;-;-;-;-;-;-;-;-;-;-;82714,50;-;-;-;-;-;582548,84
05/2025;valor_aprovado;"110012 JI-PARANA";205,20;-;97,00;141606,40;6625,51;58665,72;13251,70;156560,71;153187,50;-;3761,64;-;5606,28;-;-;83,00;1048136,04;-;1507019,47;-;522121,85;268,48;-;22,52;88265,50;-;332,20;-;-;-;-;22,62;-;-;-;-;-;89,58;3986,33;6222,48;-;-;-;-;-;-;37506,55;2266,80;2261,10;33447,15;-;-;-;-;-;3791619,33
05/2025;valor_aprovado;"110013 MACHADINHO D'OESTE";-;-;-;23535,59;-;16310,05;4291,65;-;-;-;-;-;1313,25;-;-;-;189207,69;-;685,52;-;-;16,18;-;-;1496,72;-;-;-;-;-;-;-;-;-;54,97;-;-;-;111,35;-;-;-;-;-;-;-;-;-;-;55177,65;-;-;-;-;-;292200,62
05/2025;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;4756,98;-;5447,85;5695,25;-;-;-;-;-;20,60;-;-;10,00;37681,94;532,92;83,26;-;-;34,08;-;-;1259,34;-;-;-;-;-;76,62;-;-;19,79;-;-;-;-;111,35;-;-;-;-;-;-;-;-;-;-;11444,40;-;-;-;-;-;67174,38
05/2025;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;89639,68;-;15775,41;14246,65;-;-;-;-;-;365,65;-;-;-;97549,97;-;419,18;-;-;40,45;-;-;2279,08;-;-;-;-;-;38,74;-;-;-;-;-;-;-;734,91;-;-;-;-;-;-;-;-;-;-;33239,25;-;-;-;-;-;254328,97
05/2025;valor_aprovado;"110018 PIMENTA BUENO";804,60;-;-;58293,17;-;11608,79;7830,90;-;-;-;-;-;16056,06;-;-;72,00;140095,24;436,30;1171,68;-;-;-;-;-;7332,62;-;96,26;23260,05;-;-;205,50;-;-;-;-;-;-;-;2316,08;-;-;-;-;-;-;-;-;-;-;24517,35;-;-;-;-;-;294096,60
05/2025;valor_aprovado;"110020 PORTO VELHO";777,60;-;18210,52;2408302,81;472171,59;213455,30;104229,13;701738,60;161518,75;-;28232,10;-;247502,14;322490,56;-;1701,00;2777492,12;37483,96;58414,61;2479191,91;1316515,69;111604,13;1149,61;1510,30;88750,66;18,85;2142,85;438572,03;207,40;439,48;113,68;703,64;82,96;-;164,91;-;7339,88;-;14649,48;23367,48;183208,52;-;-;-;3875,00;-;129719,55;890394,86;204197,16;1782140,44;-;-;-;-;-;15233781,26
05/2025;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;-;-;6463,48;-;-;-;-;-;-;-;-;-;-;-;5515,26;4,32;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12015,46
05/2025;valor_aprovado;"110026 RIO CRESPO";-;-;-;2506,76;-;-;-;-;-;-;-;-;36,05;-;-;-;9306,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11848,85
05/2025;valor_aprovado;"110028 ROLIM DE MOURA";5,40;-;-;182541,05;-;473,37;17960,25;14797,48;35836,25;-;-;-;865,66;-;-;195,00;215182,27;1562,68;1209,80;-;-;239,44;-;93,94;8376,62;-;-;-;-;12,27;-;-;-;-;-;-;-;-;1449,53;-;-;-;-;-;-;-;26227,15;4732,40;-;63946,80;-;-;-;-;-;575707,36
05/2025;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;12221,95;-;-;-;-;-;-;-;-;-;-;-;21,00;196,80;1141,61;-;-;-;-;4,96;14,63;-;-;-;-;-;-;-;-;-;-;-;-;44,64;-;-;-;-;-;-;-;-;-;-;-;-;3158,10;-;-;-;-;-;16803,69
05/2025;valor_aprovado;"110030 VILHENA";118,80;-;-;365,77;-;52767,04;27657,17;12630,61;2150,00;-;48,16;-;8732,31;-;-;236,00;348328,22;3516,16;2,88;-;90758,73;299,33;-;25,41;10966,72;-;-;153548,40;-;85,89;-;13,54;-;-;-;-;71,10;-;4676,70;3705,53;-;-;-;-;-;-;-;7977,04;3734,58;-;-;-;-;-;-;732416,09
05/2025;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;6896,95;-;8623,02;2994,20;-;-;-;-;-;77,25;-;-;161,00;31404,96;337,15;607,10;-;-;-;-;-;348,92;-;138,98;-;-;-;140,24;-;-;59,37;-;-;22,72;-;44,54;-;-;-;-;-;-;-;-;-;-;19087,20;-;-;-;-;-;70943,60
05/2025;valor_aprovado;"110033 NOVA MAMORE";13,50;-;-;19,73;-;4745,62;1149,50;-;-;-;-;-;168,47;-;-;-;65100,65;95,08;1,44;-;-;-;-;-;2218,46;-;-;-;-;12,27;-;-;-;-;-;-;-;-;155,89;-;-;-;-;-;-;-;-;-;-;33056,10;-;-;-;-;-;106736,71
05/2025;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;25523,28;-;2933,63;866,80;-;-;-;-;-;-;-;-;56,00;31322,80;2506,62;-;-;-;-;-;-;383,82;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17255,70;-;-;-;-;-;80848,65
05/2025;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";170,10;-;-;8436,49;-;-;856,35;-;-;-;-;-;25,75;-;-;1,00;20329,20;-;-;-;-;-;-;-;740,14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21992,85;-;-;-;-;-;52551,88
05/2025;valor_aprovado;"110040 ALTO PARAISO";-;-;-;20198,35;-;5515,22;4561,70;-;-;-;-;-;211,15;-;-;67,00;44475,01;-;-;-;-;-;-;-;912,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11840,40;-;-;-;-;-;87781,05
05/2025;valor_aprovado;"110045 BURITIS";83,70;-;14,10;82405,18;-;7692,21;5049,55;-;-;-;-;-;1010,21;-;-;413,00;79610,48;6006,21;451,30;-;-;24,27;-;108,57;4243,00;-;28,00;-;-;-;73,11;25,94;20,74;-;-;-;605,54;-;60,60;-;-;-;-;-;-;-;-;-;-;77155,65;-;-;-;-;-;265081,36
05/2025;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;10112,02;-;3831,66;1999,80;-;-;-;-;-;252,35;-;-;-;15560,45;742,53;-;-;-;-;-;-;2583,00;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18452,25;-;-;-;-;-;53539,69
05/2025;valor_aprovado;"110060 CACAULANDIA";-;-;-;6277,83;-;-;1229,80;-;-;-;-;-;221,45;-;-;36,00;18130,49;584,12;8,64;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4846,05;-;-;-;-;-;31346,22
05/2025;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;4527,37;-;995,58;-;-;-;-;-;-;-;-;-;24,00;13974,37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4242,15;-;-;-;-;-;23763,47
05/2025;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;39821,08;-;3662,03;7184,65;-;-;-;-;-;-;-;-;-;13228,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63896,08
05/2025;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;1185,42;-;-;1793,00;-;-;-;-;-;-;-;-;22,00;6301,73;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2024,55;-;-;-;-;-;11326,70
05/2025;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;789,65;-;-;-;-;-;-;-;-;303,85;-;-;16,00;70,20;463,81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4217,40;-;-;-;-;-;5860,91
05/2025;valor_aprovado;"110094 CUJUBIM";-;-;23,99;18178,66;-;11550,78;148,50;-;-;-;-;-;164,57;-;-;-;42459,08;-;-;-;-;-;-;-;359,64;-;52,84;385,72;-;155,25;28,42;606,06;-;-;-;-;-;-;222,70;-;-;-;-;-;-;-;-;-;-;9107,40;-;-;-;-;-;83443,61
05/2025;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;982,98;-;-;-;-;-;-;-;-;-;-;15851,21;-;40,68;-;-;-;-;-;324,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17198,87
05/2025;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;31994,71;-;2053,80;-;-;-;-;-;-;-;-;-;-;26585,50;7813,62;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10800,00;-;1447,65;-;-;-;-;-;80718,44
05/2025;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;4492,08;-;-;2027,85;-;-;-;-;-;36,05;-;-;-;21928,18;-;168,48;-;-;-;-;-;1393,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,10;-;-;-;-;-;30333,00
