periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
07/2024;qtd_aprovada;"220525 JARDIM DO MULATO";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;35
07/2024;qtd_aprovada;"220527 JATOBA DO PIAUI";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;31
07/2024;qtd_aprovada;"220530 JERUMENHA";-;46;-;-;-;-;-;-;-;-;-;-;-;-;-;139;649;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;862
07/2024;qtd_aprovada;"220535 JOAO COSTA";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;36
07/2024;qtd_aprovada;"220540 JOAQUIM PIRES";-;61;-;1367;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;1454
07/2024;qtd_aprovada;"220545 JOCA MARQUES";-;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;142
07/2024;qtd_aprovada;"220550 JOSE DE FREITAS";5;47;-;2897;-;535;75;-;-;-;-;-;315;-;-;-;11827;1086;-;-;-;-;372;-;-;-;153;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;35;-;-;-;17441
07/2024;qtd_aprovada;"220551 JUAZEIRO DO PIAUI";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;41
07/2024;qtd_aprovada;"220552 JULIO BORGES";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38;-;-;-;68
07/2024;qtd_aprovada;"220553 JUREMA";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;37
07/2024;qtd_aprovada;"220554 LAGOINHA DO PIAUI";-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;67
07/2024;qtd_aprovada;"220555 LAGOA ALEGRE";-;10;7;-;-;-;-;-;-;-;-;-;-;-;-;144;103;497;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;789
07/2024;qtd_aprovada;"220556 LAGOA DO BARRO DO PIAUI";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;66
07/2024;qtd_aprovada;"220557 LAGOA DE SAO FRANCISCO";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;54
07/2024;qtd_aprovada;"220558 LAGOA DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"220559 LAGOA DO SITIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"220560 LANDRI SALES";-;25;2879;-;-;-;-;-;-;-;-;-;-;-;-;-;1259;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;4185
07/2024;qtd_aprovada;"220570 LUIS CORREIA";-;-;-;428;-;-;-;-;-;-;-;-;35;-;-;341;7613;1968;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10420
07/2024;qtd_aprovada;"220580 LUZILANDIA";12;44;-;2719;-;488;74;-;-;-;-;-;88;-;-;-;5702;-;-;-;-;-;109;-;-;-;163;-;-;-;-;-;-;-;3;-;-;-;36;-;-;-;-;-;-;-;-;-;-;40;-;-;-;9478
07/2024;qtd_aprovada;"220585 MADEIRO";-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;246
07/2024;qtd_aprovada;"220590 MANOEL EMIDIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"220595 MARCOLANDIA";-;30;-;-;-;31;24;-;-;-;-;-;4;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;160
07/2024;qtd_aprovada;"220600 MARCOS PARENTE";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;31
07/2024;qtd_aprovada;"220605 MASSAPE DO PIAUI";-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;53
07/2024;qtd_aprovada;"220610 MATIAS OLIMPIO";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;64
07/2024;qtd_aprovada;"220620 MIGUEL ALVES";-;61;-;3077;-;-;244;-;-;-;-;-;-;-;-;-;999;1560;-;-;-;-;109;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;34;-;-;-;6261
07/2024;qtd_aprovada;"220630 MIGUEL LEAO";-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;55
07/2024;qtd_aprovada;"220635 MILTON BRANDAO";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;51
07/2024;qtd_aprovada;"220640 MONSENHOR GIL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;204;1407;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17;-;-;-;1647
07/2024;qtd_aprovada;"220650 MONSENHOR HIPOLITO";17;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;895;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;1009
07/2024;qtd_aprovada;"220660 MONTE ALEGRE DO PIAUI";-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;20;743;-;-;-;-;-;-;-;-;-;114;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;936
07/2024;qtd_aprovada;"220665 MORRO CABECA NO TEMPO";10;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;60
07/2024;qtd_aprovada;"220667 MORRO DO CHAPEU DO PIAUI";-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;113
07/2024;qtd_aprovada;"220669 MURICI DOS PORTELAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"220670 NAZARE DO PIAUI";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;-;-;-;46
07/2024;qtd_aprovada;"220672 NAZARIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;65
07/2024;qtd_aprovada;"220675 NOSSA SENHORA DE NAZARE";-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;46
07/2024;qtd_aprovada;"220680 NOSSA SENHORA DOS REMEDIOS";-;5;-;1098;-;139;50;-;-;-;-;-;26;-;-;12;2209;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;3559
07/2024;qtd_aprovada;"220690 NOVO ORIENTE DO PIAUI";-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;513;-;-;-;-;-;-;-;-;-;10;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;560
07/2024;qtd_aprovada;"220695 NOVO SANTO ANTONIO";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;26
07/2024;qtd_aprovada;"220700 OEIRAS";117;-;-;11464;44;3343;199;164;-;-;-;-;554;-;-;1012;39011;1541;-;-;-;-;-;-;423;-;206;-;15;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;58216
07/2024;qtd_aprovada;"220710 OLHO D'AGUA DO PIAUI";-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;30
07/2024;qtd_aprovada;"220720 PADRE MARCOS";-;-;-;1622;-;-;-;-;-;-;-;-;-;-;-;-;16;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1784
07/2024;qtd_aprovada;"220730 PAES LANDIM";11;8;-;-;-;-;-;-;-;-;-;-;-;-;-;368;953;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;1389
07/2024;qtd_aprovada;"220735 PAJEU DO PIAUI";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;30
07/2024;qtd_aprovada;"220740 PALMEIRA DO PIAUI";-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;81
07/2024;qtd_aprovada;"220750 PALMEIRAIS";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206;615;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;859
07/2024;qtd_aprovada;"220755 PAQUETA";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;38
07/2024;qtd_aprovada;"220760 PARNAGUA";-;28;30;841;-;412;-;-;-;-;-;-;-;-;-;-;284;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;125;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1720
07/2024;qtd_aprovada;"220770 PARNAIBA";83;1902;534;47233;872;5097;1881;1849;407;42;120;-;2489;1248;-;5959;52134;18078;731;480;3248;3;-;-;8;-;420;-;6;224;20;-;58;8;-;-;-;-;-;10;-;-;20;-;-;-;-;-;-;76;39;-;-;145279
07/2024;qtd_aprovada;"220775 PASSAGEM FRANCA DO PIAUI";-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110
07/2024;qtd_aprovada;"220777 PATOS DO PIAUI";-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;117
07/2024;qtd_aprovada;"220779 PAU D'ARCO DO PIAUI";-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;31
07/2024;qtd_aprovada;"220780 PAULISTANA";65;22;-;2211;-;-;-;-;-;-;-;-;-;-;-;2;3678;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6044
07/2024;qtd_aprovada;"220785 PAVUSSU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;22
07/2024;qtd_aprovada;"220790 PEDRO II";-;355;42;5177;-;565;217;-;-;-;20;-;26;-;-;315;11738;2049;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;20613
07/2024;qtd_aprovada;"220793 PEDRO LAURENTINO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;22
07/2024;qtd_aprovada;"220795 NOVA SANTA RITA";-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;76
07/2024;qtd_aprovada;"220800 PICOS";74590;1149;787;56489;385;1554;758;1245;197;-;104;-;461;-;4;384;31191;8557;-;-;6327;-;131;-;-;-;22;-;64;-;-;-;-;-;-;-;-;-;-;-;-;1;30;-;-;-;-;-;-;-;34;-;-;184464
07/2024;qtd_aprovada;"220810 PIMENTEIRAS";-;95;1108;596;-;-;-;-;-;-;-;-;-;-;-;-;3358;-;-;-;-;-;156;-;-;-;152;-;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;5562
07/2024;qtd_aprovada;"220820 PIO IX";500;28;100;-;-;-;-;-;-;-;-;-;-;-;-;300;1778;-;-;-;-;-;-;-;-;-;40;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;2823
07/2024;qtd_aprovada;"220830 PIRACURUCA";29;30;46;4612;-;1000;303;-;-;-;-;-;53;-;-;53;13704;1244;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;21173
07/2024;qtd_aprovada;"220840 PIRIPIRI";3229;262;1044;18861;105;2887;786;1654;-;-;-;-;919;-;-;155;42007;4211;7;-;887;19;-;-;-;-;226;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;53;15;-;-;77336
07/2024;qtd_aprovada;"220850 PORTO";-;50;-;2354;-;-;-;-;-;-;-;-;27;-;-;40;1739;882;-;-;-;-;-;-;-;-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;-;-;-;5241
07/2024;qtd_aprovada;"220855 PORTO ALEGRE DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;330;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;494
07/2024;qtd_aprovada;"220860 PRATA DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;20
07/2024;qtd_aprovada;"220865 QUEIMADA NOVA";-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;36
07/2024;qtd_aprovada;"220870 REDENCAO DO GURGUEIA";-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;110;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;249
07/2024;qtd_aprovada;"220880 REGENERACAO";-;35;-;1441;-;-;17;-;-;-;-;-;43;-;-;-;3586;747;-;-;-;-;50;-;-;-;17;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5966
07/2024;qtd_aprovada;"220885 RIACHO FRIO";-;147;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;199
07/2024;qtd_aprovada;"220887 RIBEIRA DO PIAUI";35;184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;219
07/2024;qtd_aprovada;"220890 RIBEIRO GONCALVES";-;8;-;-;-;-;-;-;-;-;-;-;31;-;-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;209
07/2024;qtd_aprovada;"220900 RIO GRANDE DO PIAUI";-;22;52;-;-;-;-;-;-;-;-;-;-;-;-;-;277;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;381
07/2024;qtd_aprovada;"220910 SANTA CRUZ DO PIAUI";-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;86;242;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;383
07/2024;qtd_aprovada;"220915 SANTA CRUZ DOS MILAGRES";-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
07/2024;qtd_aprovada;"220920 SANTA FILOMENA";1361;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;1458
07/2024;qtd_aprovada;"220930 SANTA LUZ";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;57
07/2024;qtd_aprovada;"220935 SANTANA DO PIAUI";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
07/2024;qtd_aprovada;"220937 SANTA ROSA DO PIAUI";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;-;-;-;85
07/2024;qtd_aprovada;"220940 SANTO ANTONIO DE LISBOA";-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;52
07/2024;qtd_aprovada;"220945 SANTO ANTONIO DOS MILAGRES";-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;61
07/2024;qtd_aprovada;"220950 SANTO INACIO DO PIAUI";-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;70
07/2024;qtd_aprovada;"220955 SAO BRAZ DO PIAUI";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;42
07/2024;qtd_aprovada;"220960 SAO FELIX DO PIAUI";-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;383;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;443
07/2024;qtd_aprovada;"220965 SAO FRANCISCO DE ASSIS DO PIAUI";-;9;-;1837;-;-;-;-;-;-;-;-;-;-;-;410;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;2277
07/2024;qtd_aprovada;"220970 SAO FRANCISCO DO PIAUI";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;69
07/2024;qtd_aprovada;"220975 SAO GONCALO DO GURGUEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"220980 SAO GONCALO DO PIAUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;808;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;808
07/2024;qtd_aprovada;"220985 SAO JOAO DA CANABRAVA";-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;152
07/2024;qtd_aprovada;"220987 SAO JOAO DA FRONTEIRA";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
07/2024;qtd_aprovada;"220990 SAO JOAO DA SERRA";-;10;188;-;-;-;-;-;-;-;-;-;60;-;-;28;370;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;711
