periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
09/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;11682,79;-;11080,03;5498,90;-;-;-;-;-;489,25;-;-;3,00;87611,27;2411,54;4960,60;-;-;-;-;-;1258,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70364,25;-;-;-;-;-;195360,15
09/2025;valor_aprovado;"110002 ARIQUEMES";785,70;-;-;170945,20;-;33913,56;29547,80;263596,50;-;-;385,28;-;13198,09;2419,68;-;1914,00;379920,85;6055,95;16310,72;-;560422,02;-;198,51;-;12523,30;-;158,52;128903,73;-;73,62;-;-;-;-;-;-;57,54;-;200,43;1400,00;-;-;-;-;-;-;133035,86;9095,00;3709,38;81140,40;-;21960,00;530,00;-;-;1872401,64
09/2025;valor_aprovado;"110003 CABIXI";-;-;-;7895,98;-;2636,56;2028,95;-;-;-;-;-;20,60;-;-;-;11603,04;158,78;-;-;-;-;-;-;162,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7959,60;-;-;-;-;-;32465,51
09/2025;valor_aprovado;"110004 CACOAL";537,30;-;4967,22;209214,64;-;13158,98;60335,82;338307,28;188393,75;-;8835,46;-;211614,18;-;-;189,00;362281,88;11479,12;5077,75;878053,51;494056,85;186,07;927,79;104,87;45613,38;56,55;449,11;358866,94;-;150,40;2809,88;77,92;20,74;-;-;-;43,84;29,86;5724,03;1158,10;-;-;-;-;-;-;81452,65;-;1338,29;163057,95;-;-;-;-;-;3448571,11
09/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;12390,99;-;16736,74;6007,65;81046,35;-;-;-;-;442,90;-;-;153,00;59706,00;1900,63;391,41;-;-;-;-;-;1257,94;-;-;-;-;-;28,42;-;-;-;-;-;-;-;489,94;-;-;-;-;-;-;-;-;-;-;29608,05;-;-;-;-;-;210160,02
09/2025;valor_aprovado;"110006 COLORADO DO OESTE";59,40;-;-;20435,85;-;7719,72;7524,00;-;-;-;-;-;1272,05;-;-;160,00;137237,43;-;3625,51;-;-;-;-;77,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23383,80;-;-;-;-;-;201494,76
09/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;6451,23;-;1294,15;2820,40;-;-;-;-;-;149,35;-;-;74,00;19680,75;1457,18;-;-;-;-;-;-;799,68;-;52,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12929,40;-;-;-;-;-;45708,98
09/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;28392,10;-;1883,83;1016,40;-;-;-;-;-;-;-;-;21,00;32403,50;163,45;-;-;-;-;-;-;32,40;-;-;-;-;12,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63924,95
09/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;30874,41;-;10542,91;4922,50;-;-;-;-;-;257,50;-;-;-;84241,20;6139,26;838,60;-;-;-;-;-;1439,76;-;-;-;-;-;-;-;-;-;-;-;-;-;334,05;-;-;-;-;-;-;-;-;-;-;24890,70;-;-;-;-;-;164480,89
09/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;6839,45;-;5310,03;3359,40;4863,88;-;-;-;-;-;-;-;-;85257,48;-;731,90;-;-;-;-;-;92,64;-;-;-;-;-;-;-;-;-;-;-;-;-;111,35;-;-;-;-;-;-;-;-;-;-;9,90;-;-;-;-;-;106576,03
09/2025;valor_aprovado;"110011 JARU";-;-;-;103234,37;-;28336,51;19104,25;1061,53;39237,50;-;4000,72;-;8396,71;-;-;37,00;253380,54;410,19;407,42;-;-;72,81;-;-;371,98;-;75,36;-;-;24,54;164,40;-;-;-;88,94;-;-;-;1336,20;-;-;-;-;-;-;-;-;-;-;99019,80;-;-;-;-;-;558760,77
09/2025;valor_aprovado;"110012 JI-PARANA";245,70;-;73,32;154889,36;11704,43;37145,10;43953,24;262534,08;307718,75;-;8048,74;-;119130,04;26003,04;-;140,00;677357,63;-;44068,94;-;575419,05;211,73;-;135,12;103005,86;-;218,94;157834,15;-;-;-;22,62;-;-;-;-;-;29,86;3407,31;5738,29;-;-;-;-;-;-;95341,58;28551,80;1880,52;25215,30;-;-;-;-;-;2690024,50
09/2025;valor_aprovado;"110013 MACHADINHO D'OESTE";224,10;-;-;42254,67;-;22272,76;11855,25;-;-;-;-;-;1684,05;-;-;-;97691,22;-;414,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62033,40;-;-;-;-;-;238430,17
09/2025;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;-;6095,04;-;3789,59;6531,25;-;-;-;-;-;10,30;-;-;4,00;29349,80;1608,47;272,59;-;-;-;-;-;333,96;-;-;-;-;-;38,74;-;-;-;-;-;-;-;89,08;-;-;-;-;-;-;-;-;-;-;8192,25;-;-;-;-;-;56315,07
09/2025;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;118622,10;-;13443,91;20895,60;-;-;-;-;-;993,95;-;-;-;90905,30;-;127,77;-;-;48,54;-;-;3239,36;-;-;-;-;-;-;-;-;-;-;-;-;-;1002,15;-;-;-;-;-;-;-;-;-;-;47619,30;-;-;-;-;-;296897,98
09/2025;valor_aprovado;"110018 PIMENTA BUENO";1093,50;-;-;74773,76;-;11243,31;5438,40;-;-;-;-;-;2525,22;-;-;22,00;121980,21;1390,83;1022,47;-;-;-;-;-;7159,52;-;73,52;-;-;-;-;-;-;-;54,97;-;-;-;2716,94;-;-;-;-;-;-;-;-;-;-;22423,50;-;-;-;-;-;251918,15
09/2025;valor_aprovado;"110020 PORTO VELHO";977,94;-;22383,39;2582234,17;516156,16;189412,48;128567,42;750382,16;595911,25;126899,22;29569,50;45,34;273652,26;349571,66;-;2025,00;2475213,60;26340,64;43768,50;2717822,50;1146973,22;106929,77;144,68;3106,35;86826,80;-;2445,52;384512,49;103,70;545,60;56,84;809,92;82,96;-;329,82;93,84;293,82;-;14865,97;13904,16;259650,66;1450,71;3456,00;-;7075,00;-;276862,98;1214981,09;213263,92;1353998,25;125,00;22210,00;5400,00;-;16000,00;15967432,26
09/2025;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;27628,06;-;-;-;-;-;-;-;-;-;-;-;-;1,89;4061,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31691,36
09/2025;valor_aprovado;"110026 RIO CRESPO";-;-;-;1779,18;-;-;-;-;-;-;-;-;15,45;-;-;-;6414,35;-;-;-;-;-;-;-;120,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13924,35;-;-;-;-;-;22253,69
09/2025;valor_aprovado;"110028 ROLIM DE MOURA";1053,00;-;66,48;92894,09;-;12766,87;19199,95;18696,59;25086,25;-;-;-;885,62;-;-;407,00;164879,69;749,22;2160,49;-;-;80,90;-;40,81;8391,60;-;-;-;-;12,27;-;32,68;-;-;-;-;-;-;480,25;-;-;-;-;-;-;-;18944,32;27,00;-;61402,80;-;-;-;-;-;428257,88
09/2025;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;10950,79;-;2567,92;-;-;-;-;-;-;36,05;-;-;40,00;15505,30;1025,46;-;-;-;-;12,40;-;490,68;-;-;-;-;-;-;-;-;-;-;-;21,92;89,58;-;-;-;-;-;-;-;-;-;-;-;15048,00;-;-;-;-;-;45788,10
09/2025;valor_aprovado;"110030 VILHENA";-;-;-;-;-;-;-;3005,88;30906,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33912,13
09/2025;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";105,30;-;23,99;7276,44;-;7411,44;5779,40;-;-;-;-;-;169,95;-;-;198,00;26238,59;547,30;349,75;-;-;-;-;-;1373,26;-;26,42;-;-;-;147,02;-;-;39,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31917,60;-;-;-;-;-;81604,04
09/2025;valor_aprovado;"110033 NOVA MAMORE";-;-;-;26001,62;-;5754,60;1795,20;-;-;-;-;-;-;-;-;152,00;34230,59;719,18;-;-;-;-;-;-;1785,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36308,25;-;-;-;-;-;106746,92
09/2025;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;26784,61;-;5742,46;3712,50;-;-;-;-;-;103,00;-;-;130,00;52240,45;2519,15;-;-;-;-;-;-;259,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12988,80;-;-;-;-;-;104480,17
09/2025;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";240,30;-;-;9488,55;-;-;605,00;-;-;-;-;-;61,80;-;-;2,00;19005,96;-;-;-;-;-;-;-;600,58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24344,10;-;-;-;-;-;54348,29
09/2025;valor_aprovado;"110040 ALTO PARAISO";-;-;-;17092,56;-;5580,39;5836,05;-;-;-;-;-;25,75;-;-;108,00;23664,92;-;-;-;-;-;-;-;3490,08;-;-;-;-;-;-;-;-;-;-;-;-;1373,56;-;-;-;-;-;-;-;-;-;-;-;1108,80;-;-;-;-;-;58280,11
09/2025;valor_aprovado;"110045 BURITIS";24,30;-;51,66;67222,52;-;6574,19;5586,90;-;-;-;-;-;1714,10;-;-;933,00;81242,76;7341,66;326,80;-;-;32,36;-;15,40;4058,02;-;58,47;-;-;-;-;34,10;-;-;15,79;-;495,94;-;121,20;-;-;-;-;-;-;-;-;-;-;63751,05;-;-;-;-;-;239600,22
09/2025;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;5835,23;-;3207,03;242,00;-;-;-;-;-;159,65;-;-;-;14591,25;677,15;-;-;-;-;-;-;2057,84;-;82,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11059,50;-;-;-;-;-;37912,37
09/2025;valor_aprovado;"110060 CACAULANDIA";-;-;-;6345,06;-;-;-;-;-;-;-;-;87,55;-;-;60,00;17230,78;280,20;10,08;-;-;-;-;-;47,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2544,30;-;-;-;-;-;26605,33
09/2025;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;6343,25;-;-;-;-;-;-;-;-;-;-;-;13,00;5943,40;-;-;-;-;-;-;-;292,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;346,50;-;-;-;-;-;12939,06
09/2025;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;44191,84;-;-;6318,95;-;-;-;-;-;437,75;-;-;-;16218,51;-;-;-;-;-;-;-;23,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67190,21
09/2025;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;84,51;-;-;-;-;-;-;-;-;-;-;-;22,00;861,67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2405,70;-;-;-;-;-;3373,88
09/2025;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;-;-;1909,25;-;-;-;-;-;-;499,55;-;-;-;21153,68;624,27;-;-;-;-;-;-;717,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7821,00;-;-;-;-;-;32725,23
09/2025;valor_aprovado;"110094 CUJUBIM";-;-;-;13666,00;-;8714,51;5416,95;-;-;-;-;-;108,15;-;-;-;42878,44;-;-;-;-;-;-;-;812,72;-;-;360,72;-;-;-;95,28;-;-;-;-;-;-;200,43;-;-;-;-;-;-;-;-;-;-;21142,50;-;-;-;-;-;93395,70
09/2025;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;861,83;-;-;-;-;-;-;-;-;-;-;8035,13;942,94;-;-;-;-;-;-;12,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9852,36
09/2025;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;20989,33;-;1592,14;-;-;-;-;-;-;5,15;-;-;-;25511,52;-;-;-;-;-;-;-;248,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;643,50;-;-;-;-;-;48989,64
09/2025;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;2236,31;-;1232,16;2318,80;-;-;-;-;-;87,55;-;-;-;18975,80;520,70;86,40;-;-;-;-;-;1377,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;480,15;-;-;-;-;-;27315,75
09/2025;valor_aprovado;"110130 MIRANTE DA SERRA";-;-;-;3986,50;-;5943,68;2727,45;-;-;-;-;-;-;-;-;-;24987,20;424,97;-;-;-;16,18;-;-;766,92;-;16,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38869,79
09/2025;valor_aprovado;"110140 MONTE NEGRO";-;-;-;16019,17;-;4914,74;7510,25;-;-;-;-;-;82,40;-;-;486,00;26899,21;-;-;-;-;-;-;-;115,80;-;16,89;3771,90;-;-;-;-;-;-;-;-;65,76;-;-;-;-;-;-;-;-;-;-;-;-;64,35;-;-;-;-;-;59946,47
09/2025;valor_aprovado;"110143 NOVA UNIAO";-;-;-;3634,09;-;14756,05;-;-;-;-;-;-;20439,44;-;-;77,00;17926,07;-;-;-;-;-;-;-;213,12;-;67,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57113,33
09/2025;valor_aprovado;"110145 PARECIS";-;-;-;27370,70;-;-;-;-;-;-;-;-;1929,40;-;-;-;28050,00;-;5348,70;-;-;-;-;161,12;2684,84;-;1641,92;-;-;-;-;-;-;-;-;-;-;3374,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70560,86
09/2025;valor_aprovado;"110146 PIMENTEIRAS DO OESTE";-;-;-;1863,10;-;-;-;-;-;-;-;-;15,45;-;-;30,00;5505,88;131,30;-;-;-;-;-;-;324,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4207,50;-;-;-;-;-;12077,23
09/2025;valor_aprovado;"110147 PRIMAVERA DE RONDONIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;752,40;-;-;-;-;-;752,40
09/2025;valor_aprovado;"110148 SAO FELIPE D'OESTE";-;-;-;43,36;-;-;1395,35;-;-;-;-;-;-;-;-;-;27851,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9103,05;-;-;-;-;-;38392,91
09/2025;valor_aprovado;"110149 SAO FRANCISCO DO GUAPORE";-;-;-;28525,04;-;4486,92;3049,75;-;-;-;-;-;206,00;-;-;182,00;74505,88;14511,55;43,37;-;-;24,27;-;-;1849,22;-;11,26;-;-;-;-;-;-;-;-;-;12,98;-;334,05;-;-;-;-;-;-;-;-;-;-;50183,10;-;-;-;-;-;177925,39
09/2025;valor_aprovado;"110150 SERINGUEIRAS";-;-;-;11879,41;-;1235,62;5219,50;-;1343,75;-;2359,84;-;417,15;-;-;12,00;37131,06;748,31;83,86;-;-;-;-;-;545,14;-;32,05;-;-;51,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64,35;-;-;-;-;-;61123,79
09/2025;valor_aprovado;"110155 TEIXEIROPOLIS";-;-;-;5901,77;-;-;-;-;-;-;-;-;7169,84;-;-;-;50360,66;-;-;-;-;-;-;-;287,88;-;16,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63737,04
09/2025;valor_aprovado;"110160 THEOBROMA";48,60;-;-;10116,75;-;1375,67;3483,70;-;-;-;-;-;72,10;-;-;1,00;15072,97;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30170,79
09/2025;valor_aprovado;"110170 URUPA";-;-;25,83;14548,45;-;2593,14;24,20;-;-;-;-;-;2473,91;-;-;-;22432,00;-;-;-;-;-;-;-;3876,00;-;-;17346,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19324,80;-;-;-;-;-;82644,88
09/2025;valor_aprovado;"110175 VALE DO ANARI";-;-;-;10402,26;-;-;2597,65;-;-;-;-;-;10,30;-;-;-;11831,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35125,20;-;-;-;-;-;59966,49
09/2025;valor_aprovado;"110180 VALE DO PARAISO";-;-;-;3092,19;-;-;3186,70;-;-;-;-;-;77,25;-;-;-;5731,91;-;-;-;-;-;-;-;754,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2638,35;-;-;-;-;-;15481,08
09/2025;valor_aprovado;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2025;valor_aprovado;"120001 ACRELANDIA";-;-;-;-;-;3152,79;-;-;-;-;-;-;-;-;-;-;13427,14;-;-;-;-;-;-;-;6228,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22808,45
