periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
10/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";63;111;4245;3931;-;1219;180;-;-;-;-;-;71;-;-;30;20644;374;124;-;-;-;-;-;-;-;-;555;-;15;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8871;40446
10/2024;qtd_aprovada;"110002 ARIQUEMES";42077;62;50621;46912;-;3133;1563;1752;-;-;69;-;4003;181;5;5470;102774;309;1;-;2427;3;2791;-;-;-;-;521;-;2;380;-;-;-;-;-;-;-;-;179;-;3;10;-;-;-;-;-;-;81539;583;30;-;10291;357691
10/2024;qtd_aprovada;"110003 CABIXI";219;-;-;1697;-;219;-;-;-;-;-;-;10;-;-;56;3236;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;959;6429
10/2024;qtd_aprovada;"110004 CACOAL";824;396;1280;41089;-;2167;849;2172;150;-;19;-;1127;-;-;270;48975;2321;348;982;2037;4;-;-;266;-;-;1401;-;17;1;-;4;139;2;-;-;3;6;-;2;179;12;-;-;-;-;-;-;80820;128;39;-;6975;195004
10/2024;qtd_aprovada;"110005 CEREJEIRAS";2262;-;-;1;-;1306;76;162;-;-;-;-;59;-;-;25;11249;-;9;-;-;-;-;-;-;-;-;31;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334;15519
10/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2246;42;-;3051;-;1182;237;-;-;-;-;-;22;-;-;70;13683;370;2;-;-;-;-;-;-;-;-;32;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4085;25024
10/2024;qtd_aprovada;"110007 CORUMBIARA";8280;132;26;3091;-;3;32;-;-;-;-;-;19;-;-;553;8891;-;-;-;-;-;356;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;1562;23040
10/2024;qtd_aprovada;"110008 COSTA MARQUES";1253;72;-;6185;-;154;5;-;-;-;-;-;-;-;-;117;7067;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173;15029
10/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";1173;37;-;11013;-;1121;194;-;-;-;-;-;27;-;-;-;37640;1181;2;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;1360;53932
10/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";342;95;-;886;-;14;482;-;-;-;-;-;77;-;-;406;9970;1016;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13292
10/2024;qtd_aprovada;"110011 JARU";-;69;-;33283;-;3418;514;-;69;-;90;-;218;-;-;135;64448;188;11;-;-;1;-;-;-;-;-;143;-;6;-;-;1;1;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;13403;116045
10/2024;qtd_aprovada;"110012 JI-PARANA";2997;-;124;41283;423;1;487;1563;1268;-;140;-;394;-;-;1119;99737;102;1074;-;2083;34;-;-;4;-;-;562;-;4;-;-;-;-;2;-;-;-;7;-;2;145;15;-;-;-;-;-;-;136600;1;24;-;7321;297516
10/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3564;45;-;7725;-;1889;217;-;-;-;-;-;232;-;44;2738;28108;-;21;-;1;-;-;-;-;2;-;51;-;-;-;5;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;1811;46482
10/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2550;35;173;200;-;283;103;-;-;-;-;-;5;-;-;139;12337;596;12;-;-;3;-;-;-;-;-;109;-;-;-;2;-;-;-;-;-;-;1;-;-;5;-;-;-;-;-;-;-;-;-;-;-;1615;18168
10/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";147;1950;-;16811;-;1231;545;-;-;-;-;-;137;-;-;196;25695;-;-;-;-;-;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46723
10/2024;qtd_aprovada;"110018 PIMENTA BUENO";547;49;-;17639;-;1441;283;-;-;-;-;-;209;-;-;312;28965;64;28;-;-;1;-;-;-;-;-;270;-;4;-;-;-;-;-;-;-;-;-;-;-;103;-;-;-;-;-;-;-;-;-;-;-;3946;53861
10/2024;qtd_aprovada;"110020 PORTO VELHO";12427;8156;17885;329423;7144;16651;4471;4262;807;175;384;15;20134;8390;3371;21950;483185;6609;450;2703;5021;4958;1027;-;1912;-;-;5302;4;157;447;9;13;-;15;1;-;2;-;202;-;428;38;334;84;135;-;97;-;285906;4560;150;-;18639;1278033
10/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;141;-;712;-;524;-;-;-;-;-;-;58;-;2;-;747;1146;1;-;-;-;-;-;-;-;-;185;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3521
10/2024;qtd_aprovada;"110026 RIO CRESPO";-;1;751;730;-;-;-;-;-;-;-;-;-;-;-;40;3430;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4955
10/2024;qtd_aprovada;"110028 ROLIM DE MOURA";6426;213;744;27993;-;923;577;99;206;-;-;-;252;-;-;1594;63324;780;359;-;-;20;-;-;121;-;-;308;-;-;-;-;-;-;-;-;2;-;-;-;-;94;-;-;-;-;-;-;-;53113;40;-;-;10547;167735
10/2024;qtd_aprovada;"110029 SANTA LUZIA D'OESTE";7429;127;76;3301;-;309;-;-;-;-;-;-;3;-;-;250;6990;322;26;-;-;-;205;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;47;1;-;-;-;-;-;-;-;-;-;-;-;-;1074;20184
10/2024;qtd_aprovada;"110030 VILHENA";2059;725;2302;52495;-;2294;2010;1409;860;-;114;-;700;-;16;946;61963;981;1;-;351;9;-;-;110;-;-;470;-;7;-;-;-;-;-;-;-;-;-;55;-;230;19;-;-;-;-;-;-;-;426;57;-;-;130609
10/2024;qtd_aprovada;"110032 SAO MIGUEL DO GUAPORE";8737;-;34;1017;-;721;68;-;-;-;-;-;22;-;-;458;10484;1;8;-;-;-;242;-;-;-;-;12;-;-;-;-;-;1;-;-;3;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;5536;27368
10/2024;qtd_aprovada;"110033 NOVA MAMORE";437;207;13;81;-;626;68;-;-;-;-;-;34;-;-;196;12440;328;3;-;-;-;-;-;1;-;-;97;-;3;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;102;14657
10/2024;qtd_aprovada;"110034 ALVORADA D'OESTE";4;93;-;2583;-;668;73;-;-;-;-;-;-;-;-;-;5194;220;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8860
10/2024;qtd_aprovada;"110037 ALTO ALEGRE DOS PARECIS";1530;-;2033;2477;-;-;60;-;-;-;-;-;2;-;-;1426;5444;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4162;17134
10/2024;qtd_aprovada;"110040 ALTO PARAISO";1905;2644;-;3625;-;591;57;-;-;-;-;-;53;-;-;224;13282;-;-;-;-;-;-;-;-;-;-;47;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1328;23757
10/2024;qtd_aprovada;"110045 BURITIS";18489;155;275;15314;-;665;104;-;-;-;-;-;388;-;3;2963;34283;2225;9;-;-;6;2583;-;330;-;-;184;-;4;-;-;-;2;-;-;-;-;-;307;-;7;-;-;-;-;-;-;-;-;-;-;-;16250;94546
10/2024;qtd_aprovada;"110050 NOVO HORIZONTE DO OESTE";-;47;-;2821;-;463;162;-;-;-;-;-;233;-;9;-;7807;243;-;-;-;-;-;-;-;-;-;101;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2584;14474
10/2024;qtd_aprovada;"110060 CACAULANDIA";1798;13;1641;1541;-;-;44;-;-;-;-;-;2;-;3;91;3478;151;3;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8771
10/2024;qtd_aprovada;"110070 CAMPO NOVO DE RONDONIA";5261;29;54;2258;-;7;-;-;-;-;-;-;25;-;-;490;6118;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225;14470
10/2024;qtd_aprovada;"110080 CANDEIAS DO JAMARI";-;-;-;10477;-;389;102;-;-;-;-;-;-;-;-;216;6369;-;-;-;-;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17648
10/2024;qtd_aprovada;"110090 CASTANHEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
10/2024;qtd_aprovada;"110092 CHUPINGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2024;qtd_aprovada;"110094 CUJUBIM";3575;134;233;11284;-;1268;123;-;-;-;-;-;150;-;6;166;15370;-;-;-;-;-;-;-;-;-;-;66;-;2;4;-;29;-;-;-;-;-;-;9;-;3;-;-;-;-;-;-;-;-;-;-;-;1140;33562
10/2024;qtd_aprovada;"110100 GOVERNADOR JORGE TEIXEIRA";-;41;-;2098;-;87;-;-;-;-;-;-;-;-;-;-;6602;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8860
10/2024;qtd_aprovada;"110110 ITAPUA DO OESTE";888;9;-;3103;-;182;-;-;-;-;-;-;-;-;-;175;7705;1495;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;312;13869
10/2024;qtd_aprovada;"110120 MINISTRO ANDREAZZA";-;32;-;900;-;228;86;-;-;-;-;-;19;-;-;8;5838;99;96;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;7467
10/2024;qtd_aprovada;"110130 MIRANTE DA SERRA";-;-;-;300;-;1445;87;-;-;-;-;-;-;-;-;-;8725;-;-;-;-;-;-;-;-;-;-;522;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11128
10/2024;qtd_aprovada;"110140 MONTE NEGRO";1351;41;-;5447;-;453;167;-;-;-;-;-;33;-;-;744;4927;88;-;-;-;-;-;-;-;-;-;29;-;4;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;21;-;-;3269;16594
10/2024;qtd_aprovada;"110143 NOVA UNIAO";-;154;-;2269;-;450;-;-;-;-;-;-;1452;-;-;-;5781;-;-;-;-;-;-;-;-;-;-;11;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10131
10/2024;qtd_aprovada;"110145 PARECIS";-;13;-;146;-;-;-;-;-;-;-;-;151;-;-;-;7140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7450
10/2024;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1452;-;114;420;-;-;-;-;-;-;-;-;5;-;-;57;2347;-;-;-;-;-;83;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;128;4646
10/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";848;11;-;372;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1231
10/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";795;14;563;1006;-;-;65;-;-;-;-;-;-;-;-;36;4857;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1562;8900
10/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";7242;107;944;2570;-;499;37;-;-;-;-;-;45;-;-;1023;15107;2039;7;-;-;6;337;-;-;-;-;78;-;4;-;-;2;-;-;-;-;-;-;82;-;1;-;-;-;-;-;-;-;-;-;-;-;6300;36430
10/2024;qtd_aprovada;"110150 SERINGUEIRAS";10949;-;83;2084;-;227;125;-;69;-;50;-;18;-;-;552;13448;115;-;-;-;-;244;-;-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;1487;29535
10/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;11;-;2332;-;-;-;-;-;-;-;-;-;-;-;8;1851;-;-;-;-;-;-;-;-;-;-;10;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4213
10/2024;qtd_aprovada;"110160 THEOBROMA";564;7;-;3893;-;184;47;-;-;-;-;-;14;-;-;75;3335;-;-;-;-;-;66;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8214
10/2024;qtd_aprovada;"110170 URUPA";-;14;3;4864;-;1;148;5;-;-;-;-;10;-;-;65;4964;400;3;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10577
10/2024;qtd_aprovada;"110175 VALE DO ANARI";621;-;149;1509;-;-;37;-;-;-;-;-;-;-;-;-;3112;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3934;9367
10/2024;qtd_aprovada;"110180 VALE DO PARAISO";410;9;-;1394;-;-;-;-;-;-;-;-;1;-;-;-;3081;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4910
10/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2024;qtd_aprovada;"120001 ACRELANDIA";-;52;216;-;-;-;-;-;-;-;-;-;-;-;-;388;3976;-;-;-;-;-;-;-;-;-;-;108;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4745
10/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5221;-;191;-;-;-;-;-;-;79;-;3;171;4444;-;-;-;-;-;-;-;-;-;-;43;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10161
10/2024;qtd_aprovada;"120010 BRASILEIA";7;13;3;12796;-;10589;107;248;-;-;-;-;46;116;1;160;18901;159;139;-;806;138;15;-;-;-;-;212;-;41;-;-;-;132;-;-;-;1;-;44;-;-;2;-;-;-;-;-;-;-;5;1;-;-;44682
10/2024;qtd_aprovada;"120013 BUJARI";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68
10/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200
10/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";19343;953;599;72269;-;2733;1178;1003;636;-;26;-;1269;575;255;690;49035;2025;238;-;831;371;-;-;111;28;-;189;-;6;-;-;-;-;-;-;28;-;-;2;-;26;15;-;-;-;-;-;-;26200;29;46;-;-;180709
10/2024;qtd_aprovada;"120025 EPITACIOLANDIA";8;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;216;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;296
10/2024;qtd_aprovada;"120030 FEIJO";-;-;-;10959;-;579;-;-;-;-;-;-;-;-;-;-;6702;-;-;-;-;-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18275
10/2024;qtd_aprovada;"120032 JORDAO";-;5;6;-;-;-;-;-;-;-;-;-;-;-;-;125;2182;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2318
10/2024;qtd_aprovada;"120033 MANCIO LIMA";70;44;925;7342;-;822;-;-;-;-;-;-;98;-;-;1115;13827;223;5;-;-;-;-;-;-;-;-;293;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24795
10/2024;qtd_aprovada;"120034 MANOEL URBANO";-;20;42;3140;-;137;-;-;-;-;-;-;8;-;-;37;6964;-;-;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10395
10/2024;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;12;1537;4892;-;433;-;-;-;-;-;-;-;-;-;595;9902;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17476
10/2024;qtd_aprovada;"120038 PLACIDO DE CASTRO";-;68;2130;6699;-;547;-;-;-;-;-;-;60;-;-;284;9554;-;-;-;-;-;2;-;-;-;-;129;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19477
10/2024;qtd_aprovada;"120039 PORTO WALTER";419;9;-;-;-;54;-;-;-;-;-;-;18;-;-;1427;4073;-;-;-;-;-;-;-;-;3;-;13;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6020
10/2024;qtd_aprovada;"120040 RIO BRANCO";47992;1361;11657;355560;4795;18566;4994;7213;3118;100;266;43;10893;2749;680;19966;410893;3469;695;969;4936;1912;16342;-;953;-;-;4121;-;153;500;2;45;1;52;-;-;-;-;2000;-;372;6;333;-;-;-;177;-;177344;605;56;-;9528;1125417
10/2024;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;99;-;-;-;-;-;-;26;-;-;75;4571;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4867
10/2024;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;86;-;1278;-;35;-;-;-;-;-;-;10;-;-;-;792;-;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2213
10/2024;qtd_aprovada;"120045 SENADOR GUIOMARD";-;44;-;23218;-;708;-;-;-;-;-;-;30;-;-;22;2716;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26804
10/2024;qtd_aprovada;"120050 SENA MADUREIRA";-;10;138;16611;-;1417;109;-;-;-;-;-;76;-;5;177;14339;-;18;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32991
10/2024;qtd_aprovada;"120060 TARAUACA";-;9;-;9045;-;642;-;-;-;-;-;-;-;-;-;-;6621;-;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16447
10/2024;qtd_aprovada;"120070 XAPURI";-;20;-;6515;-;551;-;-;-;-;-;-;24;-;19;238;9534;-;-;-;-;-;-;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;17194
10/2024;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52
10/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2024;qtd_aprovada;"130002 ALVARAES";-;-;-;1741;-;26;211;-;-;-;-;-;-;-;-;-;2053;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4062
10/2024;qtd_aprovada;"130006 AMATURA";-;-;-;1879;-;190;85;-;-;-;-;-;10;-;-;302;8548;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11014
10/2024;qtd_aprovada;"130008 ANAMA";-;-;-;1742;-;217;-;-;-;-;-;-;-;-;-;46;613;-;-;-;-;-;-;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2718
10/2024;qtd_aprovada;"130010 ANORI";-;235;-;3927;-;454;190;-;-;-;-;-;39;-;-;-;4961;-;-;-;-;-;-;-;-;-;-;188;-;25;-;75;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10109
10/2024;qtd_aprovada;"130014 APUI";-;23;3;7231;-;445;135;-;-;-;-;-;54;-;-;167;3466;208;9;-;-;18;-;-;-;-;-;106;-;5;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54;-;-;-;11928
10/2024;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;6;6135;-;519;328;-;-;-;-;-;45;-;32;121;9234;-;3;-;-;-;-;-;-;-;-;86;-;1;-;-;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;38;16582
10/2024;qtd_aprovada;"130030 AUTAZES";14;8;-;4417;-;1255;639;-;-;-;-;-;358;-;-;160;19064;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25919
10/2024;qtd_aprovada;"130040 BARCELOS";-;19;-;127;-;-;-;-;-;-;-;-;-;-;-;-;1831;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1977
10/2024;qtd_aprovada;"130050 BARREIRINHA";-;18;-;2395;-;368;24;-;-;-;4;-;32;-;-;444;3636;-;-;-;-;-;52;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;56;-;-;-;7166
10/2024;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;20599;-;508;437;-;-;-;-;-;104;-;2932;141;1319;142;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26188
10/2024;qtd_aprovada;"130063 BERURI";-;-;569;3016;-;257;4;-;-;-;-;-;39;-;-;120;6800;-;2;-;-;-;-;-;-;-;-;134;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10943
10/2024;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;351;-;3345;-;267;62;-;-;-;-;-;-;-;3;-;4865;338;-;-;-;-;-;-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9348
