periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
10/2024;qtd_aprovada;"500380 FATIMA DO SUL";319;56;33;6039;-;655;245;-;-;-;93;-;552;-;-;1;8456;-;15;-;-;-;-;-;-;-;-;148;-;2;-;-;-;-;-;-;-;-;-;-;-;85;-;-;-;-;-;-;-;-;25;-;-;-;16724
10/2024;qtd_aprovada;"500390 FIGUEIRAO";456;-;-;1821;-;70;-;-;-;-;-;-;215;-;-;78;2817;-;1;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5480
10/2024;qtd_aprovada;"500400 GLORIA DE DOURADOS";-;38;-;25;-;-;-;-;-;-;-;-;-;-;-;-;1289;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1375
10/2024;qtd_aprovada;"500410 GUIA LOPES DA LAGUNA";111;-;-;2626;-;73;146;-;-;-;-;-;42;-;-;-;1504;453;-;-;-;-;-;-;32;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5010
10/2024;qtd_aprovada;"500430 IGUATEMI";937;-;29;2798;-;1;139;-;-;-;-;-;52;-;-;145;5408;-;-;-;-;-;-;-;-;-;-;19;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;9556
10/2024;qtd_aprovada;"500440 INOCENCIA";82;-;-;1233;-;323;83;-;-;-;-;-;47;-;-;19;5365;7;12;-;-;-;51;-;4;-;-;32;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;39;-;-;-;7304
10/2024;qtd_aprovada;"500450 ITAPORA";2180;99;-;-;-;107;296;-;-;-;-;-;125;-;-;-;7895;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10750
10/2024;qtd_aprovada;"500460 ITAQUIRAI";-;28;-;3114;-;125;74;-;-;-;-;-;3;-;-;-;3942;-;-;-;-;-;-;-;-;-;-;5;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4128;11427
10/2024;qtd_aprovada;"500470 IVINHEMA";6403;153;61;6995;-;978;385;-;-;-;-;-;266;-;1;47;17502;288;-;-;-;2;-;-;83;-;-;56;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33229
10/2024;qtd_aprovada;"500480 JAPORA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;-;-;-;24
10/2024;qtd_aprovada;"500490 JARAGUARI";2480;18;50;3239;-;-;-;-;-;-;-;-;1;-;1;456;6233;88;-;-;-;-;341;-;-;-;-;13;-;1;-;-;-;-;-;-;-;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12955
10/2024;qtd_aprovada;"500500 JARDIM";1015;187;69;4634;-;612;345;39;-;-;-;-;133;-;-;144;8034;951;50;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;16269
10/2024;qtd_aprovada;"500510 JATEI";3725;-;37;715;-;21;-;-;-;-;-;-;-;-;-;175;2442;-;-;-;-;-;101;-;71;-;-;1;-;1;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7295
10/2024;qtd_aprovada;"500515 JUTI";1466;22;-;1951;-;223;73;-;-;-;-;-;55;-;-;160;5500;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9651
10/2024;qtd_aprovada;"500520 LADARIO";-;28;-;5861;-;5;104;-;-;-;-;-;74;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6098
10/2024;qtd_aprovada;"500525 LAGUNA CARAPA";-;-;1;2554;-;8;-;-;-;-;-;-;-;-;-;-;1336;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3905
