periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
08/2024;valor_aprovado;"110012 JI-PARANA";4730,40;-;-;228025,17;18716,07;20168,92;11095,70;156686,82;323575,00;-;7630,78;-;3441,62;-;-;71,00;665640,90;749,53;736961,90;-;506161,59;243,31;-;22,52;24199,68;-;332,20;-;-;-;-;22,62;20,74;-;-;-;-;238,88;3451,85;9686,86;-;-;-;-;-;-;148662,84;31459,60;1575,24;38674,35;2942246,09
08/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";5,40;-;-;17515,27;-;13247,30;8339,10;-;-;-;-;-;1024,85;-;-;-;171002,77;-;225,78;-;-;-;-;-;2036,20;-;26,42;-;-;-;-;-;-;59,37;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;6217,20;219721,93
08/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;14,10;39,21;-;1849,11;677,60;-;-;-;-;-;46,35;-;-;60,00;29364,94;2930,99;8,64;-;-;204,48;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;806,85;36048,59
08/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;89655,35;-;4314,82;12206,15;-;-;-;-;-;509,85;-;-;-;98575,89;-;-;-;-;8,09;-;-;46,32;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205322,10
08/2024;valor_aprovado;"110018 PIMENTA BUENO";1125,90;-;-;30449,12;-;10288,88;10957,65;-;-;-;-;-;1439,30;-;-;-;107654,30;727,09;961,39;-;-;16,18;-;-;5074,44;-;22,63;-;-;-;-;-;-;-;-;-;-;-;1803,87;-;-;-;-;-;-;-;-;-;-;22562,10;193082,85
08/2024;valor_aprovado;"110020 PORTO VELHO";867,16;-;20170,72;2649699,29;446173,91;166781,77;146353,31;524685,63;150500,00;68646,69;28336,30;391,24;290295,38;345883,76;-;2082,00;2963375,21;38575,87;6276,46;2531493,52;1237454,28;123162,36;1116,00;37152,00;129783,11;-;2680,19;94991,50;41,48;681,26;227,36;761,46;62,22;-;164,91;31,28;5362,04;29,86;2590,49;19130,68;558808,08;6710,94;9504,00;-;13185,00;-;448388,98;1269594,02;154213,42;1442542,88;15938958,02
08/2024;valor_aprovado;"110025 PRESIDENTE MEDICI";-;-;-;9033,66;-;4473,02;-;-;-;-;-;-;169,95;-;-;43,00;5,67;5738,79;5,80;-;-;-;-;-;4803,46;-;33,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24307,13
08/2024;valor_aprovado;"110026 RIO CRESPO";-;-;-;2010,22;-;-;-;-;-;-;-;-;-;-;-;-;6405,49;-;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8448,11
08/2024;valor_aprovado;"110028 ROLIM DE MOURA";16,20;-;-;90243,28;-;8141,23;12835,90;13657,27;60200,00;-;-;-;1630,96;-;-;253,00;169858,68;4623,62;1192,79;-;-;96,09;-;67,76;5193,36;-;-;-;-;-;-;-;-;-;-;-;-;-;44,54;-;-;-;-;-;-;-;37980,66;317,30;-;48802,05;455154,69
08/2024;valor_aprovado;"110029 SANTA LUZIA D'OESTE";-;-;-;11433,36;-;2879,66;-;-;-;-;-;-;51,50;-;-;81,00;11820,55;1839,40;2,88;-;-;-;-;-;513,84;-;-;-;-;-;-;-;-;-;-;-;30,04;59,72;-;-;-;-;-;-;-;-;-;-;-;8598,15;37310,10
08/2024;valor_aprovado;"110030 VILHENA";191,70;-;-;236942,87;-;25267,71;35301,75;85874,39;248056,25;-;10017,28;-;3324,15;-;-;210,00;208445,33;5106,46;708,91;-;302161,67;169,89;-;23,10;6443,52;-;444,84;-;-;24,54;-;-;-;-;-;-;21,92;-;3162,34;1379,05;-;-;-;-;-;-;-;8284,54;508,80;-;1182071,01
08/2024;valor_aprovado;"110032 SAO MIGUEL DO GUAPORE";-;-;-;3426,66;-;4668,32;2356,20;-;-;-;-;-;103,00;-;-;191,00;19962,17;20,36;452,40;-;-;-;-;-;336,46;-;26,42;-;-;12,27;-;-;-;19,79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37164,60;68739,65
08/2024;valor_aprovado;"110033 NOVA MAMORE";-;-;-;20345,11;-;2959,80;3090,45;-;-;-;-;-;244,24;-;-;97,00;36137,61;-;41,93;-;-;-;-;-;3209,94;-;26,42;-;-;-;-;-;20,74;-;-;-;-;-;222,70;-;-;-;-;-;-;-;-;-;-;554,40;66950,34
08/2024;valor_aprovado;"110034 ALVORADA D'OESTE";-;-;-;9439,72;-;4169,36;4500,65;-;-;-;-;-;-;-;-;-;40666,02;2323,75;-;-;-;-;-;-;279,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61379,26
08/2024;valor_aprovado;"110037 ALTO ALEGRE DOS PARECIS";8,10;-;-;5920,55;-;-;849,75;-;-;-;-;-;10,30;-;-;4,00;16202,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19656,45;42651,28
08/2024;valor_aprovado;"110040 ALTO PARAISO";-;-;-;19114,07;-;3130,20;6863,45;-;-;-;-;-;216,30;-;-;94,00;48818,55;-;-;-;-;-;-;-;1537,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17523,00;97296,89
08/2024;valor_aprovado;"110045 BURITIS";2,70;-;-;66608,09;-;7126,31;850,30;-;-;-;-;-;2576,95;-;-;354,00;81944,14;10244,12;318,25;-;-;16,18;12,40;231,77;4028,98;-;57,13;-;-;-;211,80;47,07;-;-;109,94;-;1090,52;-;90,90;-;-;-;-;-;-;-;-;-;-;82605,60;258527,15
08/2024;valor_aprovado;"110050 NOVO HORIZONTE DO OESTE";-;-;-;9182,09;-;2621,77;7460,20;-;-;-;-;-;1408,89;-;-;-;36238,04;1244,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24664,50;82819,67
08/2024;valor_aprovado;"110060 CACAULANDIA";-;-;-;8885,89;-;-;1285,35;-;-;-;-;-;-;-;-;46,00;15317,69;674,53;1,44;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26222,74
08/2024;valor_aprovado;"110070 CAMPO NOVO DE RONDONIA";-;-;-;2993,11;-;28,09;-;-;-;-;-;-;-;-;-;82,00;11325,65;-;-;-;-;-;-;-;-;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29,70;14464,18
08/2024;valor_aprovado;"110080 CANDEIAS DO JAMARI";-;-;-;58342,57;-;-;-;-;-;-;-;-;-;-;-;-;1638,00;878,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60858,67
08/2024;valor_aprovado;"110090 CASTANHEIRAS";-;-;-;1032,37;-;-;2145,00;-;-;-;-;-;-;-;-;26,00;3684,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1188,00;8076,09
08/2024;valor_aprovado;"110092 CHUPINGUAIA";-;-;-;9989,42;-;-;2394,15;-;-;-;-;-;139,05;-;-;40,00;6590,25;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;351,45;19569,12
08/2024;valor_aprovado;"110094 CUJUBIM";-;-;25,83;18714,68;-;10420,57;2937,00;-;-;-;-;-;798,25;-;-;1,00;33490,92;-;5,76;-;-;-;55,90;-;497,20;-;-;50,00;-;-;-;34,10;-;-;-;-;-;-;222,70;-;-;-;-;-;-;-;-;-;-;4844,00;72097,91
08/2024;valor_aprovado;"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;6657,61;-;-;-;-;-;-;-;-;267,80;-;-;-;5737,44;-;-;-;-;-;-;-;177,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12840,45
08/2024;valor_aprovado;"110110 ITAPUA DO OESTE";-;-;-;16946,21;-;621,70;193,60;-;-;-;-;-;-;-;-;-;19108,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36869,70
08/2024;valor_aprovado;"110120 MINISTRO ANDREAZZA";-;-;-;626,42;-;6,78;2684,55;-;-;-;-;-;97,85;-;-;-;16941,00;844,55;80,64;-;-;-;-;-;2259,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;301,95;23843,08
08/2024;valor_aprovado;"110130 MIRANTE DA SERRA";-;-;-;1150,53;-;7620,06;3296,15;-;-;-;-;-;-;-;-;-;15584,18;-;-;-;-;-;-;-;598,14;-;33,78;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28282,84
08/2024;valor_aprovado;"110140 MONTE NEGRO";-;-;-;15768,26;-;2505,73;4871,35;-;-;-;-;-;386,25;-;-;396,00;24540,23;775,16;-;-;-;-;-;-;584,08;-;26,42;-;-;-;-;-;-;-;-;-;-;149,30;467,67;-;-;-;-;-;-;-;-;6750,00;-;15651,90;72872,35
08/2024;valor_aprovado;"110143 NOVA UNIAO";-;-;-;803,16;-;3604,14;1854,05;-;-;-;-;-;15105,00;-;-;-;14406,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35772,52
08/2024;valor_aprovado;"110145 PARECIS";-;-;-;697,16;-;-;-;-;-;-;-;-;1154,65;-;-;-;23768,96;-;495,00;-;-;-;-;-;1005,72;-;-;-;-;-;-;-;-;-;-;-;-;2388,80;-;-;-;-;-;-;-;-;-;-;-;-;29510,29
08/2024;valor_aprovado;"110146 PIMENTEIRAS DO OESTE";-;-;-;1604,21;-;-;-;-;-;-;-;-;5,15;-;-;14,00;4852,56;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1485,00;8025,72
08/2024;valor_aprovado;"110147 PRIMAVERA DE RONDONIA";-;-;-;634,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;634,17
08/2024;valor_aprovado;"110148 SAO FELIPE D'OESTE";-;-;-;3260,04;-;-;2690,60;-;-;-;-;-;-;-;-;-;24624,25;-;-;-;-;-;-;-;81,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30656,21
08/2024;valor_aprovado;"110149 SAO FRANCISCO DO GUAPORE";-;-;-;35737,80;-;4275,04;3240,60;-;-;-;-;-;453,20;-;-;268,00;47008,64;12629,00;100,16;-;-;-;-;-;2115,36;-;-;-;-;-;-;-;-;-;-;-;-;-;44,54;-;-;-;-;-;-;-;-;-;-;17077,50;122949,84
08/2024;valor_aprovado;"110150 SERINGUEIRAS";-;-;-;4785,88;-;1262,72;508,20;-;6718,75;-;-;-;314,15;-;-;93,00;16211,52;801,73;-;-;-;-;-;-;206,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;346,50;31248,81
08/2024;valor_aprovado;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1008,63;-;-;-;-;-;-;-;477,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1485,91
08/2024;valor_aprovado;"110160 THEOBROMA";72,90;-;-;8234,34;-;790,65;145,20;-;-;-;-;-;-;-;-;-;16019,48;-;-;-;-;-;-;-;32,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25294,97
08/2024;valor_aprovado;"110170 URUPA";-;-;-;13702,56;-;176,38;3501,85;1643,86;-;-;-;-;33,60;-;-;-;25533,58;2730,50;-;-;-;-;-;-;1439,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48761,95
08/2024;valor_aprovado;"110175 VALE DO ANARI";-;-;-;8007,30;-;-;2003,65;-;-;-;-;-;-;-;-;-;7826,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17837,36
08/2024;valor_aprovado;"110180 VALE DO PARAISO";-;-;-;2404,18;-;-;-;-;-;-;-;-;10,30;-;-;-;15753,48;-;-;-;-;-;-;-;287,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18455,12
08/2024;valor_aprovado;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;valor_aprovado;"120001 ACRELANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13292,10;-;-;-;-;-;-;-;2652,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15944,82
08/2024;valor_aprovado;"120005 ASSIS BRASIL";-;-;-;16423,68;-;2667,25;-;-;-;-;-;-;390,57;-;-;35,00;20612,34;-;-;-;-;-;-;-;848,20;-;16,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40993,93
08/2024;valor_aprovado;"120010 BRASILEIA";-;-;-;63092,59;-;84245,97;3021,70;5946,34;-;-;-;-;370,34;2349,10;-;101,00;56940,45;1025,23;6369,25;-;183519,42;3024,60;-;-;4498,30;-;429,64;-;-;-;3695,32;-;-;-;-;-;113,64;-;75,75;1718,40;-;-;-;-;-;-;-;27,00;-;-;420564,04
08/2024;valor_aprovado;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;valor_aprovado;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;747,60
08/2024;valor_aprovado;"120020 CRUZEIRO DO SUL";636,82;-;-;256463,22;-;31973,87;29521,13;93960,24;149962,50;-;1012,22;-;4594,83;5055,72;-;653,00;163134,97;2533,56;8922,36;-;195737,94;3870,00;-;-;3873,42;-;237,78;-;-;13,63;-;-;-;-;-;-;-;-;510,55;2895,25;-;-;-;-;-;-;11330,38;12592,40;2544,00;-;982029,79
08/2024;valor_aprovado;"120025 EPITACIOLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51,00
08/2024;valor_aprovado;"120030 FEIJO";-;-;-;18136,30;-;5146,97;-;-;-;-;-;-;-;-;-;-;25216,70;-;-;-;-;-;-;-;486,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48986,33
08/2024;valor_aprovado;"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;valor_aprovado;"120033 MANCIO LIMA";-;-;-;20041,51;-;7138,00;-;-;-;-;-;-;267,80;-;-;-;41213,35;518,37;503,16;-;-;-;-;-;5575,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3600,00;-;-;78857,95
08/2024;valor_aprovado;"120034 MANOEL URBANO";-;-;-;9748,34;-;1091,66;-;-;-;-;-;-;41,20;-;-;14,00;38346,55;-;-;-;-;-;-;-;1778,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51020,35
08/2024;valor_aprovado;"120035 MARECHAL THAUMATURGO";-;-;-;15761,75;-;1024,42;-;-;-;-;-;-;-;-;-;203,00;10269,05;-;-;-;-;-;-;-;201,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27459,50
08/2024;valor_aprovado;"120038 PLACIDO DE CASTRO";-;-;-;18220,62;-;4318,60;-;-;-;-;-;-;87,55;-;-;-;27583,41;-;-;-;-;-;-;-;3234,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53444,30
08/2024;valor_aprovado;"120039 PORTO WALTER";-;-;-;-;-;428,21;-;-;-;-;-;-;282,42;-;-;-;5514,99;-;-;-;-;-;32,46;-;-;-;28,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6286,08
