periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
09/2025;qtd_aprovada;"230090 APUIARES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2025;qtd_aprovada;"230100 AQUIRAZ";229;29;18;11333;-;1781;436;-;-;-;56;-;146;-;-;4;41881;3631;8;-;-;-;542;-;-;-;372;-;32;-;14;-;-;-;-;-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60652
09/2025;qtd_aprovada;"230110 ARACATI";284;526;768;14697;-;1708;447;145;-;-;54;-;435;-;75;1115;25776;1230;62;-;-;-;966;298;-;-;135;-;-;-;-;-;-;-;-;-;-;-;183;-;79;-;-;-;-;-;-;1;200;-;-;-;-;-;-;-;-;-;-;49184
09/2025;qtd_aprovada;"230120 ARACOIABA";-;161;-;12381;-;1029;108;-;-;-;19;-;99;-;-;908;22455;-;48;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;37217
09/2025;qtd_aprovada;"230125 ARARENDA";-;42;-;1008;-;115;-;-;-;-;-;-;31;-;-;1087;2683;-;-;-;-;-;45;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;5047
09/2025;qtd_aprovada;"230130 ARARIPE";-;94;1;8840;-;359;505;-;-;-;-;-;251;-;-;489;12198;-;4;-;-;-;-;-;-;-;79;-;17;33;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22871
09/2025;qtd_aprovada;"230140 ARATUBA";-;21;-;18;-;-;133;-;-;-;-;-;75;-;-;552;12248;477;15;-;-;-;-;-;-;-;42;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;50;-;-;44;-;-;-;-;-;-;13677
09/2025;qtd_aprovada;"230150 ARNEIROZ";-;20;-;-;-;-;-;-;-;-;-;-;13;-;-;302;5713;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6077
09/2025;qtd_aprovada;"230160 ASSARE";101;196;85;6295;-;260;192;-;-;-;34;-;226;-;-;347;9964;865;-;-;-;-;33;-;-;-;130;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;18847
09/2025;qtd_aprovada;"230170 AURORA";-;53;-;1937;-;804;63;-;-;-;42;-;147;-;-;28;3517;1304;-;-;-;-;-;-;-;-;237;-;19;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;8190
09/2025;qtd_aprovada;"230180 BAIXIO";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2327;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2344
09/2025;qtd_aprovada;"230185 BANABUIU";-;-;131;499;-;479;-;-;-;-;-;-;343;-;-;664;14370;-;27;-;-;-;-;-;-;-;283;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;16968
09/2025;qtd_aprovada;"230190 BARBALHA";635;72;100;36859;380;2539;2962;1810;325;103;44;3;2598;67;4;952;55997;6438;91;3036;3928;32;329;96;-;-;593;-;7;22;12;18;8;1;-;-;-;-;207;-;2;32;-;-;-;-;6;-;-;46;57;-;-;-;1;-;-;-;-;120412
09/2025;qtd_aprovada;"230195 BARREIRA";-;27;-;2239;739;-;28;-;-;-;-;-;80;-;-;-;2845;97;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;6080
09/2025;qtd_aprovada;"230200 BARRO";53;65;-;-;-;447;-;-;-;-;-;-;44;-;-;1350;14478;261;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;16743
09/2025;qtd_aprovada;"230205 BARROQUINHA";-;109;-;-;-;-;-;-;-;-;-;-;77;-;-;-;6504;675;2;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;7440
09/2025;qtd_aprovada;"230210 BATURITE";72;130;1138;19720;-;1226;271;-;-;-;10;-;1169;-;-;1013;37775;-;15;-;2080;-;958;-;-;-;95;-;1;98;-;-;-;-;-;-;-;-;170;102;-;22;-;-;-;-;-;-;-;80;27;-;-;-;-;-;-;-;-;66172
09/2025;qtd_aprovada;"230220 BEBERIBE";198;112;-;2897;-;1600;167;-;-;-;11;-;203;-;-;638;23592;902;-;-;-;-;298;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;30766
09/2025;qtd_aprovada;"230230 BELA CRUZ";13;29;1180;2993;-;431;297;-;-;-;10;-;199;-;-;112;8993;1065;-;-;-;-;-;4;-;-;73;-;7;-;1;1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15411
09/2025;qtd_aprovada;"230240 BOA VIAGEM";-;-;247;-;-;2048;620;459;-;-;98;-;372;-;-;871;21843;763;-;-;-;-;-;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27407
09/2025;qtd_aprovada;"230250 BREJO SANTO";2408;273;242;16869;515;1783;1101;159;66;-;190;-;2562;-;-;24;28984;4127;8;-;-;-;1449;503;-;-;332;-;97;274;15;-;-;1;-;-;-;-;343;-;-;-;-;-;-;-;-;4;-;56;6;-;-;-;-;-;-;-;-;62391
09/2025;qtd_aprovada;"230260 CAMOCIM";277;51;936;19480;737;1726;375;-;-;-;26;-;1227;-;2;819;28824;1994;-;-;-;-;1178;-;-;-;34;-;4;190;-;-;-;-;-;-;-;-;463;-;-;-;-;-;-;-;-;1;-;94;-;-;-;-;1;-;-;-;-;58439
09/2025;qtd_aprovada;"230270 CAMPOS SALES";204;18;201;4248;-;720;246;-;37;-;64;-;258;-;-;207;20897;403;-;-;-;-;-;214;-;-;49;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27774
09/2025;qtd_aprovada;"230280 CANINDE";77;214;276;10061;127;1319;490;-;-;-;108;-;520;-;-;662;33445;304;70;-;2463;-;1173;-;-;-;29;-;54;100;-;-;-;-;-;-;-;-;293;-;-;9;-;-;-;-;-;1;90;48;13;-;-;-;-;-;-;-;-;51946
09/2025;qtd_aprovada;"230290 CAPISTRANO";-;150;6;5299;-;164;87;-;-;-;-;-;-;-;-;75;2884;466;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9148
09/2025;qtd_aprovada;"230300 CARIDADE";6;16;-;1098;-;56;48;-;-;-;-;-;55;-;-;407;6242;165;-;-;-;-;-;-;-;-;28;-;2;56;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;8202
09/2025;qtd_aprovada;"230310 CARIRE";-;25;-;-;-;-;-;-;-;-;-;-;119;-;-;116;11739;-;-;-;-;-;-;-;-;-;200;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12200
09/2025;qtd_aprovada;"230320 CARIRIACU";71;70;560;4655;-;542;-;-;-;-;-;-;157;-;-;-;15951;38;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;22222
09/2025;qtd_aprovada;"230330 CARIUS";-;79;-;1787;-;-;-;-;-;-;-;-;150;-;-;708;17131;47;-;-;-;-;-;-;-;-;232;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;594;-;-;-;-;-;-;20806
09/2025;qtd_aprovada;"230340 CARNAUBAL";45;121;383;2802;-;772;227;-;-;-;23;-;205;-;-;192;8521;1006;-;-;-;-;80;-;-;-;183;-;10;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;14597
09/2025;qtd_aprovada;"230350 CASCAVEL";71;55;4;25212;-;5;145;-;-;-;37;-;1745;-;-;586;49861;304;101;-;4974;-;613;-;-;-;20;-;5;199;-;-;-;1;-;-;-;-;121;-;-;60;-;-;-;-;-;-;-;34;55;-;-;-;-;-;-;-;-;84208
09/2025;qtd_aprovada;"230360 CATARINA";201;24;-;2647;-;-;9;-;-;-;-;-;135;-;-;-;15310;-;-;-;-;-;104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;18490
09/2025;qtd_aprovada;"230365 CATUNDA";-;50;-;1723;-;160;95;-;-;-;-;-;101;-;-;392;4850;571;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3400;-;-;-;-;-;-;11349
09/2025;qtd_aprovada;"230370 CAUCAIA";500;236;9242;95858;-;6561;1702;-;-;-;39;-;2790;-;-;2588;184238;8425;34;-;6840;-;1492;27;6;-;568;-;2;360;-;3;36;4;1;12;2;-;350;-;72;65;-;-;-;-;-;5;1045;36;95;-;-;-;-;-;-;-;-;323234
09/2025;qtd_aprovada;"230380 CEDRO";9;25;-;6449;-;222;136;-;-;-;-;-;-;-;-;-;7269;551;42;-;-;-;230;-;-;-;73;-;-;1;-;-;-;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;210;-;-;-;-;-;-;15260
09/2025;qtd_aprovada;"230390 CHAVAL";-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;90;7395;207;-;-;-;-;-;-;-;-;15;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;7751
09/2025;qtd_aprovada;"230393 CHORO";16;137;-;3894;-;337;-;-;-;-;19;-;-;-;-;3;5512;6;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9946
09/2025;qtd_aprovada;"230395 CHOROZINHO";-;40;-;5946;-;165;115;-;-;-;-;-;200;-;-;156;9521;773;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17025
09/2025;qtd_aprovada;"230400 COREAU";-;18;-;-;-;88;-;-;-;-;-;-;50;-;-;398;4387;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4945
09/2025;qtd_aprovada;"230410 CRATEUS";850;205;80;21940;-;2731;647;629;-;-;64;-;603;-;-;7;14993;-;384;-;3449;-;3131;-;-;-;124;-;1;-;153;-;20;1;-;-;-;-;865;-;-;32;-;-;-;-;-;4;482;254;70;-;-;-;-;-;-;-;-;51719
09/2025;qtd_aprovada;"230420 CRATO";2102;124;242;37273;2104;3479;2131;1147;91;-;182;-;2380;4075;-;5864;61092;4574;384;-;4370;1828;889;94;-;-;400;-;3;92;-;1;427;-;-;-;-;-;296;7;-;29;4;-;-;-;51;1;6520;27;49;-;-;-;-;-;-;-;-;142332
09/2025;qtd_aprovada;"230423 CROATA";10;76;654;2507;-;279;159;-;-;-;-;-;45;-;2;679;5200;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;9704
09/2025;qtd_aprovada;"230425 CRUZ";8;132;1437;8065;-;868;395;40;26;-;38;-;145;-;-;1060;16661;1559;6;-;-;-;-;134;-;-;139;-;2;118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30833
09/2025;qtd_aprovada;"230426 DEPUTADO IRAPUAN PINHEIRO";-;97;48;693;-;-;-;-;-;-;-;-;50;-;-;248;2389;235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3760
09/2025;qtd_aprovada;"230427 ERERE";-;63;-;-;-;-;-;-;-;-;-;-;30;-;-;13;2781;-;-;-;-;-;41;-;-;-;121;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41;-;-;-;-;-;-;-;-;-;3095
09/2025;qtd_aprovada;"230428 EUSEBIO";2564;185;1960;41295;1;2456;477;-;-;-;82;-;3094;-;-;1358;73846;3485;-;-;3329;-;84;4616;-;-;209;-;3;22;2;-;-;10;-;-;-;-;36;-;110;37;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;139293
09/2025;qtd_aprovada;"230430 FARIAS BRITO";29;-;2;3569;-;416;64;-;-;-;-;-;193;-;-;465;13615;579;1;-;-;-;-;-;-;-;19;-;2;-;15;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;30;-;-;60;-;-;-;-;-;-;19062
09/2025;qtd_aprovada;"230435 FORQUILHA";283;123;-;-;71;11;-;-;-;-;-;-;249;-;-;99;5083;621;-;-;-;-;181;1099;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;7893
09/2025;qtd_aprovada;"230440 FORTALEZA";27883;6004;4572;1030604;23940;60120;15403;13210;2262;643;3346;44;51214;74698;870;25976;1103247;24510;6483;10970;27180;11893;12028;482;-;-;8182;-;1003;3102;61;256;271;281;3;-;1;677;2831;438;1820;232;5069;415;658;20;2878;-;6500202;1162;506;-;1545;1025;39;-;-;-;-;9070259
09/2025;qtd_aprovada;"230445 FORTIM";-;88;-;1145;-;-;117;-;-;-;-;-;122;-;-;416;5645;-;-;-;-;-;-;-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7591
09/2025;qtd_aprovada;"230450 FRECHEIRINHA";323;84;-;-;-;170;72;-;-;-;-;-;10;-;-;157;10801;1075;-;-;-;-;-;-;-;-;24;-;2;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;29;-;-;-;-;-;-;12802
09/2025;qtd_aprovada;"230460 GENERAL SAMPAIO";-;10;-;1056;-;-;-;-;-;-;-;-;25;-;-;244;2756;-;-;-;-;-;-;70;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;4194
09/2025;qtd_aprovada;"230465 GRACA";-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1971;158;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2186
09/2025;qtd_aprovada;"230470 GRANJA";33;61;-;5204;140;474;484;-;-;-;-;-;274;-;-;559;27211;90;2;-;-;-;20;20;-;-;276;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18;-;-;-;-;-;-;-;-;-;34873
09/2025;qtd_aprovada;"230480 GRANJEIRO";53;18;-;1387;-;2;-;-;-;-;-;-;620;-;-;290;7674;32;-;-;-;-;164;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;41;-;-;1061;-;-;-;-;-;-;11405
09/2025;qtd_aprovada;"230490 GROAIRAS";-;103;68;-;-;-;252;-;-;-;-;-;100;-;-;436;7975;-;-;-;-;-;-;-;-;-;282;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;958;-;-;-;-;-;-;10216
09/2025;qtd_aprovada;"230495 GUAIUBA";-;24;3;7139;-;112;133;-;-;-;-;-;96;-;-;1370;17597;174;-;-;-;-;-;-;-;-;91;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26740
09/2025;qtd_aprovada;"230500 GUARACIABA DO NORTE";96;142;926;8472;-;546;314;-;-;-;79;-;494;-;4;2182;27019;527;-;-;-;-;425;-;-;-;87;-;1;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;41447
09/2025;qtd_aprovada;"230510 GUARAMIRANGA";-;43;-;-;-;-;-;-;-;-;-;-;17;-;-;187;4155;125;-;-;-;-;-;-;-;-;4;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;4560
09/2025;qtd_aprovada;"230520 HIDROLANDIA";-;27;-;4192;-;996;165;-;-;-;-;-;140;-;-;501;11545;1710;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;4349;-;-;-;-;-;-;23696
09/2025;qtd_aprovada;"230523 HORIZONTE";160;200;1183;19356;-;1946;394;-;-;-;51;-;234;-;-;1747;67452;820;115;-;-;-;591;94;-;-;118;-;3;-;-;-;-;5;-;-;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;94595
09/2025;qtd_aprovada;"230526 IBARETAMA";60;2099;-;6361;-;688;30;-;-;-;-;-;498;-;-;-;16153;-;-;-;-;-;-;-;-;-;519;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26408
09/2025;qtd_aprovada;"230530 IBIAPINA";103;67;867;5793;-;589;242;-;-;-;28;-;197;-;-;6;11045;1855;3;-;-;-;72;247;-;-;202;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;21356
09/2025;qtd_aprovada;"230533 IBICUITINGA";14;50;-;1664;-;-;66;-;-;-;-;-;44;-;-;257;6139;-;-;-;-;-;-;-;1;-;211;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;8480
09/2025;qtd_aprovada;"230535 ICAPUI";-;112;-;2751;-;-;82;-;-;-;-;-;107;-;-;2818;13290;291;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19481
09/2025;qtd_aprovada;"230540 ICO";360;37;51;10960;213;3057;715;567;-;-;23;-;1209;-;-;-;38803;278;19;-;-;-;1452;506;-;-;312;-;8;-;-;-;-;3;-;-;-;-;245;-;-;-;-;-;-;-;-;1;-;140;-;-;-;-;-;-;-;-;-;58959
09/2025;qtd_aprovada;"230550 IGUATU";372;158;240;13380;-;2809;2016;2102;50;-;209;-;601;2818;-;1043;69815;892;5;-;2941;1543;543;141;-;-;493;-;4;286;-;-;4;-;-;-;2;-;68;26;-;9;-;-;-;-;-;2;1030;18;27;-;-;-;-;-;-;-;-;103647
09/2025;qtd_aprovada;"230560 INDEPENDENCIA";22;91;-;3742;-;563;-;-;-;-;-;-;424;-;31;-;971;-;-;-;-;-;149;-;-;-;48;-;1;386;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6428
09/2025;qtd_aprovada;"230565 IPAPORANGA";84;48;15;291;-;-;111;-;-;-;25;-;20;-;-;288;6738;-;-;-;-;-;166;-;-;-;37;-;2;-;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;7911
09/2025;qtd_aprovada;"230570 IPAUMIRIM";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
09/2025;qtd_aprovada;"230580 IPU";-;54;-;11792;-;1618;443;426;-;-;51;-;-;-;-;61;23551;460;4;-;-;-;18;-;-;-;157;-;5;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;38656
09/2025;qtd_aprovada;"230590 IPUEIRAS";-;352;33;1764;-;110;63;-;-;-;-;-;-;-;-;671;13097;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16092
09/2025;qtd_aprovada;"230600 IRACEMA";78;139;159;1596;-;376;176;-;-;-;-;-;58;-;-;900;6536;400;-;-;-;-;-;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10533
09/2025;qtd_aprovada;"230610 IRAUCUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
09/2025;qtd_aprovada;"230620 ITAICABA";-;111;6;7022;-;-;-;-;-;-;-;-;80;-;-;740;3806;729;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12509
09/2025;qtd_aprovada;"230625 ITAITINGA";822;259;1057;19695;-;2248;818;-;17;-;65;-;204;-;-;2175;67260;1828;37;-;-;-;268;1377;-;-;299;-;1;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;98457
09/2025;qtd_aprovada;"230630 ITAPAJE";-;300;-;2724;-;1531;212;-;-;-;-;-;309;-;-;941;23469;1064;-;-;-;-;-;-;-;-;101;-;23;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30677
09/2025;qtd_aprovada;"230640 ITAPIPOCA";99;113;220;36482;-;3181;1603;166;-;-;27;-;2140;-;7;1287;53677;-;290;-;4364;-;408;-;-;-;261;-;10;86;-;-;13;15;-;-;-;-;91;28;-;46;-;-;-;-;-;-;-;74;63;-;-;-;-;-;-;-;-;104751
09/2025;qtd_aprovada;"230650 ITAPIUNA";1475;130;6095;2299;-;290;58;-;-;-;-;-;20;-;-;709;12405;820;-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24315
09/2025;qtd_aprovada;"230655 ITAREMA";-;74;129;9372;-;241;135;-;-;-;-;-;290;-;-;485;8823;163;-;-;-;-;-;-;-;-;11;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;150;-;-;-;-;-;-;19972
09/2025;qtd_aprovada;"230660 ITATIRA";-;80;668;4338;-;193;251;-;-;-;-;-;-;-;-;-;5309;527;-;-;-;-;20;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;11429
09/2025;qtd_aprovada;"230670 JAGUARETAMA";183;152;-;5657;-;469;177;-;-;-;54;-;222;-;-;-;9453;1801;16;-;-;-;-;-;-;-;242;-;5;6;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;18465
09/2025;qtd_aprovada;"230680 JAGUARIBARA";-;25;7;4103;-;161;56;-;-;-;-;-;148;-;-;-;6002;1796;-;-;-;-;-;223;-;-;538;-;1;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;13137
09/2025;qtd_aprovada;"230690 JAGUARIBE";90;170;1406;16039;-;1641;338;-;-;-;63;-;283;-;2;1919;45408;540;-;-;-;-;-;-;-;-;86;-;4;128;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;68193
09/2025;qtd_aprovada;"230700 JAGUARUANA";4;32;-;7159;-;633;131;-;-;-;17;-;484;-;-;791;16172;716;-;-;-;-;-;-;-;-;24;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;26177
